Press or Release,Key,Time
P,Key.shift,1735660002751
P,T,1735660003197
R,T,1735660003271
R,Key.shift,1735660003309
P,h,1735660003399
P,e,1735660003474
R,h,1735660003511
R,e,1735660003623
P,Key.space,1735660003643
R,Key.space,1735660003756
P,m,1735660003878
R,m,1735660004026
P,Key.backspace,1735660004817
R,Key.backspace,1735660005003
P,v,1735660005158
R,v,1735660005272
P,i,1735660005339
R,i,1735660005450
P,d,1735660005469
R,d,1735660005545
P,e,1735660005661
R,e,1735660005774
P,o,1735660005774
R,o,1735660005884
P,Key.space,1735660006131
R,Key.space,1735660006279
P,i,1735660006371
R,i,1735660006482
P,s,1735660006483
R,s,1735660006555
P,Key.space,1735660006607
R,Key.space,1735660006721
P,a,1735660006727
R,a,1735660006878
P,b,1735660007509
R,b,1735660007582
P,l,1735660007722
R,l,1735660007836
P,Key.backspace,1735660008147
R,Key.backspace,1735660008261
P,o,1735660008283
R,o,1735660008431
P,u,1735660008560
R,u,1735660008673
P,t,1735660008674
R,t,1735660008784
P,Key.space,1735660008826
R,Key.space,1735660008937
P,t,1735660009119
R,t,1735660009232
P,h,1735660009233
R,h,1735660009306
P,e,1735660009809
R,e,1735660009957
P,Key.space,1735660009958
R,Key.space,1735660010067
P,m,1735660013010
R,m,1735660013161
P,e,1735660013223
R,e,1735660013372
P,e,1735660013416
R,e,1735660013528
P,t,1735660013666
R,t,1735660013816
P,i,1735660013817
P,n,1735660013888
P,g,1735660013964
R,i,1735660014001
R,n,1735660014002
R,g,1735660014112
P,Key.space,1735660014117
R,Key.space,1735660014228
P,b,1735660014555
R,b,1735660014668
P,e,1735660014714
R,e,1735660014862
P,t,1735660015482
R,t,1735660015632
P,w,1735660015776
R,w,1735660015889
P,e,1735660015917
R,e,1735660016067
P,e,1735660016144
R,e,1735660016294
P,n,1735660016300
R,n,1735660016449
P,t,1735660016450
P,Key.space,1735660016484
R,t,1735660016560
R,Key.space,1735660016634
P,e,1735660016745
R,e,1735660016895
P,Key.backspace,1735660017060
R,Key.backspace,1735660017172
P,Key.backspace,1735660017270
R,Key.backspace,1735660017342
P,Key.backspace,1735660017448
R,Key.backspace,1735660017561
P,Key.backspace,1735660017755
R,Key.backspace,1735660017905
P,Key.backspace,1735660018102
R,Key.backspace,1735660018253
P,e,1735660018643
R,e,1735660018791
P,n,1735660018805
R,n,1735660018953
P,Key.backspace,1735660019178
R,Key.backspace,1735660019288
P,Key.backspace,1735660019396
R,Key.backspace,1735660019469
P,e,1735660020081
R,e,1735660020191
P,n,1735660020383
P,Key.space,1735660020494
R,n,1735660020530
R,Key.space,1735660020642
P,t,1735660020685
R,t,1735660020797
P,h,1735660020798
R,h,1735660020908
P,e,1735660020914
R,e,1735660021067
P,Key.space,1735660021067
R,Key.space,1735660021176
P,p,1735660021762
R,p,1735660021910
P,e,1735660021914
R,e,1735660022026
P,r,1735660022419
R,r,1735660022531
P,Key.backspace,1735660022577
R,Key.backspace,1735660022689
P,Key.backspace,1735660022795
P,r,1735660022867
R,Key.backspace,1735660022904
R,r,1735660022941
P,e,1735660023037
R,e,1735660023185
P,s,1735660023246
R,s,1735660023359
P,i,1735660023373
R,i,1735660023484
P,d,1735660023524
R,d,1735660023638
P,e,1735660023709
P,o,1735660023782
R,e,1735660023857
R,o,1735660023896
P,n,1735660023896
R,n,1735660024006
P,t,1735660024033
R,t,1735660024147
P,Key.backspace,1735660024293
R,Key.backspace,1735660024404
P,Key.backspace,1735660024503
R,Key.backspace,1735660024615
P,Key.backspace,1735660024675
R,Key.backspace,1735660024785
P,n,1735660025096
R,n,1735660025208
P,t,1735660025239
R,t,1735660025348
P,s,1735660025465
R,s,1735660025576
P,Key.space,1735660025580
R,Key.space,1735660025692
P,o,1735660025761
P,f,1735660025798
R,o,1735660025875
R,f,1735660025875
P,Key.space,1735660025979
R,Key.space,1735660026089
P,Key.shift,1735660026386
P,U,1735660026533
R,U,1735660026607
P,S,1735660026644
R,S,1735660026756
P,A,1735660027054
R,Key.shift,1735660027206
R,A,1735660027206
P,Key.space,1735660027207
R,Key.space,1735660027316
P,s,1735660027342
P,n,1735660027490
R,s,1735660027603
R,n,1735660027603
P,d,1735660027606
R,d,1735660027684
P,Key.backspace,1735660027840
R,Key.backspace,1735660027953
P,Key.backspace,1735660028044
R,Key.backspace,1735660028155
P,Key.backspace,1735660028237
R,Key.backspace,1735660028348
P,a,1735660028349
R,a,1735660028458
P,n,1735660028484
P,d,1735660028558
R,n,1735660028634
R,d,1735660028634
P,Key.space,1735660028715
R,Key.space,1735660028827
P,Key.shift,1735660029032
P,U,1735660029481
R,U,1735660029593
R,Key.shift,1735660029630
P,k,1735660029780
R,k,1735660029929
P,a,1735660030574
R,a,1735660030760
P,Key.backspace,1735660031110
R,Key.backspace,1735660031257
P,r,1735660031257
R,r,1735660031332
P,a,1735660031346
R,a,1735660031493
P,i,1735660031608
P,n,1735660031721
R,i,1735660031796
R,n,1735660031833
P,e,1735660032063
R,e,1735660032173
P,Key.space,1735660032193
R,Key.space,1735660032305
P,o,1735660033270
R,o,1735660033422
P,v,1735660033422
R,v,1735660033569
P,e,1735660033623
R,e,1735660033734
P,r,1735660033862
R,r,1735660033938
P,Key.space,1735660034105
R,Key.space,1735660034216
P,t,1735660034216
R,t,1735660034329
P,h,1735660034329
R,h,1735660034438
P,e,1735660034480
R,e,1735660034593
P,Key.space,1735660034594
R,Key.space,1735660034666
P,r,1735660034767
R,r,1735660034878
P,u,1735660035042
R,u,1735660035155
P,s,1735660035324
R,s,1735660035398
P,s,1735660035498
R,s,1735660035573
P,i,1735660035602
R,i,1735660035753
P,a,1735660035753
R,a,1735660035900
P,Key.space,1735660035919
