Press or Release,Key,Time
P,Key.shift,1735660002713
P,T,1735660002883
R,T,1735660002957
R,Key.shift,1735660002979
P,h,1735660003095
P,i,1735660003202
R,h,1735660003232
R,i,1735660003303
P,s,1735660003322
P,Key.space,1735660003430
R,s,1735660003431
R,Key.space,1735660003527
P,p,1735660003634
P,o,1735660003679
R,p,1735660003744
R,o,1735660003826
P,s,1735660003829
R,s,1735660003914
P,Key.space,1735660004226
R,Key.space,1735660004303
P,Key.backspace,1735660004662
P,t,1735660004737
R,Key.backspace,1735660004771
R,t,1735660004848
P,Key.space,1735660004969
R,Key.space,1735660005074
P,h,1735660005269
R,h,1735660005357
P,a,1735660005380
R,a,1735660005470
P,s,1735660005569
R,s,1735660005654
P,Key.space,1735660005687
R,Key.space,1735660005787
P,g,1735660005930
R,g,1735660006020
P,a,1735660006035
R,a,1735660006131
P,r,1735660006291
R,r,1735660006411
P,n,1735660006464
R,n,1735660006585
P,e,1735660006585
R,e,1735660006692
P,r,1735660006784
R,r,1735660006884
P,e,1735660006978
R,e,1735660007070
P,d,1735660007141
P,Key.space,1735660007236
R,d,1735660007252
R,Key.space,1735660007357
P,m,1735660007632
R,m,1735660007787
P,i,1735660007891
R,i,1735660008030
P,x,1735660008124
R,x,1735660008216
P,e,1735660008337
R,e,1735660008441
P,d,1735660008529
R,d,1735660008626
P,Key.space,1735660008651
R,Key.space,1735660008785
P,r,1735660008986
R,r,1735660009088
P,e,1735660009175
R,e,1735660009270
P,a,1735660009378
P,c,1735660009498
R,a,1735660009512
P,t,1735660009622
R,c,1735660009641
R,t,1735660009713
P,i,1735660009937
P,o,1735660010045
R,i,1735660010090
P,n,1735660010134
R,o,1735660010166
P,s,1735660010244
R,n,1735660010253
R,s,1735660010347
P,Key.comma,1735660010942
R,Key.comma,1735660011017
P,Key.backspace,1735660011400
R,Key.backspace,1735660011514
P,.,1735660011750
R,.,1735660011819
P,Key.space,1735660011953
R,Key.space,1735660012025
P,Key.shift,1735660012113
P,W,1735660012353
R,Key.shift,1735660012470
P,h,1735660012481
R,W,1735660012489
P,i,1735660012601
R,h,1735660012636
R,i,1735660012725
P,l,1735660012756
P,e,1735660012873
R,l,1735660012879
R,e,1735660012974
P,Key.space,1735660012997
R,Key.space,1735660013097
P,i,1735660013228
R,i,1735660013326
P,t,1735660013544
R,t,1735660013642
P,Key.space,1735660013677
R,Key.space,1735660013758
P,c,1735660013960
R,c,1735660014067
P,a,1735660014185
P,n,1735660014295
