Press or Release,Key,Time
P,Key.shift,1735660008763
P,C,1735660008823
R,Key.shift,1735660008937
R,C,1735660008942
P,o,1735660008966
R,o,1735660009061
P,a,1735660009068
R,a,1735660009190
P,c,1735660009534
P,h,1735660009602
R,c,1735660009619
R,h,1735660009672
P,Key.space,1735660009808
P,Key.shift,1735660009883
R,Key.space,1735660009898
P,C,1735660009960
R,Key.shift,1735660010063
R,C,1735660010069
P,a,1735660010136
P,r,1735660010229
R,a,1735660010261
R,r,1735660010298
P,t,1735660010372
R,t,1735660010477
P,e,1735660010488
P,r,1735660010578
R,e,1735660010611
R,r,1735660010635
P,Key.space,1735660010672
R,Key.space,1735660010742
P,s,1735660010971
P,h,1735660011023
R,s,1735660011025
P,o,1735660011105
R,h,1735660011140
P,w,1735660011200
R,o,1735660011204
P,s,1735660011314
R,w,1735660011317
R,s,1735660011413
P,Key.space,1735660011446
R,Key.space,1735660011542
P,Key.backspace,1735660011896
R,Key.backspace,1735660012020
P,Key.backspace,1735660012669
R,Key.backspace,1735660012733
P,Key.backspace,1735660012838
R,Key.backspace,1735660012916
P,Key.backspace,1735660012990
R,Key.backspace,1735660013070
P,Key.backspace,1735660013153
R,Key.backspace,1735660013220
P,Key.backspace,1735660013293
R,Key.backspace,1735660013360
P,i,1735660013538
R,i,1735660013581
P,s,1735660014102
R,s,1735660014208
P,Key.space,1735660014249
R,Key.space,1735660014373
P,m,1735660014468
P,o,1735660014533
R,m,1735660014586
R,o,1735660014629
P,v,1735660014633
R,v,1735660014699
P,Key.backspace,1735660014852
R,Key.backspace,1735660014901
P,Key.backspace,1735660014980
R,Key.backspace,1735660015047
P,Key.backspace,1735660015128
R,Key.backspace,1735660015188
P,a,1735660015408
R,a,1735660015481
P,Key.space,1735660015514
R,Key.space,1735660015571
P,m,1735660015642
P,o,1735660015705
R,m,1735660015735
P,v,1735660015751
R,o,1735660015780
R,v,1735660015823
P,i,1735660015845
P,e,1735660015923
R,i,1735660015925
R,e,1735660015978
P,Key.space,1735660016029
R,Key.space,1735660016105
P,t,1735660016226
P,h,1735660016284
R,t,1735660016289
P,a,1735660016335
R,h,1735660016363
P,t,1735660016415
R,a,1735660016446
R,t,1735660016495
P,Key.space,1735660016497
R,Key.space,1735660016575
P,s,1735660016579
R,s,1735660016664
P,h,1735660016686
P,o,1735660016754
P,w,1735660016784
R,h,1735660016787
R,o,1735660016819
P,s,1735660016873
R,w,1735660016875
R,s,1735660016977
P,Key.space,1735660017002
R,Key.space,1735660017062
P,Key.cmd,1735660017134
R,Key.cmd,1735660017220
P,Key.cmd,1735660024574
R,Key.cmd,1735660024729
P,s,1735660029499
P,t,1735660029610
P,r,1735660029632
R,s,1735660029662
R,t,1735660029712
R,r,1735660029739
P,u,1735660029752
P,g,1735660029839
R,u,1735660029842
R,g,1735660029898
P,g,1735660029980
R,g,1735660030050
P,l,1735660030075
R,l,1735660030155
P,e,1735660030163
R,e,1735660030214
P,Key.comma,1735660030301
R,Key.comma,1735660030424
P,Key.space,1735660030556
R,Key.space,1735660030631
P,p,1735660030752
R,p,1735660030819
P,a,1735660030834
R,a,1735660030934
P,i,1735660030936
P,n,1735660031016
R,i,1735660031057
R,n,1735660031058
P,Key.space,1735660031190
R,Key.space,1735660031262
P,a,1735660031272
R,a,1735660031374
P,n,1735660031403
P,d,1735660031482
R,n,1735660031484
R,d,1735660031564
P,Key.space,1735660031576
R,Key.space,1735660031657
P,s,1735660032041
P,r,1735660032130
R,s,1735660032201
R,r,1735660032273
P,Key.backspace,1735660032504
R,Key.backspace,1735660032555
P,Key.backspace,1735660035017
R,Key.backspace,1735660035075
P,a,1735660036056
P,Key.space,1735660036104
R,a,1735660036115
R,Key.space,1735660036186
P,l,1735660036292
R,l,1735660036349
P,o,1735660036417
P,t,1735660036493
R,o,1735660036498
R,t,1735660036580
P,Key.space,1735660036588
R,Key.space,1735660036684
P,o,1735660036835
R,o,1735660036898
P,f,1735660036903
R,f,1735660036989
P,Key.space,1735660036992
R,Key.space,1735660037070
P,b,1735660041606
P,s,1735660041676
R,b,1735660041682
R,s,1735660041768
P,Key.space,1735660041800
R,Key.space,1735660041875
P,Key.backspace,1735660042199
R,Key.backspace,1735660042235
P,Key.backspace,1735660042472
R,Key.backspace,1735660042547
P,Key.backspace,1735660042636
R,Key.backspace,1735660042720
P,h,1735660044924
R,h,1735660045067
P,u,1735660045502
R,u,1735660045591
P,r,1735660045602
R,r,1735660045660
P,Key.space,1735660045800
R,Key.space,1735660045842
P,Key.backspace,1735660046078
R,Key.backspace,1735660046143
P,t,1735660046166
R,t,1735660046230
P,Key.space,1735660046262
R,Key.space,1735660046324
P,b,1735660046418
P,e,1735660046477
R,b,1735660046491
R,e,1735660046576
P,f,1735660046648
R,f,1735660046717
P,o,1735660046759
R,o,1735660046835
P,r,1735660046837
P,e,1735660046912
R,r,1735660046934
R,e,1735660046979
P,Key.space,1735660046994
R,Key.space,1735660047071
P,f,1735660048992
P,i,1735660049076
R,f,1735660049080
P,n,1735660049112
R,i,1735660049165
P,a,1735660049192
R,n,1735660049196
P,l,1735660049302
R,a,1735660049306
R,l,1735660049374
P,l,1735660049432
P,y,1735660049453
R,l,1735660049488
R,y,1735660049546
P,Key.space,1735660049582
R,Key.space,1735660049650
P,a,1735660049661
P,c,1735660049748
R,a,1735660049773
P,h,1735660049811
R,c,1735660049847
P,i,1735660049855
R,h,1735660049907
R,i,1735660049934
P,e,1735660050043
R,e,1735660050150
P,v,1735660050164
P,e,1735660050254
R,v,1735660050324
R,e,1735660050369
P,Key.space,1735660050400
R,Key.space,1735660050478
P,s,1735660050552
P,u,1735660050632
R,s,1735660050637
R,u,1735660050698
P,c,1735660050720
R,c,1735660050805
P,Key.backspace,1735660051068
R,Key.backspace,1735660051111
P,Key.backspace,1735660051325
R,Key.backspace,1735660051404
P,Key.backspace,1735660051469
R,Key.backspace,1735660051559
P,Key.backspace,1735660051597
R,Key.backspace,1735660051692
P,Key.backspace,1735660051768
R,Key.backspace,1735660051846
P,i,1735660051976
P,n,1735660052052
P,g,1735660052086
R,i,1735660052088
R,n,1735660052102
R,g,1735660052161
P,Key.space,1735660052177
R,Key.space,1735660052270
P,s,1735660052284
P,c,1735660052379
R,s,1735660052417
P,u,1735660052442
R,c,1735660052489
R,u,1735660052573
P,Key.backspace,1735660052925
R,Key.backspace,1735660052969
P,Key.backspace,1735660053045
R,Key.backspace,1735660053081
P,u,1735660053207
P,c,1735660053260
R,u,1735660053285
R,c,1735660053305
P,c,1735660053380
P,e,1735660053496
R,c,1735660053500
R,e,1735660053574
P,s,1735660053663
R,s,1735660053709
P,s,1735660053769
R,s,1735660053861
P,Key.comma,1735660053900
R,Key.comma,1735660053925
P,Key.space,1735660053982
R,Key.space,1735660054052
P,i,1735660054127
R,i,1735660054202
P,t,1735660054232
R,t,1735660054296
P,Key.space,1735660054325
R,Key.space,1735660054396
P,s,1735660054458
P,y,1735660054529
R,s,1735660054543
R,y,1735660054608
P,m,1735660054725
R,m,1735660054772
P,b,1735660054866
R,b,1735660054956
P,o,1735660055111
R,o,1735660055233
P,l,1735660055241
R,l,1735660055365
P,i,1735660055468
R,i,1735660055547
P,s,1735660055581
R,s,1735660055657
P,e,1735660055738
R,e,1735660055820
P,s,1735660055880
R,s,1735660055971
P,Key.space,1735660055977
R,Key.space,1735660056075
P,a,1735660058201
R,a,1735660058324
P,Key.space,1735660058531
R,Key.space,1735660058611
P,g,1735660058636
R,g,1735660058725
P,o,1735660058728
R,o,1735660058789
P,o,1735660058872
R,o,1735660058919
P,Key.backspace,1735660059448
R,Key.backspace,1735660059495
P,Key.backspace,1735660059627
R,Key.backspace,1735660059668
P,Key.backspace,1735660059760
R,Key.backspace,1735660059834
P,Key.backspace,1735660059919
R,Key.backspace,1735660059992
P,Key.backspace,1735660060085
R,Key.backspace,1735660060148
P,r,1735660060549
P,e,1735660060618
P,a,1735660060665
R,r,1735660060674
R,e,1735660060727
P,l,1735660060731
R,a,1735660060780
R,l,1735660060811
P,Key.space,1735660060888
R,Key.space,1735660060980
P,l,1735660061046
R,l,1735660061110
P,i,1735660061188
P,f,1735660061266
R,i,1735660061270
P,e,1735660061288
R,f,1735660061370
P,Key.space,1735660061372
R,e,1735660061383
R,Key.space,1735660061458
P,a,1735660062161
P,c,1735660062258
R,a,1735660062290
R,c,1735660062346
P,c,1735660062439
R,c,1735660062537
P,o,1735660062555
P,m,1735660062597
R,o,1735660062650
R,m,1735660062693
P,p,1735660062768
P,l,1735660062828
R,p,1735660062871
R,l,1735660062909
P,o,1735660063010
R,o,1735660063056
P,Key.backspace,1735660063511
R,Key.backspace,1735660063590
P,i,1735660063677
R,i,1735660063761
P,s,1735660063782
R,s,1735660063847
P,h,1735660063857
R,h,1735660063930
P,m,1735660064132
R,m,1735660064218
P,e,1735660064222
P,n,1735660064304
R,e,1735660064317
P,t,1735660064377
R,n,1735660064388
P,s,1735660064437
R,t,1735660064489
P,Key.space,1735660064492
R,s,1735660064525
R,Key.space,1735660064575
P,a,1735660064628
R,a,1735660064703
P,n,1735660064705
R,n,1735660064737
P,d,1735660064800
R,d,1735660064895
P,Key.space,1735660064944
R,Key.space,1735660065068
P,h,1735660065226
P,o,1735660065285
R,h,1735660065334
R,o,1735660065370
P,w,1735660065406
P,Key.space,1735660065483
R,w,1735660065487
R,Key.space,1735660065554
P,i,1735660065599
P,t,1735660065676
R,i,1735660065679
R,t,1735660065744
P,Key.space,1735660065746
R,Key.space,1735660065821
P,w,1735660065832
R,w,1735660065906
P,o,1735660065980
P,n,1735660065984
R,o,1735660066048
R,n,1735660066062
P,t,1735660066430
R,t,1735660066505
P,Key.backspace,1735660066781
R,Key.backspace,1735660066823
P,',1735660066941
R,',1735660067015
P,t,1735660067039
R,t,1735660067114
P,Key.space,1735660067162
R,Key.space,1735660067240
P,k,1735660067277
P,j,1735660067280
R,k,1735660067331
R,j,1735660067372
P,u,1735660067432
P,s,1735660067497
R,u,1735660067506
P,t,1735660067536
P,Key.space,1735660067593
