Press or Release,Key,Time
P,Key.shift,1735660004704
P,C,1735660004801
R,Key.shift,1735660004914
R,C,1735660004945
P,o,1735660005537
P,a,1735660005617
R,o,1735660005665
R,a,1735660005761
P,c,1735660005761
R,c,1735660005936
P,h,1735660006241
R,h,1735660006353
P,Key.space,1735660006385
R,Key.space,1735660006481
P,Key.shift,1735660006608
P,C,1735660006689
R,Key.shift,1735660006753
R,C,1735660006817
P,a,1735660006849
P,r,1735660006993
R,a,1735660007089
R,r,1735660007089
P,t,1735660007200
R,t,1735660007264
P,e,1735660007265
P,r,1735660007361
R,e,1735660007441
P,Key.space,1735660007473
R,r,1735660007537
R,Key.space,1735660007601
P,m,1735660007681
R,m,1735660007793
P,o,1735660007841
R,o,1735660007968
P,v,1735660007968
R,v,1735660008080
P,i,1735660008081
P,e,1735660008194
R,i,1735660008209
R,e,1735660008321
P,Key.space,1735660008529
R,Key.space,1735660008656
P,i,1735660009008
P,s,1735660009089
R,i,1735660009121
P,Key.space,1735660009185
R,s,1735660009233
R,Key.space,1735660009296
P,o,1735660010049
R,o,1735660010144
P,n,1735660010224
R,n,1735660010337
P,e,1735660010337
P,Key.space,1735660010402
R,e,1735660010433
R,Key.space,1735660010529
P,s,1735660010721
R,s,1735660010833
P,u,1735660011073
R,u,1735660011169
P,c,1735660011201
P,h,1735660011297
R,c,1735660011361
P,Key.space,1735660011393
R,h,1735660011440
R,Key.space,1735660011536
P,m,1735660011777
R,m,1735660011905
P,o,1735660012017
R,o,1735660012144
P,v,1735660012177
P,i,1735660012257
R,v,1735660012305
R,i,1735660012384
P,e,1735660012417
R,e,1735660012577
P,Key.space,1735660012578
R,Key.space,1735660012705
P,w,1735660013265
R,w,1735660013441
P,h,1735660013441
R,h,1735660013521
P,i,1735660013600
R,i,1735660013728
P,c,1735660013760
P,h,1735660013809
R,c,1735660013921
P,Key.space,1735660013937
R,h,1735660013953
R,Key.space,1735660014080
P,i,1735660014961
R,i,1735660015057
P,s,1735660015072
P,Key.space,1735660015169
