Press or Release,Key,Time
P,Key.shift,1735660002254
P,I,1735660002629
R,Key.shift,1735660002690
R,I,1735660002715
P,t,1735660002829
P,Key.space,1735660002896
R,t,1735660002921
R,Key.space,1735660003008
P,i,1735660003095
R,i,1735660003183
P,s,1735660003184
R,s,1735660003293
P,Key.space,1735660003449
R,Key.space,1735660003521
P,a,1735660003682
R,a,1735660003779
P,Key.backspace,1735660004052
R,Key.backspace,1735660004112
P,s,1735660004136
R,s,1735660004255
P,a,1735660004295
R,a,1735660004452
P,d,1735660004470
P,Key.space,1735660004572
R,d,1735660004610
R,Key.space,1735660004641
P,t,1735660004857
R,t,1735660004919
P,o,1735660004920
R,o,1735660005005
P,Key.space,1735660005117
R,Key.space,1735660005199
P,s,1735660005318
R,s,1735660005457
P,e,1735660005515
R,e,1735660005626
P,e,1735660005714
R,e,1735660005817
P,Key.space,1735660005833
R,Key.space,1735660005921
P,h,1735660006446
R,h,1735660006523
P,o,1735660006587
P,w,1735660006612
R,o,1735660006662
R,w,1735660006720
P,Key.space,1735660006772
R,Key.space,1735660006869
P,t,1735660006965
P,h,1735660007043
R,t,1735660007071
R,h,1735660007107
P,Key.space,1735660007181
R,Key.space,1735660007272
P,e,1735660007273
R,e,1735660007388
P,Key.backspace,1735660007469
R,Key.backspace,1735660007517
P,Key.backspace,1735660007585
R,Key.backspace,1735660007649
P,e,1735660007826
P,Key.space,1735660007961
R,e,1735660007975
R,Key.space,1735660008040
P,o,1735660012258
R,o,1735660012342
P,s,1735660012885
R,s,1735660013011
P,c,1735660013076
R,c,1735660013196
P,a,1735660013356
R,a,1735660013467
P,r,1735660013538
R,r,1735660013603
P,s,1735660013663
P,Key.space,1735660013794
R,s,1735660013812
R,Key.space,1735660013879
P,NumLock,1735660014284
R,NumLock,1735660014286
P,NumLock,1735660014779
R,NumLock,1735660014780
P,Key.backspace,1735660015175
R,Key.backspace,1735660015273
P,Key.comma,1735660016052
R,Key.comma,1735660016151
P,Key.space,1735660016242
R,Key.space,1735660016320
P,Key.backspace,1735660016507
R,Key.backspace,1735660016579
P,Key.backspace,1735660016657
R,Key.backspace,1735660016725
P,Key.space,1735660017361
R,Key.space,1735660017432
P,l,1735660017532
R,l,1735660017643
P,o,1735660017711
R,o,1735660017815
P,s,1735660017824
R,s,1735660017931
P,t,1735660018067
R,t,1735660018146
P,Key.space,1735660018250
R,Key.space,1735660018336
P,o,1735660018408
R,o,1735660018485
P,n,1735660018536
R,n,1735660018612
P,Key.space,1735660018715
R,Key.space,1735660018753
P,Key.backspace,1735660018935
R,Key.backspace,1735660018977
P,Key.backspace,1735660019063
R,Key.backspace,1735660019151
P,Key.backspace,1735660019216
R,Key.backspace,1735660019308
P,Key.backspace,1735660019376
R,Key.backspace,1735660020074
P,Key.backspace,1735660020154
R,Key.backspace,1735660020732
P,Key.backspace,1735660020849
R,Key.backspace,1735660020922
P,Key.backspace,1735660021007
R,Key.backspace,1735660021094
P,Key.backspace,1735660021170
R,Key.backspace,1735660021236
P,Key.backspace,1735660021746
R,Key.backspace,1735660021817
P,Key.backspace,1735660021888
R,Key.backspace,1735660021967
P,Key.backspace,1735660022043
R,Key.backspace,1735660022119
P,Key.shift,1735660022147
P,E,1735660022312
R,E,1735660022444
R,Key.shift,1735660022603
P,Key.backspace,1735660022788
R,Key.backspace,1735660022899
P,Key.shift,1735660022900
P,W,1735660023023
P,I,1735660023115
R,W,1735660023184
R,Key.shift,1735660023190
R,I,1735660023218
P,l,1735660023322
R,l,1735660023419
P,l,1735660023471
R,l,1735660023538
P,Key.space,1735660023658
R,Key.space,1735660023727
P,s,1735660023766
R,s,1735660023906
P,m,1735660023907
R,m,1735660023988
P,i,1735660024121
R,i,1735660024204
P,Key.backspace,1735660024415
R,Key.backspace,1735660024477
P,Key.backspace,1735660024544
R,Key.backspace,1735660024613
P,Key.backspace,1735660024691
R,Key.backspace,1735660024783
P,Key.backspace,1735660024863
R,Key.backspace,1735660024939
P,Key.backspace,1735660025039
R,Key.backspace,1735660025115
P,Key.backspace,1735660025200
R,Key.backspace,1735660025288
P,Key.backspace,1735660025364
R,Key.backspace,1735660025440
P,Key.backspace,1735660025516
R,Key.backspace,1735660025612
P,Key.backspace,1735660025680
R,Key.backspace,1735660025768
P,Key.space,1735660026125
R,Key.space,1735660026169
P,Key.shift,1735660026204
P,W,1735660026381
R,Key.shift,1735660026493
P,i,1735660026494
R,W,1735660026524
R,i,1735660026560
P,l,1735660026687
R,l,1735660026770
P,l,1735660026833
R,l,1735660026898
P,Key.space,1735660027009
R,Key.space,1735660027080
P,s,1735660027146
R,s,1735660027276
P,Key.backspace,1735660027536
P,Key.shift,1735660027600
R,Key.backspace,1735660027620
P,S,1735660027715
R,Key.shift,1735660027806
R,S,1735660027847
P,m,1735660028030
R,m,1735660028107
P,i,1735660028193
R,i,1735660028284
P,t,1735660028322
R,t,1735660028455
P,h,1735660028619
R,h,1735660028691
P,Key.space,1735660028810
R,Key.space,1735660028882
P,g,1735660030797
R,g,1735660030863
P,a,1735660031071
P,t,1735660031205
R,a,1735660031224
R,t,1735660031230
P,Key.backspace,1735660031487
R,Key.backspace,1735660031558
P,Key.backspace,1735660031620
R,Key.backspace,1735660031688
P,i,1735660031816
P,t,1735660031861
R,i,1735660031885
R,t,1735660031997
P,Key.backspace,1735660032239
R,Key.backspace,1735660032289
P,Key.backspace,1735660032351
R,Key.backspace,1735660032427
P,Key.backspace,1735660032670
R,Key.backspace,1735660033654
P,Key.space,1735660035087
R,Key.space,1735660035210
P,t,1735660035340
R,t,1735660035387
P,Key.backspace,1735660035940
R,Key.backspace,1735660036008
P,Key.shift,1735660037336
P,C,1735660037491
R,Key.shift,1735660037625
P,h,1735660037626
R,C,1735660037641
R,h,1735660037710
P,r,1735660037785
R,r,1735660037898
P,i,1735660037945
R,i,1735660038032
P,s,1735660038034
R,s,1735660038148
P,Key.space,1735660038185
R,Key.space,1735660038248
P,Key.shift,1735660038692
P,R,1735660039018
R,Key.shift,1735660039061
R,R,1735660039134
P,o,1735660039159
R,o,1735660039266
P,c,1735660039307
R,c,1735660039405
P,k,1735660039406
R,k,1735660039506
P,Key.space,1735660039600
R,Key.space,1735660039669
P,s,1735660040541
R,s,1735660040628
P,Key.backspace,1735660040832
R,Key.backspace,1735660040889
P,g,1735660041063
R,g,1735660041151
P,e,1735660041161
R,e,1735660041259
P,t,1735660041292
R,t,1735660041370
P,t,1735660041447
R,t,1735660041528
P,i,1735660041643
P,n,1735660041752
R,i,1735660041769
R,n,1735660041844
P,g,1735660041908
P,Key.space,1735660041957
R,g,1735660042017
R,Key.space,1735660042041
P,s,1735660042563
R,s,1735660042692
P,a,1735660042833
R,a,1735660042850
P,Key.backspace,1735660043121
R,Key.backspace,1735660043170
P,l,1735660043301
R,l,1735660043372
P,a,1735660043398
R,a,1735660043521
P,p,1735660043535
R,p,1735660043615
P,p,1735660043682
R,p,1735660043773
P,e,1735660043774
R,e,1735660043897
P,d,1735660043967
P,Key.space,1735660044060
R,d,1735660044089
R,Key.space,1735660044127
P,b,1735660044380
P,g,1735660044403
R,g,1735660044431
R,b,1735660044445
P,y,1735660044533
R,y,1735660044652
P,Key.space,1735660044704
R,Key.space,1735660044782
P,Key.backspace,1735660044935
R,Key.backspace,1735660044975
P,Key.backspace,1735660045062
R,Key.backspace,1735660045122
P,Key.backspace,1735660045186
R,Key.backspace,1735660045245
P,y,1735660045944
R,y,1735660046011
P,Key.space,1735660046108
R,Key.space,1735660046170
P,Key.shift,1735660046396
P,W,1735660046985
R,W,1735660047117
R,Key.shift,1735660047121
P,i,1735660047195
R,i,1735660047266
P,l,1735660047372
R,l,1735660047459
P,l,1735660047530
R,l,1735660047597
P,Key.shift,1735660047673
P,Key.space,1735660047726
R,Key.space,1735660047821
P,S,1735660048159
R,S,1735660048280
P,M,1735660048284
R,Key.shift,1735660048313
R,M,1735660048366
P,i,1735660048442
R,i,1735660048527
P,t,1735660048608
R,t,1735660048724
P,Key.backspace,1735660048891
R,Key.backspace,1735660048907
P,Key.backspace,1735660049017
R,Key.backspace,1735660049085
P,Key.backspace,1735660049148
R,Key.backspace,1735660049227
P,m,1735660050771
R,m,1735660050893
P,i,1735660050977
R,i,1735660051053
P,t,1735660051076
R,t,1735660051179
P,h,1735660051189
R,h,1735660051264
P,Key.space,1735660051354
R,Key.space,1735660051434
P,Key.backspace,1735660051597
R,Key.backspace,1735660051656
P,Key.comma,1735660051849
R,Key.comma,1735660051930
P,Key.space,1735660052045
R,Key.space,1735660052117
P,e,1735660054665
R,e,1735660054756
P,v,1735660054940
R,v,1735660055008
P,n,1735660055118
P,e,1735660055150
R,n,1735660055178
R,e,1735660055245
P,Key.space,1735660055332
R,Key.space,1735660055396
P,i,1735660055492
R,i,1735660055550
P,f,1735660055599
R,f,1735660055689
P,Key.backspace,1735660055900
R,Key.backspace,1735660055961
P,Key.backspace,1735660056124
R,Key.backspace,1735660056142
P,Key.backspace,1735660056202
R,Key.backspace,1735660056260
P,Key.backspace,1735660056322
R,Key.backspace,1735660056383
P,Key.backspace,1735660056438
R,Key.backspace,1735660056453
P,Key.backspace,1735660056515
R,Key.backspace,1735660056587
P,e,1735660056714
R,e,1735660056836
P,Key.backspace,1735660057635
R,Key.backspace,1735660057699
P,v,1735660058708
R,v,1735660058813
