Press or Release,Key,Time
P,Key.shift,1735660004645
P,C,1735660004900
R,C,1735660004986
R,Key.shift,1735660005028
P,h,1735660005573
R,h,1735660005676
P,r,1735660006004
R,r,1735660006114
P,i,1735660006231
R,i,1735660006328
P,s,1735660006510
R,s,1735660006689
P,Key.space,1735660006705
R,Key.space,1735660006782
P,r,1735660007809
R,r,1735660007920
P,o,1735660008156
R,o,1735660008250
P,c,1735660008701
R,c,1735660008843
P,k,1735660008940
R,k,1735660009011
P,Key.space,1735660009221
R,Key.space,1735660009255
P,w,1735660009440
R,w,1735660009542
P,a,1735660009722
R,a,1735660009850
P,s,1735660009876
R,s,1735660010002
P,Key.space,1735660010011
R,Key.space,1735660010073
P,p,1735660161009
R,p,1735660161119
P,r,1735660161262
R,r,1735660161363
P,e,1735660161489
R,e,1735660161582
P,s,1735660161728
R,s,1735660161852
P,e,1735660161946
R,e,1735660162053
P,n,1735660162328
R,n,1735660162425
P,t,1735660162748
R,t,1735660162855
P,i,1735660163031
R,i,1735660163145
P,n,1735660163281
R,n,1735660163383
P,g,1735660163577
R,g,1735660163658
P,Key.space,1735660163713
R,Key.space,1735660163801
P,a,1735660167946
R,a,1735660168136
P,w,1735660168238
R,w,1735660168343
P,a,1735660168594
R,a,1735660168738
P,r,1735660168913
R,r,1735660169012
P,d,1735660169141
R,d,1735660169278
P,Key.space,1735660169294
R,Key.space,1735660169384
P,a,1735660180908
P,n,1735660181162
R,a,1735660181170
R,n,1735660181292
P,d,1735660181321
P,Key.space,1735660181462
R,d,1735660181486
R,Key.space,1735660181567
P,t,1735660181629
R,t,1735660181738
P,h,1735660181744
R,h,1735660181846
P,e,1735660181917
R,e,1735660182060
P,n,1735660182223
R,n,1735660182310
P,Key.space,1735660182403
R,Key.space,1735660182487
P,h,1735660187202
R,h,1735660187300
P,e,1735660187371
R,e,1735660187513
P,Key.space,1735660187564
R,Key.space,1735660187647
P,m,1735660187858
R,m,1735660187967
P,a,1735660189264
R,a,1735660189407
P,d,1735660189532
R,d,1735660189635
P,e,1735660189660
R,e,1735660189798
P,Key.space,1735660189846
R,Key.space,1735660189929
P,a,1735660190331
R,a,1735660190476
P,Key.space,1735660190483
R,Key.space,1735660190561
P,j,1735660191905
R,j,1735660191992
P,o,1735660192435
R,o,1735660192535
P,k,1735660192672
R,k,1735660192772
P,e,1735660192888
R,e,1735660192998
P,Key.space,1735660193016
R,Key.space,1735660193097
P,a,1735660194699
R,a,1735660194861
P,b,1735660195409
R,b,1735660195498
P,o,1735660195846
R,o,1735660195892
P,u,1735660196132
R,u,1735660196212
P,t,1735660196432
R,t,1735660196514
P,Key.space,1735660196540
R,Key.space,1735660196634
P,w,1735660199439
R,w,1735660199542
P,i,1735660199867
R,i,1735660199960
P,l,1735660200365
R,l,1735660200431
P,l,1735660200510
R,l,1735660200582
P,Key.space,1735660200758
R,Key.space,1735660200810
P,s,1735660201188
R,s,1735660201304
P,m,1735660201547
R,m,1735660201641
P,i,1735660201818
R,i,1735660201933
P,t,1735660202223
R,t,1735660202261
P,h,1735660202406
R,h,1735660202470
P,h,1735660202537
R,h,1735660202615
P,=,1735660203662
R,=,1735660203713
P,Key.backspace,1735660204085
R,Key.backspace,1735660204147
P,Key.backspace,1735660204217
R,Key.backspace,1735660204287
P,Key.backspace,1735660204797
R,Key.backspace,1735660204850
P,h,1735660205995
R,h,1735660206082
P,',1735660207084
R,',1735660207131
P,Key.space,1735660207725
R,Key.space,1735660207785
P,Key.backspace,1735660208745
R,Key.backspace,1735660208811
P,s,1735660208891
R,s,1735660209016
P,Key.space,1735660209045
R,Key.space,1735660209102
P,w,1735660210178
R,w,1735660210288
P,i,1735660210483
R,i,1735660210550
P,f,1735660211062
R,f,1735660211188
P,e,1735660211203
R,e,1735660211341
P,Key.space,1735660211346
R,Key.space,1735660211453
P,w,1735660224697
R,w,1735660224849
P,h,1735660225037
R,h,1735660225145
P,i,1735660225438
R,i,1735660225532
P,c,1735660225872
R,c,1735660226003
P,h,1735660226081
R,h,1735660226177
P,Key.space,1735660226453
R,Key.space,1735660226545
P,m,1735660227297
R,m,1735660227396
P,a,1735660227493
R,a,1735660227635
P,e,1735660227861
R,e,1735660227952
P,Key.space,1735660227989
R,Key.space,1735660228053
P,Key.backspace,1735660229026
R,Key.backspace,1735660229083
P,Key.backspace,1735660229152
R,Key.backspace,1735660229230
P,d,1735660230108
P,e,1735660230222
R,d,1735660230234
P,Key.space,1735660230350
R,e,1735660230362
R,Key.space,1735660230439
P,w,1735660231236
R,w,1735660231348
P,i,1735660231623
R,i,1735660231695
P,l,1735660231909
R,l,1735660231982
P,l,1735660232038
R,l,1735660232114
P,Key.space,1735660232305
R,Key.space,1735660232360
P,s,1735660232885
R,s,1735660232977
P,m,1735660233212
R,m,1735660233319
P,i,1735660233472
R,i,1735660233590
P,t,1735660233814
R,t,1735660233907
P,h,1735660233946
R,h,1735660234029
P,Key.space,1735660234226
R,Key.space,1735660234306
P,a,1735660235326
R,a,1735660235471
P,n,1735660235586
R,n,1735660235685
P,g,1735660238003
R,g,1735660238098
P,r,1735660238223
R,r,1735660238323
P,y,1735660238357
R,y,1735660238433
P,.,1735660251286
R,.,1735660251403
P,Key.space,1735660251613
R,Key.space,1735660251638
P,Key.shift,1735660252876
P,A,1735660253262
R,Key.shift,1735660253281
R,A,1735660253427
P,n,1735660253590
R,n,1735660253691
P,d,1735660253868
R,d,1735660253981
P,Key.space,1735660254007
R,Key.space,1735660254090
P,t,1735660255112
R,t,1735660255212
P,h,1735660255279
R,h,1735660255368
P,e,1735660255459
R,e,1735660255597
P,n,1735660255691
R,n,1735660255790
P,Key.space,1735660255894
R,Key.space,1735660255945
P,w,1735660259153
R,w,1735660259277
P,i,1735660259478
R,i,1735660259558
P,l,1735660260454
R,l,1735660260528
P,l,1735660260609
R,l,1735660260664
P,Key.space,1735660260858
R,Key.space,1735660260900
P,s,1735660261700
R,s,1735660261843
P,m,1735660261976
R,m,1735660262076
P,i,1735660262228
R,i,1735660262373
P,t,1735660262514
R,t,1735660262618
P,h,1735660262672
R,h,1735660262750
P,Key.space,1735660263184
R,Key.space,1735660263285
P,w,1735660264136
R,w,1735660264244
