Press or Release,Key,Time
P,Key.caps_lock,1735660008075
R,Key.caps_lock,1735660008218
P,A,1735660008291
R,A,1735660008372
P,Key.caps_lock,1735660008392
R,Key.caps_lock,1735660008510
P,l,1735660008678
R,l,1735660008759
P,l,1735660008869
R,l,1735660008945
P,Key.space,1735660009026
R,Key.space,1735660009150
P,s,1735660009373
R,s,1735660009495
P,t,1735660009572
R,t,1735660009636
P,u,1735660009760
R,u,1735660009853
P,d,1735660010018
R,d,1735660010112
P,e,1735660010230
R,e,1735660010281
P,n,1735660010388
R,n,1735660010458
P,t,1735660010595
R,t,1735660010678
P,Key.space,1735660010738
R,Key.space,1735660010880
P,Key.backspace,1735660011903
R,Key.backspace,1735660011965
P,s,1735660012106
R,s,1735660012234
P,Key.space,1735660012313
R,Key.space,1735660012417
P,a,1735660012417
R,a,1735660012543
P,r,1735660012606
R,r,1735660012687
P,e,1735660012733
R,e,1735660012823
P,Key.space,1735660012839
R,Key.space,1735660012982
P,s,1735660014256
R,s,1735660014355
P,i,1735660014593
R,i,1735660014705
P,Key.backspace,1735660016713
R,Key.backspace,1735660016900
P,Key.backspace,1735660016994
R,Key.backspace,1735660017062
P,d,1735660019415
R,d,1735660019510
P,i,1735660019591
R,i,1735660019670
P,s,1735660019674
R,s,1735660019794
P,r,1735660020416
R,r,1735660020473
P,e,1735660020542
R,e,1735660020667
P,s,1735660020826
R,s,1735660020936
P,p,1735660022135
R,p,1735660022244
P,e,1735660022546
R,e,1735660022559
P,c,1735660022708
R,c,1735660022822
P,t,1735660022952
R,t,1735660023034
P,Key.space,1735660023074
R,Key.space,1735660023211
P,t,1735660023291
R,t,1735660023363
P,h,1735660023462
R,h,1735660023572
P,e,1735660023635
R,e,1735660023729
P,Key.space,1735660023729
R,Key.space,1735660023867
P,c,1735660024378
R,c,1735660024432
P,o,1735660024666
R,o,1735660024735
P,a,1735660024868
R,a,1735660024983
P,c,1735660025443
R,c,1735660025517
P,h,1735660025700
R,h,1735660025792
P,Key.space,1735660025872
R,Key.space,1735660026043
P,b,1735660028437
R,b,1735660028501
P,u,1735660028845
R,u,1735660028965
P,t,1735660029113
R,t,1735660029193
P,Key.space,1735660029271
R,Key.space,1735660029402
P,o,1735660029737
R,o,1735660029822
P,n,1735660029992
R,n,1735660030081
P,e,1735660030181
R,e,1735660030291
P,s,1735660030982
R,s,1735660031072
P,t,1735660031187
R,t,1735660031267
P,u,1735660031416
R,u,1735660031501
P,d,1735660031666
R,d,1735660031741
P,e,1735660031901
R,e,1735660032024
P,n,1735660032041
R,n,1735660032134
P,t,1735660032291
R,t,1735660032386
P,Key.space,1735660032449
R,Key.space,1735660032572
P,Key.space,1735660038560
R,Key.space,1735660038654
P,s,1735660043330
R,s,1735660043435
P,t,1735660043603
R,t,1735660043677
P,a,1735660043709
R,a,1735660043836
P,n,1735660043978
R,n,1735660044086
P,d,1735660044697
R,d,1735660044838
P,u,1735660045041
R,u,1735660045097
P,p,1735660045231
R,p,1735660045342
P,Key.space,1735660045453
R,Key.space,1735660045572
P,a,1735660046450
R,a,1735660046590
P,n,1735660046590
R,n,1735660046702
P,d,1735660046781
R,d,1735660046891
P,Key.space,1735660046949
R,Key.space,1735660047061
P,g,1735660047305
R,g,1735660047376
P,i,1735660047529
R,i,1735660047614
P,v,1735660048016
R,v,1735660048082
P,e,1735660048197
R,e,1735660048281
P,Key.space,1735660048459
R,Key.space,1735660048534
P,r,1735660049674
R,r,1735660049742
P,e,1735660049802
R,e,1735660049897
P,s,1735660050024
R,s,1735660050134
P,p,1735660050259
R,p,1735660050341
P,e,1735660050416
R,e,1735660050513
P,c,1735660050799
R,c,1735660050886
P,t,1735660051039
R,t,1735660051134
P,Key.space,1735660051232
R,Key.space,1735660051327
P,f,1735660052188
R,f,1735660052243
P,o,1735660052442
R,o,1735660052521
P,r,1735660052838
R,r,1735660052902
P,Key.space,1735660053041
R,Key.space,1735660053151
P,t,1735660053263
R,t,1735660053335
P,h,1735660053434
R,h,1735660053541
P,e,1735660053544
R,e,1735660053655
P,Key.space,1735660053751
R,Key.space,1735660053885
P,c,1735660054465
R,c,1735660054533
P,o,1735660054813
R,o,1735660054895
P,a,1735660055004
R,a,1735660055103
P,c,1735660055291
R,c,1735660055416
P,h,1735660055588
R,h,1735660055661
P,.,1735660055953
R,.,1735660056024
P,Key.space,1735660056272
R,Key.space,1735660056328
P,Key.caps_lock,1735660057244
R,Key.caps_lock,1735660057387
P,A,1735660057576
R,A,1735660057683
P,Key.caps_lock,1735660057731
R,Key.caps_lock,1735660057843
P,l,1735660057971
R,l,1735660058057
P,l,1735660058134
R,l,1735660058205
P,Key.space,1735660058322
R,Key.space,1735660058449
P,o,1735660058655
R,o,1735660058757
P,y,1735660058983
R,y,1735660059023
P,Key.backspace,1735660059582
R,Key.backspace,1735660059668
P,t,1735660059954
R,t,1735660060029
P,h,1735660060097
P,e,1735660060197
R,h,1735660060216
R,e,1735660060322
P,r,1735660060435
R,r,1735660060500
P,Key.space,1735660060640
R,Key.space,1735660060652
P,s,1735660061494
R,s,1735660061589
P,t,1735660061747
R,t,1735660061814
P,i,1735660062029
R,i,1735660062081
P,Key.backspace,1735660062885
R,Key.backspace,1735660062961
P,u,1735660063196
R,u,1735660063285
P,d,1735660063385
R,d,1735660063466
P,e,1735660063583
R,e,1735660063666
P,n,1735660063677
R,n,1735660063772
P,t,1735660063947
R,t,1735660064022
P,Key.space,1735660064075
R,Key.space,1735660064201
P,a,1735660066535
R,a,1735660066623
P,r,1735660066697
R,r,1735660066773
P,e,1735660066836
R,e,1735660066947
P,Key.space,1735660066963
R,Key.space,1735660067054
P,k,1735660067934
R,k,1735660068014
P,e,1735660068110
R,e,1735660068228
P,e,1735660068363
R,e,1735660068427
P,p,1735660068509
R,p,1735660068584
P,Key.space,1735660068719
R,Key.space,1735660068822
P,s,1735660071688
R,s,1735660071782
P,i,1735660071942
R,i,1735660072004
P,l,1735660072121
R,l,1735660072230
P,e,1735660072373
R,e,1735660072500
P,n,1735660072596
R,n,1735660072693
P,t,1735660072881
R,t,1735660072958
P,Key.space,1735660073006
R,Key.space,1735660073166
P,w,1735660074613
R,w,1735660074698
P,h,1735660074826
R,h,1735660074888
P,e,1735660075010
R,e,1735660075135
P,n,1735660075166
R,n,1735660075256
P,Key.space,1735660075354
R,Key.space,1735660075447
P,t,1735660077023
R,t,1735660077102
P,h,1735660077199
R,h,1735660077292
P,a,1735660077292
R,a,1735660077441
P,t,1735660077479
R,t,1735660077554
P,Key.space,1735660077616
R,Key.space,1735660077743
P,o,1735660077901
R,o,1735660077983
P,n,1735660078250
R,n,1735660078337
P,e,1735660078487
R,e,1735660078569
P,Key.space,1735660078614
R,Key.space,1735660078714
P,s,1735660079278
R,s,1735660079372
P,t,1735660079588
R,t,1735660079674
P,u,1735660079842
R,u,1735660079902
P,d,1735660080112
R,d,1735660080176
P,e,1735660080302
R,e,1735660080382
P,n,1735660080429
R,n,1735660080521
P,t,1735660080682
R,t,1735660080781
P,Key.space,1735660080808
R,Key.space,1735660080938
P,w,1735660081553
R,w,1735660081616
