Press or Release,Key,Time
P,Key.shift,1735660004720
P,A,1735660004864
R,Key.shift,1735660004945
R,A,1735660005008
P,Key.space,1735660005023
R,Key.space,1735660005135
P,s,1735660005183
R,s,1735660005377
P,t,1735660006575
P,u,1735660006703
R,t,1735660006736
R,u,1735660006848
P,d,1735660006848
R,d,1735660006944
P,e,1735660007073
R,e,1735660007183
P,n,1735660007216
R,n,1735660007327
P,t,1735660007359
R,t,1735660007455
P,Key.space,1735660007487
R,Key.space,1735660007583
P,t,1735660007727
R,t,1735660007871
P,a,1735660007871
R,a,1735660008064
P,l,1735660008065
R,l,1735660008159
P,k,1735660008303
R,k,1735660008400
P,Key.space,1735660008512
R,Key.space,1735660008607
P,Key.backspace,1735660020672
R,Key.backspace,1735660020751
P,Key.backspace,1735660020864
R,Key.backspace,1735660020912
P,Key.backspace,1735660020991
R,Key.backspace,1735660021072
P,Key.backspace,1735660021167
R,Key.backspace,1735660021233
P,Key.backspace,1735660021327
R,Key.backspace,1735660021376
P,i,1735660022496
R,i,1735660022591
P,s,1735660022624
P,Key.space,1735660022736
R,s,1735660022752
R,Key.space,1735660022816
P,t,1735660022945
R,t,1735660023055
P,a,1735660023072
R,a,1735660023248
P,l,1735660023264
R,l,1735660023376
P,k,1735660023408
R,k,1735660023552
P,Key.space,1735660023632
R,Key.space,1735660023744
P,a,1735660024128
P,b,1735660024256
R,a,1735660024319
R,b,1735660024369
P,Key.backspace,1735660024705
R,Key.backspace,1735660024768
P,Key.backspace,1735660024880
R,Key.backspace,1735660024944
P,b,1735660026144
R,b,1735660026241
P,o,1735660026352
R,o,1735660026432
P,l,1735660026560
R,l,1735660026688
P,d,1735660026688
R,d,1735660026784
P,y,1735660027168
R,y,1735660027296
P,Key.space,1735660027377
R,Key.space,1735660027488
P,a,1735660027728
R,a,1735660027888
P,b,1735660027888
R,b,1735660028000
P,o,1735660028128
P,u,1735660028288
R,o,1735660028320
R,u,1735660028417
P,Key.backspace,1735660028784
R,Key.backspace,1735660028848
P,Key.backspace,1735660028977
R,Key.backspace,1735660029024
P,Key.backspace,1735660029119
R,Key.backspace,1735660029168
P,Key.backspace,1735660029279
