Press or Release,Key,Time
P,Key.shift,1735660004476
P,",1735660004644
R,",1735660004726
R,Key.shift,1735660004779
P,i,1735660005518
R,i,1735660005629
P,t,1735660005637
R,t,1735660005771
P,s,1735660005862
R,s,1735660005980
P,Key.backspace,1735660006814
R,Key.backspace,1735660006885
P,Key.backspace,1735660006971
R,Key.backspace,1735660007075
P,Key.backspace,1735660007399
R,Key.backspace,1735660007500
P,Key.shift,1735660007589
P,I,1735660007765
R,I,1735660007828
R,Key.shift,1735660007891
P,t,1735660007957
R,t,1735660008069
P,',1735660009059
R,',1735660009139
P,s,1735660009510
R,s,1735660009597
P,Key.space,1735660009678
R,Key.space,1735660009749
P,o,1735660010541
R,o,1735660010603
P,u,1735660010719
R,u,1735660010812
P,r,1735660010869
R,r,1735660011005
P,Key.space,1735660011008
R,Key.space,1735660011124
P,l,1735660011701
R,l,1735660011797
P,i,1735660011862
R,i,1735660011939
P,g,1735660012015
R,g,1735660012092
P,h,1735660012109
R,h,1735660012195
P,t,1735660012212
R,t,1735660012333
P,Key.space,1735660012535
R,Key.space,1735660012651
P,n,1735660012917
R,n,1735660013027
P,o,1735660013036
R,o,1735660013147
P,t,1735660013164
P,Key.space,1735660013244
R,t,1735660013252
R,Key.space,1735660013332
P,t,1735660013659
P,h,1735660013813
R,t,1735660013837
R,h,1735660013915
P,e,1735660013924
P,Key.space,1735660014021
R,e,1735660014051
R,Key.space,1735660014140
P,d,1735660014599
R,d,1735660014692
P,a,1735660014717
R,a,1735660014868
P,r,1735660014941
R,r,1735660015044
P,k,1735660015206
R,k,1735660015333
P,n,1735660015436
R,n,1735660015524
P,e,1735660015551
R,e,1735660015661
P,s,1735660015740
R,s,1735660015820
P,s,1735660015894
R,s,1735660015982
P,Key.space,1735660016135
R,Key.space,1735660016244
P,t,1735660016260
P,h,1735660016367
R,t,1735660016396
R,h,1735660016452
P,a,1735660016782
P,t,1735660016966
R,a,1735660016988
R,t,1735660017084
P,Key.space,1735660017109
R,Key.space,1735660017230
P,m,1735660017302
R,m,1735660017420
P,o,1735660017436
P,s,1735660017551
R,o,1735660017588
P,t,1735660017686
R,s,1735660017693
R,t,1735660017837
P,Key.space,1735660017843
R,Key.space,1735660017965
P,f,1735660019140
R,f,1735660019254
P,r,1735660019293
R,r,1735660019437
P,i,1735660019454
R,i,1735660019540
P,g,1735660020031
R,g,1735660020117
P,h,1735660020205
P,t,1735660020286
R,h,1735660020293
R,t,1735660020437
P,e,1735660020455
R,e,1735660020581
P,n,1735660021487
R,n,1735660021611
P,s,1735660021686
R,s,1735660021804
P,Key.space,1735660021853
R,Key.space,1735660021949
P,u,1735660022350
R,u,1735660022420
P,s,1735660022470
R,s,1735660022573
P,Key.shift,1735660022749
P,",1735660023155
R,",1735660023259
R,Key.shift,1735660023395
P,.,1735660024536
R,.,1735660024606
P,Key.space,1735660024646
P,Key.shift,1735660024734
R,Key.space,1735660024772
P,W,1735660025060
P,H,1735660025141
R,Key.shift,1735660025173
R,W,1735660025182
R,H,1735660025253
P,a,1735660025318
P,t,1735660025485
R,a,1735660025508
P,Key.space,1735660025556
R,t,1735660025595
P,a,1735660025660
