Press or Release,Key,Time
P,t,1735660011062
R,t,1735660011174
P,h,1735660011206
R,h,1735660011295
P,e,1735660011363
P,Key.space,1735660011463
R,e,1735660011486
R,Key.space,1735660011550
P,c,1735660011926
R,c,1735660012030
P,o,1735660012086
R,o,1735660012169
P,u,1735660012294
R,u,1735660012366
P,Key.backspace,1735660015167
R,Key.backspace,1735660015240
P,a,1735660015446
R,a,1735660015591
P,c,1735660015695
R,c,1735660015822
P,h,1735660015870
R,h,1735660015943
P,Key.space,1735660016063
R,Key.space,1735660016134
P,i,1735660016302
R,i,1735660016366
P,s,1735660017014
R,s,1735660017149
P,Key.space,1735660017174
R,Key.space,1735660017254
P,c,1735660017662
R,c,1735660019365
P,o,1735660019372
R,o,1735660019374
P,m,1735660019374
R,m,1735660019375
P,i,1735660019375
R,i,1735660019376
P,n,1735660019385
R,n,1735660019392
P,g,1735660019401
P,Key.space,1735660019410
R,Key.space,1735660019419
R,g,1735660019429
P,Key.right,1735660028319
R,Key.right,1735660028391
P,Key.right,1735660028470
R,Key.right,1735660028534
P,Key.right,1735660028614
R,Key.right,1735660028678
P,Key.right,1735660028758
R,Key.right,1735660028830
P,Key.right,1735660028902
R,Key.right,1735660028974
P,Key.right,1735660029046
R,Key.right,1735660029118
P,t,1735660029822
P,o,1735660029878
R,t,1735660029966
R,o,1735660029974
P,Key.space,1735660030071
R,Key.space,1735660030167
P,t,1735660030431
R,t,1735660030566
P,h,1735660030592
R,h,1735660030678
P,e,1735660030726
R,e,1735660030862
P,Key.space,1735660030862
R,Key.space,1735660030950
P,c,1735660031629
R,c,1735660031758
P,l,1735660032137
R,l,1735660032199
P,a,1735660032606
R,a,1735660032774
P,s,1735660032845
R,s,1735660032950
P,s,1735660033006
R,s,1735660033160
P,Key.space,1735660033206
R,Key.space,1735660033286
P,r,1735660033541
R,r,1735660033672
P,o,1735660033693
R,o,1735660033749
P,o,1735660033805
R,o,1735660033895
P,m,1735660033989
R,m,1735660034078
P,Key.space,1735660034157
R,Key.space,1735660034246
P,s,1735660034310
R,s,1735660034526
P,Key.backspace,1735660035422
R,Key.backspace,1735660035511
P,a,1735660035671
P,n,1735660035798
R,a,1735660035825
R,n,1735660035877
P,d,1735660035909
P,Key.space,1735660036014
R,d,1735660036039
R,Key.space,1735660036101
P,t,1735660036166
R,t,1735660036295
P,h,1735660036295
R,h,1735660036397
P,e,1735660036461
R,e,1735660036598
P,Key.space,1735660036599
R,Key.space,1735660036670
P,s,1735660037751
R,s,1735660037918
P,t,1735660037998
R,t,1735660038126
P,u,1735660038191
R,u,1735660038282
P,d,1735660038326
R,d,1735660038446
P,e,1735660038542
R,e,1735660038671
P,n,1735660038671
R,n,1735660038773
P,t,1735660038863
P,Key.space,1735660038910
R,Key.space,1735660038958
R,t,1735660038982
P,d,1735660042849
R,d,1735660042850
P,i,1735660042850
R,i,1735660042853
P,d,1735660042853
R,d,1735660042860
P,n,1735660044406
R,n,1735660044471
P,',1735660045022
R,',1735660045110
P,t,1735660045295
R,t,1735660045438
P,Key.space,1735660045566
R,Key.space,1735660045639
P,r,1735660046710
R,r,1735660046806
P,e,1735660046894
R,e,1735660047014
P,s,1735660047142
R,s,1735660047286
P,p,1735660047422
R,p,1735660047502
P,e,1735660047670
R,e,1735660047774
P,c,1735660047945
R,c,1735660048040
P,t,1735660048254
R,t,1735660048374
P,Key.space,1735660048454
R,Key.space,1735660048528
P,t,1735660048718
R,t,1735660048814
P,o,1735660048902
R,o,1735660048974
P,Key.space,1735660049126
R,Key.space,1735660049191
P,t,1735660049350
R,t,1735660049470
P,h,1735660049518
R,h,1735660049583
P,e,1735660049678
P,m,1735660049774
R,e,1735660049790
R,m,1735660049854
P,Key.space,1735660049958
R,Key.space,1735660050040
P,a,1735660050086
R,a,1735660050238
P,d,1735660050334
R,d,1735660050471
P,n,1735660050472
R,n,1735660050575
P,Key.backspace,1735660051262
R,Key.backspace,1735660051335
P,Key.backspace,1735660051518
R,Key.backspace,1735660051583
P,n,1735660051798
R,n,1735660051862
P,d,1735660051979
R,d,1735660052110
P,Key.space,1735660052110
R,Key.space,1735660052166
P,t,1735660052382
R,t,1735660052486
P,h,1735660052526
R,h,1735660052606
P,e,1735660052679
R,e,1735660052791
P,Key.space,1735660052791
R,Key.space,1735660052846
P,s,1735660056110
R,s,1735660056254
P,t,1735660056422
R,t,1735660056542
P,u,1735660056566
R,u,1735660056646
P,d,1735660056734
R,d,1735660056854
P,e,1735660056991
P,n,1735660057078
R,e,1735660057102
R,n,1735660057150
P,t,1735660057270
P,Key.space,1735660057272
R,t,1735660057374
R,Key.space,1735660057374
P,r,1735660066078
R,r,1735660066206
P,a,1735660066278
R,a,1735660066440
P,g,1735660066831
R,g,1735660066902
P,g,1735660066982
R,g,1735660067103
P,i,1735660067142
R,i,1735660067238
P,n,1735660067326
R,n,1735660067415
P,g,1735660067464
R,g,1735660067550
P,Key.space,1735660067573
R,Key.space,1735660067663
P,t,1735660068430
R,t,1735660068583
P,o,1735660068622
R,o,1735660068710
P,Key.space,1735660068870
R,Key.space,1735660068942
P,t,1735660069030
R,t,1735660069151
P,h,1735660069151
R,h,1735660069238
P,e,1735660069318
R,e,1735660069438
P,Key.space,1735660069438
R,Key.space,1735660069494
P,c,1735660069998
R,c,1735660070127
P,o,1735660070167
R,o,1735660070231
P,a,1735660070326
R,a,1735660070486
P,c,1735660070607
R,c,1735660070718
P,h,1735660070798
R,h,1735660070870
P,Key.space,1735660070997
R,Key.space,1735660071070
P,a,1735660071254
R,a,1735660071422
P,n,1735660071423
R,n,1735660071502
P,d,1735660071535
R,d,1735660071656
P,Key.space,1735660071656
R,Key.space,1735660071727
P,t,1735660074223
R,t,1735660074334
P,h,1735660074383
R,h,1735660074462
P,e,1735660074542
R,e,1735660074654
P,Key.space,1735660074670
R,Key.space,1735660074735
P,o,1735660075406
R,o,1735660075486
P,n,1735660075582
R,n,1735660075656
P,e,1735660075702
P,Key.space,1735660075814
R,e,1735660075830
R,Key.space,1735660075886
P,o,1735660076190
R,o,1735660076294
P,f,1735660076511
R,f,1735660076631
P,Key.space,1735660076719
R,Key.space,1735660076791
P,t,1735660076886
R,t,1735660076998
P,h,1735660077023
R,h,1735660077103
P,e,1735660077193
R,e,1735660077311
P,Key.space,1735660077326
R,Key.space,1735660077390
P,s,1735660078942
R,s,1735660079086
P,t,1735660079158
R,t,1735660079295
P,u,1735660079327
R,u,1735660079406
P,d,1735660079455
R,d,1735660079575
P,e,1735660079677
P,n,1735660079758
R,e,1735660079798
R,n,1735660079863
P,t,1735660080015
P,Key.space,1735660080016
R,Key.space,1735660080071
R,t,1735660080110
P,s,1735660080943
R,s,1735660081071
P,t,1735660081405
R,t,1735660081519
P,a,1735660081598
R,a,1735660081758
P,n,1735660081802
R,n,1735660081910
P,d,1735660081927
R,d,1735660082047
P,Key.space,1735660082047
R,Key.space,1735660082126
P,a,1735660084335
R,a,1735660084454
P,n,1735660084494
R,n,1735660084583
P,d,1735660084583
P,Key.space,1735660084710
R,d,1735660084745
R,Key.space,1735660084799
P,g,1735660086015
R,g,1735660086118
P,i,1735660086214
R,i,1735660086286
P,v,1735660086351
R,v,1735660086456
P,e,1735660086583
P,Key.space,1735660086622
R,e,1735660086695
R,Key.space,1735660086696
P,r,1735660087423
R,r,1735660087526
P,e,1735660088199
R,e,1735660088326
P,s,1735660088430
R,s,1735660088583
P,p,1735660088830
R,p,1735660088894
P,e,1735660088998
R,e,1735660089079
P,c,1735660089230
R,c,1735660089351
P,t,1735660089543
R,t,1735660089658
P,Key.space,1735660089727
R,Key.space,1735660089798
P,t,1735660089950
R,t,1735660090054
P,o,1735660090070
R,o,1735660090150
P,Key.space,1735660090286
R,Key.space,1735660090366
P,t,1735660090390
R,t,1735660090495
P,h,1735660090542
R,h,1735660090614
P,e,1735660091815
R,e,1735660091966
P,Key.space,1735660092006
R,Key.space,1735660092086
P,c,1735660093967
R,c,1735660094103
P,o,1735660094126
R,o,1735660094191
P,a,1735660094263
R,a,1735660094383
P,c,1735660094574
R,c,1735660094694
P,h,1735660094750
R,h,1735660094824
P,Key.space,1735660094942
R,Key.space,1735660095016
P,a,1735660095838
R,a,1735660095998
P,d,1735660096039
R,d,1735660096223
P,n,1735660096229
R,n,1735660096398
P,Key.backspace,1735660097174
R,Key.backspace,1735660097230
P,Key.backspace,1735660097295
R,Key.backspace,1735660097374
P,n,1735660097566
R,n,1735660097648
P,d,1735660097718
P,Key.space,1735660097814
R,d,1735660097846
R,Key.space,1735660097870
P,t,1735660098006
R,t,1735660098126
P,h,1735660098158
R,h,1735660098230
P,e,1735660098334
R,e,1735660098438
P,Key.space,1735660098478
R,Key.space,1735660098535
P,Key.backspace,1735660099328
R,Key.backspace,1735660099384
P,Key.backspace,1735660099454
R,Key.backspace,1735660099512
P,Key.backspace,1735660099590
R,Key.backspace,1735660099654
P,Key.backspace,1735660100847
R,Key.backspace,1735660100919
P,h,1735660101694
R,h,1735660101769
P,e,1735660101872
R,e,1735660101990
