Press or Release,Key,Time
P,Key.shift,1735660015078
P,G,1735660015201
R,G,1735660015250
R,Key.shift,1735660015255
P,o,1735660015308
P,Key.space,1735660015409
R,o,1735660015435
P,w,1735660015465
R,Key.space,1735660015514
P,a,1735660015544
R,w,1735660015550
R,a,1735660015619
P,t,1735660015670
R,t,1735660015740
P,c,1735660015822
R,c,1735660015887
P,h,1735660015903
R,h,1735660015970
P,Key.space,1735660015985
R,Key.space,1735660016070
P,c,1735660016137
R,c,1735660016179
P,o,1735660016352
R,o,1735660016448
P,a,1735660016467
R,a,1735660016536
P,c,1735660016580
R,c,1735660016646
P,h,1735660016695
R,h,1735660016761
P,Key.space,1735660016776
P,c,1735660016863
R,Key.space,1735660016865
R,c,1735660016923
P,a,1735660017018
R,a,1735660017156
P,r,1735660017202
R,r,1735660017287
P,e,1735660017401
P,r,1735660017491
R,e,1735660017541
P,t,1735660017568
R,r,1735660017609
R,t,1735660017661
P,Key.space,1735660017761
R,Key.space,1735660017864
P,Key.backspace,1735660018070
R,Key.backspace,1735660018130
P,Key.backspace,1735660018197
R,Key.backspace,1735660018233
P,Key.backspace,1735660018315
R,Key.backspace,1735660018364
P,Key.backspace,1735660018442
R,Key.backspace,1735660018506
P,t,1735660018537
P,e,1735660018556
R,t,1735660018607
P,r,1735660018668
R,e,1735660018696
R,r,1735660018730
P,Key.space,1735660018808
P,i,1735660018899
R,Key.space,1735660018937
R,i,1735660018987
P,f,1735660019437
R,f,1735660019491
P,Key.space,1735660019574
P,y,1735660019635
R,Key.space,1735660019664
P,o,1735660019708
P,u,1735660019763
R,y,1735660019769
P,Key.space,1735660019797
R,o,1735660019832
R,u,1735660019860
P,w,1735660019885
R,Key.space,1735660019900
P,a,1735660019984
R,w,1735660020016
P,n,1735660020059
R,a,1735660020080
P,t,1735660020103
R,n,1735660020116
R,t,1735660020168
P,Key.space,1735660020234
P,a,1735660020285
R,Key.space,1735660020302
R,a,1735660020343
P,Key.space,1735660020431
R,Key.space,1735660020504
P,b,1735660020643
R,b,1735660020711
P,r,1735660020734
R,r,1735660020806
P,e,1735660020821
P,a,1735660020911
R,e,1735660020917
R,a,1735660021001
P,k,1735660021015
P,Key.space,1735660021112
R,k,1735660021117
R,Key.space,1735660021193
P,f,1735660021630
R,f,1735660021702
P,r,1735660021769
R,r,1735660021829
P,o,1735660021873
P,m,1735660021924
R,o,1735660021972
P,Key.space,1735660022005
R,m,1735660022035
P,i,1735660022127
R,Key.space,1735660022149
P,n,1735660022210
R,i,1735660022230
P,s,1735660022249
R,n,1735660022316
R,s,1735660022332
P,t,1735660022589
R,t,1735660022645
P,a,1735660022699
R,a,1735660022786
P,g,1735660022926
R,g,1735660022980
P,r,1735660023091
R,r,1735660023152
P,a,1735660023262
R,a,1735660023346
P,m,1735660023412
R,m,1735660023517
P,Key.space,1735660023532
R,Key.space,1735660023625
P,r,1735660023809
R,r,1735660023871
P,e,1735660024269
R,e,1735660024329
P,e,1735660024431
R,e,1735660024495
P,l,1735660024846
R,l,1735660024954
P,s,1735660024990
R,s,1735660025068
P,Key.space,1735660025124
P,b,1735660025240
R,Key.space,1735660025246
R,b,1735660025327
P,r,1735660025489
R,r,1735660025559
P,a,1735660026000
R,a,1735660026058
P,i,1735660026074
P,n,1735660026177
R,i,1735660026221
R,n,1735660026286
P,r,1735660026408
R,r,1735660026485
P,o,1735660026576
R,o,1735660026652
P,t,1735660026668
R,t,1735660026718
P,Key.space,1735660026758
R,Key.space,1735660026839
P,o,1735660026943
R,o,1735660027027
P,r,1735660027073
R,r,1735660027144
P,Key.space,1735660027326
R,Key.space,1735660027410
P,g,1735660027605
R,g,1735660027665
P,o,1735660027744
R,o,1735660027817
P,s,1735660027831
R,s,1735660027883
P,s,1735660027975
R,s,1735660028015
P,i,1735660028100
P,p,1735660028171
R,i,1735660028174
P,Key.space,1735660028283
R,p,1735660028289
R,Key.space,1735660028348
P,f,1735660028394
R,f,1735660028456
P,i,1735660028474
R,i,1735660028533
P,r,1735660028561
R,r,1735660028617
P,l,1735660028634
R,l,1735660028701
P,Key.space,1735660028859
R,Key.space,1735660028878
P,Key.backspace,1735660030250
R,Key.backspace,1735660030314
P,Key.backspace,1735660030391
R,Key.backspace,1735660030446
P,Key.backspace,1735660030510
R,Key.backspace,1735660030571
P,Key.backspace,1735660030611
R,Key.backspace,1735660030682
P,Key.backspace,1735660031053
R,Key.backspace,1735660031105
P,g,1735660031291
R,g,1735660031345
P,i,1735660031418
R,i,1735660031490
P,r,1735660031505
R,r,1735660031569
P,l,1735660031588
R,l,1735660031694
P,Key.space,1735660031715
R,Key.space,1735660031873
P,s,1735660032667
R,s,1735660032706
P,3,1735660032908
R,3,1735660032997
P,Key.space,1735660033766
P,d,1735660033885
R,Key.space,1735660033913
R,d,1735660033940
P,r,1735660034093
R,r,1735660034146
P,m,1735660034303
R,m,1735660034358
P,Key.backspace,1735660034662
R,Key.backspace,1735660034717
P,a,1735660034730
R,a,1735660034784
P,m,1735660034948
R,m,1735660035012
P,a,1735660035026
R,a,1735660035071
P,Key.comma,1735660035318
P,Key.space,1735660035515
R,Key.comma,1735660035521
R,Key.space,1735660035574
P,g,1735660088912
R,g,1735660088965
P,i,1735660089064
R,i,1735660089143
P,v,1735660089186
P,e,1735660089268
R,v,1735660089276
R,e,1735660089344
P,Key.space,1735660089539
R,Key.space,1735660089655
P,o,1735660089711
P,u,1735660089787
R,o,1735660089819
R,u,1735660089829
P,Key.backspace,1735660090077
R,Key.backspace,1735660090116
P,Key.backspace,1735660090274
R,Key.backspace,1735660090332
P,y,1735660090515
P,o,1735660090634
R,y,1735660090639
P,u,1735660090706
R,o,1735660090731
R,u,1735660090782
P,r,1735660090799
R,r,1735660090821
P,Key.space,1735660090934
P,b,1735660091007
R,Key.space,1735660091044
R,b,1735660091113
P,r,1735660091273
R,r,1735660091415
P,a,1735660091433
R,a,1735660091531
P,i,1735660091570
P,n,1735660091680
R,i,1735660091741
P,Key.space,1735660091805
R,n,1735660091829
P,a,1735660091900
R,Key.space,1735660091906
R,a,1735660091965
P,Key.space,1735660091987
P,b,1735660092119
R,Key.space,1735660092125
R,b,1735660092201
P,r,1735660092265
R,r,1735660092371
P,e,1735660092398
R,e,1735660092517
P,k,1735660092572
P,a,1735660092603
R,a,1735660092639
R,k,1735660092645
P,Key.backspace,1735660093117
R,Key.backspace,1735660093148
P,Key.backspace,1735660093188
R,Key.backspace,1735660093261
P,Key.backspace,1735660093399
R,Key.backspace,1735660093450
P,Key.backspace,1735660094300
R,Key.backspace,1735660094356
P,Key.backspace,1735660094426
R,Key.backspace,1735660094475
P,Key.backspace,1735660094575
R,Key.backspace,1735660094611
P,Key.backspace,1735660094939
R,Key.backspace,1735660095007
P,Key.backspace,1735660095045
R,Key.backspace,1735660095115
P,Key.backspace,1735660095226
R,Key.backspace,1735660095261
P,Key.backspace,1735660095353
R,Key.backspace,1735660095410
P,Key.backspace,1735660095503
R,Key.backspace,1735660095543
P,Key.backspace,1735660095777
R,Key.backspace,1735660095834
P,Key.backspace,1735660095926
R,Key.backspace,1735660095978
P,Key.backspace,1735660096065
R,Key.backspace,1735660096100
P,Key.backspace,1735660096200
R,Key.backspace,1735660096250
P,Key.backspace,1735660096336
R,Key.backspace,1735660096383
P,Key.backspace,1735660096465
R,Key.backspace,1735660096509
P,Key.backspace,1735660096591
R,Key.backspace,1735660096646
P,Key.backspace,1735660096743
R,Key.backspace,1735660096780
P,Key.backspace,1735660096877
R,Key.backspace,1735660096924
P,Key.backspace,1735660097029
R,Key.backspace,1735660097073
P,Key.backspace,1735660097294
R,Key.backspace,1735660097334
P,Key.backspace,1735660097498
R,Key.backspace,1735660097540
P,a,1735660100268
R,a,1735660100341
P,b,1735660100382
R,b,1735660100443
P,s,1735660100540
R,s,1735660100628
P,l,1735660100775
R,l,1735660100808
P,Key.backspace,1735660101098
R,Key.backspace,1735660101164
P,o,1735660101833
R,o,1735660101906
P,l,1735660101967
P,y,1735660102129
R,l,1735660102149
R,y,1735660102202
P,t,1735660102267
R,t,1735660102354
P,Key.backspace,1735660102617
R,Key.backspace,1735660102655
P,Key.backspace,1735660102715
R,Key.backspace,1735660102797
P,u,1735660102946
R,u,1735660103043
P,t,1735660103114
P,e,1735660103215
R,t,1735660103221
P,l,1735660103286
R,e,1735660103296
P,y,1735660103402
R,l,1735660103408
R,y,1735660103511
P,Key.space,1735660103555
R,Key.space,1735660103642
P,d,1735660103790
R,d,1735660103864
P,o,1735660103881
P,n,1735660103981
R,o,1735660104013
P,',1735660104090
R,n,1735660104095
P,t,1735660104179
R,',1735660104188
R,t,1735660104225
P,Key.space,1735660104334
P,k,1735660104407
R,Key.space,1735660104441
P,n,1735660104454
R,k,1735660104500
P,o,1735660104544
R,n,1735660104586
P,w,1735660104604
R,o,1735660104645
R,w,1735660104656
P,Key.space,1735660104724
P,w,1735660104795
R,Key.space,1735660104803
R,w,1735660104856
P,a,1735660105007
P,t,1735660105051
R,a,1735660105066
R,t,1735660105085
P,Key.backspace,1735660105285
R,Key.backspace,1735660105349
P,Key.backspace,1735660105443
R,Key.backspace,1735660105479
P,h,1735660105648
R,h,1735660105715
P,a,1735660105727
P,t,1735660105818
R,a,1735660105826
R,t,1735660105875
P,Key.space,1735660105888
P,i,1735660105942
R,Key.space,1735660105954
R,i,1735660106004
P,t,1735660106180
R,t,1735660106240
P,',1735660106339
R,',1735660106411
P,s,1735660106441
R,s,1735660106484
P,Key.space,1735660106535
R,Key.space,1735660106591
P,a,1735660106644
R,a,1735660106695
P,o,1735660106766
P,b,1735660106777
R,o,1735660106884
R,b,1735660106915
P,u,1735660106964
R,u,1735660107063
P,Key.backspace,1735660107356
R,Key.backspace,1735660107399
P,Key.backspace,1735660107487
R,Key.backspace,1735660107520
P,Key.backspace,1735660107598
R,Key.backspace,1735660107659
P,b,1735660107869
P,o,1735660107930
P,u,1735660108015
R,b,1735660108027
R,o,1735660108065
P,t,1735660108092
R,u,1735660108129
R,t,1735660108138
P,Key.space,1735660108228
P,b,1735660108295
R,Key.space,1735660108355
P,u,1735660108382
R,b,1735660108413
P,t,1735660108481
R,u,1735660108488
R,t,1735660108515
P,Key.space,1735660108577
P,i,1735660108644
R,Key.space,1735660108672
P,t,1735660108728
R,i,1735660108747
R,t,1735660108781
P,Key.space,1735660108828
R,Key.space,1735660108937
P,c,1735660109103
R,c,1735660109185
P,o,1735660109204
P,u,1735660109296
R,o,1735660109351
P,l,1735660109367
R,u,1735660109427
P,d,1735660109481
R,l,1735660109484
R,d,1735660109540
P,n,1735660109586
R,n,1735660109677
P,',1735660109781
R,',1735660109853
P,r,1735660109923
R,r,1735660109972
P,e,1735660110014
R,e,1735660110096
P,Key.space,1735660110135
R,Key.space,1735660110201
P,Key.backspace,1735660110470
R,Key.backspace,1735660110516
P,Key.backspace,1735660110593
R,Key.backspace,1735660110623
P,Key.backspace,1735660110705
R,Key.backspace,1735660110778
P,t,1735660110843
R,t,1735660110890
P,Key.space,1735660111049
P,r,1735660111133
R,Key.space,1735660111137
R,r,1735660111184
P,e,1735660111200
R,e,1735660111286
P,a,1735660111346
R,a,1735660111384
P,l,1735660111543
R,l,1735660111614
P,l,1735660111689
P,y,1735660111775
R,l,1735660111805
P,Key.space,1735660111842
R,y,1735660111894
R,Key.space,1735660111934
P,h,1735660112042
R,h,1735660112127
P,e,1735660112235
R,e,1735660112295
P,Key.backspace,1735660112545
R,Key.backspace,1735660112621
P,u,1735660112748
P,r,1735660112820
R,u,1735660112826
R,r,1735660112875
P,t,1735660112963
R,t,1735660113031
P,Key.comma,1735660113086
P,Key.space,1735660113210
R,Key.comma,1735660113232
P,a,1735660113279
R,Key.space,1735660113283
P,t,1735660113347
R,a,1735660113356
R,t,1735660113428
P,Key.space,1735660113435
R,Key.space,1735660113514
P,w,1735660113629
R,w,1735660113672
P,o,1735660113774
R,o,1735660113841
P,r,1735660113856
R,r,1735660113918
P,s,1735660114030
P,e,1735660114126
R,s,1735660114147
R,e,1735660114191
P,Key.backspace,1735660114637
P,r,1735660114707
R,Key.backspace,1735660114712
R,r,1735660114743
P,Key.space,1735660114901
P,y,1735660114933
R,Key.space,1735660114989
P,o,1735660115017
P,u,1735660115097
R,y,1735660115103
R,o,1735660115136
R,u,1735660115197
P,Key.backspace,1735660115421
R,Key.backspace,1735660115481
P,Key.backspace,1735660115549
R,Key.backspace,1735660115601
P,Key.backspace,1735660115657
R,Key.backspace,1735660115708
P,Key.backspace,1735660115768
R,Key.backspace,1735660115824
P,Key.backspace,1735660115885
R,Key.backspace,1735660115966
P,t,1735660116456
R,t,1735660116505
P,Key.space,1735660116576
P,y,1735660116679
R,Key.space,1735660116703
P,o,1735660116764
P,u,1735660116790
R,y,1735660116816
R,o,1735660116842
R,u,1735660116887
P,',1735660116980
R,',1735660117074
P,l,1735660117184
R,l,1735660117200
P,l,1735660117281
P,Key.space,1735660117367
R,l,1735660117399
P,f,1735660117491
R,Key.space,1735660117498
P,a,1735660117570
R,f,1735660117588
P,l,1735660117655
R,a,1735660117662
R,l,1735660117684
P,l,1735660117754
P,Key.space,1735660117855
R,l,1735660117861
P,a,1735660117931
R,Key.space,1735660117954
P,s,1735660118010
R,a,1735660118032
R,s,1735660118081
P,l,1735660118091
R,l,1735660118167
P,e,1735660118210
R,e,1735660118273
P,e,1735660118365
R,e,1735660118438
P,p,1735660118457
R,p,1735660118582
P,Key.space,1735660118606
R,Key.space,1735660118737
P,w,1735660119051
R,w,1735660119113
P,h,1735660119138
P,i,1735660119193
R,h,1735660119215
R,i,1735660119278
P,c,1735660119313
R,c,1735660119379
P,h,1735660119427
R,h,1735660119485
P,Key.space,1735660119533
R,Key.space,1735660119590
P,o,1735660119919
R,o,1735660119962
P,Key.backspace,1735660120213
R,Key.backspace,1735660120271
P,g,1735660120291
R,g,1735660120334
P,o,1735660120400
R,o,1735660120447
P,o,1735660120516
R,o,1735660120584
P,d,1735660120599
R,d,1735660120634
P,Key.space,1735660120704
P,f,1735660120745
R,Key.space,1735660120765
R,f,1735660120821
P,o,1735660120850
P,r,1735660120905
R,o,1735660120928
R,r,1735660120961
P,Key.space,1735660120978
P,y,1735660121080
R,Key.space,1735660121131
P,o,1735660121149
P,u,1735660121193
R,y,1735660121195
R,o,1735660121227
R,u,1735660121287
