Press or Release,Key,Time
P,Unidentified,1735660023606
R,Unidentified,1735660023607
P,Unidentified,1735660023851
R,Unidentified,1735660023853
P,Unidentified,1735660023854
R,Unidentified,1735660023856
P,Unidentified,1735660024435
R,Unidentified,1735660024440
P,Unidentified,1735660024672
R,Unidentified,1735660024675
P,Unidentified,1735660024895
R,Unidentified,1735660024898
P,Unidentified,1735660025090
R,Unidentified,1735660025095
P,Unidentified,1735660025205
R,Unidentified,1735660025209
P,Unidentified,1735660025210
R,Unidentified,1735660025214
P,Unidentified,1735660025784
R,Unidentified,1735660025789
P,Unidentified,1735660025931
R,Unidentified,1735660025935
P,Unidentified,1735660026343
R,Unidentified,1735660026345
P,Unidentified,1735660026909
R,Unidentified,1735660026913
P,Unidentified,1735660027109
R,Unidentified,1735660027111
P,Unidentified,1735660027235
R,Unidentified,1735660027240
P,Unidentified,1735660027241
R,Unidentified,1735660027245
P,Unidentified,1735660028210
R,Unidentified,1735660028213
P,Unidentified,1735660028392
R,Unidentified,1735660028397
P,Unidentified,1735660028639
R,Unidentified,1735660028643
P,Unidentified,1735660028645
R,Unidentified,1735660028649
P,Unidentified,1735660029301
R,Unidentified,1735660029306
P,Unidentified,1735660030240
R,Unidentified,1735660030245
P,Unidentified,1735660030770
R,Unidentified,1735660030774
P,Unidentified,1735660031119
R,Unidentified,1735660031124
P,Unidentified,1735660031364
R,Unidentified,1735660031366
P,Unidentified,1735660031628
R,Unidentified,1735660031630
P,Unidentified,1735660032171
R,Unidentified,1735660032175
P,Unidentified,1735660032438
R,Unidentified,1735660032443
P,Unidentified,1735660032622
R,Unidentified,1735660032627
P,Unidentified,1735660033230
R,Unidentified,1735660033236
P,Unidentified,1735660033237
R,Unidentified,1735660033240
P,Unidentified,1735660033264
R,Unidentified,1735660033267
P,Unidentified,1735660034374
R,Unidentified,1735660034379
P,Unidentified,1735660034536
R,Unidentified,1735660034541
P,Unidentified,1735660034781
R,Unidentified,1735660034784
P,Unidentified,1735660034930
R,Unidentified,1735660034934
P,Unidentified,1735660035159
R,Unidentified,1735660035163
P,Unidentified,1735660035164
R,Unidentified,1735660035168
P,Unidentified,1735660035809
R,Unidentified,1735660035812
P,Unidentified,1735660035972
R,Unidentified,1735660035976
P,Unidentified,1735660036151
R,Unidentified,1735660036153
P,Unidentified,1735660036370
R,Unidentified,1735660036375
P,Unidentified,1735660036482
R,Unidentified,1735660036485
P,Unidentified,1735660036731
R,Unidentified,1735660036735
P,Unidentified,1735660036736
R,Unidentified,1735660036740
P,Unidentified,1735660037166
R,Unidentified,1735660037168
P,Unidentified,1735660037378
R,Unidentified,1735660037382
P,Unidentified,1735660037587
R,Unidentified,1735660037591
P,Unidentified,1735660037717
R,Unidentified,1735660037719
P,Unidentified,1735660037720
R,Unidentified,1735660037722
P,Unidentified,1735660038512
R,Unidentified,1735660038516
P,Unidentified,1735660038660
R,Unidentified,1735660038661
P,Unidentified,1735660038662
R,Unidentified,1735660038664
P,Unidentified,1735660038986
R,Unidentified,1735660038990
P,Unidentified,1735660039187
R,Unidentified,1735660039190
P,Unidentified,1735660039435
R,Unidentified,1735660039439
P,Unidentified,1735660039682
R,Unidentified,1735660039686
P,Unidentified,1735660039848
R,Unidentified,1735660039852
P,Unidentified,1735660040130
R,Unidentified,1735660040133
P,Unidentified,1735660040135
R,Unidentified,1735660040139
P,Unidentified,1735660040605
R,Unidentified,1735660040608
P,Unidentified,1735660040840
R,Unidentified,1735660040844
P,Unidentified,1735660041085
R,Unidentified,1735660041088
P,Unidentified,1735660041268
R,Unidentified,1735660041272
P,Unidentified,1735660041944
R,Unidentified,1735660041946
P,Unidentified,1735660041947
R,Unidentified,1735660041951
P,Unidentified,1735660042182
R,Unidentified,1735660042185
P,Unidentified,1735660042357
R,Unidentified,1735660042360
P,Unidentified,1735660042574
R,Unidentified,1735660042579
P,Unidentified,1735660042803
R,Unidentified,1735660042808
P,Unidentified,1735660042810
R,Unidentified,1735660042815
P,Unidentified,1735660043580
R,Unidentified,1735660043582
P,Unidentified,1735660043679
R,Unidentified,1735660043681
P,Unidentified,1735660043794
R,Unidentified,1735660043797
P,Unidentified,1735660043799
R,Unidentified,1735660043802
P,Unidentified,1735660044003
R,Unidentified,1735660044007
P,Unidentified,1735660044132
R,Unidentified,1735660044136
P,Unidentified,1735660044753
R,Unidentified,1735660044758
P,Unidentified,1735660044970
R,Unidentified,1735660044975
P,Unidentified,1735660045188
R,Unidentified,1735660045193
P,Unidentified,1735660045313
R,Unidentified,1735660045316
P,Unidentified,1735660045318
R,Unidentified,1735660045322
P,Unidentified,1735660045761
R,Unidentified,1735660045765
P,Unidentified,1735660045928
R,Unidentified,1735660045932
P,Unidentified,1735660046155
R,Unidentified,1735660046160
P,Unidentified,1735660046322
R,Unidentified,1735660046326
P,Unidentified,1735660046435
R,Unidentified,1735660046436
P,Unidentified,1735660046437
R,Unidentified,1735660046439
P,Unidentified,1735660046820
R,Unidentified,1735660046821
P,Unidentified,1735660046930
R,Unidentified,1735660046931
P,Unidentified,1735660046932
R,Unidentified,1735660046934
P,Unidentified,1735660052656
R,Unidentified,1735660052661
P,Unidentified,1735660053476
R,Unidentified,1735660053481
P,Unidentified,1735660053800
R,Unidentified,1735660053805
P,Unidentified,1735660053948
R,Unidentified,1735660053950
P,Unidentified,1735660054080
R,Unidentified,1735660054082
P,Unidentified,1735660054311
R,Unidentified,1735660054315
P,Unidentified,1735660054316
R,Unidentified,1735660054320
P,Unidentified,1735660054646
R,Unidentified,1735660054647
P,Unidentified,1735660054890
R,Unidentified,1735660054893
P,Unidentified,1735660055119
R,Unidentified,1735660055123
P,Unidentified,1735660055236
R,Unidentified,1735660055239
P,Unidentified,1735660055368
R,Unidentified,1735660055373
P,Unidentified,1735660055566
R,Unidentified,1735660055569
P,Unidentified,1735660055770
R,Unidentified,1735660055775
P,Unidentified,1735660055862
R,Unidentified,1735660055866
P,Unidentified,1735660055868
R,Unidentified,1735660055870
P,Unidentified,1735660056550
R,Unidentified,1735660056553
P,Unidentified,1735660056656
R,Unidentified,1735660056658
P,Unidentified,1735660056772
R,Unidentified,1735660056777
P,Unidentified,1735660056887
R,Unidentified,1735660056890
P,Unidentified,1735660056891
R,Unidentified,1735660056896
P,Unidentified,1735660057167
R,Unidentified,1735660057168
P,Unidentified,1735660057234
R,Unidentified,1735660057237
P,Unidentified,1735660057432
R,Unidentified,1735660057436
P,Unidentified,1735660057648
R,Unidentified,1735660057652
P,Unidentified,1735660057876
R,Unidentified,1735660057881
P,Unidentified,1735660057882
R,Unidentified,1735660057887
P,Unidentified,1735660058321
R,Unidentified,1735660058325
P,Unidentified,1735660058472
R,Unidentified,1735660058476
P,Unidentified,1735660058587
R,Unidentified,1735660058591
P,Unidentified,1735660058718
R,Unidentified,1735660058721
P,Unidentified,1735660058722
R,Unidentified,1735660058727
P,Unidentified,1735660058995
R,Unidentified,1735660058999
P,Unidentified,1735660059578
R,Unidentified,1735660059583
P,Unidentified,1735660059724
R,Unidentified,1735660059725
P,Unidentified,1735660059906
R,Unidentified,1735660059910
P,Unidentified,1735660060071
R,Unidentified,1735660060075
P,Unidentified,1735660060385
R,Unidentified,1735660060388
P,Unidentified,1735660061147
R,Unidentified,1735660061149
P,Unidentified,1735660061295
R,Unidentified,1735660061299
P,Unidentified,1735660061427
R,Unidentified,1735660061431
P,Unidentified,1735660061543
R,Unidentified,1735660061544
P,Unidentified,1735660061545
R,Unidentified,1735660061549
P,Unidentified,1735660061989
R,Unidentified,1735660061993
P,Unidentified,1735660062120
R,Unidentified,1735660062123
P,Unidentified,1735660062384
R,Unidentified,1735660062389
P,Unidentified,1735660062582
R,Unidentified,1735660062586
P,Unidentified,1735660062716
R,Unidentified,1735660062721
P,Unidentified,1735660063309
R,Unidentified,1735660063314
P,Unidentified,1735660063316
R,Unidentified,1735660063319
P,Unidentified,1735660065311
R,Unidentified,1735660065316
P,Unidentified,1735660065915
