Press or Release,Key,Time
P,m,1735660005062
R,m,1735660005113
P,o,1735660005242
R,o,1735660005278
P,s,1735660005423
P,t,1735660005533
R,s,1735660005534
R,t,1735660005583
P,Key.space,1735660005733
R,Key.space,1735660005782
P,o,1735660005968
R,o,1735660006023
P,f,1735660006162
R,f,1735660006237
P,Key.space,1735660006308
R,Key.space,1735660006362
P,v,1735660006602
R,v,1735660006703
P,i,1735660006768
R,i,1735660006823
P,d,1735660006893
R,d,1735660006978
P,e,1735660007087
R,e,1735660007193
P,o,1735660007193
R,o,1735660007237
P,Key.space,1735660007402
R,Key.space,1735660007443
P,i,1735660007603
R,i,1735660007643
P,s,1735660007803
R,s,1735660007903
P,Key.space,1735660007967
R,Key.space,1735660008002
P,n,1735660009152
R,n,1735660009182
P,o,1735660009343
R,o,1735660009407
P,t,1735660009563
R,t,1735660009618
P,Key.space,1735660009802
R,Key.space,1735660009862
P,s,1735660010973
R,s,1735660011042
P,h,1735660011088
R,h,1735660011122
P,a,1735660011182
R,a,1735660011302
P,r,1735660011343
R,r,1735660011398
P,e,1735660011533
R,e,1735660011628
P,Key.space,1735660011633
R,Key.space,1735660011678
P,t,1735660011824
R,t,1735660011862
P,o,1735660012043
R,o,1735660012087
P,Key.space,1735660012243
R,Key.space,1735660012298
P,t,1735660012498
R,t,1735660012543
P,h,1735660012662
R,h,1735660012722
P,o,1735660012898
R,o,1735660012968
P,u,1735660013143
R,u,1735660013183
P,h,1735660014092
R,h,1735660014168
P,Key.backspace,1735660015162
R,Key.backspace,1735660015222
P,g,1735660015467
R,g,1735660015503
P,h,1735660015623
R,h,1735660015658
P,t,1735660015748
R,t,1735660015803
P,Key.space,1735660015942
R,Key.space,1735660016008
P,a,1735660016187
R,a,1735660016223
P,b,1735660016223
R,b,1735660016282
P,o,1735660016622
R,o,1735660016687
P,u,1735660016867
R,u,1735660016923
P,t,1735660017122
R,t,1735660017162
P,Key.space,1735660017363
R,Key.space,1735660017423
P,t,1735660017538
R,t,1735660017578
P,h,1735660017698
R,h,1735660017768
P,a,1735660017813
R,a,1735660017908
P,t,1735660017908
R,t,1735660017923
P,Key.space,1735660018082
R,Key.space,1735660018148
P,v,1735660018298
R,v,1735660018342
P,i,1735660018602
R,i,1735660018658
P,d,1735660018722
R,d,1735660018803
P,e,1735660018897
R,e,1735660018997
P,o,1735660019003
R,o,1735660019063
P,Key.space,1735660019218
R,Key.space,1735660019282
P,Key.backspace,1735660020337
R,Key.backspace,1735660020382
P,Key.comma,1735660020663
R,Key.comma,1735660020712
P,b,1735660021973
R,b,1735660022023
P,u,1735660022162
R,u,1735660022218
P,t,1735660022343
R,t,1735660022423
P,Key.space,1735660022544
R,Key.space,1735660022608
P,t,1735660022722
R,t,1735660022753
P,h,1735660022863
R,h,1735660022924
P,i,1735660023063
R,i,1735660023103
P,s,1735660023143
R,s,1735660023222
P,Key.space,1735660023312
R,Key.space,1735660023362
P,v,1735660023523
R,v,1735660023588
P,i,1735660023748
R,i,1735660023802
P,d,1735660023898
R,d,1735660023977
P,e,1735660024083
R,e,1735660024183
P,o,1735660024217
R,o,1735660024268
P,Key.space,1735660024423
R,Key.space,1735660024483
P,i,1735660024582
R,i,1735660024647
P,s,1735660024752
R,s,1735660024853
P,Key.space,1735660024918
R,Key.space,1735660024962
P,v,1735660025428
R,v,1735660025483
P,e,1735660025568
R,e,1735660025642
P,r,1735660025772
R,r,1735660025842
P,y,1735660025912
R,y,1735660025963
P,Key.space,1735660026118
R,Key.space,1735660026178
P,i,1735660026308
R,i,1735660026333
P,n,1735660026462
R,n,1735660026514
P,t,1735660026688
R,t,1735660026757
P,e,1735660026843
R,e,1735660026942
P,r,1735660026983
R,r,1735660027043
P,e,1735660027113
R,e,1735660027207
P,s,1735660027312
R,s,1735660027423
P,t,1735660027477
R,t,1735660027523
P,i,1735660027687
R,i,1735660027747
P,n,1735660027897
R,n,1735660027948
P,g,1735660028073
R,g,1735660028117
P,Key.space,1735660028263
R,Key.space,1735660028333
P,t,1735660028518
R,t,1735660028563
P,o,1735660028727
R,o,1735660028782
P,Key.space,1735660028922
R,Key.space,1735660028992
P,s,1735660029093
R,s,1735660029152
P,h,1735660029198
R,h,1735660029252
P,a,1735660029329
R,a,1735660029428
P,r,1735660029477
R,r,1735660029533
P,e,1735660029657
R,e,1735660029768
P,Key.space,1735660029783
R,Key.space,1735660029838
P,o,1735660030303
R,o,1735660030363
P,u,1735660030517
R,u,1735660030558
P,t,1735660030743
R,t,1735660030802
P,Key.space,1735660031282
R,Key.space,1735660031307
P,o,1735660031918
R,o,1735660031963
P,p,1735660032163
R,p,1735660032218
P,i,1735660032488
R,i,1735660032543
P,o,1735660033183
R,o,1735660033223
P,n,1735660033444
R,n,1735660033483
P,i,1735660033828
R,i,1735660033888
P,o,1735660033988
R,o,1735660034027
P,n,1735660034148
R,n,1735660034203
P,Key.space,1735660034328
R,Key.space,1735660034402
P,a,1735660034462
R,a,1735660034583
P,n,1735660034583
R,n,1735660034603
P,d,1735660034733
P,Key.space,1735660034843
R,d,1735660034862
R,Key.space,1735660034903
P,t,1735660035562
R,t,1735660035603
P,h,1735660035743
R,h,1735660035803
P,o,1735660036143
R,o,1735660036183
P,u,1735660036578
R,u,1735660036622
P,g,1735660036757
R,g,1735660036808
P,h,1735660036898
R,h,1735660036957
P,t,1735660037062
R,t,1735660037105
P,s,1735660037203
R,s,1735660037323
P,Key.comma,1735660037907
R,Key.comma,1735660037963
P,Key.space,1735660038104
R,Key.space,1735660038162
P,i,1735660038362
R,i,1735660038402
P,Key.space,1735660038563
R,Key.space,1735660038623
P,r,1735660039022
R,r,1735660039063
P,e,1735660039123
R,e,1735660039243
P,a,1735660039358
R,a,1735660039467
P,l,1735660039502
R,l,1735660039548
P,l,1735660039622
R,l,1735660039688
P,y,1735660039862
R,y,1735660039923
P,Key.space,1735660040082
R,Key.space,1735660040142
P,l,1735660041402
R,l,1735660041462
P,i,1735660041628
R,i,1735660041682
P,e,1735660041882
R,e,1735660041983
P,Key.backspace,1735660043023
R,Key.backspace,1735660043057
P,k,1735660043263
R,k,1735660043322
P,e,1735660043382
R,e,1735660043468
P,a,1735660043623
P,b,1735660043703
R,b,1735660043742
R,a,1735660043768
P,l,1735660043943
R,l,1735660043983
P,e,1735660044063
R,e,1735660044183
P,Key.space,1735660044183
R,Key.space,1735660044227
P,t,1735660044402
R,t,1735660044428
P,o,1735660044603
R,o,1735660044643
P,Key.space,1735660044823
R,Key.space,1735660044882
P,s,1735660045002
R,s,1735660045097
P,h,1735660045138
R,h,1735660045182
P,a,1735660045267
R,a,1735660045348
P,r,1735660045382
R,r,1735660045433
P,e,1735660045543
P,Key.space,1735660045608
R,e,1735660045659
R,Key.space,1735660045682
P,m,1735660045803
R,m,1735660045903
P,y,1735660046022
R,y,1735660046062
P,Key.space,1735660046228
R,Key.space,1735660046263
P,t,1735660046397
R,t,1735660046437
P,h,1735660046558
R,h,1735660046622
P,o,1735660046752
R,o,1735660046843
P,y,1735660047008
P,u,1735660047008
R,y,1735660047043
R,u,1735660047043
P,Key.backspace,1735660047543
R,Key.backspace,1735660047603
P,Key.backspace,1735660049028
R,Key.backspace,1735660049087
P,o,1735660049617
R,o,1735660049703
P,Key.backspace,1735660050563
R,Key.backspace,1735660050622
P,u,1735660050862
R,u,1735660050902
P,g,1735660051063
R,g,1735660051097
P,h,1735660051383
R,h,1735660051427
P,t,1735660051563
R,t,1735660051603
P,Key.space,1735660051758
R,Key.space,1735660051807
P,a,1735660051967
P,b,1735660052023
R,a,1735660052063
R,b,1735660052067
P,o,1735660052263
R,o,1735660052323
P,u,1735660052483
R,u,1735660052543
P,t,1735660052703
R,t,1735660052743
P,Key.space,1735660052913
R,Key.space,1735660052983
P,t,1735660053098
R,t,1735660053123
P,h,1735660053277
R,h,1735660053328
