Press or Release,Key,Time
P,h,1735660017023
R,h,1735660017097
P,i,1735660017270
R,i,1735660017325
P,Key.backspace,1735660024377
R,Key.backspace,1735660024480
P,Key.backspace,1735660024573
R,Key.backspace,1735660024636
P,w,1735660025487
R,w,1735660025559
P,h,1735660025608
R,h,1735660025672
P,a,1735660025735
R,a,1735660025798
P,t,1735660026001
R,t,1735660026048
P,Key.space,1735660026103
R,Key.space,1735660026171
P,a,1735660026277
R,a,1735660026349
P,n,1735660026406
R,n,1735660026456
P,Key.space,1735660026598
R,Key.space,1735660026653
P,i,1735660026940
R,i,1735660026997
P,n,1735660027123
R,n,1735660027191
P,s,1735660027301
R,s,1735660027381
P,p,1735660027485
R,p,1735660027550
P,i,1735660027705
R,i,1735660027769
P,r,1735660027845
R,r,1735660027905
P,i,1735660027916
R,i,1735660027977
P,n,1735660028085
R,n,1735660028157
P,g,1735660028190
R,g,1735660028258
P,Key.space,1735660028304
R,Key.space,1735660028368
P,p,1735660028660
R,p,1735660028723
P,i,1735660028873
R,i,1735660028938
P,e,1735660028984
R,e,1735660029019
P,c,1735660029150
R,c,1735660029222
P,e,1735660029350
R,e,1735660029430
P,Key.space,1735660029438
R,Key.space,1735660029502
P,o,1735660029637
R,o,1735660029705
P,f,1735660029726
R,f,1735660029796
P,Key.space,1735660029865
R,Key.space,1735660029937
P,t,1735660030028
R,t,1735660030100
P,h,1735660030202
P,i,1735660030274
R,h,1735660030284
R,i,1735660030325
P,n,1735660030437
P,g,1735660030502
R,n,1735660030506
R,g,1735660030570
P,Key.backspace,1735660030846
R,Key.backspace,1735660030914
P,Key.backspace,1735660030974
R,Key.backspace,1735660031036
P,Key.backspace,1735660031107
R,Key.backspace,1735660031167
P,Key.backspace,1735660031256
R,Key.backspace,1735660031311
P,Key.backspace,1735660031507
R,Key.backspace,1735660031568
P,m,1735660031802
R,m,1735660031869
P,o,1735660032026
R,o,1735660032086
P,v,1735660032167
R,v,1735660032214
P,i,1735660032220
R,i,1735660032278
P,e,1735660032373
R,e,1735660032445
P,.,1735660032499
R,.,1735660032547
P,Key.space,1735660032699
R,Key.space,1735660032754
P,t,1735660034763
R,t,1735660034822
P,o,1735660034878
R,o,1735660034942
P,d,1735660034976
R,d,1735660035037
P,a,1735660035147
P,y,1735660035187
R,y,1735660035217
R,a,1735660035223
P,Key.space,1735660035368
R,Key.space,1735660035418
P,i,1735660035561
R,i,1735660035611
P,s,1735660035639
R,s,1735660035706
P,Key.space,1735660035773
R,Key.space,1735660035833
P,g,1735660035905
R,g,1735660035968
P,o,1735660036013
R,o,1735660036065
P,i,1735660036187
R,i,1735660036241
P,n,1735660036352
R,n,1735660036433
P,g,1735660036467
R,g,1735660036533
P,Key.space,1735660036546
R,Key.space,1735660036619
P,g,1735660036668
R,g,1735660036724
P,r,1735660036857
R,r,1735660036916
P,e,1735660037028
R,e,1735660037083
P,a,1735660037203
R,a,1735660037271
P,t,1735660037427
R,t,1735660037481
P,Key.space,1735660037523
R,Key.space,1735660037585
P,a,1735660037657
R,a,1735660037725
P,n,1735660037736
R,n,1735660037798
P,d,1735660037862
P,Key.space,1735660037918
R,d,1735660037930
R,Key.space,1735660037970
P,i,1735660038108
R,i,1735660038168
P,t,1735660038185
R,t,1735660038245
P,Key.space,1735660038332
R,Key.space,1735660038396
P,r,1735660038456
R,r,1735660038498
P,e,1735660038613
R,e,1735660038690
P,a,1735660038820
R,a,1735660038904
P,l,1735660038911
R,l,1735660038960
P,l,1735660039018
R,l,1735660039088
P,y,1735660039147
R,y,1735660039211
P,Key.space,1735660039273
R,Key.space,1735660039316
P,m,1735660039411
R,m,1735660039469
P,a,1735660039509
R,a,1735660039583
P,k,1735660039598
R,k,1735660039677
P,e,1735660039706
R,e,1735660039758
P,s,1735660039872
P,Key.space,1735660039935
R,s,1735660039964
R,Key.space,1735660039982
P,i,1735660040112
R,i,1735660040171
P,Key.backspace,1735660040517
R,Key.backspace,1735660040577
P,y,1735660040662
R,y,1735660040737
P,o,1735660040770
R,o,1735660040831
P,u,1735660040883
R,u,1735660040934
P,Key.space,1735660041010
R,Key.space,1735660041077
P,t,1735660041088
R,t,1735660041149
P,h,1735660041259
R,h,1735660041326
P,i,1735660041333
R,i,1735660041390
P,n,1735660041450
R,n,1735660041519
P,k,1735660041525
R,k,1735660041582
P,Key.space,1735660041913
R,Key.space,1735660041988
P,a,1735660042030
R,a,1735660042087
P,b,1735660042251
R,b,1735660042307
P,o,1735660042314
R,o,1735660042367
P,u,1735660042482
R,u,1735660042525
P,t,1735660042569
R,t,1735660042598
P,Key.space,1735660042681
P,t,1735660042722
R,Key.space,1735660042750
R,t,1735660042786
P,h,1735660042881
P,i,1735660042941
R,h,1735660042953
R,i,1735660042985
P,n,1735660043087
P,g,1735660043155
R,n,1735660043163
R,g,1735660043211
P,s,1735660043353
R,s,1735660043426
P,.,1735660043440
R,.,1735660043500
P,Key.space,1735660047593
R,Key.space,1735660047669
P,w,1735660048942
R,w,1735660049009
P,e,1735660049124
R,e,1735660049183
P,Key.space,1735660049227
R,Key.space,1735660049288
P,n,1735660049405
R,n,1735660049479
P,e,1735660049481
R,e,1735660049511
P,e,1735660049598
R,e,1735660049686
P,d,1735660049818
R,d,1735660049901
P,Key.space,1735660049917
R,Key.space,1735660049986
P,t,1735660050064
R,t,1735660050131
P,o,1735660050163
R,o,1735660050208
P,Key.space,1735660050366
R,Key.space,1735660050444
P,r,1735660050450
R,r,1735660050513
P,e,1735660050636
R,e,1735660050696
P,s,1735660050826
R,s,1735660050929
P,p,1735660050940
R,p,1735660051007
P,e,1735660051048
R,e,1735660051093
P,c,1735660051212
R,c,1735660051287
P,t,1735660051433
R,t,1735660051491
P,Key.space,1735660051559
R,Key.space,1735660051613
P,o,1735660051876
R,o,1735660051947
P,u,1735660052100
R,u,1735660052152
P,r,1735660052231
R,r,1735660052294
P,Key.space,1735660052424
R,Key.space,1735660052487
P,m,1735660052669
R,m,1735660052733
P,e,1735660052790
P,n,1735660052854
R,e,1735660052856
R,n,1735660052918
P,t,1735660053037
R,t,1735660053096
P,o,1735660053132
R,o,1735660053201
P,r,1735660053255
R,r,1735660053315
P,s,1735660053492
R,s,1735660053557
P,Key.space,1735660053626
R,Key.space,1735660053687
P,a,1735660053713
R,a,1735660053785
P,n,1735660053829
R,n,1735660053896
P,d,1735660053937
R,d,1735660053990
P,Key.space,1735660054062
R,Key.space,1735660054133
P,a,1735660054374
R,a,1735660054442
P,l,1735660054464
R,l,1735660054522
P,l,1735660054593
R,l,1735660054639
P,o,1735660054734
R,o,1735660054788
P,w,1735660054858
R,w,1735660054918
P,Key.space,1735660054960
R,Key.space,1735660055033
P,t,1735660055084
R,t,1735660055135
P,h,1735660055231
R,h,1735660055295
P,e,1735660055427
P,m,1735660055490
R,e,1735660055506
R,m,1735660055524
P,Key.space,1735660055633
R,Key.space,1735660055688
P,t,1735660055721
R,t,1735660055782
P,o,1735660055852
R,o,1735660055899
P,Key.space,1735660056056
