Press or Release,Key,Time
P,Key.shift,1735660003070
P,T,1735660003301
R,Key.shift,1735660003386
P,h,1735660003430
R,T,1735660003444
P,i,1735660003522
R,h,1735660003544
P,s,1735660003590
R,i,1735660003664
P,Key.space,1735660003700
R,s,1735660003758
R,Key.space,1735660003860
P,g,1735660004485
P,u,1735660004571
R,g,1735660004586
R,u,1735660004678
P,y,1735660005018
R,y,1735660005106
P,Key.space,1735660005158
R,Key.space,1735660005277
P,i,1735660005320
P,s,1735660005387
R,i,1735660005428
P,Key.space,1735660005506
R,s,1735660005544
R,Key.space,1735660005621
P,o,1735660005891
P,f,1735660006002
R,o,1735660006005
R,f,1735660006098
P,f,1735660006147
R,f,1735660006251
P,e,1735660006267
P,n,1735660006394
R,e,1735660006407
P,e,1735660006472
R,n,1735660006486
R,e,1735660006560
P,d,1735660006644
R,d,1735660006748
P,e,1735660006830
R,e,1735660006935
P,Key.backspace,1735660007678
R,Key.backspace,1735660007770
P,Key.backspace,1735660007847
R,Key.backspace,1735660007943
P,d,1735660008589
R,d,1735660008721
P,Key.backspace,1735660009335
R,Key.backspace,1735660009444
P,Key.backspace,1735660009525
R,Key.backspace,1735660009661
P,d,1735660010213
R,d,1735660010347
P,e,1735660010417
R,e,1735660010537
P,d,1735660010951
R,d,1735660011094
P,Key.space,1735660012081
R,Key.space,1735660012235
P,f,1735660012487
R,f,1735660012579
P,r,1735660012644
P,o,1735660012718
R,r,1735660012751
P,m,1735660012817
R,o,1735660012834
P,Key.space,1735660012968
R,m,1735660012984
P,t,1735660013061
R,Key.space,1735660013071
P,h,1735660013152
R,t,1735660013165
P,e,1735660013216
R,h,1735660013240
P,Key.space,1735660013299
R,e,1735660013360
R,Key.space,1735660013415
P,s,1735660017720
R,s,1735660017900
P,t,1735660017988
R,t,1735660018181
P,Key.backspace,1735660019251
R,Key.backspace,1735660019373
P,Key.backspace,1735660019402
R,Key.backspace,1735660019518
P,g,1735660020290
P,u,1735660020397
R,g,1735660020417
P,t,1735660020501
R,u,1735660020510
R,t,1735660020639
P,y,1735660020809
R,y,1735660020902
P,Key.backspace,1735660021148
R,Key.backspace,1735660021252
P,Key.backspace,1735660021285
R,Key.backspace,1735660021403
P,y,1735660021610
R,y,1735660021742
P,Key.space,1735660021786
R,Key.space,1735660021949
P,o,1735660021975
R,o,1735660022200
P,n,1735660022330
P,Key.space,1735660022460
R,n,1735660022481
R,Key.space,1735660022577
P,t,1735660022655
P,h,1735660022716
R,t,1735660022785
P,e,1735660022792
R,h,1735660022814
P,Key.space,1735660022887
R,e,1735660022949
R,Key.space,1735660023046
P,s,1735660023375
R,s,1735660023533
P,t,1735660023569
R,t,1735660023708
P,a,1735660023735
R,a,1735660023878
P,g,1735660023906
R,g,1735660024026
P,e,1735660024052
P,Key.space,1735660024176
R,e,1735660024182
R,Key.space,1735660024313
P,Key.backspace,1735660025012
R,Key.backspace,1735660025115
P,Key.comma,1735660025241
R,Key.comma,1735660025379
P,Key.space,1735660025381
R,Key.space,1735660025518
P,w,1735660025705
P,h,1735660025817
R,w,1735660025851
R,h,1735660025894
P,e,1735660025925
P,n,1735660026008
R,e,1735660026012
R,n,1735660026106
P,Key.space,1735660026171
R,Key.space,1735660026277
P,i,1735660026550
R,i,1735660026635
P,Key.backspace,1735660026947
R,Key.backspace,1735660027055
P,h,1735660027180
R,h,1735660027276
P,e,1735660027495
P,Key.space,1735660027575
R,e,1735660027627
R,Key.space,1735660027708
P,t,1735660028109
R,t,1735660028218
P,a,1735660028254
P,k,1735660028330
R,a,1735660028385
P,e,1735660028432
R,k,1735660028461
R,e,1735660028545
P,s,1735660028645
R,s,1735660028785
P,Key.space,1735660028807
R,Key.space,1735660028954
P,h,1735660030309
P,i,1735660030408
R,h,1735660030436
P,s,1735660030556
R,i,1735660030560
R,s,1735660030696
P,Key.space,1735660030711
R,Key.space,1735660030820
P,w,1735660032171
P,i,1735660032268
R,w,1735660032326
R,i,1735660032400
P,f,1735660032473
R,f,1735660032628
P,e,1735660032667
R,e,1735660032800
P,',1735660033946
R,',1735660034111
P,s,1735660034112
P,Key.space,1735660034239
R,s,1735660034262
R,Key.space,1735660034359
P,n,1735660034596
R,n,1735660034727
P,a,1735660034736
P,m,1735660034872
R,a,1735660034895
P,e,1735660034958
R,m,1735660035013
R,e,1735660035072
P,Key.space,1735660035142
R,Key.space,1735660035273
P,a,1735660035906
P,n,1735660036004
R,a,1735660036065
P,d,1735660036097
R,n,1735660036118
P,Key.space,1735660036184
R,d,1735660036239
R,Key.space,1735660036307
P,s,1735660036410
R,s,1735660036561
P,a,1735660036587
R,a,1735660036746
P,y,1735660036788
R,y,1735660036910
P,s,1735660036922
R,s,1735660037085
P,Key.space,1735660037233
R,Key.space,1735660037391
P,t,1735660037518
P,h,1735660037610
R,t,1735660037647
R,h,1735660037708
P,a,1735660037734
P,t,1735660037891
R,a,1735660037917
P,Key.space,1735660038016
R,t,1735660038034
R,Key.space,1735660038184
P,h,1735660039586
P,e,1735660039689
R,h,1735660039696
R,e,1735660039798
P,Key.space,1735660039817
R,Key.space,1735660039944
P,i,1735660040498
R,i,1735660040611
P,s,1735660040616
P,Key.space,1735660040709
R,s,1735660040776
R,Key.space,1735660040834
P,n,1735660040981
R,n,1735660041085
P,o,1735660041090
P,t,1735660041260
R,o,1735660041276
P,Key.space,1735660041383
R,t,1735660041423
R,Key.space,1735660041532
P,e,1735660043836
R,e,1735660043962
P,l,1735660044056
R,l,1735660044192
P,i,1735660044362
R,i,1735660044472
P,g,1735660045026
P,i,1735660045125
R,g,1735660045144
R,i,1735660045264
P,b,1735660045451
R,b,1735660045559
P,l,1735660045566
P,e,1735660045646
R,l,1735660045685
P,Key.space,1735660045752
R,e,1735660045787
R,Key.space,1735660045867
P,o,1735660046216
R,o,1735660046314
P,Key.backspace,1735660046615
R,Key.backspace,1735660046735
P,f,1735660046855
P,o,1735660046949
R,f,1735660046964
P,r,1735660047070
R,o,1735660047082
R,r,1735660047181
P,Key.space,1735660047233
R,Key.space,1735660047355
P,t,1735660047453
P,h,1735660047555
R,t,1735660047578
R,h,1735660047644
P,a,1735660047663
P,t,1735660047771
R,a,1735660047819
R,t,1735660047949
P,Key.space,1735660048054
R,Key.space,1735660048201
P,a,1735660048547
R,a,1735660048731
P,w,1735660048913
R,w,1735660049102
P,a,1735660049173
R,a,1735660049353
P,r,1735660049402
R,r,1735660049530
P,d,1735660049674
R,d,1735660049828
P,Key.comma,1735660051424
R,Key.comma,1735660051544
P,Key.space,1735660051585
R,Key.space,1735660051728
P,h,1735660052059
P,e,1735660052180
R,h,1735660052192
R,e,1735660052342
P,n,1735660052813
R,n,1735660052917
P,c,1735660053092
P,e,1735660053238
R,c,1735660053284
P,Key.space,1735660053380
R,e,1735660053402
R,Key.space,1735660053532
P,t,1735660055102
P,h,1735660055195
R,t,1735660055211
P,e,1735660055253
R,h,1735660055301
P,Key.space,1735660055350
R,e,1735660055396
R,Key.space,1735660055512
P,g,1735660055727
P,u,1735660055836
R,g,1735660055856
R,u,1735660055935
P,y,1735660056067
R,y,1735660056157
P,Key.space,1735660056205
R,Key.space,1735660056349
P,s,1735660056517
P,l,1735660056623
R,s,1735660056690
R,l,1735660056751
P,p,1735660056816
R,p,1735660056958
P,a,1735660057006
R,a,1735660057161
P,Key.backspace,1735660057517
R,Key.backspace,1735660057615
P,Key.backspace,1735660057666
R,Key.backspace,1735660057792
P,a,1735660057956
R,a,1735660058141
P,p,1735660058150
R,p,1735660058276
P,s,1735660058300
P,Key.space,1735660058459
R,s,1735660058492
R,Key.space,1735660058563
P,h,1735660059251
R,h,1735660059355
P,i,1735660059369
R,i,1735660059506
P,m,1735660059538
R,m,1735660059673
P,Key.space,1735660059765
R,Key.space,1735660059903
P,a,1735660060416
P,n,1735660060496
P,d,1735660060583
R,a,1735660060601
R,n,1735660060601
P,Key.space,1735660060658
R,d,1735660060736
R,Key.space,1735660060801
P,Key.backspace,1735660062598
R,Key.backspace,1735660062695
P,Key.backspace,1735660062758
R,Key.backspace,1735660062858
P,Key.backspace,1735660062916
R,Key.backspace,1735660063012
P,Key.backspace,1735660063062
R,Key.backspace,1735660063178
P,w,1735660063696
P,h,1735660063788
R,w,1735660063878
R,h,1735660063886
P,e,1735660064064
P,n,1735660064140
R,e,1735660064208
P,Key.space,1735660064269
R,n,1735660064294
R,Key.space,1735660064429
P,h,1735660064510
R,h,1735660064621
P,e,1735660064699
P,Key.space,1735660064813
R,e,1735660064863
R,Key.space,1735660064972
P,c,1735660065218
P,o,1735660065340
R,c,1735660065378
P,m,1735660065452
R,o,1735660065470
P,e,1735660065557
R,m,1735660065577
R,e,1735660065718
P,s,1735660065762
P,Key.space,1735660065855
R,s,1735660065910
P,o,1735660065996
R,Key.space,1735660066005
P,n,1735660066103
R,o,1735660066189
P,Key.space,1735660066205
R,n,1735660066273
P,t,1735660066326
R,Key.space,1735660066361
R,t,1735660066412
P,e,1735660066666
P,h,1735660066684
R,e,1735660066827
R,h,1735660066857
P,Key.backspace,1735660067225
R,Key.backspace,1735660067335
P,Key.backspace,1735660067359
R,Key.backspace,1735660067486
P,h,1735660067610
P,e,1735660067676
R,h,1735660067749
R,e,1735660067844
P,Key.space,1735660067866
R,Key.space,1735660068062
P,s,1735660068351
P,t,1735660068524
R,s,1735660068563
P,a,1735660068675
R,t,1735660068695
R,a,1735660068861
P,g,1735660068923
R,g,1735660069075
P,e,1735660069099
R,e,1735660069291
P,Key.space,1735660069333
R,Key.space,1735660069497
P,Key.backspace,1735660072690
R,Key.backspace,1735660072858
P,.,1735660075762
R,.,1735660075858
