Press or Release,Key,Time
P,c,1735660003925
R,c,1735660003989
P,o,1735660004889
R,o,1735660004928
P,m,1735660005186
R,m,1735660005230
P,e,1735660005901
R,e,1735660006038
P,d,1735660006404
R,d,1735660006462
P,i,1735660007409
R,i,1735660007489
P,a,1735660007828
R,a,1735660007992
P,n,1735660008107
R,n,1735660008157
P,Key.space,1735660008307
R,Key.space,1735660008364
P,c,1735660008632
R,c,1735660008691
P,h,1735660009159
R,h,1735660009233
P,i,1735660010134
R,i,1735660010191
P,s,1735660010409
R,s,1735660010535
P,Key.space,1735660010636
R,Key.space,1735660010692
P,m,1735660011196
R,m,1735660011253
P,a,1735660011397
R,a,1735660011589
P,k,1735660011598
R,k,1735660011647
P,e,1735660012125
R,e,1735660012173
P,Key.space,1735660012381
R,Key.space,1735660012441
P,a,1735660012567
R,a,1735660012697
P,Key.space,1735660013917
R,Key.space,1735660013968
P,f,1735660014344
R,f,1735660014404
P,u,1735660015164
R,u,1735660015224
P,n,1735660015516
R,n,1735660015574
P,Key.space,1735660015737
R,Key.space,1735660015798
P,w,1735660016205
R,w,1735660016366
P,i,1735660016439
R,i,1735660016511
P,t,1735660016949
R,t,1735660017016
P,h,1735660017167
R,h,1735660017244
P,Key.space,1735660019848
R,Key.space,1735660019912
P,w,1735660020654
R,w,1735660020755
P,i,1735660021230
R,i,1735660021307
P,l,1735660021865
R,l,1735660021941
P,l,1735660022044
R,l,1735660022103
P,Key.space,1735660022302
R,Key.space,1735660022359
P,s,1735660022736
R,s,1735660022923
P,m,1735660023023
R,m,1735660023097
P,i,1735660023343
R,i,1735660023404
P,t,1735660024039
R,t,1735660024099
P,h,1735660024306
R,h,1735660024379
P,Key.space,1735660024552
R,Key.space,1735660024608
P,w,1735660025130
R,w,1735660025257
P,i,1735660025509
R,i,1735660025585
P,f,1735660026233
R,f,1735660026294
P,e,1735660027108
R,e,1735660027174
P,',1735660029202
R,',1735660029295
P,s,1735660029823
R,s,1735660029984
P,Key.space,1735660030585
R,Key.space,1735660030680
P,m,1735660031310
R,m,1735660031335
P,Key.backspace,1735660033248
R,Key.backspace,1735660033328
P,n,1735660033913
R,n,1735660033984
P,a,1735660034171
P,m,1735660034238
R,m,1735660034324
R,a,1735660034333
P,e,1735660035054
R,e,1735660035107
P,c,1735660035571
R,c,1735660035626
P,h,1735660036062
R,h,1735660036127
P,a,1735660036225
R,a,1735660036395
P,n,1735660036418
R,n,1735660036482
P,g,1735660037067
R,g,1735660037139
P,e,1735660037499
R,e,1735660037543
P,Key.space,1735660037831
R,Key.space,1735660037895
P,t,1735660039078
R,t,1735660039136
P,h,1735660039305
R,h,1735660039390
P,e,1735660039787
R,e,1735660039835
P,Key.space,1735660040074
R,Key.space,1735660040135
P,h,1735660040599
R,h,1735660040661
P,a,1735660040752
R,a,1735660040941
P,p,1735660041836
R,p,1735660041880
P,p,1735660042008
R,p,1735660042065
P,y,1735660042558
R,y,1735660042623
P,Key.space,1735660042817
R,Key.space,1735660042884
P,m,1735660043424
R,m,1735660043483
P,o,1735660043897
R,o,1735660043964
P,m,1735660044170
R,m,1735660044237
P,e,1735660044736
R,e,1735660044865
