Press or Release,Key,Time
P,Key.shift,1735660003926
P,T,1735660004145
R,T,1735660004258
R,Key.shift,1735660004281
P,h,1735660004434
R,h,1735660004555
P,i,1735660004603
R,i,1735660004717
P,s,1735660004747
P,Key.space,1735660004863
R,s,1735660004875
R,Key.space,1735660004986
P,i,1735660005079
R,i,1735660005183
P,s,1735660005213
R,s,1735660005350
P,Key.space,1735660005379
R,Key.space,1735660005506
P,w,1735660006384
R,w,1735660006463
P,h,1735660006598
P,a,1735660006719
R,h,1735660006743
P,t,1735660006883
R,a,1735660006889
R,t,1735660007003
P,Key.space,1735660007084
R,Key.space,1735660007176
P,h,1735660007223
R,h,1735660007355
P,a,1735660007371
R,a,1735660007515
P,p,1735660007525
R,p,1735660007624
P,p,1735660007678
R,p,1735660007788
P,e,1735660007807
P,n,1735660007932
R,e,1735660007942
R,n,1735660008049
P,d,1735660008080
R,d,1735660008228
P,s,1735660008322
R,s,1735660008448
P,Key.space,1735660008488
R,Key.space,1735660008626
P,w,1735660008704
P,h,1735660008831
R,w,1735660008845
R,h,1735660008932
P,e,1735660008971
P,n,1735660009092
R,e,1735660009131
R,n,1735660009223
P,Key.space,1735660009308
R,Key.space,1735660009434
P,Key.shift,1735660010436
R,Key.shift,1735660010600
P,a,1735660011622
P,Key.space,1735660011761
R,a,1735660011773
R,Key.space,1735660011853
P,m,1735660011891
R,m,1735660012011
P,a,1735660012028
R,a,1735660012143
P,n,1735660012147
R,n,1735660012269
P,Key.space,1735660012331
R,Key.space,1735660012457
P,t,1735660012805
P,h,1735660012904
R,t,1735660012937
R,h,1735660013008
P,i,1735660013057
R,i,1735660013166
P,n,1735660013199
R,n,1735660013321
P,k,1735660013369
R,k,1735660013489
P,s,1735660013569
P,Key.space,1735660013712
R,s,1735660013723
R,Key.space,1735660013861
P,h,1735660013955
R,h,1735660014071
P,e,1735660014128
P,Key.space,1735660014249
R,e,1735660014288
R,Key.space,1735660014381
P,k,1735660014573
R,k,1735660014695
P,n,1735660014734
R,n,1735660014866
P,o,1735660014899
P,w,1735660015025
R,o,1735660015049
R,w,1735660015147
P,s,1735660015216
P,Key.space,1735660015294
R,s,1735660015344
R,Key.space,1735660015410
P,b,1735660015466
R,b,1735660015577
P,e,1735660015635
P,t,1735660015739
R,e,1735660015800
R,t,1735660015855
P,t,1735660015886
P,e,1735660015973
R,t,1735660016007
R,e,1735660016105
P,r,1735660016168
R,r,1735660016279
P,Key.space,1735660016283
P,t,1735660016397
R,Key.space,1735660016404
P,h,1735660016545
R,t,1735660016561
R,h,1735660016651
P,a,1735660016707
P,n,1735660016806
R,a,1735660016839
R,n,1735660016918
P,Key.space,1735660016989
R,Key.space,1735660017100
P,e,1735660017376
R,e,1735660017539
P,v,1735660017551
R,v,1735660017660
P,e,1735660017690
R,e,1735660017828
P,r,1735660018361
R,r,1735660018493
P,y,1735660018498
R,y,1735660018630
P,o,1735660018759
R,o,1735660018874
P,n,1735660018937
R,n,1735660019060
P,e,1735660019063
R,e,1735660019238
P,.,1735660020830
R,.,1735660020993
P,Key.space,1735660021655
R,Key.space,1735660021813
P,Key.shift,1735660024372
R,Key.shift,1735660024669
P,Key.shift,1735660027793
P,E,1735660028125
R,Key.shift,1735660028247
R,E,1735660028280
P,v,1735660028347
R,v,1735660028461
P,e,1735660028495
R,e,1735660028637
P,r,1735660028764
R,r,1735660028891
P,y,1735660029066
R,y,1735660029161
P,o,1735660029290
R,o,1735660029394
P,n,1735660029458
P,e,1735660029584
R,n,1735660029589
P,s,1735660029737
R,e,1735660029776
R,s,1735660029896
P,Key.space,1735660030075
R,Key.space,1735660030198
P,l,1735660030286
P,a,1735660030366
R,l,1735660030396
R,a,1735660030488
P,u,1735660030520
R,u,1735660030635
P,g,1735660030661
P,h,1735660030755
R,g,1735660030782
R,h,1735660030858
P,i,1735660030910
R,i,1735660031021
P,n,1735660031063
R,n,1735660031184
P,g,1735660031191
R,g,1735660031326
P,Key.space,1735660031331
R,Key.space,1735660031464
P,a,1735660032174
R,a,1735660032342
P,t,1735660032486
R,t,1735660032623
P,Key.space,1735660032636
R,Key.space,1735660032770
P,a,1735660032883
R,a,1735660032945
P,Key.backspace,1735660033236
R,Key.backspace,1735660033374
P,Key.shift,1735660033459
P,A,1735660033612
R,Key.shift,1735660033749
R,A,1735660033787
P,m,1735660033890
R,m,1735660034049
P,e,1735660034079
R,e,1735660034227
P,r,1735660034309
R,r,1735660034445
P,i,1735660034464
R,i,1735660034592
P,c,1735660034627
R,c,1735660034758
P,a,1735660034923
R,a,1735660035052
P,.,1735660035352
R,.,1735660035506
P,Key.space,1735660036307
R,Key.space,1735660036505
