Press or Release,Key,Time
P,t,1735660002681
R,t,1735660002740
P,h,1735660002901
R,h,1735660002960
P,i,1735660003100
R,i,1735660003130
P,s,1735660003200
R,s,1735660003280
P,Key.space,1735660003345
R,Key.space,1735660003420
P,v,1735660003640
R,v,1735660003700
P,i,1735660003900
R,i,1735660003955
P,d,1735660004045
R,d,1735660004140
P,e,1735660004260
R,e,1735660004405
P,o,1735660004406
R,o,1735660004440
P,Key.space,1735660004615
R,Key.space,1735660004675
P,i,1735660004825
R,i,1735660004900
P,s,1735660005000
R,s,1735660005085
P,Key.space,1735660005135
R,Key.space,1735660005185
P,u,1735660005580
R,u,1735660005635
P,k,1735660006000
R,k,1735660006050
P,r,1735660007791
R,r,1735660007845
P,a,1735660007920
R,a,1735660008040
P,i,1735660008115
R,i,1735660008140
P,n,1735660008320
R,n,1735660008365
P,e,1735660008440
R,e,1735660008590
P,Key.space,1735660008595
R,Key.space,1735660008652
P,a,1735660009686
P,n,1735660009785
R,a,1735660009800
R,n,1735660009880
P,d,1735660009950
P,Key.space,1735660010070
R,d,1735660010100
R,Key.space,1735660010125
P,r,1735660010308
R,r,1735660010440
P,u,1735660010550
R,u,1735660010621
P,s,1735660010726
R,s,1735660010795
P,s,1735660010925
R,s,1735660010975
P,i,1735660011010
R,i,1735660011070
P,a,1735660011200
R,a,1735660011295
P,Key.space,1735660011310
R,Key.space,1735660011380
P,w,1735660011605
R,w,1735660011700
P,a,1735660011820
R,a,1735660011940
P,r,1735660012020
R,r,1735660012080
P,Key.space,1735660012245
R,Key.space,1735660012315
P,t,1735660012480
R,t,1735660012540
P,i,1735660012740
R,i,1735660012765
P,m,1735660013175
R,m,1735660013235
P,e,1735660013470
R,e,1735660013620
P,Key.space,1735660013695
R,Key.space,1735660013740
P,t,1735660014445
R,t,1735660014500
P,r,1735660014670
R,r,1735660014780
P,y,1735660014880
R,y,1735660014941
P,Key.backspace,1735660015355
R,Key.backspace,1735660015405
P,u,1735660015700
R,u,1735660015740
P,m,1735660016026
R,m,1735660016086
P,p,1735660016250
R,p,1735660016300
P,Key.space,1735660016500
R,Key.space,1735660016561
P,a,1735660017920
R,a,1735660018065
P,n,1735660018095
R,n,1735660018160
P,d,1735660018381
R,d,1735660018555
P,Key.space,1735660018560
R,Key.space,1735660018640
P,z,1735660019840
R,z,1735660019940
P,e,1735660020115
R,e,1735660020171
P,e,1735660020280
R,e,1735660020360
P,l,1735660020531
R,l,1735660020600
P,a,1735660020695
R,a,1735660020805
P,n,1735660020860
R,n,1735660020911
P,s,1735660021310
R,s,1735660021440
P,k,1735660021720
R,k,1735660021795
P,y,1735660021965
R,y,1735660022020
P,Key.space,1735660022180
R,Key.space,1735660022240
P,c,1735660022540
R,c,1735660022660
P,o,1735660022700
R,o,1735660022740
P,n,1735660022950
R,n,1735660023000
P,v,1735660023220
R,v,1735660023280
P,e,1735660023440
R,e,1735660023575
P,r,1735660023680
R,r,1735660023780
P,s,1735660023970
R,s,1735660024080
P,a,1735660024220
R,a,1735660024330
P,t,1735660024440
R,t,1735660024500
P,i,1735660024700
R,i,1735660024760
P,o,1735660024880
R,o,1735660024930
P,n,1735660025090
R,n,1735660025140
P,Key.space,1735660025280
R,Key.space,1735660025350
P,a,1735660025640
R,a,1735660025730
P,b,1735660025790
R,b,1735660025836
P,o,1735660026115
R,o,1735660026170
P,u,1735660026340
R,u,1735660026420
P,t,1735660026645
R,t,1735660026682
P,Key.space,1735660026855
R,Key.space,1735660026920
P,t,1735660027075
R,t,1735660027120
P,h,1735660027280
R,h,1735660027340
P,a,1735660027460
P,t,1735660027540
R,a,1735660027560
R,t,1735660027580
P,Key.space,1735660027740
P,w,1735660027841
R,Key.space,1735660027843
R,w,1735660027940
P,a,1735660028065
R,a,1735660028195
P,r,1735660028260
R,r,1735660028310
P,Key.comma,1735660028825
R,Key.comma,1735660028860
P,Key.space,1735660029235
R,Key.space,1735660029300
P,t,1735660029661
R,t,1735660029715
P,h,1735660029875
R,h,1735660029940
P,i,1735660030350
R,i,1735660030440
P,s,1735660030558
R,s,1735660030660
P,Key.space,1735660030680
R,Key.space,1735660030765
P,w,1735660030860
R,w,1735660030980
P,a,1735660031121
R,a,1735660031220
P,r,1735660031300
R,r,1735660031360
P,Key.space,1735660031520
R,Key.space,1735660031580
P,i,1735660031755
R,i,1735660031805
P,s,1735660031910
R,s,1735660032005
P,Key.space,1735660032095
R,Key.space,1735660032160
P,v,1735660032415
R,v,1735660032470
P,e,1735660032580
R,e,1735660032685
P,r,1735660032815
R,r,1735660032920
P,y,1735660032980
R,y,1735660033035
P,Key.space,1735660033205
R,Key.space,1735660033275
P,d,1735660033950
R,d,1735660034030
P,a,1735660034180
R,a,1735660034280
P,n,1735660034315
R,n,1735660034380
P,g,1735660034565
R,g,1735660034620
P,e,1735660034670
R,e,1735660034780
P,r,1735660034920
R,r,1735660035005
P,o,1735660035300
R,o,1735660035360
P,u,1735660035520
R,u,1735660035595
P,s,1735660035760
R,s,1735660035871
P,Key.space,1735660035900
R,Key.space,1735660035960
P,t,1735660036140
R,t,1735660036190
P,o,1735660036390
R,o,1735660036440
P,Key.space,1735660036605
