Press or Release,Key,Time
P,Key.alt,1735660019234
R,Key.alt,1735660019357
P,Key.alt,1735660024309
R,Key.alt,1735660024315
P,Key.shift,1735660025736
P,T,1735660025928
R,T,1735660025989
R,Key.shift,1735660026039
P,h,1735660026113
R,h,1735660026206
P,e,1735660026256
P,Key.space,1735660026366
R,e,1735660026375
R,Key.space,1735660026467
P,Key.ctrl,1735660027207
P,Key.shift,1735660027541
P,Key.left,1735660027662
R,Key.ctrl,1735660027738
R,Key.left,1735660027738
R,Key.shift,1735660027766
P,Key.shift,1735660027993
P,I,1735660028135
R,I,1735660028203
R,Key.shift,1735660028228
P,n,1735660028326
R,n,1735660028361
P,Key.space,1735660028476
R,Key.space,1735660028558
P,t,1735660028706
R,t,1735660028753
P,h,1735660028889
P,e,1735660028944
R,h,1735660028974
R,e,1735660029042
P,Key.space,1735660029057
R,Key.space,1735660029164
P,i,1735660029289
P,c,1735660029378
R,i,1735660029418
R,c,1735660029468
P,d,1735660029641
P,e,1735660029771
R,d,1735660029809
R,e,1735660029881
P,o,1735660029881
R,o,1735660030009
P,Key.ctrl,1735660030354
P,Key.shift,1735660030410
P,Key.left,1735660030626
R,Key.left,1735660030707
R,Key.ctrl,1735660030738
R,Key.shift,1735660030747
P,v,1735660031034
R,v,1735660031116
P,i,1735660031161
R,i,1735660031246
P,d,1735660031294
P,e,1735660031410
R,d,1735660031473
P,o,1735660031481
R,e,1735660031549
R,o,1735660031596
P,Key.comma,1735660032364
R,Key.comma,1735660032428
P,Key.space,1735660032541
R,Key.space,1735660032611
P,Key.alt,1735660032673
R,Key.alt,1735660032811
P,Key.alt,1735660036827
R,Key.alt,1735660036829
P,e,1735660037876
R,e,1735660037982
P,v,1735660038042
P,e,1735660038130
R,v,1735660038154
R,e,1735660038227
P,r,1735660038370
R,r,1735660038467
P,y,1735660038785
R,y,1735660038850
P,o,1735660039009
R,o,1735660039106
P,n,1735660039222
R,n,1735660039337
P,e,1735660039347
R,e,1735660039456
P,Key.space,1735660039481
R,Key.space,1735660039577
P,w,1735660040178
R,w,1735660040242
P,a,1735660040386
R,a,1735660040490
P,s,1735660040594
P,Key.space,1735660040673
R,s,1735660040690
P,s,1735660040795
R,Key.space,1735660040810
R,s,1735660040891
P,h,1735660040990
P,o,1735660041077
R,h,1735660041147
R,o,1735660041178
P,c,1735660041275
R,c,1735660041371
P,k,1735660041377
R,k,1735660041498
P,e,1735660041601
R,e,1735660041698
P,d,1735660041894
R,d,1735660041988
P,Key.space,1735660042076
R,Key.space,1735660042193
P,a,1735660042234
R,a,1735660042361
P,n,1735660042378
R,n,1735660042497
P,d,1735660042521
R,d,1735660042646
P,Key.space,1735660042673
R,Key.space,1735660042780
P,Key.alt,1735660043017
R,Key.alt,1735660043081
P,Key.alt,1735660044111
R,Key.alt,1735660044129
P,i,1735660044556
R,i,1735660044655
P,t,1735660044685
R,t,1735660044758
P,Key.space,1735660045457
R,Key.space,1735660045550
P,c,1735660045623
R,c,1735660045734
P,o,1735660045734
R,o,1735660045839
P,m,1735660045911
R,m,1735660046040
P,p,1735660046040
R,p,1735660046164
P,l,1735660046239
R,l,1735660046351
P,e,1735660046999
R,e,1735660047105
P,t,1735660047211
R,t,1735660047288
P,Key.alt,1735660048272
R,Key.alt,1735660048378
P,Key.alt,1735660049242
R,Key.alt,1735660049243
P,l,1735660049793
R,l,1735660049919
P,Key.backspace,1735660050307
R,Key.backspace,1735660050390
P,e,1735660050546
R,e,1735660050754
P,l,1735660051201
R,l,1735660051325
P,y,1735660051438
R,y,1735660051496
P,Key.space,1735660051542
R,Key.space,1735660051635
P,Key.alt,1735660051990
R,Key.alt,1735660052070
P,Key.alt,1735660052839
R,Key.alt,1735660052844
P,s,1735660053253
R,s,1735660053367
P,h,1735660053456
P,i,1735660053531
R,h,1735660053599
R,i,1735660053637
P,f,1735660053752
R,f,1735660053853
P,t,1735660053957
R,t,1735660054046
P,e,1735660054135
R,e,1735660054207
P,d,1735660054382
R,d,1735660054484
P,Key.space,1735660054627
R,Key.space,1735660054702
P,Key.alt,1735660054910
R,Key.alt,1735660055007
P,Key.alt,1735660055647
R,Key.alt,1735660055660
P,t,1735660056182
R,t,1735660056274
P,h,1735660056280
R,h,1735660056383
P,e,1735660056445
