Press or Release,Key,Time
P,Key.shift,1735660004112
R,Key.shift,1735660004661
P,Key.shift,1735660006218
P,W,1735660006516
R,Key.shift,1735660006615
R,W,1735660006656
P,e,1735660007447
R,e,1735660007533
P,l,1735660007817
R,l,1735660007913
P,l,1735660007998
R,l,1735660008119
P,Key.space,1735660008276
R,Key.space,1735660008442
P,b,1735660011236
R,b,1735660011343
P,e,1735660011441
R,e,1735660011524
P,i,1735660011576
R,i,1735660011697
P,n,1735660011787
R,n,1735660011901
P,g,1735660012082
R,g,1735660012171
P,Key.space,1735660012225
R,Key.space,1735660012382
P,a,1735660012426
R,a,1735660012573
P,Key.space,1735660012588
R,Key.space,1735660012681
P,c,1735660013693
R,c,1735660013751
P,e,1735660013961
R,e,1735660014039
P,l,1735660014195
R,l,1735660014273
P,e,1735660014396
R,e,1735660014492
P,b,1735660014697
R,b,1735660014775
P,r,1735660014930
R,r,1735660014969
P,i,1735660015237
R,i,1735660015327
P,t,1735660015487
R,t,1735660015571
P,y,1735660015663
R,y,1735660015799
P,Key.space,1735660015840
R,Key.space,1735660015977
P,d,1735660016697
R,d,1735660016786
P,o,1735660016903
R,o,1735660016989
P,e,1735660017152
R,e,1735660017242
P,s,1735660017416
R,s,1735660017494
P,n,1735660019437
R,n,1735660019512
P,',1735660019969
R,',1735660020046
P,t,1735660020327
R,t,1735660020483
P,Key.space,1735660020486
R,Key.space,1735660020630
P,m,1735660025850
R,m,1735660025966
P,e,1735660026014
R,e,1735660026104
P,a,1735660026270
R,a,1735660026409
P,n,1735660026474
R,n,1735660026546
P,Key.space,1735660026666
R,Key.space,1735660026802
P,y,1735660027271
R,y,1735660027348
P,o,1735660027508
R,o,1735660027627
P,u,1735660027733
R,u,1735660027828
P,Key.space,1735660027886
R,Key.space,1735660028016
P,g,1735660028596
R,g,1735660028666
P,e,1735660028845
R,e,1735660028953
P,t,1735660029215
R,t,1735660029343
P,Key.space,1735660029588
R,Key.space,1735660029701
P,a,1735660029849
R,a,1735660029941
P,Key.space,1735660029976
R,Key.space,1735660030107
P,f,1735660030482
R,f,1735660030549
P,r,1735660030701
R,r,1735660030805
P,e,1735660030869
R,e,1735660030960
P,e,1735660031013
R,e,1735660031116
P,Key.space,1735660031152
R,Key.space,1735660031286
P,p,1735660031606
R,p,1735660031703
P,a,1735660031760
R,a,1735660031883
P,s,1735660032011
R,s,1735660032092
P,s,1735660032191
R,s,1735660032258
P,.,1735660033520
R,.,1735660033584
P,Key.space,1735660033781
R,Key.space,1735660033880
P,Key.shift,1735660034475
P,T,1735660034632
P,H,1735660034767
R,T,1735660034780
R,Key.shift,1735660034786
R,H,1735660034880
P,e,1735660035055
P,r,1735660035217
R,e,1735660035240
R,r,1735660035414
P,e,1735660035425
R,e,1735660035523
P,Key.backspace,1735660035920
