Press or Release,Key,Time
P,Key.shift,1735660004699
P,I,1735660005105
R,Key.shift,1735660005174
R,I,1735660005250
P,t,1735660005490
R,t,1735660005583
P,Key.space,1735660005761
R,Key.space,1735660005891
P,i,1735660006052
R,i,1735660006163
P,s,1735660006439
R,s,1735660006534
P,Key.space,1735660006743
R,Key.space,1735660006869
P,v,1735660006992
R,v,1735660007083
P,e,1735660007250
R,e,1735660007341
P,r,1735660007461
R,r,1735660007557
P,y,1735660007734
R,y,1735660007834
P,Key.space,1735660008007
R,Key.space,1735660008143
P,e,1735660012134
R,e,1735660012252
P,m,1735660012692
R,m,1735660012792
P,o,1735660012956
R,o,1735660013044
P,t,1735660013318
R,t,1735660013413
P,i,1735660013614
R,i,1735660013702
P,o,1735660013858
R,o,1735660013955
P,n,1735660015715
R,n,1735660015826
P,a,1735660016097
R,a,1735660016183
P,l,1735660016603
R,l,1735660016720
P,Key.space,1735660016888
R,Key.space,1735660016980
P,a,1735660017261
R,a,1735660017364
P,b,1735660017702
R,b,1735660017782
P,o,1735660018065
R,o,1735660018161
P,u,1735660018313
R,u,1735660018398
P,t,1735660018562
R,t,1735660018653
P,Key.space,1735660018823
R,Key.space,1735660018939
P,b,1735660019088
R,b,1735660019179
P,l,1735660019425
R,l,1735660019532
P,a,1735660019885
R,a,1735660019981
P,c,1735660020161
R,c,1735660020265
P,k,1735660020631
R,k,1735660020730
P,Key.space,1735660020890
R,Key.space,1735660021002
P,p,1735660021348
R,p,1735660021464
P,r,1735660021752
R,r,1735660021862
P,Key.backspace,1735660022382
R,Key.backspace,1735660022509
P,e,1735660022772
R,e,1735660022903
P,o,1735660023394
R,o,1735660023495
P,p,1735660023649
R,p,1735660023744
P,l,1735660023846
R,l,1735660023940
P,e,1735660024212
R,e,1735660024307
P,Key.space,1735660024497
R,Key.space,1735660024628
P,h,1735660024798
R,h,1735660024881
P,o,1735660025088
R,o,1735660025192
P,w,1735660025500
R,w,1735660025603
P,Key.space,1735660025843
R,Key.space,1735660025949
P,t,1735660026150
R,t,1735660026254
P,h,1735660026394
R,h,1735660026518
P,e,1735660026676
R,e,1735660026767
P,y,1735660026962
R,y,1735660027056
P,Key.space,1735660027242
R,Key.space,1735660027350
P,a,1735660027571
R,a,1735660027674
P,r,1735660027839
R,r,1735660027942
P,e,1735660028064
R,e,1735660028159
P,Key.space,1735660028424
R,Key.space,1735660028543
P,i,1735660028749
R,i,1735660028860
P,n,1735660028996
R,n,1735660029089
P,Key.space,1735660029205
R,Key.space,1735660029328
