Press or Release,Key,Time
P,Key.shift,1735660001319
P,W,1735660001400
R,Key.shift,1735660001480
R,W,1735660001501
P,i,1735660001570
P,l,1735660001642
R,i,1735660001693
R,l,1735660001723
P,l,1735660001822
P,Key.space,1735660001901
R,l,1735660001905
R,Key.space,1735660001999
P,Key.shift,1735660002146
P,S,1735660002212
R,Key.shift,1735660002276
R,S,1735660002318
P,m,1735660002347
P,i,1735660002468
R,m,1735660002475
R,i,1735660002563
P,t,1735660002878
R,t,1735660002998
P,h,1735660003072
P,Key.space,1735660003184
R,h,1735660003197
R,Key.space,1735660003281
P,i,1735660003288
R,i,1735660003364
P,s,1735660003391
P,Key.space,1735660003470
R,s,1735660003478
R,Key.space,1735660003549
P,w,1735660003672
R,w,1735660003778
P,a,1735660003842
P,y,1735660003947
R,a,1735660003953
P,Key.space,1735660004048
R,y,1735660004066
R,Key.space,1735660004121
P,o,1735660004248
P,u,1735660004340
R,o,1735660004369
R,u,1735660004428
P,t,1735660004499
R,t,1735660004579
P,Key.space,1735660004656
R,Key.space,1735660004804
P,o,1735660004858
R,o,1735660004929
P,f,1735660004972
P,Key.space,1735660005030
R,f,1735660005047
R,Key.space,1735660005112
P,l,1735660005244
P,i,1735660005324
R,l,1735660005334
P,n,1735660005413
R,i,1735660005463
R,n,1735660005510
P,e,1735660005542
R,e,1735660005626
P,.,1735660005681
R,.,1735660005760
P,Key.space,1735660005771
R,Key.space,1735660005831
P,Key.space,1735660005919
R,Key.space,1735660005976
P,Key.shift,1735660007647
R,Key.shift,1735660008139
P,Key.shift,1735660009626
P,C,1735660010049
R,C,1735660010136
R,Key.shift,1735660010162
P,h,1735660010227
R,h,1735660010298
P,r,1735660010366
R,r,1735660010448
P,i,1735660010950
R,i,1735660011016
P,s,1735660011091
R,s,1735660011186
P,Key.space,1735660011408
R,Key.space,1735660011508
P,Key.shift,1735660011624
P,R,1735660011734
R,Key.shift,1735660011769
R,R,1735660011828
P,o,1735660011854
R,o,1735660011946
P,c,1735660011987
R,c,1735660012083
P,k,1735660012089
R,k,1735660012211
P,Key.comma,1735660012527
P,Key.space,1735660012615
R,Key.comma,1735660012629
R,Key.space,1735660012724
P,o,1735660012778
P,n,1735660012874
P,Key.space,1735660012908
R,o,1735660012922
R,n,1735660012959
R,Key.space,1735660013020
P,t,1735660013041
R,t,1735660013121
P,h,1735660013140
R,h,1735660013207
P,e,1735660013221
R,e,1735660013286
P,Key.space,1735660013309
R,Key.space,1735660013386
P,o,1735660013447
R,o,1735660013554
P,t,1735660013605
R,t,1735660013690
P,h,1735660013726
P,e,1735660013768
R,h,1735660013798
P,r,1735660013845
R,e,1735660013890
R,r,1735660013935
P,Key.space,1735660013948
R,Key.space,1735660014026
P,h,1735660014127
R,h,1735660014204
P,a,1735660014270
R,a,1735660014377
P,n,1735660014379
R,n,1735660014457
P,d,1735660014502
R,d,1735660014581
P,Key.comma,1735660014622
R,Key.comma,1735660014732
P,Key.space,1735660014750
R,Key.space,1735660014824
P,h,1735660015101
R,h,1735660015191
P,a,1735660015225
R,a,1735660015317
P,n,1735660015354
R,n,1735660015431
P,d,1735660015484
R,d,1735660015581
P,l,1735660015601
R,l,1735660015679
P,e,1735660015849
R,e,1735660015935
P,d,1735660016040
R,d,1735660016148
P,Key.space,1735660016167
R,Key.space,1735660016264
P,i,1735660016366
R,i,1735660016442
P,t,1735660016520
R,t,1735660016597
P,w,1735660016794
R,w,1735660016866
P,Key.backspace,1735660017356
R,Key.backspace,1735660017462
P,Key.space,1735660017620
R,Key.space,1735660017719
P,w,1735660017816
R,w,1735660017927
P,e,1735660018095
R,e,1735660018193
P,l,1735660018346
R,l,1735660018399
P,l,1735660018470
R,l,1735660018542
P,.,1735660018691
R,.,1735660018769
P,Key.space,1735660018809
R,Key.space,1735660018843
P,Key.space,1735660018939
R,Key.space,1735660018988
P,Key.shift,1735660019271
P,I,1735660019364
R,Key.shift,1735660019425
R,I,1735660019427
P,t,1735660019498
R,t,1735660019586
P,',1735660019642
R,',1735660019729
P,s,1735660019758
R,s,1735660019862
P,Key.space,1735660019867
R,Key.space,1735660019951
P,p,1735660020097
R,p,1735660020189
P,r,1735660020205
R,r,1735660020276
P,o,1735660020323
R,o,1735660020413
P,b,1735660020466
P,a,1735660020573
R,b,1735660020575
P,b,1735660020689
R,a,1735660020722
R,b,1735660020780
P,l,1735660020784
R,l,1735660020832
P,y,1735660020939
P,Key.space,1735660021018
R,y,1735660021038
R,Key.space,1735660021092
P,Key.backspace,1735660022162
R,Key.backspace,1735660022212
P,Key.backspace,1735660022290
R,Key.backspace,1735660022312
P,Key.backspace,1735660022381
R,Key.backspace,1735660022423
P,Key.backspace,1735660022485
R,Key.backspace,1735660022526
P,Key.backspace,1735660022590
R,Key.backspace,1735660022628
P,Key.backspace,1735660022690
R,Key.backspace,1735660022738
P,Key.backspace,1735660022821
R,Key.backspace,1735660022850
P,Key.backspace,1735660022922
R,Key.backspace,1735660022966
P,Key.backspace,1735660023031
R,Key.backspace,1735660023083
P,Key.backspace,1735660023164
R,Key.backspace,1735660023188
P,Key.backspace,1735660023269
R,Key.backspace,1735660023334
P,Key.backspace,1735660023719
R,Key.backspace,1735660023777
P,Key.space,1735660023879
R,Key.space,1735660023939
P,w,1735660024017
R,w,1735660024112
P,a,1735660024232
P,s,1735660024300
R,a,1735660024345
R,s,1735660024382
P,Key.space,1735660024403
R,Key.space,1735660024491
P,o,1735660024550
R,o,1735660024631
P,b,1735660024786
R,b,1735660024860
P,v,1735660025232
R,v,1735660025346
P,i,1735660025520
P,o,1735660025647
R,i,1735660025668
P,u,1735660025736
R,o,1735660025796
R,u,1735660025824
P,s,1735660025892
R,s,1735660026004
P,l,1735660026006
R,l,1735660026083
P,y,1735660026175
R,y,1735660026278
P,Key.space,1735660026285
R,Key.space,1735660026342
P,s,1735660026461
R,s,1735660026599
P,h,1735660026613
R,h,1735660026688
P,o,1735660026732
R,o,1735660026839
P,c,1735660027191
R,c,1735660027308
P,k,1735660027315
R,k,1735660027387
P,i,1735660027508
P,n,1735660027589
R,i,1735660027657
P,g,1735660027677
R,n,1735660027684
R,g,1735660027760
P,Key.space,1735660027801
R,Key.space,1735660027870
P,t,1735660028063
R,t,1735660028159
P,o,1735660028300
R,o,1735660028416
P,Key.space,1735660028419
R,Key.space,1735660028518
P,b,1735660028739
R,b,1735660028810
P,e,1735660028910
R,e,1735660028979
P,Key.space,1735660029045
R,Key.space,1735660029215
P,l,1735660029217
R,l,1735660029293
P,Key.backspace,1735660029581
R,Key.backspace,1735660029639
P,s,1735660029672
R,s,1735660029789
P,l,1735660029806
R,l,1735660029908
P,a,1735660029979
R,a,1735660030121
P,p,1735660030139
R,p,1735660030181
P,p,1735660030274
R,p,1735660030344
P,e,1735660030433
R,e,1735660030516
P,d,1735660030618
P,Key.space,1735660030701
R,d,1735660030708
R,Key.space,1735660030782
P,b,1735660030905
R,b,1735660030972
P,y,1735660031048
R,y,1735660031164
P,Key.space,1735660031165
R,Key.space,1735660031230
P,a,1735660031326
P,Key.space,1735660031398
R,a,1735660031422
R,Key.space,1735660031491
P,j,1735660031624
R,j,1735660031680
P,e,1735660032459
R,e,1735660032552
P,a,1735660033445
R,a,1735660033560
P,l,1735660033646
R,l,1735660033705
P,o,1735660033836
P,u,1735660033925
R,o,1735660033946
R,u,1735660034010
P,s,1735660034027
R,s,1735660034118
P,Key.space,1735660034176
R,Key.space,1735660034264
P,h,1735660034383
R,h,1735660034453
P,s,1735660034640
R,s,1735660034797
P,Key.backspace,1735660035236
R,Key.backspace,1735660035292
P,u,1735660035402
R,u,1735660035491
P,s,1735660035559
R,s,1735660035682
P,b,1735660036085
R,b,1735660036205
P,a,1735660036209
R,a,1735660036344
P,n,1735660036430
R,n,1735660036522
P,d,1735660036595
R,d,1735660036680
P,Key.space,1735660036690
R,Key.space,1735660036802
P,o,1735660036825
P,n,1735660036903
R,o,1735660036948
P,Key.space,1735660036986
R,n,1735660037011
R,Key.space,1735660037064
P,n,1735660037182
R,n,1735660037286
P,a,1735660037312
R,a,1735660037392
P,t,1735660037475
R,t,1735660037541
P,i,1735660037565
P,o,1735660037649
P,n,1735660037700
R,i,1735660037726
R,o,1735660037759
R,n,1735660037846
P,a,1735660038163
R,a,1735660038284
P,l,1735660038346
P,Key.space,1735660038422
R,l,1735660038434
R,Key.space,1735660038510
P,t,1735660038991
R,t,1735660039046
P,e,1735660039123
R,e,1735660039203
P,l,1735660039389
R,l,1735660039534
P,e,1735660039604
R,e,1735660039672
P,v,1735660039781
R,v,1735660039889
P,e,1735660039936
R,e,1735660040056
P,i,1735660040237
R,i,1735660040335
P,Key.backspace,1735660040590
R,Key.backspace,1735660040643
P,Key.backspace,1735660040721
R,Key.backspace,1735660040785
P,i,1735660040965
R,i,1735660041084
P,s,1735660041567
R,s,1735660041678
P,i,1735660041712
P,o,1735660041776
P,n,1735660041839
R,i,1735660041848
R,o,1735660041934
R,n,1735660042035
P,Key.space,1735660042525
R,Key.space,1735660042642
P,i,1735660042669
P,n,1735660042770
R,i,1735660042824
P,Key.space,1735660042855
R,n,1735660042873
P,t,1735660042916
R,Key.space,1735660042918
R,t,1735660042987
P,h,1735660043019
R,h,1735660043094
P,e,1735660043099
R,e,1735660043163
P,Key.space,1735660043201
R,Key.space,1735660043253
P,m,1735660043284
P,i,1735660043358
R,m,1735660043409
R,i,1735660043465
P,d,1735660043470
R,d,1735660043544
P,d,1735660043621
R,d,1735660043700
P,l,1735660043948
R,l,1735660044044
P,e,1735660044066
R,e,1735660044123
P,Key.space,1735660044154
R,Key.space,1735660044238
P,o,1735660044262
R,o,1735660044366
P,f,1735660044369
P,Key.space,1735660044440
R,f,1735660044445
R,Key.space,1735660044522
P,h,1735660044764
P,i,1735660044828
R,h,1735660044876
R,i,1735660044900
P,s,1735660044969
R,s,1735660045047
P,Key.space,1735660045069
R,Key.space,1735660045167
P,a,1735660045513
R,a,1735660045627
P,c,1735660045684
R,c,1735660045760
P,t,1735660045866
R,t,1735660045930
P,.,1735660046024
P,Key.space,1735660046112
R,.,1735660046122
R,Key.space,1735660046168
P,Key.space,1735660046265
R,Key.space,1735660046311
P,Key.shift,1735660046414
P,C,1735660046488
R,Key.shift,1735660046510
R,C,1735660046569
P,a,1735660046674
P,r,1735660046829
R,a,1735660046836
R,r,1735660046917
P,Key.backspace,1735660047298
R,Key.backspace,1735660047346
P,Key.backspace,1735660047419
R,Key.backspace,1735660047481
P,r,1735660047532
P,a,1735660047639
R,r,1735660047644
R,a,1735660047702
P,z,1735660047984
R,z,1735660048084
P,y,1735660048181
R,y,1735660048258
P,.,1735660048405
R,.,1735660048472
