Press or Release,Key,Time
P,t,1735660016786
R,t,1735660016855
P,h,1735660016959
R,h,1735660017071
P,e,1735660017135
R,e,1735660017246
P,Key.space,1735660017295
R,Key.space,1735660017424
P,c,1735660018879
R,c,1735660019023
P,i,1735660019055
R,i,1735660019135
P,n,1735660021031
R,n,1735660021110
P,e,1735660022520
R,e,1735660022641
P,m,1735660022806
R,m,1735660022920
P,a,1735660023040
R,a,1735660023208
P,t,1735660023848
R,t,1735660023983
P,o,1735660024134
R,o,1735660024271
P,g,1735660024689
R,g,1735660024782
P,r,1735660024927
R,r,1735660025017
P,a,1735660025526
R,a,1735660025679
P,p,1735660028536
R,p,1735660028648
P,h,1735660028959
R,h,1735660029054
P,y,1735660029166
R,y,1735660029271
P,Key.space,1735660030239
R,Key.space,1735660030408
P,w,1735660030983
R,w,1735660031079
P,a,1735660031135
R,a,1735660031287
P,s,1735660031303
R,s,1735660031407
P,Key.space,1735660034407
R,Key.space,1735660034551
P,s,1735660035600
R,s,1735660035719
P,t,1735660035991
R,t,1735660036134
P,u,1735660036176
R,u,1735660036263
P,n,1735660036576
R,n,1735660036663
P,n,1735660036719
R,n,1735660036815
P,i,1735660036966
R,i,1735660037063
P,n,1735660037224
R,n,1735660037295
P,g,1735660037431
R,g,1735660037534
P,Key.space,1735660039557
R,Key.space,1735660039639
P,e,1735660040361
R,e,1735660040464
P,s,1735660040744
R,s,1735660040903
P,p,1735660041111
R,p,1735660041207
P,e,1735660042024
R,e,1735660042175
P,c,1735660043752
R,c,1735660043871
P,i,1735660044440
R,i,1735660044527
P,a,1735660044840
R,a,1735660044983
P,l,1735660045064
R,l,1735660045151
P,l,1735660045223
R,l,1735660045311
P,y,1735660045487
R,y,1735660045575
P,Key.space,1735660046720
R,Key.space,1735660046870
P,t,1735660047416
R,t,1735660047535
P,h,1735660047640
R,h,1735660047735
P,e,1735660047799
R,e,1735660047927
P,Key.space,1735660048007
R,Key.space,1735660048127
P,u,1735660049803
R,u,1735660049895
P,s,1735660050105
P,e,1735660050240
R,s,1735660050256
R,e,1735660050358
P,Key.space,1735660050528
R,Key.space,1735660050655
P,o,1735660051752
R,o,1735660051848
P,f,1735660052255
R,f,1735660052351
P,Key.space,1735660052489
R,Key.space,1735660052583
P,l,1735660053135
R,l,1735660053232
P,o,1735660053383
R,o,1735660053479
