Press or Release,Key,Time
P,Key.shift,1735660140032
P,N,1735660140394
R,N,1735660140485
R,Key.shift,1735660140562
P,o,1735660140869
P,w,1735660140933
R,o,1735660141009
R,w,1735660141065
P,Key.space,1735660141131
R,Key.space,1735660141259
P,t,1735660141431
R,t,1735660141609
P,h,1735660141908
R,h,1735660141997
P,i,1735660142034
R,i,1735660142160
P,s,1735660142380
R,s,1735660142528
P,Key.space,1735660142544
R,Key.space,1735660142656
P,m,1735660142842
P,a,1735660142908
R,m,1735660142969
R,a,1735660143035
P,k,1735660143129
P,e,1735660143209
R,k,1735660143304
R,e,1735660143330
P,s,1735660143429
R,s,1735660143557
P,Key.space,1735660143590
R,Key.space,1735660143694
P,m,1735660143755
P,e,1735660143845
R,m,1735660143927
R,e,1735660143934
P,Key.space,1735660144005
R,Key.space,1735660144097
P,s,1735660144246
R,s,1735660144370
P,a,1735660144506
R,a,1735660144613
P,i,1735660144780
P,d,1735660144809
R,i,1735660144879
R,d,1735660144925
P,Key.comma,1735660145121
P,Key.space,1735660145216
R,Key.comma,1735660145285
R,Key.space,1735660145339
P,Key.backspace,1735660145668
R,Key.backspace,1735660145769
P,Key.backspace,1735660145890
R,Key.backspace,1735660145958
P,Key.backspace,1735660146082
R,Key.backspace,1735660146166
P,Key.backspace,1735660146295
R,Key.backspace,1735660146388
P,d,1735660146406
R,d,1735660146475
P,.,1735660148257
R,.,1735660148378
P,Key.shift,1735660149579
R,Key.shift,1735660149641
P,Key.space,1735660149927
R,Key.space,1735660150057
P,Key.shift,1735660150159
P,A,1735660150373
R,A,1735660150491
R,Key.shift,1735660150589
P,n,1735660150651
P,d,1735660150749
R,n,1735660150803
R,d,1735660150872
P,Key.space,1735660150956
R,Key.space,1735660151060
P,Key.shift,1735660151152
P,I,1735660151272
R,I,1735660151380
R,Key.shift,1735660151452
P,',1735660153031
R,',1735660153135
P,m,1735660153712
P,Key.space,1735660153766
R,m,1735660153844
R,Key.space,1735660153878
P,n,1735660154168
R,n,1735660154290
P,o,1735660154390
P,t,1735660154478
R,o,1735660154568
R,t,1735660154608
P,Key.space,1735660154678
R,Key.space,1735660154787
P,g,1735660155027
R,g,1735660155170
P,o,1735660155219
R,o,1735660155319
P,i,1735660155511
R,i,1735660155656
P,n,1735660155819
P,g,1735660155921
R,n,1735660155980
R,g,1735660156044
P,Key.space,1735660156102
R,Key.space,1735660156194
P,t,1735660156256
P,o,1735660156382
R,t,1735660156391
P,Key.space,1735660156452
R,o,1735660156522
R,Key.space,1735660156576
P,c,1735660156752
P,o,1735660156904
R,c,1735660156911
R,o,1735660157022
P,m,1735660157188
R,m,1735660157325
P,m,1735660157431
P,e,1735660157501
R,m,1735660157554
R,e,1735660157585
P,n,1735660157703
P,t,1735660157749
R,n,1735660157833
R,t,1735660157844
P,Key.space,1735660157899
R,Key.space,1735660158002
P,o,1735660158095
R,o,1735660158221
P,n,1735660158385
P,Key.space,1735660158459
R,Key.space,1735660158560
R,n,1735660158562
P,w,1735660158777
R,w,1735660158890
P,h,1735660158969
P,e,1735660159055
R,h,1735660159144
R,e,1735660159172
P,t,1735660159338
R,t,1735660159447
P,h,1735660159506
P,e,1735660159604
R,h,1735660159665
R,e,1735660159693
P,r,1735660159800
R,r,1735660159923
P,Key.space,1735660159966
R,Key.space,1735660160066
P,o,1735660160132
P,r,1735660160200
R,o,1735660160278
R,r,1735660160313
P,Key.space,1735660160378
R,Key.space,1735660160466
P,n,1735660160599
R,n,1735660160731
P,o,1735660160935
P,t,1735660160985
R,o,1735660161102
R,t,1735660161103
P,Key.space,1735660161164
R,Key.space,1735660161279
P,w,1735660161358
R,w,1735660161478
P,e,1735660161591
R,e,1735660161706
P,Key.space,1735660161782
R,Key.space,1735660161888
P,s,1735660161962
R,s,1735660162080
P,h,1735660162301
R,h,1735660162438
P,o,1735660162477
R,o,1735660162606
P,u,1735660162812
R,u,1735660162938
P,l,1735660163148
P,d,1735660163245
P,f,1735660163278
R,l,1735660163310
R,f,1735660163311
R,d,1735660163423
P,Key.space,1735660163755
R,Key.space,1735660163864
