Press or Release,Key,Time
P,t,1735660065553
R,t,1735660065618
P,r,1735660065857
R,r,1735660065921
P,u,1735660066514
R,u,1735660066576
P,m,1735660067090
R,m,1735660067153
P,p,1735660067552
R,p,1735660067632
P,Key.space,1735660069297
R,Key.space,1735660069393
P,a,1735660071138
R,a,1735660071202
P,n,1735660072065
R,n,1735660072145
P,d,1735660072257
R,d,1735660072337
P,Key.space,1735660072481
R,Key.space,1735660072545
P,z,1735660073986
R,z,1735660074081
P,Key.backspace,1735660077394
R,Key.backspace,1735660077490
P,v,1735660077825
R,v,1735660077891
P,a,1735660078242
R,a,1735660078353
P,n,1735660078465
R,n,1735660078545
P,c,1735660078658
R,c,1735660078784
P,e,1735660078833
R,e,1735660078946
P,Key.space,1735660080369
R,Key.space,1735660080450
P,a,1735660080562
R,a,1735660080642
P,n,1735660080705
R,n,1735660080785
P,d,1735660080897
R,d,1735660080960
P,Key.space,1735660080994
R,Key.space,1735660081058
P,z,1735660081969
R,z,1735660082067
P,e,1735660082689
R,e,1735660082834
P,l,1735660083121
R,l,1735660083217
P,e,1735660083345
R,e,1735660083441
P,n,1735660084706
R,n,1735660084786
P,s,1735660085089
R,s,1735660085185
P,k,1735660085874
R,k,1735660085953
P,y,1735660086801
R,y,1735660086897
P,y,1735660086993
R,y,1735660087090
P,Key.space,1735660090993
R,Key.space,1735660091090
P,i,1735660101569
R,i,1735660101649
P,s,1735660101793
R,s,1735660101841
P,Key.space,1735660101890
R,Key.space,1735660101938
P,p,1735660102225
R,p,1735660102289
P,a,1735660102417
R,a,1735660102513
P,r,1735660102642
R,r,1735660102706
P,c,1735660103106
R,c,1735660103201
P,i,1735660103457
R,i,1735660103522
P,p,1735660103842
P,[,1735660103843
R,[,1735660103874
R,p,1735660103890
P,a,1735660104050
R,a,1735660104146
P,t,1735660104290
R,t,1735660104354
P,i,1735660104785
R,i,1735660104849
P,n,1735660105025
R,n,1735660105073
P,g,1735660105234
R,g,1735660105298
P,Key.backspace,1735660107682
R,Key.backspace,1735660107794
P,Key.backspace,1735660107905
R,Key.backspace,1735660107970
P,Key.backspace,1735660108050
R,Key.backspace,1735660108129
P,Key.backspace,1735660108225
R,Key.backspace,1735660108306
P,Key.backspace,1735660108386
R,Key.backspace,1735660108466
P,Key.backspace,1735660108561
R,Key.backspace,1735660108625
P,Key.backspace,1735660108882
