Press or Release,Key,Time
P,Key.shift,1735660002496
P,I,1735660003487
R,Key.shift,1735660003499
R,I,1735660003541
P,t,1735660004972
R,t,1735660005110
P,Key.space,1735660005126
R,Key.space,1735660005230
P,s,1735660005303
R,s,1735660005389
P,i,1735660005551
R,i,1735660005606
P,l,1735660007070
R,l,1735660007140
P,l,1735660007232
R,l,1735660007293
P,y,1735660007848
R,y,1735660007917
P,Key.space,1735660008033
R,Key.space,1735660008116
P,t,1735660008141
P,o,1735660008248
R,t,1735660008260
R,o,1735660008333
P,Key.space,1735660008375
R,Key.space,1735660008502
P,w,1735660008649
R,w,1735660008758
P,a,1735660008865
R,a,1735660008997
P,t,1735660009031
R,t,1735660009158
P,c,1735660011070
R,c,1735660011199
P,h,1735660011206
R,h,1735660011278
P,Key.space,1735660011486
R,Key.space,1735660011565
P,Key.ctrl,1735660018023
P,Key.backspace,1735660018205
R,Key.backspace,1735660018294
P,Key.backspace,1735660018406
R,Key.backspace,1735660018469
P,Key.backspace,1735660018816
R,Key.backspace,1735660018894
R,Key.ctrl,1735660019046
P,r,1735660019464
P,e,1735660019574
R,r,1735660019646
P,a,1735660019664
R,e,1735660019709
R,a,1735660019799
P,l,1735660019934
R,l,1735660019997
P,l,1735660020084
R,l,1735660020199
P,y,1735660020344
R,y,1735660020414
P,Key.space,1735660020496
R,Key.space,1735660020598
P,s,1735660020616
P,i,1735660020712
R,s,1735660020723
R,i,1735660020781
P,l,1735660021087
R,l,1735660021141
P,l,1735660021223
R,l,1735660021278
P,y,1735660021785
R,y,1735660021869
P,Key.space,1735660021992
R,Key.space,1735660022101
P,t,1735660022125
R,t,1735660022245
P,o,1735660022264
R,o,1735660022358
P,Key.space,1735660022439
R,Key.space,1735660022532
P,w,1735660023065
R,w,1735660023158
P,a,1735660023239
R,a,1735660023430
P,t,1735660023437
R,t,1735660023549
P,c,1735660023681
P,h,1735660023775
R,c,1735660023838
R,h,1735660023839
P,Key.space,1735660023938
R,Key.space,1735660024014
P,t,1735660024222
P,h,1735660024325
R,t,1735660024340
R,h,1735660024413
P,e,1735660024431
R,e,1735660024541
P,s,1735660024870
R,s,1735660024973
P,e,1735660025374
R,e,1735660025502
P,Key.space,1735660025665
R,Key.space,1735660025750
P,t,1735660025913
P,h,1735660026041
R,t,1735660026053
R,h,1735660026134
P,r,1735660026201
R,r,1735660026293
P,e,1735660026375
R,e,1735660026421
P,e,1735660026509
R,e,1735660026588
P,Key.space,1735660026654
R,Key.space,1735660026757
P,a,1735660026887
R,a,1735660027038
P,r,1735660027085
R,r,1735660027206
P,g,1735660027854
R,g,1735660027984
P,u,1735660028400
R,u,1735660028501
P,i,1735660028630
R,i,1735660028716
P,n,1735660028848
R,n,1735660028949
P,n,1735660029968
R,n,1735660030030
P,Key.backspace,1735660030487
P,g,1735660030589
R,Key.backspace,1735660030598
R,g,1735660030709
P,Key.space,1735660030757
R,Key.space,1735660030861
P,i,1735660031703
P,n,1735660031839
R,i,1735660031861
P,Key.space,1735660031976
R,n,1735660032037
R,Key.space,1735660032094
P,f,1735660032487
R,f,1735660032614
P,r,1735660032648
R,r,1735660032773
P,o,1735660032837
R,o,1735660032924
P,n,1735660033037
R,n,1735660033134
P,t,1735660033190
P,Key.space,1735660033302
R,t,1735660033312
R,Key.space,1735660033382
P,o,1735660033399
R,o,1735660033468
P,f,1735660033864
R,f,1735660033988
P,Key.space,1735660034014
R,Key.space,1735660034109
P,w,1735660034469
R,w,1735660034566
P,h,1735660034615
R,h,1735660034701
P,i,1735660034887
R,i,1735660034988
P,=,1735660035416
R,=,1735660035428
P,Key.backspace,1735660035853
R,Key.backspace,1735660035917
P,Key.backspace,1735660036015
R,Key.backspace,1735660036092
P,o,1735660036502
R,o,1735660036565
P,l,1735660036709
R,l,1735660036798
P,e,1735660036832
R,e,1735660036919
P,Key.space,1735660036966
R,Key.space,1735660037078
P,w,1735660037132
R,w,1735660037229
P,o,1735660037252
R,o,1735660037333
P,r,1735660037358
R,r,1735660037479
P,l,1735660037663
R,l,1735660037765
P,d,1735660037832
R,d,1735660037958
P,.,1735660038094
R,.,1735660038174
P,Key.space,1735660038263
R,Key.space,1735660038359
P,Key.shift,1735660038406
P,S,1735660039388
R,Key.shift,1735660039452
R,S,1735660039501
P,e,1735660039633
R,e,1735660039701
P,e,1735660039773
R,e,1735660039853
P,m,1735660040509
R,m,1735660040599
P,s,1735660040601
R,s,1735660040693
P,Key.space,1735660040709
R,Key.space,1735660040788
P,t,1735660040822
P,o,1735660040918
R,t,1735660040934
R,o,1735660040982
P,Key.space,1735660041006
R,Key.space,1735660041126
P,m,1735660041701
R,m,1735660041782
P,e,1735660041815
P,Key.space,1735660041901
R,e,1735660041917
R,Key.space,1735660041989
P,t,1735660042335
R,t,1735660042437
P,h,1735660042448
R,h,1735660042558
P,a,1735660042562
P,t,1735660042623
R,a,1735660042678
R,t,1735660042749
P,Key.space,1735660042757
R,Key.space,1735660042862
P,e,1735660043022
R,e,1735660043157
P,v,1735660043270
R,v,1735660043374
P,e,1735660043439
P,r,1735660043549
R,e,1735660043580
R,r,1735660043678
P,y,1735660043871
R,y,1735660043940
P,o,1735660044711
R,o,1735660044798
P,n,1735660044918
R,n,1735660044997
P,e,1735660045030
P,Key.space,1735660045134
R,e,1735660045160
R,Key.space,1735660045230
P,i,1735660045701
R,i,1735660045788
P,s,1735660045823
P,Key.space,1735660045913
R,s,1735660045924
R,Key.space,1735660045980
P,h,1735660046062
P,a,1735660046101
R,h,1735660046157
P,v,1735660046277
R,a,1735660046309
R,v,1735660046437
P,n,1735660046766
R,n,1735660046820
P,Key.backspace,1735660047254
R,Key.backspace,1735660047350
P,i,1735660047533
P,n,1735660047694
R,i,1735660047732
P,g,1735660047764
R,n,1735660047789
P,Key.space,1735660047884
R,g,1735660047893
R,Key.space,1735660047988
P,e,1735660048117
R,e,1735660048247
P,g,1735660048359
R,g,1735660048469
P,o,1735660048510
R,o,1735660048646
P,Key.space,1735660048664
R,Key.space,1735660048790
P,p,1735660048896
R,p,1735660049022
P,r,1735660049031
R,r,1735660049141
P,o,1735660049151
R,o,1735660049236
P,b,1735660049438
R,b,1735660049526
P,e,1735660049864
R,e,1735660049997
P,m,1735660050069
R,m,1735660050148
P,.,1735660050317
R,.,1735660050391
P,Key.space,1735660051032
R,Key.space,1735660051160
P,Key.backspace,1735660051382
R,Key.backspace,1735660051446
P,Key.backspace,1735660051806
R,Key.backspace,1735660051869
P,Key.space,1735660052055
R,Key.space,1735660052174
P,h,1735660052374
R,h,1735660052469
P,e,1735660052542
P,r,1735660052668
R,r,1735660052820
R,e,1735660052836
P,e,1735660053486
R,e,1735660053598
P,.,1735660053681
R,.,1735660053774
P,Key.space,1735660053855
R,Key.space,1735660053989
P,Key.shift,1735660054053
P,B,1735660055356
R,B,1735660055445
R,Key.shift,1735660055509
P,o,1735660055572
R,o,1735660055685
P,t,1735660055952
P,h,1735660056068
R,t,1735660056077
R,h,1735660056166
P,Key.space,1735660056590
R,Key.space,1735660056733
P,t,1735660056806
P,h,1735660056902
R,t,1735660056949
R,h,1735660057005
P,e,1735660057015
P,Key.space,1735660057118
R,e,1735660057133
R,Key.space,1735660057231
P,p,1735660057248
P,r,1735660057383
R,p,1735660057391
P,e,1735660057470
R,r,1735660057509
R,e,1735660057614
P,s,1735660057702
R,s,1735660057847
P,i,1735660057881
R,i,1735660057942
P,d,1735660059104
R,d,1735660059198
P,n,1735660059301
R,n,1735660059405
P,Key.backspace,1735660059934
P,e,1735660059974
R,Key.backspace,1735660059997
R,e,1735660060085
P,n,1735660060190
P,t,1735660060270
R,n,1735660060309
P,s,1735660060405
R,t,1735660060415
R,s,1735660060550
P,Key.space,1735660060597
R,Key.space,1735660060709
P,w,1735660061048
R,w,1735660061158
P,a,1735660061237
R,a,1735660061398
P,n,1735660061400
R,n,1735660061501
P,t,1735660061517
R,t,1735660061615
P,Key.space,1735660061616
P,t,1735660061685
R,Key.space,1735660061733
R,t,1735660061782
P,o,1735660062288
R,o,1735660062358
P,Key.space,1735660062455
R,Key.space,1735660062582
P,p,1735660062584
R,p,1735660062740
P,r,1735660062765
P,o,1735660062869
R,r,1735660062885
R,o,1735660062956
P,v,1735660063049
R,v,1735660063174
P,e,1735660063216
P,Key.space,1735660063296
R,e,1735660063318
R,Key.space,1735660063397
P,t,1735660063431
P,h,1735660063533
R,t,1735660063543
R,h,1735660063621
P,a,1735660064032
P,t,1735660064223
R,a,1735660064233
R,t,1735660064350
P,Key.space,1735660064375
R,Key.space,1735660064462
P,w,1735660064599
P,e,1735660064733
R,w,1735660064764
R,e,1735660064900
P,Key.backspace,1735660067464
R,Key.backspace,1735660067508
P,Key.backspace,1735660067599
R,Key.backspace,1735660067668
P,Key.shift,1735660067798
P,I,1735660068208
R,I,1735660068278
R,Key.shift,1735660068284
P,Key.space,1735660068360
R,Key.space,1735660068468
P,a,1735660068502
P,m,1735660068623
R,a,1735660068636
R,m,1735660068710
P,Key.space,1735660068751
R,Key.space,1735660068845
P,t,1735660068943
P,h,1735660069053
R,t,1735660069068
R,h,1735660069133
P,e,1735660069141
P,Key.space,1735660069246
R,e,1735660069254
R,Key.space,1735660069356
P,b,1735660069528
R,b,1735660069637
P,o,1735660070718
R,o,1735660070781
P,s,1735660070831
R,s,1735660070894
P,s,1735660070976
R,s,1735660071046
P,Key.space,1735660071095
R,Key.space,1735660071205
P,a,1735660072783
R,a,1735660072917
P,n,1735660072960
R,n,1735660073078
P,d,1735660073085
R,d,1735660073188
P,Key.space,1735660073237
R,Key.space,1735660073326
P,i,1735660073719
R,i,1735660073789
P,Key.space,1735660073960
R,Key.space,1735660074046
P,d,1735660077055
R,d,1735660077141
P,o,1735660077215
R,o,1735660077295
P,n,1735660077421
R,n,1735660077485
P,',1735660078239
R,',1735660078325
P,t,1735660078478
R,t,1735660078589
P,Key.space,1735660078621
R,Key.space,1735660078726
P,l,1735660078870
R,l,1735660078975
P,i,1735660079064
P,s,1735660079118
R,i,1735660079133
R,s,1735660079221
P,t,1735660079270
P,e,1735660079405
R,t,1735660079436
R,e,1735660079548
P,n,1735660079557
P,Key.space,1735660079696
R,n,1735660079704
P,t,1735660079758
R,Key.space,1735660079831
P,o,1735660079862
R,t,1735660079876
R,o,1735660079957
P,Key.space,1735660080100
R,Key.space,1735660080221
P,a,1735660080286
R,a,1735660080397
P,n,1735660080454
R,n,1735660080549
P,y,1735660080639
R,y,1735660080742
P,o,1735660080870
R,o,1735660081022
P,n,1735660081047
R,n,1735660081157
P,e,1735660081165
R,e,1735660081285
P,.,1735660081911
R,.,1735660082020
