Press or Release,Key,Time
P,Key.shift,1735660044796
P,C,1735660045371
R,Key.shift,1735660045513
R,C,1735660045532
P,o,1735660046145
P,a,1735660046251
R,o,1735660046253
R,a,1735660046376
P,c,1735660046428
R,c,1735660046557
P,h,1735660046590
R,h,1735660046710
P,Key.space,1735660046753
R,Key.space,1735660046877
P,Key.shift,1735660046887
P,C,1735660047035
R,Key.shift,1735660047133
R,C,1735660047180
P,a,1735660047409
R,a,1735660047561
P,r,1735660047627
R,r,1735660047743
P,t,1735660047867
R,t,1735660047974
P,e,1735660048499
R,e,1735660048593
P,r,1735660048738
R,r,1735660048866
P,Key.space,1735660048991
R,Key.space,1735660049115
P,i,1735660055534
P,s,1735660055634
R,i,1735660055638
R,s,1735660055721
P,Key.space,1735660055760
R,Key.space,1735660055861
P,s,1735660055920
R,s,1735660056032
P,u,1735660056160
R,u,1735660056185
P,c,1735660056244
R,c,1735660056327
P,h,1735660056461
R,h,1735660056551
P,Key.space,1735660056641
R,Key.space,1735660056736
P,a,1735660056829
R,a,1735660056920
P,Key.space,1735660056962
R,Key.space,1735660057076
P,n,1735660057277
P,i,1735660057413
R,n,1735660057430
P,c,1735660057488
R,i,1735660057501
R,c,1735660057668
P,e,1735660057699
R,e,1735660057800
P,Key.space,1735660057861
R,Key.space,1735660057965
P,f,1735660058258
R,f,1735660058372
P,e,1735660058498
R,e,1735660058590
P,e,1735660058682
R,e,1735660058789
P,l,1735660058813
R,l,1735660058881
P,-,1735660059102
R,-,1735660059205
P,g,1735660059477
R,g,1735660059548
P,o,1735660059556
R,o,1735660059632
P,o,1735660059722
R,o,1735660059786
P,d,1735660059827
R,d,1735660059932
P,Key.space,1735660060008
R,Key.space,1735660060084
P,f,1735660060122
P,i,1735660060235
R,f,1735660060236
R,i,1735660060334
P,l,1735660060483
P,m,1735660060636
R,l,1735660060665
R,m,1735660060762
P,Key.comma,1735660088094
R,Key.comma,1735660088188
P,Key.space,1735660088267
R,Key.space,1735660088407
P,l,1735660088532
R,l,1735660088629
P,o,1735660088772
P,v,1735660088838
R,o,1735660088905
R,v,1735660088992
P,e,1735660089155
P,d,1735660089324
R,e,1735660089336
R,d,1735660089475
P,Key.space,1735660089507
R,Key.space,1735660089611
P,h,1735660089876
P,o,1735660090032
R,h,1735660090034
R,o,1735660090173
P,w,1735660090190
P,Key.space,1735660090290
R,w,1735660090320
R,Key.space,1735660090433
P,i,1735660090494
R,i,1735660090605
P,t,1735660090632
P,Key.space,1735660090730
R,t,1735660090760
R,Key.space,1735660090849
P,t,1735660090875
R,t,1735660090986
P,a,1735660091195
R,a,1735660091316
P,c,1735660091641
R,c,1735660091731
P,k,1735660091788
R,k,1735660091872
P,e,1735660091974
R,e,1735660092053
P,l,1735660092057
R,l,1735660092194
P,Key.backspace,1735660092488
R,Key.backspace,1735660092752
P,Key.backspace,1735660093171
R,Key.backspace,1735660093314
P,l,1735660093640
P,e,1735660093723
R,l,1735660093742
R,e,1735660093867
P,d,1735660093882
R,d,1735660094058
P,Key.space,1735660094088
R,Key.space,1735660094196
P,s,1735660094355
R,s,1735660094447
P,e,1735660094468
R,e,1735660094575
P,l,1735660094577
R,l,1735660094676
P,f,1735660094721
R,f,1735660094830
P,-,1735660094965
R,-,1735660095096
P,r,1735660095108
R,r,1735660095209
P,e,1735660095359
P,s,1735660095535
R,e,1735660095549
P,p,1735660095642
R,s,1735660095656
R,p,1735660095754
P,e,1735660095788
R,e,1735660095917
P,c,1735660095950
R,c,1735660096095
P,t,1735660096141
R,t,1735660096232
P,Key.space,1735660096285
R,Key.space,1735660096381
P,a,1735660096410
R,a,1735660096526
P,n,1735660096538
R,n,1735660096641
P,d,1735660096663
R,d,1735660096761
P,Key.space,1735660096818
R,Key.space,1735660096913
P,d,1735660097663
R,d,1735660097764
P,i,1735660097850
R,i,1735660097961
P,s,1735660098042
R,s,1735660098106
P,c,1735660098231
R,c,1735660098363
P,i,1735660098389
R,i,1735660098505
P,p,1735660098790
P,l,1735660098879
R,p,1735660098917
R,l,1735660098998
P,i,1735660099166
