Press or Release,Key,Time
P,j,1735660003216
R,j,1735660003330
P,h,1735660003357
R,h,1735660003437
P,j,1735660003481
R,j,1735660003583
P,a,1735660003677
P,l,1735660003746
P,k,1735660003769
R,l,1735660003851
P,n,1735660003851
P,v,1735660003853
R,k,1735660003859
R,a,1735660003864
P,l,1735660003935
R,n,1735660003975
P,d,1735660004000
P,a,1735660004024
R,v,1735660004059
R,l,1735660004071
R,a,1735660004115
R,d,1735660004115
P,Key.space,1735660004149
P,l,1735660004202
R,Key.space,1735660004249
P,a,1735660004285
R,l,1735660004321
P,h,1735660004351
R,h,1735660004449
P,o,1735660004452
P,f,1735660004517
R,a,1735660004569
P,h,1735660004593
R,o,1735660004620
R,f,1735660004653
R,h,1735660004676
P,o,1735660004682
P,a,1735660004686
P,Key.space,1735660004701
P,g,1735660004822
R,a,1735660004849
P,h,1735660004850
R,Key.space,1735660004867
R,o,1735660004867
P,o,1735660004937
P,i,1735660004965
R,h,1735660004981
R,g,1735660004992
P,s,1735660005000
R,o,1735660005030
P,h,1735660005101
R,s,1735660005141
R,i,1735660005144
P,Key.space,1735660005260
R,h,1735660005268
P,s,1735660005274
P,h,1735660005385
R,Key.space,1735660005433
R,s,1735660005460
P,o,1735660005493
P,v,1735660005495
R,h,1735660005553
P,s,1735660005587
R,v,1735660005605
R,o,1735660005690
P,h,1735660005716
P,j,1735660005751
P,v,1735660005785
R,s,1735660005796
R,j,1735660005810
P,o,1735660005816
R,h,1735660005819
P,s,1735660005933
R,o,1735660005944
R,v,1735660005950
P,h,1735660005993
R,h,1735660006060
P,i,1735660006068
P,o,1735660006074
P,v,1735660006157
R,s,1735660006167
R,o,1735660006188
R,i,1735660006217
P,s,1735660006283
R,v,1735660006285
P,o,1735660006334
P,i,1735660006353
P,Key.space,1735660006381
P,b,1735660006505
R,i,1735660006506
P,v,1735660006514
R,s,1735660006516
R,o,1735660006524
R,v,1735660006605
R,b,1735660006612
P,s,1735660006616
R,Key.space,1735660006624
P,o,1735660006632
R,o,1735660006794
R,s,1735660006843
P,b,1735660006870
P,v,1735660006878
P,o,1735660006899
R,v,1735660006921
R,b,1735660006936
P,i,1735660006944
P,s,1735660006946
R,i,1735660007065
R,o,1735660007077
P,j,1735660007089
P,b,1735660007093
R,s,1735660007132
P,o,1735660007160
R,j,1735660007164
P,i,1735660007177
P,s,1735660007241
R,b,1735660007269
R,o,1735660007276
R,i,1735660007308
P,j,1735660007309
P,b,1735660007400
P,o,1735660007406
R,s,1735660007424
R,j,1735660007444
P,Key.space,1735660007511
R,b,1735660007545
R,o,1735660007547
P,s,1735660007553
P,o,1735660007649
P,b,1735660007719
R,s,1735660007721
R,o,1735660007756
R,Key.space,1735660007756
P,h,1735660007777
P,s,1735660007821
R,b,1735660007825
R,h,1735660007897
P,o,1735660007905
P,i,1735660007914
R,o,1735660007988
P,g,1735660008012
P,h,1735660008027
R,i,1735660008037
R,s,1735660008049
P,i,1735660008145
R,h,1735660008157
P,o,1735660008173
R,g,1735660008192
P,s,1735660008196
R,o,1735660008245
R,i,1735660008280
P,y,1735660008297
P,g,1735660008330
R,s,1735660008365
P,s,1735660008501
R,g,1735660008505
P,o,1735660008517
R,y,1735660008540
P,i,1735660008605
P,g,1735660008629
R,o,1735660008649
R,i,1735660008664
R,s,1735660008681
R,g,1735660008825
P,s,1735660008826
P,o,1735660008836
P,Key.space,1735660008844
P,i,1735660008848
R,i,1735660008921
R,o,1735660008944
P,g,1735660008965
R,s,1735660008967
R,Key.space,1735660009000
P,i,1735660009072
P,o,1735660009076
P,s,1735660009093
R,g,1735660009121
R,o,1735660009204
R,i,1735660009212
P,g,1735660009288
R,s,1735660009297
P,i,1735660009332
P,o,1735660009345
R,g,1735660009408
P,s,1735660009419
R,o,1735660009496
P,o,1735660009545
P,Key.space,1735660009547
R,s,1735660009582
R,i,1735660009640
R,o,1735660009661
P,h,1735660009713
P,s,1735660009715
R,Key.space,1735660009740
P,i,1735660009801
R,h,1735660009817
R,s,1735660009864
P,g,1735660009871
P,o,1735660009873
R,o,1735660009909
P,h,1735660009945
R,i,1735660009961
P,s,1735660009997
R,g,1735660010020
P,i,1735660010085
P,o,1735660010088
R,h,1735660010094
P,g,1735660010189
R,s,1735660010191
R,o,1735660010229
R,i,1735660010236
P,j,1735660010249
P,s,1735660010337
R,g,1735660010346
P,o,1735660010357
R,j,1735660010364
P,g,1735660010510
R,o,1735660010512
R,s,1735660010512
P,h,1735660010532
P,o,1735660010621
R,h,1735660010624
P,s,1735660010662
P,i,1735660010665
R,g,1735660010679
R,i,1735660010749
R,o,1735660010772
P,h,1735660010809
P,j,1735660010816
P,g,1735660010833
R,s,1735660010848
R,h,1735660010868
R,j,1735660010872
P,o,1735660010893
P,i,1735660010902
P,s,1735660010981
R,g,1735660010985
R,o,1735660011017
R,i,1735660011029
P,h,1735660011032
R,h,1735660011137
P,g,1735660011157
P,i,1735660011162
R,s,1735660011172
P,h,1735660011281
R,i,1735660011288
R,g,1735660011293
P,s,1735660011297
R,h,1735660011396
R,s,1735660011436
P,u,1735660011436
P,y,1735660011538
R,u,1735660011554
P,w,1735660011633
R,y,1735660011703
P,o,1735660011705
P,u,1735660011716
P,e,1735660011751
R,o,1735660011784
R,u,1735660011801
P,y,1735660011826
R,w,1735660011836
R,e,1735660011860
R,y,1735660011928
P,8,1735660011936
P,9,1735660011957
R,9,1735660012024
R,8,1735660012081
P,6,1735660012084
P,8,1735660012125
R,6,1735660012156
P,9,1735660012205
R,9,1735660012241
P,6,1735660012269
R,8,1735660012293
P,8,1735660012413
R,6,1735660012432
P,0,1735660012437
P,e,1735660012457
P,7,1735660012577
R,0,1735660012579
R,8,1735660012593
R,e,1735660012685
P,-,1735660012701
R,7,1735660012724
P,9,1735660012737
P,8,1735660012882
R,-,1735660012884
R,9,1735660012897
P,q,1735660012921
P,e,1735660012981
P,[,1735660013009
R,8,1735660013049
P,0,1735660013049
R,e,1735660013112
R,q,1735660013113
P,i,1735660013194
R,[,1735660013196
R,0,1735660013221
P,a,1735660013248
P,[,1735660013325
R,i,1735660013353
P,o,1735660013373
P,Key.space,1735660013405
P,f,1735660013470
R,o,1735660013480
R,[,1735660013496
R,a,1735660013516
P,j,1735660013521
R,j,1735660013617
R,Key.space,1735660013665
P,k,1735660013668
P,s,1735660013705
R,f,1735660013757
P,d,1735660013785
P,;,1735660013798
R,k,1735660013828
R,s,1735660013897
P,v,1735660013913
R,d,1735660013927
R,;,1735660013928
P,m,1735660013953
P,s,1735660014040
P,k,1735660014121
R,m,1735660014148
R,s,1735660014168
R,k,1735660014212
R,v,1735660014236
