Press or Release,Key,Time
P,s,1735660001329
P,n,1735660001331
P,d,1735660001386
R,n,1735660001415
P,j,1735660001422
P,k,1735660001434
R,s,1735660001450
R,d,1735660001475
R,k,1735660001506
P,h,1735660001541
R,j,1735660001546
P,s,1735660001583
R,h,1735660001635
P,d,1735660001736
P,h,1735660001764
R,s,1735660001767
P,f,1735660001800
R,d,1735660001802
R,f,1735660001873
R,h,1735660001893
P,i,1735660001908
P,s,1735660001935
R,i,1735660001979
P,h,1735660001990
R,s,1735660002059
P,f,1735660002074
R,f,1735660002127
R,h,1735660002142
P,i,1735660002155
P,s,1735660002219
P,u,1735660002256
P,d,1735660002295
R,i,1735660002357
R,s,1735660002358
R,u,1735660002366
P,y,1735660002382
R,d,1735660002386
P,f,1735660002407
R,y,1735660002483
R,f,1735660002495
P,s,1735660002523
P,Key.space,1735660002595
R,s,1735660002622
R,Key.space,1735660002801
P,u,1735660002834
P,s,1735660002838
R,u,1735660002865
R,s,1735660002908
P,f,1735660002924
P,u,1735660003001
R,f,1735660003020
P,s,1735660003070
P,y,1735660003150
R,u,1735660003169
R,s,1735660003176
P,f,1735660003222
P,u,1735660003287
R,y,1735660003291
R,f,1735660003331
P,s,1735660003332
P,y,1735660003381
R,u,1735660003408
P,f,1735660003485
R,s,1735660003488
R,y,1735660003509
P,u,1735660003520
R,f,1735660003583
P,y,1735660003630
R,u,1735660003645
P,s,1735660003673
R,s,1735660003744
R,y,1735660003756
P,f,1735660003760
P,u,1735660003768
R,f,1735660003840
R,u,1735660003868
P,y,1735660003880
P,f,1735660003949
R,y,1735660003980
R,f,1735660004089
P,y,1735660004156
R,y,1735660004288
P,h,1735660004431
R,h,1735660004581
P,c,1735660004636
P,b,1735660004728
R,b,1735660004815
P,n,1735660004833
P,b,1735660004919
R,n,1735660004927
R,c,1735660004963
P,c,1735660004992
R,b,1735660005043
P,j,1735660005054
P,h,1735660005099
R,h,1735660005115
R,c,1735660005138
R,j,1735660005171
P,h,1735660005418
P,d,1735660005454
R,d,1735660005488
R,h,1735660005516
P,u,1735660005536
P,i,1735660005556
R,i,1735660005643
R,u,1735660005658
P,d,1735660005685
P,u,1735660005773
R,d,1735660005800
P,i,1735660005821
R,i,1735660005904
P,y,1735660005922
R,u,1735660005945
P,d,1735660005965
R,y,1735660006058
P,u,1735660006064
P,i,1735660006068
R,d,1735660006113
R,i,1735660006165
P,y,1735660006180
R,u,1735660006190
P,u,1735660006301
R,y,1735660006303
P,f,1735660006304
P,d,1735660006309
R,d,1735660006381
R,f,1735660006412
