Press or Release,Key,Time
P,p,1735660005215
R,p,1735660005358
P,u,1735660005446
R,u,1735660005558
P,t,1735660005718
P,i,1735660005830
R,t,1735660005854
P,n,1735660005974
R,i,1735660006022
P,Key.space,1735660006094
R,n,1735660006117
R,Key.space,1735660006238
P,m,1735660006326
R,m,1735660006446
P,u,1735660006590
R,u,1735660006702
P,s,1735660006862
R,s,1735660006990
P,t,1735660007054
R,t,1735660007174
P,Key.space,1735660007198
R,Key.space,1735660007334
P,b,1735660007414
R,b,1735660007534
P,e,1735660007551
R,e,1735660007678
P,Key.space,1735660007702
R,Key.space,1735660007814
P,l,1735660007878
R,l,1735660008006
P,a,1735660008030
R,a,1735660008134
P,u,1735660008190
R,u,1735660008270
P,g,1735660008422
P,h,1735660008566
R,g,1735660008598
R,h,1735660008670
P,i,1735660008854
P,n,1735660008950
R,i,1735660009030
R,n,1735660009110
P,g,1735660009174
R,g,1735660009278
P,Key.space,1735660009310
R,Key.space,1735660009462
P,a,1735660009638
P,n,1735660009750
R,a,1735660009774
R,n,1735660009894
P,d,1735660010414
R,d,1735660010478
P,Key.space,1735660010638
R,Key.space,1735660010758
P,h,1735660010838
R,h,1735660010966
P,a,1735660011022
R,a,1735660011150
P,v,1735660011190
R,v,1735660011270
P,i,1735660011430
P,n,1735660011558
R,i,1735660011638
R,n,1735660011718
P,g,1735660011766
R,g,1735660011838
P,Key.space,1735660011910
R,Key.space,1735660012022
P,a,1735660012126
R,a,1735660012254
P,Key.space,1735660012270
R,Key.space,1735660012390
P,g,1735660012454
R,g,1735660012582
P,r,1735660012766
R,r,1735660012870
P,e,1735660012990
R,e,1735660013078
P,a,1735660013182
P,t,1735660013262
R,a,1735660013302
R,t,1735660013374
P,Key.space,1735660013438
R,Key.space,1735660013574
P,d,1735660013902
R,d,1735660013982
P,a,1735660014062
R,a,1735660014198
P,y,1735660014294
R,y,1735660014414
P,Key.space,1735660014438
R,Key.space,1735660014566
P,w,1735660014622
R,w,1735660014742
P,a,1735660014886
R,a,1735660015006
P,t,1735660015030
R,t,1735660015102
P,c,1735660015254
R,c,1735660015342
P,h,1735660015414
R,h,1735660015510
P,i,1735660015622
P,n,1735660015774
R,i,1735660015806
R,n,1735660015894
P,g,1735660015926
R,g,1735660016005
P,Key.space,1735660016053
R,Key.space,1735660016181
P,a,1735660016285
R,a,1735660016422
P,l,1735660016438
R,l,1735660016510
P,l,1735660016574
R,l,1735660016718
P,Key.space,1735660016734
R,Key.space,1735660016886
P,t,1735660017038
R,t,1735660017142
P,h,1735660017190
P,i,1735660017318
R,h,1735660017334
R,i,1735660017454
P,s,1735660017606
R,s,1735660017726
P,Key.space,1735660017774
R,Key.space,1735660017910
P,Key.backspace,1735660019030
R,Key.backspace,1735660019126
P,.,1735660019310
R,.,1735660020102
P,m,1735660020382
R,m,1735660020494
P,u,1735660020638
R,u,1735660020750
P,s,1735660020830
R,s,1735660020958
P,t,1735660020974
R,t,1735660021070
P,Key.space,1735660021150
R,Key.space,1735660021294
P,b,1735660021366
R,b,1735660021494
P,e,1735660021510
R,e,1735660021614
P,Key.space,1735660021630
R,Key.space,1735660021774
P,o,1735660021798
R,o,1735660021950
P,n,1735660022062
R,n,1735660022182
P,e,1735660022222
R,e,1735660022358
P,Key.space,1735660022390
P,o,1735660022518
R,Key.space,1735660022542
P,f,1735660022694
R,o,1735660022718
R,f,1735660022806
P,Key.space,1735660022846
R,Key.space,1735660022982
P,t,1735660023022
R,t,1735660023118
P,h,1735660023134
R,h,1735660023294
P,e,1735660023358
R,e,1735660023478
P,Key.space,1735660023526
R,Key.space,1735660023638
P,b,1735660023750
P,e,1735660023846
R,b,1735660023926
R,e,1735660023958
P,s,1735660024174
R,s,1735660024286
P,t,1735660024782
R,t,1735660024918
P,Key.space,1735660024974
R,Key.space,1735660025142
P,d,1735660026206
R,d,1735660026310
P,a,1735660026366
R,a,1735660026502
P,y,1735660026918
R,y,1735660027014
P,s,1735660027086
R,s,1735660027181
P,Key.space,1735660027214
R,Key.space,1735660027390
P,o,1735660027606
P,f,1735660027742
R,o,1735660027758
R,f,1735660027854
P,Key.space,1735660027886
R,Key.space,1735660028022
P,t,1735660028151
P,h,1735660028166
R,t,1735660028254
R,h,1735660028286
P,e,1735660028662
R,e,1735660028758
P,Key.space,1735660028886
R,Key.space,1735660029014
P,w,1735660029270
R,w,1735660029382
P,a,1735660029470
R,a,1735660029646
P,r,1735660029678
R,r,1735660029782
P,Key.space,1735660029878
R,Key.space,1735660030014
P,f,1735660030054
R,f,1735660030214
P,o,1735660030414
R,o,1735660030558
P,r,1735660030590
R,r,1735660030694
P,Key.space,1735660030734
R,Key.space,1735660030862
P,h,1735660031062
P,i,1735660031174
R,h,1735660031198
P,m,1735660031350
R,i,1735660031390
R,m,1735660031526
P,.,1735660032166
R,.,1735660033526
P,p,1735660034438
P,r,1735660034606
R,p,1735660034638
P,e,1735660034750
R,r,1735660034774
R,e,1735660034862
P,t,1735660035094
R,t,1735660035166
P,t,1735660035254
R,t,1735660035430
P,y,1735660036374
R,y,1735660036478
P,Key.space,1735660036598
R,Key.space,1735660036766
P,a,1735660037142
R,a,1735660037302
P,Key.backspace,1735660038550
R,Key.backspace,1735660038670
P,s,1735660039182
R,s,1735660039334
P,u,1735660039462
R,u,1735660039550
P,r,1735660039710
R,r,1735660039830
P,r,1735660039902
R,r,1735660040078
P,e,1735660040094
R,e,1735660040246
P,a,1735660040438
P,l,1735660040590
R,a,1735660040638
R,l,1735660040702
