Press or Release,Key,Time
P,n,1735660004522
R,n,1735660004578
P,o,1735660004731
R,o,1735660004833
P,Key.space,1735660004909
R,Key.space,1735660005015
P,i,1735660005104
P,d,1735660005194
R,i,1735660005222
P,e,1735660005328
R,d,1735660005388
R,e,1735660005448
P,a,1735660005524
R,a,1735660005659
P,Key.space,1735660005673
R,Key.space,1735660005779
P,w,1735660005853
R,w,1735660005979
P,h,1735660005988
P,a,1735660006093
R,h,1735660006106
R,a,1735660006214
P,t,1735660006257
R,t,1735660006333
P,',1735660006693
P,s,1735660006769
R,',1735660006781
R,s,1735660006889
P,Key.space,1735660006919
R,Key.space,1735660006978
P,h,1735660007128
P,a,1735660007188
R,h,1735660007201
R,a,1735660007293
P,p,1735660007323
R,p,1735660007385
P,p,1735660007458
R,p,1735660007548
P,e,1735660007607
R,e,1735660007683
P,i,1735660007746
P,n,1735660007833
R,i,1735660007878
R,n,1735660007969
P,i,1735660007999
P,n,1735660008088
R,i,1735660008102
P,g,1735660008133
R,n,1735660008194
R,g,1735660008253
P,Key.space,1735660008284
R,Key.space,1735660008359
P,e,1735660008600
R,e,1735660008748
P,h,1735660008763
R,h,1735660008854
P,Key.backspace,1735660009139
R,Key.backspace,1735660009214
P,Key.backspace,1735660009529
R,Key.backspace,1735660009633
P,h,1735660010189
R,h,1735660010338
P,e,1735660010382
P,r,1735660010533
R,e,1735660010563
P,e,1735660010667
R,r,1735660010682
R,e,1735660010818
P,Key.space,1735660010971
R,Key.space,1735660011088
P,b,1735660011239
P,e,1735660011328
R,b,1735660011342
R,e,1735660011434
P,c,1735660011734
R,c,1735660011854
P,a,1735660011944
P,u,1735660012049
R,a,1735660012063
R,u,1735660012093
P,s,1735660012153
P,e,1735660012304
R,s,1735660012317
R,e,1735660012393
P,Key.space,1735660012424
R,Key.space,1735660012514
P,i,1735660012528
R,i,1735660012633
P,Key.space,1735660012663
R,Key.space,1735660012785
P,h,1735660012798
R,h,1735660012905
P,a,1735660012934
R,a,1735660013023
P,Key.space,1735660013039
P,v,1735660013041
R,Key.space,1735660013098
R,v,1735660013113
P,e,1735660013324
R,e,1735660013488
P,Key.backspace,1735660014434
R,Key.backspace,1735660014508
P,Key.backspace,1735660014583
R,Key.backspace,1735660014658
P,Key.backspace,1735660014734
R,Key.backspace,1735660014839
P,v,1735660015544
R,v,1735660015648
P,e,1735660015663
R,e,1735660015815
P,n,1735660016474
R,n,1735660016579
P,',1735660016670
R,',1735660016789
P,t,1735660016834
R,t,1735660016922
P,Key.space,1735660016937
R,Key.space,1735660017043
P,w,1735660017285
R,w,1735660017448
P,a,1735660017584
R,a,1735660017703
P,t,1735660017764
R,t,1735660017823
P,c,1735660018004
P,h,1735660018124
R,c,1735660018137
R,h,1735660018215
P,e,1735660018259
P,d,1735660018424
R,e,1735660018453
P,Key.space,1735660018559
R,d,1735660018571
R,Key.space,1735660018648
P,t,1735660018738
R,t,1735660018844
P,h,1735660018858
P,i,1735660018964
R,h,1735660018977
P,s,1735660019009
R,i,1735660019069
R,s,1735660019128
P,Key.space,1735660019174
R,Key.space,1735660019249
P,m,1735660019383
R,m,1735660019444
P,o,1735660019565
R,o,1735660019653
P,v,1735660019669
R,v,1735660019788
P,e,1735660019803
R,e,1735660019924
P,i,1735660019938
R,i,1735660020044
P,Key.backspace,1735660020374
R,Key.backspace,1735660020449
P,Key.backspace,1735660020493
R,Key.backspace,1735660020569
P,i,1735660020719
R,i,1735660020779
P,e,1735660020809
R,e,1735660020959
P,Key.space,1735660080861
R,Key.space,1735660080944
P,s,1735660081080
R,s,1735660081244
P,o,1735660081274
R,o,1735660081409
P,Key.space,1735660081545
R,Key.space,1735660081694
P,i,1735660082069
R,i,1735660082175
P,Key.space,1735660082309
R,Key.space,1735660082415
P,c,1735660082474
R,c,1735660082579
P,a,1735660082640
P,n,1735660082746
R,a,1735660082774
R,n,1735660082804
P,',1735660083314
P,t,1735660083464
R,',1735660083478
R,t,1735660083585
P,Key.space,1735660083629
R,Key.space,1735660083704
P,r,1735660083809
P,e,1735660083929
R,r,1735660083960
R,e,1735660084080
P,a,1735660084154
P,l,1735660084260
R,a,1735660084288
R,l,1735660084334
P,l,1735660084409
R,l,1735660084500
P,y,1735660084665
R,y,1735660084755
P,Key.space,1735660084799
R,Key.space,1735660084920
P,c,1735660084934
P,o,1735660085025
R,c,1735660085069
R,o,1735660085145
P,m,1735660085324
R,m,1735660085415
P,m,1735660085489
R,m,1735660085580
P,e,1735660085640
R,e,1735660085761
P,n,1735660085790
R,n,1735660085894
P,t,1735660086044
R,t,1735660086224
P,Key.space,1735660086435
R,Key.space,1735660086539
P,o,1735660087153
P,n,1735660087290
R,o,1735660087319
R,n,1735660087425
P,Key.space,1735660087545
R,Key.space,1735660087664
P,w,1735660087873
R,w,1735660087994
P,h,1735660088024
R,h,1735660088129
P,a,1735660088189
R,a,1735660088324
P,t,1735660088474
R,t,1735660088564
P,',1735660088655
R,',1735660088788
P,s,1735660088896
R,s,1735660089015
P,Key.space,1735660089089
R,Key.space,1735660089149
P,g,1735660089195
R,g,1735660089330
P,o,1735660089330
R,o,1735660089449
P,i,1735660089495
P,n,1735660089585
R,i,1735660089689
P,g,1735660089704
R,n,1735660089734
R,g,1735660089809
P,Key.space,1735660089839
