Press or Release,Key,Time
P,f,1735660005059
P,h,1735660005109
R,f,1735660005289
P,i,1735660005339
R,h,1735660005349
P,a,1735660005399
P,s,1735660005419
P,o,1735660005449
R,i,1735660005489
R,o,1735660005539
P,h,1735660005570
R,s,1735660005605
R,a,1735660005640
R,h,1735660005640
P,Key.space,1735660005789
P,f,1735660005959
R,Key.space,1735660005979
R,f,1735660006199
P,h,1735660006219
P,j,1735660006269
R,h,1735660006319
R,j,1735660006319
P,;,1735660006399
P,l,1735660006419
R,;,1735660006579
P,d,1735660006589
P,Key.space,1735660006590
P,s,1735660006591
P,a,1735660006592
R,d,1735660006592
R,s,1735660006609
R,a,1735660006625
R,l,1735660006719
R,Key.space,1735660006799
P,f,1735660006799
P,g,1735660006829
R,g,1735660006939
R,f,1735660006989
P,Key.space,1735660007009
P,j,1735660007019
P,h,1735660007039
R,Key.space,1735660007179
R,j,1735660007179
R,h,1735660007179
P,a,1735660007249
P,Key.space,1735660007279
R,a,1735660007439
P,f,1735660007579
R,Key.space,1735660007599
P,d,1735660007609
P,Key.space,1735660007779
R,d,1735660007799
R,f,1735660007877
P,f,1735660008039
R,Key.space,1735660008079
P,j,1735660008249
R,f,1735660008299
P,Key.space,1735660008319
P,f,1735660008469
R,j,1735660008499
R,Key.space,1735660008529
P,;,1735660008599
P,j,1735660008669
R,f,1735660008719
R,;,1735660008719
R,j,1735660008809
P,f,1735660008940
P,g,1735660008941
P,j,1735660008942
R,j,1735660009039
R,f,1735660009109
R,g,1735660009109
P,Key.space,1735660009249
R,Key.space,1735660009529
P,s,1735660009549
P,d,1735660009669
R,s,1735660009716
P,Key.space,1735660009729
P,j,1735660009739
R,d,1735660009787
R,j,1735660009939
P,s,1735660009967
P,d,1735660009975
P,;,1735660010069
R,s,1735660010159
R,d,1735660010159
P,o,1735660010159
R,;,1735660010219
R,o,1735660010219
P,j,1735660010219
R,j,1735660010338
P,d,1735660010339
R,d,1735660010389
P,g,1735660010389
R,g,1735660010579
R,Key.space,1735660010619
P,Key.space,1735660010757
P,s,1735660010829
R,Key.space,1735660010959
R,s,1735660011089
P,Key.space,1735660011099
P,g,1735660011269
R,Key.space,1735660011369
R,g,1735660011479
P,Key.space,1735660011497
P,s,1735660011640
P,o,1735660011729
P,j,1735660011730
R,Key.space,1735660011749
R,o,1735660011749
P,Key.space,1735660011799
R,j,1735660011839
R,s,1735660011851
P,g,1735660011970
P,s,1735660011989
R,s,1735660012019
R,Key.space,1735660012089
R,g,1735660012209
P,j,1735660012209
R,j,1735660012309
P,s,1735660012319
P,o,1735660012379
R,s,1735660012519
R,o,1735660012639
P,s,1735660012671
P,d,1735660012699
P,o,1735660012701
P,p,1735660012739
P,Key.space,1735660012837
R,s,1735660012869
R,d,1735660012899
R,o,1735660012969
R,p,1735660012987
P,d,1735660013069
R,d,1735660013099
R,Key.space,1735660013199
P,p,1735660013337
P,o,1735660013349
P,u,1735660013409
R,u,1735660013469
R,o,1735660013489
P,r,1735660013517
R,p,1735660013521
P,e,1735660013539
R,e,1735660013729
R,r,1735660013769
P,u,1735660013779
P,Key.space,1735660013799
R,u,1735660013909
P,s,1735660013980
P,d,1735660014009
R,Key.space,1735660014059
R,d,1735660014138
R,s,1735660014159
P,Key.space,1735660014229
P,r,1735660014299
R,r,1735660014499
P,w,1735660014499
P,e,1735660014509
R,Key.space,1735660014529
R,w,1735660014619
R,e,1735660014619
P,Key.space,1735660014659
R,Key.space,1735660014869
P,g,1735660014899
P,t,1735660014939
R,t,1735660015059
R,g,1735660015099
P,Key.space,1735660015209
P,r,1735660015379
R,Key.space,1735660015529
P,p,1735660015629
P,Key.space,1735660015649
P,o,1735660015650
R,r,1735660015669
R,o,1735660015789
R,p,1735660015809
R,Key.space,1735660015847
P,g,1735660015857
P,s,1735660015879
P,d,1735660015959
P,o,1735660015989
R,d,1735660016029
R,g,1735660016080
R,s,1735660016108
P,p,1735660016129
P,Key.space,1735660016169
P,s,1735660016259
R,o,1735660016308
R,Key.space,1735660016349
R,p,1735660016397
R,s,1735660016469
P,Key.space,1735660016509
R,Key.space,1735660016599
P,p,1735660016659
P,Key.space,1735660016700
P,s,1735660016701
P,g,1735660016729
P,o,1735660016730
R,s,1735660016769
R,g,1735660016819
R,o,1735660016899
R,Key.space,1735660016939
R,p,1735660016969
P,p,1735660017229
P,o,1735660017230
P,t,1735660017309
P,Key.space,1735660017329
R,o,1735660017349
R,p,1735660017379
R,t,1735660017439
R,Key.space,1735660017659
P,p,1735660017799
P,Key.space,1735660017800
R,p,1735660017939
P,j,1735660018069
R,j,1735660018139
R,Key.space,1735660018169
P,g,1735660018258
R,g,1735660018359
P,d,1735660018499
P,s,1735660018500
P,f,1735660018509
R,d,1735660018678
R,s,1735660018699
R,f,1735660018729
P,j,1735660018759
R,j,1735660018859
P,s,1735660018859
P,d,1735660018889
P,Key.space,1735660018919
R,s,1735660019049
R,d,1735660019059
R,Key.space,1735660019169
P,s,1735660019209
P,d,1735660019219
R,s,1735660019339
P,Key.space,1735660019339
R,d,1735660019379
P,g,1735660019519
R,Key.space,1735660019579
R,g,1735660019730
P,Key.space,1735660019730
P,s,1735660019869
P,d,1735660019919
R,d,1735660019979
R,s,1735660020057
R,Key.space,1735660020059
P,o,1735660020059
P,s,1735660020219
R,o,1735660020279
R,s,1735660020289
P,o,1735660020449
P,t,1735660020787
R,t,1735660020799
R,o,1735660020859
P,s,1735660021039
P,Key.space,1735660021099
P,d,1735660021104
R,s,1735660021188
R,d,1735660021189
R,Key.space,1735660021419
P,g,1735660021449
P,d,1735660021450
P,s,1735660021451
R,d,1735660021479
R,s,1735660021509
P,j,1735660021509
R,g,1735660021629
R,j,1735660021629
P,s,1735660021779
P,o,1735660021780
P,Key.space,1735660021899
R,o,1735660021938
R,s,1735660021989
P,g,1735660022110
R,Key.space,1735660022129
P,j,1735660022257
R,g,1735660022339
R,j,1735660022389
P,s,1735660022479
P,Key.space,1735660022509
P,;,1735660022519
R,;,1735660022648
R,s,1735660022659
P,s,1735660022679
R,Key.space,1735660022729
P,Key.space,1735660022819
P,g,1735660022839
R,s,1735660022909
R,Key.space,1735660022999
R,g,1735660023039
P,j,1735660023089
P,s,1735660023169
R,j,1735660023249
P,;,1735660023369
R,s,1735660023397
P,Key.space,1735660023409
P,j,1735660023419
R,j,1735660023559
P,g,1735660023559
P,s,1735660023560
R,;,1735660023579
R,s,1735660023678
R,g,1735660023758
R,Key.space,1735660023839
P,o,1735660023899
P,;,1735660024008
P,Key.space,1735660024069
R,;,1735660024118
P,s,1735660024149
R,o,1735660024169
R,Key.space,1735660024359
R,s,1735660024359
P,Key.space,1735660024469
P,j,1735660024470
R,j,1735660024509
P,s,1735660024549
R,Key.space,1735660024648
P,g,1735660024719
P,Key.space,1735660024779
R,s,1735660024849
R,Key.space,1735660024899
R,g,1735660024929
P,j,1735660024969
P,s,1735660025109
R,s,1735660025169
R,j,1735660025199
P,;,1735660025219
P,o,1735660025229
P,s,1735660025329
R,;,1735660025499
R,o,1735660025509
P,Key.space,1735660025539
R,s,1735660025619
P,l,1735660025659
P,s,1735660025859
P,d,1735660025889
R,l,1735660025919
R,Key.space,1735660025949
P,g,1735660025967
R,s,1735660026019
R,d,1735660026039
P,j,1735660026059
R,g,1735660026129
R,j,1735660026247
P,s,1735660026259
P,;,1735660026279
R,s,1735660026419
P,s,1735660026529
P,j,1735660026569
R,;,1735660026589
P,Key.space,1735660026589
R,s,1735660026769
R,Key.space,1735660026769
R,j,1735660026939
P,j,1735660027099
R,j,1735660027188
P,Key.space,1735660027209
P,s,1735660027279
R,Key.space,1735660027449
R,s,1735660027449
P,Key.space,1735660027588
P,s,1735660027749
R,Key.space,1735660027780
P,Key.space,1735660027929
R,s,1735660027989
P,g,1735660028209
P,d,1735660028210
P,s,1735660028227
R,Key.space,1735660028319
R,d,1735660028329
R,s,1735660028329
P,l,1735660028329
R,g,1735660028419
P,h,1735660028459
R,l,1735660028569
P,s,1735660028579
R,h,1735660028619
P,d,1735660028659
P,h,1735660028688
R,s,1735660028839
R,d,1735660028839
R,h,1735660028859
P,Key.space,1735660028989
R,Key.space,1735660029219
P,g,1735660029269
P,s,1735660029299
R,s,1735660029379
P,l,1735660029419
R,g,1735660029489
P,k,1735660029489
P,h,1735660029539
P,j,1735660029579
R,k,1735660029584
R,l,1735660029609
R,j,1735660029629
R,h,1735660029658
P,s,1735660029669
P,h,1735660029769
R,s,1735660029863
R,h,1735660029864
P,d,1735660030019
P,s,1735660030020
R,s,1735660030148
R,d,1735660030179
P,Key.space,1735660030289
P,j,1735660030309
R,j,1735660030340
P,g,1735660030399
R,Key.space,1735660030537
R,g,1735660030598
P,Key.space,1735660030649
P,s,1735660030812
P,j,1735660031019
R,s,1735660031039
R,j,1735660031139
P,l,1735660031149
P,s,1735660031237
P,k,1735660031255
P,d,1735660031270
R,k,1735660031359
R,s,1735660031429
R,d,1735660031459
P,h,1735660031529
R,l,1735660031550
P,g,1735660031579
R,Key.space,1735660031679
R,h,1735660031689
P,l,1735660031739
R,g,1735660031789
P,h,1735660031806
R,l,1735660031879
P,Key.space,1735660031888
P,s,1735660031955
R,h,1735660031967
R,Key.space,1735660032119
R,s,1735660032119
P,Key.space,1735660032239
P,g,1735660032472
P,h,1735660032559
R,Key.space,1735660032629
R,g,1735660032659
R,h,1735660032719
P,l,1735660032769
P,s,1735660032799
P,Key.space,1735660032960
R,s,1735660032989
R,Key.space,1735660033089
R,l,1735660033148
