Press or Release,Key,Time
P,p,1735660022802
R,p,1735660022969
P,w,1735660022982
P,e,1735660023135
R,w,1735660023157
R,e,1735660023264
P,r,1735660023359
R,r,1735660023457
P,f,1735660023580
R,f,1735660023744
P,u,1735660023861
R,u,1735660023988
P,l,1735660024124
R,l,1735660024266
P,Key.space,1735660024347
R,Key.space,1735660024493
P,Key.backspace,1735660024639
R,Key.backspace,1735660024737
P,Key.backspace,1735660024826
R,Key.backspace,1735660024898
P,Key.backspace,1735660025009
R,Key.backspace,1735660025121
P,Key.backspace,1735660025211
R,Key.backspace,1735660025273
P,Key.backspace,1735660025358
R,Key.backspace,1735660025411
P,Key.backspace,1735660025497
R,Key.backspace,1735660025553
P,Key.backspace,1735660025637
R,Key.backspace,1735660025694
P,o,1735660026331
R,o,1735660026450
P,w,1735660026585
R,w,1735660026697
P,e,1735660026782
R,e,1735660026854
P,r,1735660026961
R,r,1735660027047
P,f,1735660027140
R,f,1735660027259
P,u,1735660027272
R,u,1735660027380
P,l,1735660027501
R,l,1735660027626
P,Key.space,1735660027668
R,Key.space,1735660027800
P,p,1735660027861
P,e,1735660027967
R,p,1735660027993
P,r,1735660028077
R,e,1735660028114
R,r,1735660028176
P,f,1735660028265
P,o,1735660028343
R,f,1735660028359
R,o,1735660028445
P,r,1735660028488
P,m,1735660028545
R,r,1735660028603
R,m,1735660028648
P,a,1735660028754
R,a,1735660028956
P,c,1735660029152
P,e,1735660029290
R,c,1735660029325
R,e,1735660029477
P,Key.space,1735660029492
R,Key.space,1735660029637
P,Key.backspace,1735660030049
R,Key.backspace,1735660030142
P,Key.backspace,1735660030231
R,Key.backspace,1735660030296
P,Key.backspace,1735660030382
R,Key.backspace,1735660030520
P,n,1735660031005
R,n,1735660031115
P,c,1735660031198
P,e,1735660031349
R,c,1735660031372
P,Key.space,1735660031417
R,e,1735660031488
R,Key.space,1735660031525
P,b,1735660031582
R,b,1735660031682
P,y,1735660031779
P,Key.space,1735660031888
R,y,1735660031899
R,Key.space,1735660032031
P,s,1735660032040
R,s,1735660032166
P,m,1735660032185
R,m,1735660032298
P,a,1735660032308
P,u,1735660032434
R,a,1735660032444
R,u,1735660032520
P,e,1735660032628
R,e,1735660032737
P,l,1735660032757
R,l,1735660032874
P,Key.space,1735660032990
R,Key.space,1735660033139
P,Key.backspace,1735660033887
R,Key.backspace,1735660033904
P,Key.backspace,1735660034055
R,Key.backspace,1735660034117
P,Key.backspace,1735660034218
R,Key.backspace,1735660034274
P,Key.backspace,1735660034362
R,Key.backspace,1735660034430
P,Key.backspace,1735660034517
R,Key.backspace,1735660034603
P,Key.backspace,1735660034678
R,Key.backspace,1735660034766
P,a,1735660035016
P,m,1735660035134
R,a,1735660035188
R,m,1735660035280
P,i,1735660035406
R,i,1735660035487
P,Key.backspace,1735660035737
R,Key.backspace,1735660035857
P,u,1735660035999
R,u,1735660036107
P,l,1735660036272
P,e,1735660036313
R,l,1735660036417
R,e,1735660036467
P,Key.backspace,1735660036993
R,Key.backspace,1735660037069
P,Key.backspace,1735660037186
R,Key.backspace,1735660037287
P,e,1735660037326
P,k,1735660037472
R,e,1735660037483
R,k,1735660037605
P,Key.backspace,1735660038055
R,Key.backspace,1735660038212
P,l,1735660038328
R,l,1735660038476
P,Key.space,1735660039141
R,Key.space,1735660039324
P,l,1735660039457
R,l,1735660039562
P,.,1735660039707
R,.,1735660039825
P,Key.space,1735660040001
R,Key.space,1735660040111
P,j,1735660040796
R,j,1735660040918
P,a,1735660040954
R,a,1735660041105
P,c,1735660041252
P,k,1735660041414
R,c,1735660041424
R,k,1735660041540
P,s,1735660041945
P,o,1735660042056
R,s,1735660042107
R,o,1735660042197
P,n,1735660042784
R,n,1735660042920
P,.,1735660045064
R,.,1735660045241
P,Key.space,1735660045545
R,Key.space,1735660045684
P,p,1735660048388
R,p,1735660048490
P,e,1735660048539
P,r,1735660048706
R,e,1735660048794
R,r,1735660048855
P,f,1735660049282
R,f,1735660049385
P,e,1735660049435
R,e,1735660049688
P,c,1735660049729
P,t,1735660049839
R,c,1735660049921
R,t,1735660049972
P,Key.backspace,1735660050102
R,Key.backspace,1735660050192
P,Key.backspace,1735660050289
R,Key.backspace,1735660050354
P,Key.backspace,1735660050483
R,Key.backspace,1735660050549
P,Key.backspace,1735660050647
R,Key.backspace,1735660050719
P,Key.backspace,1735660050798
R,Key.backspace,1735660050865
P,Key.backspace,1735660050946
R,Key.backspace,1735660051022
P,Key.backspace,1735660051097
R,Key.backspace,1735660051184
P,Key.shift,1735660051694
R,Key.shift,1735660052190
P,Key.shift,1735660053040
P,N,1735660053081
R,N,1735660053179
R,Key.shift,1735660053317
P,o,1735660053355
R,o,1735660053495
P,Key.space,1735660053821
R,Key.space,1735660053975
P,w,1735660054065
R,w,1735660054176
P,o,1735660054205
P,r,1735660054333
R,o,1735660054347
R,r,1735660054419
P,d,1735660054538
