Press or Release,Key,Time
P,Key.shift,1735660015811
P,A,1735660015970
R,Key.shift,1735660016034
R,A,1735660016114
P,Key.space,1735660016210
R,Key.space,1735660016243
P,s,1735660016835
R,s,1735660016995
P,t,1735660017010
R,t,1735660017185
P,u,1735660017538
R,u,1735660017666
P,d,1735660017810
R,d,1735660017922
P,e,1735660018114
R,e,1735660018226
P,n,1735660018322
R,n,1735660018482
P,t,1735660018482
P,Key.space,1735660018626
R,t,1735660018674
R,Key.space,1735660018690
P,t,1735660018817
P,a,1735660018963
R,t,1735660018994
P,l,1735660019122
R,a,1735660019138
R,l,1735660019282
P,k,1735660019330
R,k,1735660019442
P,i,1735660019602
R,i,1735660019714
P,n,1735660019857
R,n,1735660020034
P,g,1735660020082
R,g,1735660020226
P,Key.space,1735660020226
R,Key.space,1735660020321
P,a,1735660020946
P,b,1735660021042
R,a,1735660021106
R,b,1735660021170
P,o,1735660021298
P,u,1735660021426
R,o,1735660021442
R,u,1735660021555
P,t,1735660021587
R,t,1735660021714
P,Key.space,1735660021730
R,Key.space,1735660021811
P,f,1735660025427
R,f,1735660025570
P,e,1735660025698
R,e,1735660025842
P,a,1735660026499
R,a,1735660026674
P,r,1735660026674
R,r,1735660026834
P,Key.space,1735660026882
R,Key.space,1735660026978
P,a,1735660027058
P,n,1735660027186
R,a,1735660027218
R,n,1735660027330
P,d,1735660027506
R,d,1735660027666
P,Key.space,1735660027746
R,Key.space,1735660027845
P,s,1735660027954
R,s,1735660028098
P,e,1735660028114
R,e,1735660028210
P,c,1735660028371
R,c,1735660028514
P,u,1735660028594
R,u,1735660028706
P,r,1735660028738
P,e,1735660028882
R,r,1735660028931
R,e,1735660029028
P,Key.space,1735660029330
R,Key.space,1735660029474
P,t,1735660030034
R,t,1735660030180
P,o,1735660030181
R,o,1735660030339
P,Key.space,1735660030434
R,Key.space,1735660030578
P,p,1735660032243
R,p,1735660032370
P,e,1735660032562
R,e,1735660032676
P,o,1735660032738
R,o,1735660032867
P,p,1735660032899
R,p,1735660033028
P,Key.backspace,1735660033683
R,Key.backspace,1735660033826
P,Key.backspace,1735660033938
R,Key.backspace,1735660034018
P,Key.backspace,1735660034098
R,Key.backspace,1735660034194
P,Key.backspace,1735660034274
R,Key.backspace,1735660034354
P,t,1735660035122
P,h,1735660035250
R,t,1735660035298
R,h,1735660035378
P,e,1735660035442
P,Key.space,1735660035524
R,e,1735660035570
R,Key.space,1735660035666
P,p,1735660035890
R,p,1735660036050
P,e,1735660036114
R,e,1735660036242
P,o,1735660036275
R,o,1735660036355
P,p,1735660036466
R,p,1735660036595
P,l,1735660036774
P,e,1735660036914
R,l,1735660036932
R,e,1735660037027
P,Key.space,1735660037170
R,Key.space,1735660037298
P,Key.backspace,1735660039282
R,Key.backspace,1735660039506
P,.,1735660041154
R,.,1735660041299
P,Key.space,1735660041907
R,Key.space,1735660041986
P,Key.shift,1735660042739
P,H,1735660042995
R,Key.shift,1735660043107
R,H,1735660043122
P,e,1735660043266
R,e,1735660043410
P,Key.space,1735660043459
R,Key.space,1735660043570
P,i,1735660043683
R,i,1735660043810
P,s,1735660043811
R,s,1735660043954
P,Key.space,1735660043970
R,Key.space,1735660044050
P,v,1735660045346
R,v,1735660045491
P,e,1735660045746
R,e,1735660045890
P,r,1735660045906
P,y,1735660046003
R,r,1735660046034
R,y,1735660046130
P,Key.space,1735660046194
R,Key.space,1735660046291
P,w,1735660046546
R,w,1735660046610
P,Key.backspace,1735660048419
R,Key.backspace,1735660048610
P,Key.backspace,1735660048882
R,Key.backspace,1735660048963
P,Key.backspace,1735660049074
R,Key.backspace,1735660049170
P,y,1735660050339
R,y,1735660050498
P,Key.space,1735660050531
R,Key.space,1735660050627
P,b,1735660052562
R,b,1735660052723
P,o,1735660052836
R,o,1735660052914
P,l,1735660053059
R,l,1735660053218
P,d,1735660053219
R,d,1735660053347
P,Key.space,1735660053411
R,Key.space,1735660053538
P,a,1735660056979
R,a,1735660057171
P,n,1735660057235
R,n,1735660057379
P,d,1735660057459
R,d,1735660057603
P,Key.space,1735660057683
R,Key.space,1735660057762
P,m,1735660058307
R,m,1735660058467
P,o,1735660058627
R,o,1735660058722
P,t,1735660058915
R,t,1735660059043
P,i,1735660059058
R,i,1735660059202
P,v,1735660059203
R,v,1735660059363
P,a,1735660059426
R,a,1735660059603
P,t,1735660059634
R,t,1735660059779
P,i,1735660060851
R,i,1735660060931
P,n,1735660061122
R,n,1735660061298
P,g,1735660061363
R,g,1735660061523
P,Key.space,1735660061811
R,Key.space,1735660061922
P,o,1735660062083
R,o,1735660062227
P,t,1735660062291
P,h,1735660062355
R,t,1735660062435
R,h,1735660062483
P,e,1735660062611
R,e,1735660062787
P,r,1735660062787
R,r,1735660062931
P,Key.space,1735660063235
R,Key.space,1735660063395
P,s,1735660063475
R,s,1735660063619
P,t,1735660063651
R,t,1735660063811
P,u,1735660063922
R,u,1735660064082
P,d,1735660064162
R,d,1735660064275
P,e,1735660064418
R,e,1735660064563
P,n,1735660064690
R,n,1735660064836
P,t,1735660064882
R,t,1735660065028
P,Key.space,1735660066212
R,Key.space,1735660066371
P,t,1735660067107
R,t,1735660067267
P,o,1735660067315
R,o,1735660067475
P,Key.space,1735660067603
R,Key.space,1735660067763
P,e,1735660068244
R,e,1735660068371
P,n,1735660068483
R,n,1735660068627
P,c,1735660068643
R,c,1735660068771
P,o,1735660068787
R,o,1735660068963
P,u,1735660068963
R,u,1735660069075
P,r,1735660069251
R,r,1735660069363
P,a,1735660069395
P,g,1735660069571
R,a,1735660069619
R,g,1735660069731
P,e,1735660069827
R,e,1735660069939
P,Key.space,1735660070019
R,Key.space,1735660070099
P,i,1735660070195
R,i,1735660070291
P,n,1735660070419
R,n,1735660070563
P,Key.space,1735660070627
R,Key.space,1735660070723
P,a,1735660078117
P,l,1735660078275
R,a,1735660078339
R,l,1735660078371
P,l,1735660078451
R,l,1735660078611
P,Key.space,1735660078643
R,Key.space,1735660078755
P,t,1735660078851
P,h,1735660078995
R,t,1735660079027
R,h,1735660079091
P,e,1735660079107
R,e,1735660079219
P,Key.space,1735660079251
R,Key.space,1735660079315
P,s,1735660079603
R,s,1735660079763
P,i,1735660079763
R,i,1735660079875
P,t,1735660079955
R,t,1735660080148
P,u,1735660080227
R,u,1735660080371
P,a,1735660080419
R,a,1735660080579
P,t,1735660080579
P,i,1735660080691
R,t,1735660080740
R,i,1735660080804
P,o,1735660080884
R,o,1735660081043
P,n,1735660081075
R,n,1735660081188
P,.,1735660083635
R,.,1735660083801
P,Key.space,1735660083955
R,Key.space,1735660084067
P,Key.shift,1735660084755
P,S,1735660084851
R,Key.shift,1735660084947
R,S,1735660085011
P,o,1735660085203
R,o,1735660085332
P,Key.space,1735660085460
R,Key.space,1735660085571
P,b,1735660086276
R,b,1735660086403
P,e,1735660086468
R,e,1735660086563
P,Key.space,1735660086643
R,Key.space,1735660086724
P,b,1735660086851
R,b,1735660086979
P,o,1735660087092
R,o,1735660087171
P,l,1735660087300
P,d,1735660087428
R,l,1735660087443
R,d,1735660087539
P,Key.space,1735660087955
R,Key.space,1735660088051
P,a,1735660088276
P,n,1735660088371
R,a,1735660088404
R,n,1735660088515
P,d,1735660088515
R,d,1735660088630
P,Key.space,1735660088661
R,Key.space,1735660088723
P,d,1735660088872
R,d,1735660088980
P,o,1735660089043
R,o,1735660089155
P,n,1735660089283
R,n,1735660089395
P,t,1735660089524
R,t,1735660089652
P,Key.space,1735660089716
R,Key.space,1735660089827
P,g,1735660090182
R,g,1735660090276
P,e,1735660090403
P,t,1735660090499
R,e,1735660090547
R,t,1735660090659
P,Key.space,1735660090788
R,Key.space,1735660090902
P,p,1735660090979
R,p,1735660091140
P,a,1735660091140
R,a,1735660091332
P,n,1735660091332
R,n,1735660091411
P,i,1735660091507
R,i,1735660091620
P,c,1735660092149
R,c,1735660092259
P,Key.space,1735660092339
R,Key.space,1735660092436
P,o,1735660092564
R,o,1735660092659
P,r,1735660092755
R,r,1735660092851
P,Key.shift,1735660096084
P,",1735660096212
R,Key.shift,1735660096276
R,",1735660096355
P,Key.backspace,1735660098276
R,Key.backspace,1735660098355
P,',1735660098643
R,',1735660098723
P,Key.space,1735660101011
R,Key.space,1735660101124
P,Key.backspace,1735660103603
R,Key.backspace,1735660103652
P,Key.backspace,1735660103780
