Press or Release,Key,Time
P,s,1735660003020
R,s,1735660003135
P,a,1735660003249
R,a,1735660003341
P,l,1735660003445
R,l,1735660003541
P,l,1735660003647
P,y,1735660003734
R,l,1735660003839
R,y,1735660003886
P,Key.space,1735660003994
R,Key.space,1735660004068
P,s,1735660004466
R,s,1735660004610
P,e,1735660004761
R,e,1735660004865
P,l,1735660004989
R,l,1735660005034
P,l,1735660005252
P,s,1735660005325
R,l,1735660005452
R,s,1735660005484
P,Key.space,1735660005578
R,Key.space,1735660005685
P,s,1735660006363
R,s,1735660006499
P,e,1735660007518
R,e,1735660007634
P,a,1735660007826
R,a,1735660007913
P,s,1735660008027
R,s,1735660008148
P,h,1735660008239
P,e,1735660008374
R,h,1735660008378
R,e,1735660008829
P,s,1735660008918
R,s,1735660009066
P,Key.space,1735660009166
R,Key.space,1735660009366
P,b,1735660009674
R,b,1735660009866
P,y,1735660009898
P,Key.space,1735660010006
R,y,1735660010029
R,Key.space,1735660010110
P,t,1735660010254
R,t,1735660010370
P,h,1735660010456
P,e,1735660010523
R,h,1735660010631
R,e,1735660010691
P,Key.space,1735660010740
R,Key.space,1735660010840
P,s,1735660010908
R,s,1735660011038
P,e,1735660011153
R,e,1735660011256
P,a,1735660011396
R,a,1735660011527
P,Key.space,1735660011649
R,Key.space,1735660011741
P,s,1735660011831
R,s,1735660011942
P,h,1735660012102
R,h,1735660012190
P,o,1735660012435
P,r,1735660012547
R,o,1735660012631
R,r,1735660012634
P,e,1735660012736
R,e,1735660012876
P,Key.space,1735660012963
R,Key.space,1735660013043
P,w,1735660013133
R,w,1735660013238
P,h,1735660013315
P,e,1735660013379
R,e,1735660013491
R,h,1735660013514
P,r,1735660013603
R,r,1735660013707
P,e,1735660013810
R,e,1735660013998
P,Key.space,1735660014024
R,Key.space,1735660014118
P,t,1735660014215
R,t,1735660014339
P,h,1735660014407
P,e,1735660014475
R,h,1735660014592
R,e,1735660014628
P,Key.space,1735660014694
R,Key.space,1735660014782
P,q,1735660014948
R,q,1735660015080
P,u,1735660015153
R,u,1735660015297
P,i,1735660015446
R,i,1735660015617
P,c,1735660016076
R,c,1735660016257
P,k,1735660017264
P,Key.space,1735660017372
R,k,1735660017455
R,Key.space,1735660017467
P,b,1735660017908
R,b,1735660018011
P,r,1735660018255
R,r,1735660018349
P,o,1735660018467
P,w,1735660018579
R,o,1735660018614
R,w,1735660018731
P,n,1735660018859
P,Key.space,1735660018935
R,Key.space,1735660018994
R,n,1735660019015
P,f,1735660019165
R,f,1735660019300
P,o,1735660019943
R,o,1735660020111
P,x,1735660020148
R,x,1735660020462
P,Key.space,1735660020869
R,Key.space,1735660020990
P,j,1735660021085
R,j,1735660021263
P,u,1735660021509
R,u,1735660021634
P,m,1735660021857
R,m,1735660022014
P,p,1735660022358
R,p,1735660022451
P,s,1735660023350
R,s,1735660023514
P,Key.space,1735660023608
R,Key.space,1735660023698
P,o,1735660023790
P,v,1735660023883
R,o,1735660023962
R,v,1735660024011
P,e,1735660024507
R,e,1735660024633
P,r,1735660024725
R,r,1735660024857
P,Key.space,1735660024941
R,Key.space,1735660024999
P,t,1735660025116
R,t,1735660025199
P,h,1735660025295
P,e,1735660025393
R,h,1735660025470
R,e,1735660025522
P,Key.space,1735660025617
R,Key.space,1735660025713
P,l,1735660025816
P,a,1735660025963
R,l,1735660026007
R,a,1735660026108
P,z,1735660026264
R,z,1735660026409
P,y,1735660026756
R,y,1735660026891
P,Key.space,1735660026980
R,Key.space,1735660027059
P,d,1735660027214
R,d,1735660027365
P,o,1735660027430
P,g,1735660027578
R,o,1735660027655
R,g,1735660027744
P,Key.space,1735660027979
R,Key.space,1735660028101
P,i,1735660028175
R,i,1735660028305
P,n,1735660028489
P,Key.space,1735660028625
R,n,1735660028701
R,Key.space,1735660028725
P,t,1735660029076
R,t,1735660029207
P,h,1735660029244
P,e,1735660029356
R,h,1735660029431
R,e,1735660029516
P,Key.space,1735660029614
R,Key.space,1735660029729
P,f,1735660029844
R,f,1735660029990
P,o,1735660030019
P,r,1735660030131
R,o,1735660030231
R,r,1735660030239
P,e,1735660030353
R,e,1735660030479
P,s,1735660030599
R,s,1735660030699
P,t,1735660030862
R,t,1735660031022
P,Key.space,1735660031085
R,Key.space,1735660031181
P,b,1735660032069
P,r,1735660032189
R,b,1735660032231
R,r,1735660032295
P,u,1735660032593
R,u,1735660032710
P,s,1735660032725
R,s,1735660032881
P,h,1735660032905
R,h,1735660033107
P,.,1735660043366
P,Key.space,1735660043422
R,.,1735660043529
R,Key.space,1735660043546
P,Key.shift,1735660043755
P,F,1735660044121
R,F,1735660044208
R,Key.shift,1735660044312
P,a,1735660044481
R,a,1735660044598
P,c,1735660044808
R,c,1735660045092
P,n,1735660045416
P,g,1735660045576
R,n,1735660045639
R,g,1735660045707
P,Key.space,1735660045922
R,Key.space,1735660046033
P,t,1735660046190
R,t,1735660046299
P,h,1735660046512
P,e,1735660046633
R,h,1735660046709
R,e,1735660046790
P,Key.space,1735660046887
