Press or Release,Key,Time
P,Key.shift,1735660007734
P,Z,1735660008036
R,Z,1735660008163
R,Key.shift,1735660008173
P,e,1735660008444
R,e,1735660008569
P,l,1735660008667
R,l,1735660008740
P,e,1735660008772
R,e,1735660008876
P,n,1735660009459
R,n,1735660009536
P,s,1735660009683
R,s,1735660009777
P,k,1735660009857
R,k,1735660009954
P,y,1735660010999
R,y,1735660011086
P,y,1735660011169
R,y,1735660011251
P,Key.space,1735660011286
R,Key.space,1735660011381
P,h,1735660011575
R,h,1735660011646
P,a,1735660011708
R,a,1735660011829
P,d,1735660011997
R,d,1735660012118
P,Key.space,1735660012119
R,Key.space,1735660012198
P,a,1735660012382
R,a,1735660012497
P,n,1735660012570
R,n,1735660012637
P,Key.space,1735660012768
R,Key.space,1735660012845
P,h,1735660013125
R,h,1735660013205
P,e,1735660013221
R,e,1735660013331
P,a,1735660013501
R,a,1735660013654
P,t,1735660013657
R,t,1735660013750
P,e,1735660013798
R,e,1735660013910
P,d,1735660014014
P,Key.space,1735660014059
R,d,1735660014110
R,Key.space,1735660014162
P,a,1735660014521
R,a,1735660014662
P,r,1735660014889
R,r,1735660014989
P,g,1735660015358
R,g,1735660015450
P,u,1735660015642
R,u,1735660015731
P,e,1735660015889
R,e,1735660015999
P,m,1735660016068
R,m,1735660016146
P,n,1735660016688
R,n,1735660016757
P,t,1735660016829
R,t,1735660016918
P,Key.space,1735660016978
R,Key.space,1735660017044
P,Key.shift,1735660017598
P,W,1735660017828
R,W,1735660017951
R,Key.shift,1735660017957
P,i,1735660017974
R,i,1735660018088
P,t,1735660018222
R,t,1735660018338
P,h,1735660018376
R,h,1735660018458
P,Key.space,1735660018500
R,Key.space,1735660018588
P,Key.shift,1735660019180
P,U,1735660019491
R,U,1735660019551
R,Key.shift,1735660019642
P,.,1735660019977
R,.,1735660020068
P,Key.shift,1735660020204
P,S,1735660020366
R,S,1735660020520
R,Key.shift,1735660020565
P,Key.space,1735660021358
R,Key.space,1735660021471
P,p,1735660021864
R,p,1735660021962
P,r,1735660022061
R,r,1735660022146
P,e,1735660022288
R,e,1735660022393
P,s,1735660022655
R,s,1735660022769
P,i,1735660022893
R,i,1735660022973
P,d,1735660023120
R,d,1735660023213
P,e,1735660023299
R,e,1735660023428
P,n,1735660023432
R,n,1735660023505
P,t,1735660023650
R,t,1735660023751
P,Key.space,1735660023754
R,Key.space,1735660023817
P,a,1735660024017
R,a,1735660024150
P,n,1735660024168
R,n,1735660024255
P,d,1735660024275
P,Key.space,1735660024400
R,d,1735660024418
R,Key.space,1735660024490
P,v,1735660024608
R,v,1735660024710
P,i,1735660024771
R,i,1735660024880
P,c,1735660025055
R,c,1735660025170
P,e,1735660025290
R,e,1735660025405
P,Key.space,1735660025410
R,Key.space,1735660025477
P,p,1735660025717
R,p,1735660025832
P,r,1735660025921
R,r,1735660026013
P,e,1735660026157
R,e,1735660026257
P,s,1735660026466
R,s,1735660026577
P,i,1735660026781
R,i,1735660026885
P,d,1735660026930
R,d,1735660027030
P,e,1735660027137
R,e,1735660027246
P,n,1735660027279
R,n,1735660027358
P,t,1735660027444
R,t,1735660027546
P,Key.space,1735660027548
R,Key.space,1735660027629
P,Key.shift,1735660055341
P,T,1735660055818
R,T,1735660055917
R,Key.shift,1735660055922
P,r,1735660056157
R,r,1735660056252
P,u,1735660056334
R,u,1735660056404
P,m,1735660056536
R,m,1735660056648
P,p,1735660056740
R,p,1735660056854
P,Key.space,1735660056926
R,Key.space,1735660057022
P,a,1735660057546
P,n,1735660057656
R,a,1735660057675
R,n,1735660057738
P,d,1735660057833
P,Key.space,1735660057908
R,d,1735660057927
R,Key.space,1735660058004
P,Key.shift,1735660058800
R,Key.shift,1735660059543
P,Key.shift,1735660060498
P,J,1735660060796
R,J,1735660060861
R,Key.shift,1735660060947
P,.,1735660061259
R,.,1735660061350
P,Key.shift,1735660061477
P,D,1735660061946
R,D,1735660062027
R,Key.shift,1735660062083
