Press or Release,Key,Time
P,Key.shift,1735660005562
P,T,1735660006409
P,H,1735660006569
R,Key.shift,1735660006601
R,T,1735660006601
R,H,1735660006714
P,Key.backspace,1735660007961
R,Key.backspace,1735660008041
P,h,1735660008585
R,h,1735660008682
P,e,1735660008761
P,Key.space,1735660008793
R,Key.space,1735660008857
R,e,1735660008873
P,Key.shift,1735660009242
P,U,1735660009497
R,Key.shift,1735660009577
R,U,1735660009609
P,k,1735660009785
R,k,1735660009913
P,r,1735660009962
P,a,1735660010090
R,r,1735660010154
P,i,1735660010201
R,i,1735660010313
R,a,1735660010313
P,n,1735660010457
R,n,1735660010537
P,e,1735660010714
R,e,1735660010809
P,Key.space,1735660010873
R,Key.space,1735660010937
P,Key.shift,1735660011737
P,P,1735660011931
R,Key.shift,1735660012042
R,P,1735660012073
P,r,1735660012073
P,e,1735660012249
R,r,1735660012361
R,e,1735660012377
P,s,1735660012474
P,i,1735660012601
R,s,1735660012619
R,i,1735660012714
P,d,1735660012714
R,d,1735660012825
P,e,1735660012937
R,e,1735660013097
P,n,1735660013113
R,n,1735660013273
P,t,1735660013306
R,t,1735660013481
P,Key.space,1735660013481
R,Key.space,1735660013529
P,i,1735660015193
R,i,1735660015305
P,s,1735660015370
R,s,1735660015545
P,Key.space,1735660015562
R,Key.space,1735660015625
P,Key.backspace,1735660016553
R,Key.backspace,1735660017545
P,Key.backspace,1735660018233
R,Key.backspace,1735660018297
P,Key.backspace,1735660018441
R,Key.backspace,1735660018489
P,Key.backspace,1735660018585
R,Key.backspace,1735660018650
P,Key.backspace,1735660018746
R,Key.backspace,1735660018809
P,Key.backspace,1735660018905
R,Key.backspace,1735660019017
P,c,1735660019594
R,c,1735660019721
P,o,1735660019866
R,o,1735660020009
P,n,1735660020057
R,n,1735660020186
P,v,1735660020250
R,v,1735660020361
P,e,1735660020473
R,e,1735660020617
P,r,1735660020617
R,r,1735660020745
P,s,1735660020793
R,s,1735660020938
P,a,1735660021002
P,t,1735660021130
R,a,1735660021194
P,i,1735660021225
R,t,1735660021257
R,i,1735660021353
P,o,1735660021417
R,o,1735660021529
P,n,1735660021609
R,n,1735660021705
P,Key.space,1735660021769
R,Key.space,1735660021898
P,i,1735660021898
R,i,1735660021994
P,s,1735660022073
R,s,1735660022234
P,Key.space,1735660022266
R,Key.space,1735660022345
P,b,1735660022538
R,b,1735660022665
P,e,1735660022746
R,e,1735660022842
P,t,1735660022953
R,t,1735660023081
P,w,1735660023225
R,w,1735660023322
P,w,1735660023577
R,w,1735660023753
P,e,1735660023881
R,e,1735660023977
P,n,1735660024345
R,n,1735660024473
P,Key.space,1735660024650
R,Key.space,1735660024746
P,Key.backspace,1735660025194
R,Key.backspace,1735660025257
P,Key.backspace,1735660025370
R,Key.backspace,1735660025449
P,Key.backspace,1735660025562
R,Key.backspace,1735660025609
P,Key.backspace,1735660025721
R,Key.backspace,1735660025785
P,Key.backspace,1735660025913
R,Key.backspace,1735660025962
P,Key.backspace,1735660026538
R,Key.backspace,1735660026601
P,Key.backspace,1735660026697
R,Key.backspace,1735660026761
P,Key.backspace,1735660026889
R,Key.backspace,1735660026953
P,a,1735660028393
P,b,1735660028538
R,a,1735660028554
R,b,1735660028633
P,o,1735660028713
P,u,1735660028857
R,o,1735660028905
R,u,1735660028969
P,t,1735660029017
R,t,1735660029145
P,Key.space,1735660029146
R,Key.space,1735660029225
P,Key.shift,1735660029978
P,T,1735660030169
R,Key.shift,1735660030250
R,T,1735660030330
P,h,1735660030394
R,h,1735660030505
P,i,1735660030569
R,i,1735660030714
P,r,1735660030753
R,r,1735660030905
P,d,1735660031002
R,d,1735660031130
P,Key.space,1735660031145
R,Key.space,1735660031242
P,Key.shift,1735660031434
P,W,1735660031530
R,Key.shift,1735660031609
R,W,1735660031641
P,o,1735660031802
R,o,1735660031930
P,r,1735660032041
R,r,1735660032186
P,l,1735660032379
P,d,1735660032473
R,l,1735660032505
R,d,1735660032601
P,Key.space,1735660032649
R,Key.space,1735660032697
P,Key.shift,1735660033243
P,W,1735660033321
R,Key.shift,1735660033403
R,W,1735660033450
P,a,1735660033514
P,r,1735660033657
R,a,1735660033705
P,Key.space,1735660033769
R,r,1735660033785
R,Key.space,1735660033913
P,c,1735660033962
P,a,1735660034091
R,c,1735660034105
P,u,1735660034217
R,a,1735660034281
R,u,1735660034329
P,s,1735660034346
P,e,1735660034522
R,s,1735660034569
R,e,1735660034665
P,.,1735660035353
R,.,1735660035481
P,Key.space,1735660035658
R,Key.space,1735660035737
P,Key.shift,1735660036026
P,T,1735660036233
R,Key.shift,1735660036346
R,T,1735660036409
P,h,1735660036441
R,h,1735660036537
P,e,1735660036601
R,e,1735660036714
P,Key.space,1735660036714
R,Key.space,1735660036793
P,Key.shift,1735660037002
P,U,1735660037194
R,Key.shift,1735660037258
R,U,1735660037289
P,k,1735660037481
R,k,1735660037577
P,r,1735660037641
R,r,1735660037785
P,a,1735660037786
P,i,1735660037866
R,a,1735660037945
R,i,1735660037962
P,n,1735660038090
R,n,1735660038185
P,e,1735660038201
R,e,1735660038345
P,Key.space,1735660038393
R,Key.space,1735660038457
P,p,1735660039018
R,p,1735660039162
P,r,1735660039162
P,e,1735660039307
R,e,1735660039418
R,r,1735660039418
P,s,1735660039514
R,s,1735660039642
P,i,1735660039674
R,i,1735660039769
P,d,1735660039769
R,d,1735660039882
P,e,1735660039977
P,n,1735660040090
R,e,1735660040106
R,n,1735660040266
P,t,1735660040266
P,Key.space,1735660040329
R,Key.space,1735660040409
R,t,1735660040410
P,i,1735660040729
R,i,1735660040842
P,s,1735660040857
P,Key.space,1735660040953
R,s,1735660040985
R,Key.space,1735660041049
P,e,1735660041321
R,e,1735660041417
P,x,1735660041513
R,x,1735660041689
P,p,1735660041690
R,p,1735660041785
P,l,1735660041930
R,l,1735660042073
P,a,1735660042137
P,i,1735660042186
R,i,1735660042314
R,a,1735660042314
P,n,1735660042425
R,n,1735660042522
P,g,1735660042762
R,g,1735660042874
P,Key.space,1735660044170
R,Key.space,1735660044249
P,a,1735660044410
R,a,1735660044554
P,Key.backspace,1735660045065
R,Key.backspace,1735660045161
P,Key.backspace,1735660045257
R,Key.backspace,1735660045338
P,Key.backspace,1735660045434
R,Key.backspace,1735660045513
P,i,1735660046522
R,i,1735660046618
P,n,1735660046730
R,n,1735660046826
P,g,1735660046953
R,g,1735660047049
P,Key.space,1735660047065
R,Key.space,1735660047129
P,a,1735660047193
R,a,1735660047370
P,b,1735660047370
R,b,1735660047466
P,o,1735660047594
P,u,1735660047707
R,o,1735660047753
R,u,1735660047835
P,t,1735660047866
R,t,1735660047977
P,Key.space,1735660048041
R,Key.space,1735660048137
P,h,1735660048425
R,h,1735660048538
P,i,1735660048635
R,i,1735660048729
P,s,1735660048794
R,s,1735660048938
P,Key.space,1735660049066
R,Key.space,1735660049114
P,c,1735660049546
R,c,1735660049690
P,a,1735660049738
P,u,1735660049882
R,a,1735660049914
R,u,1735660050009
P,s,1735660050026
P,e,1735660050154
R,s,1735660050202
R,e,1735660050298
P,s,1735660050394
R,s,1735660050537
P,Key.backspace,1735660050906
R,Key.backspace,1735660050986
P,Key.backspace,1735660051097
R,Key.backspace,1735660051210
P,Key.backspace,1735660051530
R,Key.backspace,1735660051627
P,Key.backspace,1735660051722
R,Key.backspace,1735660051802
P,Key.backspace,1735660051930
R,Key.backspace,1735660051995
P,Key.backspace,1735660052106
R,Key.backspace,1735660052170
P,Key.backspace,1735660052250
R,Key.backspace,1735660052346
P,Key.backspace,1735660052442
R,Key.backspace,1735660052537
P,Key.backspace,1735660052634
R,Key.backspace,1735660052698
P,Key.backspace,1735660053402
R,Key.backspace,1735660053514
P,t,1735660053658
R,t,1735660053802
P,h,1735660053802
R,h,1735660053930
P,e,1735660054122
R,e,1735660054250
P,Key.space,1735660054301
R,Key.space,1735660054410
P,Key.backspace,1735660055322
R,Key.backspace,1735660055451
P,i,1735660055705
R,i,1735660055802
P,r,1735660055899
R,r,1735660056010
P,Key.space,1735660056043
R,Key.space,1735660056090
P,c,1735660056250
R,c,1735660056395
P,a,1735660056395
R,a,1735660056538
P,u,1735660056554
R,u,1735660056683
P,s,1735660056683
P,e,1735660056810
R,s,1735660056842
R,e,1735660056923
P,s,1735660057066
R,s,1735660057194
P,Key.space,1735660057258
R,Key.space,1735660057338
P,i,1735660057450
R,i,1735660057578
P,n,1735660057675
R,n,1735660057818
P,Key.space,1735660057867
R,Key.space,1735660057977
P,t,1735660057994
P,h,1735660058058
R,t,1735660058138
R,h,1735660058171
P,e,1735660058250
R,e,1735660058346
P,Key.space,1735660058346
R,Key.space,1735660058410
P,c,1735660058603
R,c,1735660058730
P,o,1735660059082
R,o,1735660059194
P,n,1735660059322
R,n,1735660059434
P,t,1735660059706
R,t,1735660059835
P,r,1735660059931
P,y,1735660060042
R,r,1735660060059
R,y,1735660060154
P,.,1735660060569
R,.,1735660060682
P,Key.space,1735660060842
R,Key.space,1735660060921
P,Key.shift,1735660061322
R,Key.shift,1735660061770
P,Key.backspace,1735660062009
R,Key.backspace,1735660062073
P,Key.backspace,1735660062202
R,Key.backspace,1735660062266
P,Key.backspace,1735660062362
R,Key.backspace,1735660062442
P,Key.backspace,1735660062858
R,Key.backspace,1735660062938
P,Key.backspace,1735660063034
R,Key.backspace,1735660063098
P,Key.backspace,1735660063690
R,Key.backspace,1735660063818
P,u,1735660064202
R,u,1735660064282
P,n,1735660064794
R,n,1735660064889
P,t,1735660065018
R,t,1735660065145
P,r,1735660065242
R,r,1735660065354
P,y,1735660065371
R,y,1735660065482
P,.,1735660065995
R,.,1735660066091
P,Key.space,1735660066218
R,Key.space,1735660066283
P,Key.shift,1735660066571
P,T,1735660066794
R,Key.shift,1735660066906
R,T,1735660066970
P,h,1735660067067
R,h,1735660067193
P,e,1735660067242
R,e,1735660067402
P,Key.space,1735660067434
R,Key.space,1735660067546
P,Key.shift,1735660067946
P,U,1735660068218
R,U,1735660068346
R,Key.shift,1735660068410
P,.,1735660068794
