Press or Release,Key,Time
P,h,1735660009448
R,h,1735660009533
P,e,1735660009753
R,e,1735660009833
P,Key.space,1735660010008
R,Key.space,1735660010218
P,a,1735660010569
P,s,1735660010578
R,a,1735660010638
R,s,1735660010648
P,Key.backspace,1735660011979
R,Key.backspace,1735660012097
P,Key.backspace,1735660012218
R,Key.backspace,1735660012268
P,s,1735660012599
R,s,1735660012689
P,p,1735660013878
R,p,1735660013958
P,e,1735660014633
R,e,1735660014738
P,a,1735660014878
R,a,1735660014968
P,k,1735660015568
R,k,1735660015648
P,s,1735660015913
R,s,1735660015978
P,Key.space,1735660016153
R,Key.space,1735660016248
P,t,1735660016458
R,t,1735660016538
P,r,1735660016769
R,r,1735660016858
P,Key.backspace,1735660018458
R,Key.backspace,1735660018566
P,u,1735660019623
R,u,1735660019728
P,r,1735660019973
R,r,1735660020088
P,e,1735660020210
R,e,1735660020299
P,Key.backspace,1735660021633
R,Key.backspace,1735660021738
P,Key.backspace,1735660021753
R,Key.backspace,1735660021793
P,Key.backspace,1735660022008
R,Key.backspace,1735660022076
P,e,1735660023114
R,e,1735660023203
P,Key.backspace,1735660024098
R,Key.backspace,1735660024188
P,r,1735660024538
R,r,1735660024648
P,u,1735660024828
R,u,1735660024938
P,e,1735660025141
R,e,1735660025238
P,Key.space,1735660025468
R,Key.space,1735660025578
P,v,1735660030698
R,v,1735660030798
P,e,1735660031079
R,e,1735660031167
P,r,1735660031289
R,r,1735660031389
P,y,1735660031789
R,y,1735660031913
P,Key.space,1735660032099
R,Key.space,1735660032208
P,e,1735660032418
R,e,1735660032474
P,Key.backspace,1735660033898
R,Key.backspace,1735660033948
P,w,1735660034438
R,w,1735660034598
P,e,1735660034713
R,e,1735660034778
P,l,1735660035693
R,l,1735660035838
P,l,1735660035914
R,l,1735660035994
P,Key.space,1735660036186
R,Key.space,1735660036272
P,l,1735660036619
R,l,1735660036699
P,i,1735660036859
R,i,1735660036968
P,s,1735660037219
R,s,1735660037318
P,t,1735660037499
R,t,1735660037594
P,e,1735660037769
R,e,1735660037848
P,n,1735660038279
R,n,1735660038369
P,Key.space,1735660038539
R,Key.space,1735660038618
P,v,1735660042859
R,v,1735660042959
P,e,1735660044004
R,e,1735660044099
P,r,1735660044234
R,r,1735660044339
P,y,1735660044554
R,y,1735660044644
P,Key.space,1735660044939
R,Key.space,1735660045059
P,s,1735660045274
R,s,1735660045370
P,u,1735660045879
R,u,1735660045924
P,p,1735660046189
R,p,1735660046314
P,e,1735660046909
R,e,1735660047009
P,r,1735660047161
R,r,1735660047242
P,Key.space,1735660047469
R,Key.space,1735660047562
P,i,1735660049279
R,i,1735660049369
P,Key.space,1735660049539
R,Key.space,1735660049629
P,w,1735660049849
R,w,1735660049914
P,i,1735660050394
R,i,1735660050414
P,l,1735660050579
R,l,1735660050649
P,l,1735660050779
R,l,1735660050829
P,Key.space,1735660051137
R,Key.space,1735660051179
P,a,1735660051729
R,a,1735660051739
P,Key.backspace,1735660052594
R,Key.backspace,1735660052714
P,w,1735660053114
R,w,1735660053165
P,a,1735660053284
R,a,1735660053364
P,t,1735660053674
R,t,1735660053772
P,c,1735660054219
R,c,1735660054334
P,h,1735660054489
R,h,1735660054574
P,i,1735660054754
R,i,1735660054840
P,n,1735660055054
R,n,1735660055145
P,g,1735660055374
R,g,1735660055474
P,Key.space,1735660056314
R,Key.space,1735660056399
P,a,1735660056876
R,a,1735660056979
P,g,1735660058980
R,g,1735660059079
P,a,1735660059354
R,a,1735660059449
P,i,1735660059939
R,i,1735660060029
P,n,1735660060235
R,n,1735660060369
P,Key.space,1735660060659
R,Key.space,1735660060779
P,i,1735660061759
R,i,1735660061840
P,Key.space,1735660062030
R,Key.space,1735660062129
P,w,1735660062339
R,w,1735660062429
P,i,1735660063020
R,i,1735660063100
P,l,1735660063250
R,l,1735660063339
P,l,1735660063419
R,l,1735660063514
P,Key.space,1735660063689
