Press or Release,Key,Time
P,i,1735660002907
R,i,1735660003053
P,Key.space,1735660003098
P,l,1735660003235
R,Key.space,1735660003291
P,i,1735660003429
R,l,1735660003451
R,i,1735660003565
P,k,1735660003651
R,k,1735660003747
P,e,1735660003842
P,Key.space,1735660003973
R,e,1735660003981
R,Key.space,1735660004149
P,i,1735660004267
R,i,1735660004405
P,t,1735660004531
R,t,1735660004659
P,Key.space,1735660004686
P,i,1735660004891
R,Key.space,1735660004907
R,i,1735660005061
P,n,1735660005171
R,n,1735660005291
P,Key.space,1735660005355
R,Key.space,1735660005515
P,a,1735660005995
R,a,1735660006142
P,Key.space,1735660006221
R,Key.space,1735660006373
P,s,1735660006507
R,s,1735660006589
P,i,1735660006701
R,i,1735660006803
P,Key.backspace,1735660007443
R,Key.backspace,1735660007547
P,s,1735660008195
R,s,1735660008315
P,o,1735660008443
R,o,1735660008595
P,c,1735660008811
R,c,1735660008980
P,e,1735660009692
R,e,1735660009819
P,Key.backspace,1735660010802
R,Key.backspace,1735660010878
P,Key.backspace,1735660010979
R,Key.backspace,1735660011051
P,Key.backspace,1735660011173
R,Key.backspace,1735660011219
P,Key.backspace,1735660011341
R,Key.backspace,1735660011381
P,Key.space,1735660011995
R,Key.space,1735660012187
P,s,1735660012500
R,s,1735660012629
P,o,1735660012827
R,o,1735660012939
P,c,1735660013123
R,c,1735660013219
P,i,1735660013347
R,i,1735660013483
P,a,1735660013715
R,a,1735660013819
P,l,1735660013851
R,l,1735660013971
P,Key.space,1735660014354
P,m,1735660014587
R,Key.space,1735660014619
R,m,1735660014739
P,e,1735660014891
R,e,1735660015013
P,d,1735660015229
R,d,1735660015307
P,i,1735660015459
R,i,1735660015635
P,a,1735660015781
R,a,1735660015885
P,Key.space,1735660016139
R,Key.space,1735660016274
P,i,1735660016861
R,i,1735660016987
P,n,1735660017359
R,n,1735660017459
P,Key.space,1735660017549
R,Key.space,1735660017707
P,n,1735660018099
P,e,1735660018195
R,n,1735660018205
R,e,1735660018323
P,Key.backspace,1735660019508
R,Key.backspace,1735660019611
P,Key.backspace,1735660019685
R,Key.backspace,1735660019741
P,e,1735660020403
R,e,1735660020531
P,n,1735660020595
R,n,1735660020707
P,t,1735660020988
R,t,1735660021108
P,e,1735660021211
P,r,1735660021348
R,e,1735660021387
R,r,1735660021499
P,t,1735660022077
R,t,1735660022187
P,a,1735660022323
R,a,1735660022453
P,i,1735660022611
R,i,1735660022763
P,n,1735660022852
R,n,1735660022989
P,m,1735660023603
R,m,1735660023739
P,e,1735660023883
R,e,1735660024043
P,n,1735660024107
R,n,1735660024251
P,t,1735660024325
R,t,1735660024491
P,Key.space,1735660024843
R,Key.space,1735660024987
P,v,1735660025907
R,v,1735660026019
P,i,1735660027250
R,i,1735660027397
P,d,1735660027603
R,d,1735660027723
P,e,1735660027867
R,e,1735660028004
P,o,1735660028091
R,o,1735660028235
P,s,1735660028509
R,s,1735660028627
P,Key.space,1735660028771
R,Key.space,1735660028941
P,i,1735660029299
R,i,1735660029427
P,n,1735660029565
R,n,1735660029692
P,Key.space,1735660029741
R,Key.space,1735660029915
P,r,1735660030069
R,r,1735660030195
P,e,1735660030316
R,e,1735660030425
P,e,1735660030507
R,e,1735660030611
P,l,1735660030717
R,l,1735660030859
P,s,1735660031005
R,s,1735660031131
P,Key.space,1735660031211
R,Key.space,1735660031348
P,g,1735660032011
R,g,1735660032139
P,o,1735660032461
R,o,1735660032562
P,o,1735660032651
R,o,1735660032739
P,d,1735660032860
R,d,1735660033003
P,Key.space,1735660033139
R,Key.space,1735660033283
P,s,1735660034627
R,s,1735660034762
P,u,1735660034925
R,u,1735660035067
P,p,1735660036060
R,p,1735660036195
P,o,1735660037083
R,o,1735660037193
P,r,1735660037669
R,r,1735660037867
P,t,1735660037964
R,t,1735660038123
P,Key.space,1735660038971
R,Key.space,1735660039141
P,i,1735660039837
R,i,1735660039981
P,n,1735660040107
R,n,1735660040253
P,Key.space,1735660040387
R,Key.space,1735660040523
P,a,1735660040637
R,a,1735660040805
P,Key.space,1735660040874
R,Key.space,1735660041013
P,g,1735660042283
R,g,1735660042426
P,o,1735660042629
R,o,1735660042714
P,o,1735660042843
R,o,1735660042905
P,d,1735660043019
R,d,1735660043147
P,Key.space,1735660043291
R,Key.space,1735660043429
P,n,1735660043757
R,n,1735660043884
P,e,1735660044266
R,e,1735660044429
P,w,1735660044485
R,w,1735660044653
P,s,1735660044930
R,s,1735660045101
P,Key.space,1735660045673
R,Key.space,1735660045859
P,i,1735660046443
R,i,1735660046589
P,n,1735660046692
R,n,1735660046813
P,Key.space,1735660046941
R,Key.space,1735660047115
P,b,1735660047307
R,b,1735660047419
P,a,1735660047649
R,a,1735660047803
P,d,1735660047939
R,d,1735660048074
P,Key.space,1735660048162
R,Key.space,1735660048338
P,n,1735660048803
R,n,1735660048947
P,e,1735660049090
R,e,1735660049235
P,w,1735660049546
R,w,1735660049715
P,s,1735660050804
R,s,1735660050970
P,Key.space,1735660051427
R,Key.space,1735660051571
P,i,1735660052219
R,i,1735660052356
P,n,1735660052467
R,n,1735660052595
P,Key.space,1735660052683
R,Key.space,1735660052811
P,a,1735660053002
R,a,1735660053164
P,d,1735660053507
R,d,1735660053586
P,d,1735660053731
R,d,1735660053849
P,e,1735660053945
R,e,1735660054090
P,d,1735660054181
R,d,1735660054346
P,Key.space,1735660054562
R,Key.space,1735660054699
P,a,1735660056082
R,a,1735660056268
P,Key.space,1735660056417
R,Key.space,1735660056555
P,s,1735660056755
R,s,1735660056882
P,o,1735660056963
R,o,1735660057106
P,c,1735660057627
R,c,1735660057763
P,i,1735660057826
R,i,1735660057961
P,a,1735660058146
R,a,1735660058284
P,l,1735660058322
R,l,1735660058475
P,Key.space,1735660058570
R,Key.space,1735660058722
P,m,1735660059155
R,m,1735660059293
P,e,1735660059443
R,e,1735660059604
P,d,1735660059850
R,d,1735660059947
P,i,1735660060034
R,i,1735660060202
P,a,1735660060298
R,a,1735660060460
P,Key.space,1735660060522
R,Key.space,1735660060651
P,i,1735660060828
R,i,1735660060955
P,n,1735660061075
R,n,1735660061194
P,s,1735660061538
R,s,1735660061627
P,t,1735660061867
R,t,1735660062013
P,a,1735660062115
R,a,1735660062275
P,g,1735660062380
R,g,1735660062499
P,r,1735660062627
R,r,1735660062756
P,a,1735660062850
R,a,1735660062979
P,m,1735660063165
R,m,1735660063299
P,Key.space,1735660064115
R,Key.space,1735660064260
P,v,1735660068165
R,v,1735660068298
P,e,1735660068515
R,e,1735660068682
P,r,1735660068819
R,r,1735660068963
P,y,1735660069034
R,y,1735660069146
P,Key.space,1735660069353
R,Key.space,1735660069514
P,g,1735660069658
R,g,1735660069812
P,o,1735660070587
R,o,1735660070699
P,o,1735660070796
R,o,1735660070898
