Press or Release,Key,Time
P,s,1735660002637
P,e,1735660002656
P,;,1735660002697
P,l,1735660002699
P,r,1735660002701
R,s,1735660002704
P,u,1735660002727
R,;,1735660002729
P,i,1735660002731
R,e,1735660002777
R,l,1735660002777
R,r,1735660002777
R,i,1735660002777
P,g,1735660002777
R,u,1735660002781
P,h,1735660002781
R,g,1735660002817
P,w,1735660002856
P,e,1735660002858
R,h,1735660002860
P,a,1735660002871
P,i,1735660002873
P,p,1735660002874
P,u,1735660002888
R,w,1735660002917
R,a,1735660002917
R,p,1735660002917
R,e,1735660002931
R,i,1735660002931
R,u,1735660002936
P,r,1735660002937
R,r,1735660002956
P,g,1735660002956
P,h,1735660002966
R,g,1735660003031
R,h,1735660003032
P,w,1735660003032
P,e,1735660003033
P,u,1735660003116
R,w,1735660003118
R,e,1735660003118
R,u,1735660003126
P,g,1735660003162
P,h,1735660003163
R,h,1735660003206
R,g,1735660003236
P,w,1735660003237
P,e,1735660003239
P,[,1735660003240
P,0,1735660003242
P,i,1735660003256
R,i,1735660003292
R,0,1735660003297
R,[,1735660003306
R,w,1735660003336
R,e,1735660003336
P,Key.space,1735660003337
R,Key.space,1735660003417
P,a,1735660003476
P,e,1735660003478
P,o,1735660003479
P,r,1735660003491
R,o,1735660003502
P,Key.space,1735660003507
R,a,1735660003508
R,e,1735660003556
R,r,1735660003557
P,g,1735660003596
R,g,1735660003641
R,Key.space,1735660003652
P,p,1735660003657
P,o,1735660003672
P,e,1735660003686
P,a,1735660003711
P,u,1735660003714
R,u,1735660003716
R,p,1735660003721
R,a,1735660003721
P,r,1735660003721
R,o,1735660003723
R,e,1735660003757
R,r,1735660003772
P,h,1735660003781
P,g,1735660003811
R,g,1735660003856
R,h,1735660003866
P,o,1735660003866
P,w,1735660003902
P,a,1735660003906
P,e,1735660003908
P,i,1735660003910
P,r,1735660003937
R,o,1735660003939
R,a,1735660003939
R,i,1735660003939
R,w,1735660003942
R,e,1735660003956
R,r,1735660003966
P,j,1735660003986
P,h,1735660003988
R,h,1735660004056
R,j,1735660004056
P,[,1735660004057
P,o,1735660004058
P,w,1735660004086
P,a,1735660004096
P,r,1735660004098
R,[,1735660004106
R,a,1735660004111
R,o,1735660004137
R,w,1735660004151
R,r,1735660004177
P,g,1735660004177
P,j,1735660004182
P,Key.space,1735660004211
R,j,1735660004237
R,g,1735660004256
P,[,1735660004256
R,Key.space,1735660004321
R,[,1735660004356
P,Key.space,1735660004377
P,w,1735660004477
R,Key.space,1735660004481
P,e,1735660004481
P,;,1735660004483
R,;,1735660004511
R,w,1735660004521
P,i,1735660004521
P,o,1735660004524
R,e,1735660004536
R,o,1735660004541
R,i,1735660004561
P,Key.space,1735660004566
P,h,1735660004601
R,h,1735660004632
R,Key.space,1735660004656
P,w,1735660004656
P,a,1735660004663
P,r,1735660004676
R,a,1735660004716
P,o,1735660004717
R,w,1735660004737
R,r,1735660004777
P,i,1735660004777
P,g,1735660004779
R,o,1735660004781
R,i,1735660004801
P,h,1735660004813
R,g,1735660004876
R,h,1735660004896
P,e,1735660004897
P,a,1735660004911
P,[,1735660004917
P,r,1735660004921
P,o,1735660004923
R,a,1735660004967
R,[,1735660004977
R,e,1735660004981
R,o,1735660005006
R,r,1735660005021
P,g,1735660005052
P,Key.space,1735660005058
R,g,1735660005099
R,Key.space,1735660005132
P,e,1735660005137
P,a,1735660005140
P,r,1735660005142
R,r,1735660005157
P,[,1735660005157
R,e,1735660005182
R,a,1735660005182
R,[,1735660005216
P,Key.space,1735660005217
P,g,1735660005261
R,g,1735660005317
P,w,1735660005317
P,e,1735660005319
P,r,1735660005321
R,Key.space,1735660005324
R,w,1735660005356
R,e,1735660005356
P,o,1735660005401
R,r,1735660005411
P,i,1735660005436
R,o,1735660005482
R,i,1735660005499
P,w,1735660005502
P,a,1735660005506
P,Key.space,1735660005521
P,j,1735660005523
R,j,1735660005566
R,a,1735660005576
P,r,1735660005581
R,w,1735660005597
R,Key.space,1735660005597
P,g,1735660005617
R,r,1735660005624
P,o,1735660005624
R,o,1735660005666
P,j,1735660005721
R,g,1735660005726
P,Key.space,1735660005726
P,e,1735660005737
R,j,1735660005762
P,a,1735660005762
R,Key.space,1735660005766
P,r,1735660005766
R,a,1735660005803
P,p,1735660005803
P,o,1735660005806
P,i,1735660005817
R,p,1735660005827
R,i,1735660005832
R,e,1735660005841
R,o,1735660005851
R,r,1735660005902
P,Key.space,1735660005907
P,g,1735660005912
R,g,1735660005976
R,Key.space,1735660005991
P,w,1735660005991
P,e,1735660005993
P,r,1735660005995
R,w,1735660006013
R,e,1735660006026
P,Key.space,1735660006026
R,r,1735660006062
P,o,1735660006116
R,o,1735660006126
P,j,1735660006166
P,w,1735660006196
P,e,1735660006199
R,j,1735660006201
P,a,1735660006201
P,r,1735660006203
R,a,1735660006205
R,Key.space,1735660006216
R,w,1735660006267
R,e,1735660006296
R,r,1735660006296
P,j,1735660006341
P,Key.space,1735660006361
P,w,1735660006396
P,a,1735660006399
P,e,1735660006401
R,Key.space,1735660006461
P,r,1735660006461
R,j,1735660006472
R,w,1735660006472
R,a,1735660006473
R,e,1735660006473
R,r,1735660006476
P,Key.space,1735660006517
R,Key.space,1735660006607
P,r,1735660006617
P,e,1735660006622
R,e,1735660006639
P,Key.space,1735660006662
R,r,1735660006697
P,g,1735660006721
P,h,1735660006724
P,o,1735660006757
R,Key.space,1735660006759
R,o,1735660006781
R,g,1735660006787
R,h,1735660006792
P,e,1735660006792
P,r,1735660006802
R,e,1735660006851
R,r,1735660006916
P,',1735660006936
P,p,1735660006956
R,',1735660007036
R,p,1735660007036
P,e,1735660007036
P,a,1735660007038
P,r,1735660007039
P,Key.space,1735660007051
R,a,1735660007076
R,e,1735660007081
R,r,1735660007106
P,h,1735660007142
P,;,1735660007151
R,Key.space,1735660007162
P,o,1735660007162
R,;,1735660007216
R,o,1735660007216
R,h,1735660007221
P,a,1735660007222
P,e,1735660007223
P,Key.space,1735660007246
P,r,1735660007248
R,a,1735660007251
R,e,1735660007301
R,Key.space,1735660007331
R,r,1735660007331
P,',1735660007351
P,o,1735660007353
P,h,1735660007371
P,i,1735660007381
R,',1735660007396
R,o,1735660007436
R,i,1735660007436
R,h,1735660007441
P,e,1735660007441
P,a,1735660007444
P,r,1735660007446
P,j,1735660007476
R,a,1735660007479
P,Key.space,1735660007479
R,e,1735660007522
R,j,1735660007523
R,Key.space,1735660007524
R,r,1735660007617
P,g,1735660007617
P,Key.space,1735660007722
R,g,1735660007736
P,g,1735660007836
R,Key.space,1735660007901
R,g,1735660007956
P,;,1735660008041
P,w,1735660008056
P,o,1735660008058
P,i,1735660008066
P,e,1735660008081
R,;,1735660008116
R,o,1735660008126
R,i,1735660008156
R,w,1735660008161
R,e,1735660008161
P,j,1735660008196
P,g,1735660008198
P,Key.space,1735660008206
R,Key.space,1735660008244
R,j,1735660008252
R,g,1735660008328
P,r,1735660008329
P,e,1735660008331
R,e,1735660008363
P,Key.space,1735660008377
P,j,1735660008383
R,r,1735660008418
R,j,1735660008422
P,g,1735660008452
P,',1735660008468
R,g,1735660008497
R,',1735660008497
P,a,1735660008536
P,e,1735660008539
P,r,1735660008552
R,Key.space,1735660008596
R,a,1735660008611
P,o,1735660008612
R,e,1735660008626
R,o,1735660008626
R,r,1735660008671
P,Key.space,1735660008676
P,h,1735660008678
R,Key.space,1735660008746
R,h,1735660008756
P,o,1735660008836
P,e,1735660008846
P,a,1735660008849
P,r,1735660008851
R,o,1735660008853
R,a,1735660008876
R,e,1735660008882
P,Key.space,1735660008882
P,j,1735660008886
R,r,1735660008941
R,Key.space,1735660008941
R,j,1735660008941
P,[,1735660008976
P,',1735660008978
P,a,1735660009046
R,[,1735660009051
R,',1735660009051
P,e,1735660009051
P,o,1735660009053
P,i,1735660009073
P,Key.space,1735660009079
R,Key.space,1735660009126
R,e,1735660009131
R,o,1735660009156
R,a,1735660009161
R,i,1735660009196
P,Key.space,1735660009231
P,j,1735660009241
R,j,1735660009287
P,h,1735660009288
R,Key.space,1735660009311
R,h,1735660009376
P,o,1735660009401
P,i,1735660009422
P,Key.space,1735660009457
P,r,1735660009459
R,Key.space,1735660009496
R,o,1735660009506
R,i,1735660009507
P,s,1735660009507
P,t,1735660009509
R,s,1735660009541
R,r,1735660009576
P,Key.space,1735660009576
P,j,1735660009578
R,t,1735660009606
R,Key.space,1735660009616
P,h,1735660009616
R,j,1735660009622
R,h,1735660009662
P,',1735660009691
P,s,1735660009776
P,p,1735660009779
R,',1735660009798
R,p,1735660009801
R,s,1735660009806
P,Key.space,1735660009816
P,j,1735660009818
R,Key.space,1735660009876
R,j,1735660009876
P,h,1735660009876
R,h,1735660009916
