Press or Release,Key,Time
P,m,1735660022648
R,m,1735660022718
P,o,1735660022892
R,o,1735660022993
P,v,1735660023681
R,v,1735660023768
P,i,1735660024198
R,i,1735660024258
P,e,1735660024618
R,e,1735660024667
P,Key.space,1735660024908
R,Key.space,1735660024998
P,c,1735660025318
R,c,1735660025377
P,l,1735660026512
R,l,1735660026658
P,i,1735660027059
R,i,1735660027158
P,p,1735660027397
R,p,1735660027478
P,s,1735660027858
R,s,1735660027937
P,.,1735660029278
R,.,1735660029392
P,c,1735660029672
R,c,1735660029787
P,o,1735660029918
R,o,1735660029978
P,m,1735660030233
R,m,1735660030278
P,Key.space,1735660031663
R,Key.space,1735660031773
P,t,1735660033818
R,t,1735660033878
P,h,1735660034032
R,h,1735660034088
P,i,1735660034457
R,i,1735660034507
P,s,1735660034732
R,s,1735660034848
P,Key.space,1735660034912
R,Key.space,1735660034987
P,p,1735660038028
R,p,1735660038147
P,l,1735660039582
R,l,1735660039757
P,a,1735660039892
R,a,1735660040048
P,c,1735660040899
R,c,1735660041147
P,e,1735660041187
R,e,1735660041298
P,Key.space,1735660044353
R,Key.space,1735660044457
P,t,1735660044839
R,t,1735660044918
P,o,1735660044998
R,o,1735660045073
P,Key.space,1735660045332
R,Key.space,1735660045403
P,v,1735660045648
R,v,1735660045737
P,i,1735660045827
R,i,1735660045888
P,s,1735660046218
R,s,1735660046327
P,i,1735660046933
R,i,1735660046998
P,t,1735660047267
R,t,1735660047343
P,Key.space,1735660047559
R,Key.space,1735660047613
P,t,1735660049183
R,t,1735660049248
P,o,1735660049338
R,o,1735660049408
P,Key.space,1735660051918
R,Key.space,1735660052018
P,v,1735660052172
R,v,1735660052273
P,i,1735660052487
R,i,1735660052597
P,e,1735660052928
P,w,1735660053028
R,e,1735660053038
R,w,1735660053178
P,Key.space,1735660053357
R,Key.space,1735660053452
P,m,1735660054167
R,m,1735660054248
P,o,1735660054715
R,o,1735660054817
P,v,1735660055398
R,v,1735660055498
P,i,1735660056148
R,i,1735660056248
P,e,1735660059293
R,e,1735660059387
P,Key.space,1735660066029
R,Key.space,1735660066148
P,t,1735660066593
R,t,1735660066707
P,r,1735660067097
