Press or Release,Key,Time
P,Key.shift,1735660007329
P,I,1735660007409
R,I,1735660007488
P,Key.space,1735660007495
R,Key.shift,1735660007508
R,Key.space,1735660007543
P,d,1735660007613
P,o,1735660007677
R,d,1735660007689
P,n,1735660007754
R,o,1735660007765
R,n,1735660007813
P,',1735660007923
R,',1735660007990
P,t,1735660007999
P,Key.space,1735660008050
R,t,1735660008071
R,Key.space,1735660008117
P,t,1735660008266
P,h,1735660008327
R,t,1735660008353
R,h,1735660008394
P,i,1735660008408
R,i,1735660008460
P,n,1735660008516
R,n,1735660008597
P,k,1735660008627
P,Key.space,1735660008676
R,k,1735660008694
R,Key.space,1735660008748
P,Key.shift,1735660008874
P,I,1735660008935
R,Key.shift,1735660008992
P,Key.space,1735660008999
R,I,1735660009011
R,Key.space,1735660009067
P,e,1735660009096
R,e,1735660009163
P,v,1735660009223
R,v,1735660009274
P,e,1735660009324
P,r,1735660009398
R,e,1735660009415
P,Key.space,1735660009438
R,r,1735660009465
R,Key.space,1735660009476
P,w,1735660009748
R,w,1735660009831
P,a,1735660009858
R,a,1735660009965
P,t,1735660009972
R,t,1735660010030
P,c,1735660010144
R,c,1735660010222
P,h,1735660010231
R,h,1735660010292
P,t,1735660010385
R,t,1735660010439
P,e,1735660010907
R,e,1735660010982
P,Key.backspace,1735660011190
R,Key.backspace,1735660011251
P,Key.backspace,1735660011311
P,e,1735660011361
R,Key.backspace,1735660011376
R,e,1735660011443
P,d,1735660011527
P,Key.space,1735660011581
R,d,1735660011592
R,Key.space,1735660011632
P,t,1735660011682
P,h,1735660011737
R,t,1735660011749
R,h,1735660011799
P,e,1735660011808
P,Key.space,1735660011848
R,e,1735660011864
R,Key.space,1735660011910
P,f,1735660012015
P,u,1735660012046
R,f,1735660012096
R,u,1735660012107
P,l,1735660012217
R,l,1735660012268
P,l,1735660012353
R,l,1735660012430
P,Key.space,1735660012439
R,Key.space,1735660012511
P,Key.shift,1735660012857
P,C,1735660012959
R,Key.shift,1735660012996
R,C,1735660013043
P,h,1735660013080
R,h,1735660013143
P,r,1735660013210
R,r,1735660013269
P,s,1735660013318
P,i,1735660013352
R,s,1735660013376
R,i,1735660013411
P,Key.space,1735660013599
R,Key.space,1735660013658
P,Key.backspace,1735660013838
R,Key.backspace,1735660013878
P,Key.backspace,1735660013938
R,Key.backspace,1735660014010
P,Key.backspace,1735660014056
R,Key.backspace,1735660014131
P,i,1735660014247
P,s,1735660014308
R,i,1735660014318
P,Key.space,1735660014367
R,s,1735660014379
R,Key.space,1735660014440
P,Key.shift,1735660014479
P,R,1735660014547
R,Key.shift,1735660014589
P,o,1735660014624
R,R,1735660014634
R,o,1735660014679
P,c,1735660014734
R,c,1735660014803
P,k,1735660014810
P,Key.space,1735660014876
R,k,1735660014886
R,Key.space,1735660014943
P,s,1735660015148
R,s,1735660015221
P,l,1735660015234
R,l,1735660015293
P,a,1735660015309
R,a,1735660015403
P,p,1735660015431
R,p,1735660015505
P,Key.space,1735660015511
R,Key.space,1735660015579
P,v,1735660016013
R,v,1735660016080
P,i,1735660016086
R,i,1735660016150
P,d,1735660016157
R,d,1735660016215
P,e,1735660016295
P,o,1735660016360
R,e,1735660016372
R,o,1735660016417
P,Key.space,1735660016426
R,Key.space,1735660016493
P,u,1735660016572
R,u,1735660016627
P,n,1735660016727
R,n,1735660016778
P,t,1735660016818
R,t,1735660016896
P,i,1735660016915
R,i,1735660016988
P,l,1735660016995
R,l,1735660017047
P,Key.space,1735660017057
R,Key.space,1735660017103
P,t,1735660017133
R,t,1735660017194
P,o,1735660017217
R,o,1735660017279
P,n,1735660017298
R,n,1735660017380
P,i,1735660017459
R,i,1735660017511
P,h,1735660017630
P,t,1735660017686
R,h,1735660017702
R,t,1735660017739
P,Key.backspace,1735660017928
R,Key.backspace,1735660017969
P,Key.backspace,1735660018029
R,Key.backspace,1735660018105
P,g,1735660018200
R,g,1735660018262
P,h,1735660018286
R,h,1735660018342
P,t,1735660018371
R,t,1735660018423
P,Key.comma,1735660018554
R,Key.comma,1735660018607
P,Key.space,1735660018616
R,Key.space,1735660018651
P,a,1735660021901
P,n,1735660021963
R,a,1735660021976
R,n,1735660022030
P,d,1735660022039
P,Key.space,1735660022105
R,d,1735660022118
R,Key.space,1735660022161
P,Key.shift,1735660022189
P,I,1735660022237
R,I,1735660022292
R,Key.shift,1735660022320
P,Key.space,1735660022342
R,Key.space,1735660022411
P,k,1735660022478
R,k,1735660022562
P,n,1735660022889
R,n,1735660022965
P,o,1735660023074
R,o,1735660023142
P,w,1735660023182
P,Key.space,1735660023235
R,w,1735660023248
R,Key.space,1735660023299
P,Key.shift,1735660023477
P,I,1735660023535
R,I,1735660023591
R,Key.shift,1735660023631
P,',1735660023710
R,',1735660023787
P,v,1735660023795
R,v,1735660023831
P,e,1735660023881
P,Key.space,1735660023911
R,e,1735660023959
R,Key.space,1735660023969
P,n,1735660024068
R,n,1735660024151
P,e,1735660024174
R,e,1735660024252
P,v,1735660024295
R,v,1735660024356
P,e,1735660024390
P,r,1735660024456
R,e,1735660024482
P,Key.space,1735660024512
R,r,1735660024547
R,Key.space,1735660024567
P,s,1735660024638
R,s,1735660024702
P,e,1735660024779
R,e,1735660024832
P,e,1735660024898
P,n,1735660024981
R,e,1735660024994
P,Key.space,1735660025036
R,n,1735660025047
R,Key.space,1735660025114
P,Key.shift,1735660025318
P,W,1735660025419
R,Key.shift,1735660025457
P,i,1735660025490
R,W,1735660025512
R,i,1735660025538
P,l,1735660025653
R,l,1735660025685
P,l,1735660025759
R,l,1735660025825
P,Key.space,1735660025839
P,Key.shift,1735660025855
R,Key.space,1735660025907
P,S,1735660025977
R,Key.shift,1735660025997
P,m,1735660026050
R,S,1735660026069
R,m,1735660026098
P,i,1735660026131
R,i,1735660026199
P,t,1735660026249
R,t,1735660026321
P,h,1735660026330
R,h,1735660026381
P,',1735660026504
P,s,1735660026551
R,',1735660026567
R,s,1735660026639
P,Key.space,1735660026656
R,Key.space,1735660026718
P,Key.shift,1735660026868
P,O,1735660026984
R,O,1735660027056
R,Key.shift,1735660027066
P,s,1735660027130
R,s,1735660027217
P,c,1735660027227
R,c,1735660027299
P,a,1735660027357
R,a,1735660027469
P,r,1735660027478
R,r,1735660027575
P,Key.space,1735660027599
R,Key.space,1735660027668
P,a,1735660027834
R,a,1735660027859
P,a,1735660027993
R,a,1735660028020
P,c,1735660028119
R,c,1735660028192
P,Key.backspace,1735660028335
R,Key.backspace,1735660028387
P,Key.backspace,1735660028446
R,Key.backspace,1735660028535
P,c,1735660028552
R,c,1735660028629
P,c,1735660028700
R,c,1735660028782
P,a,1735660028812
R,a,1735660028898
P,p,1735660028923
R,p,1735660029005
P,Key.backspace,1735660029226
R,Key.backspace,1735660029281
P,Key.backspace,1735660029336
R,Key.backspace,1735660029408
P,e,1735660029437
R,e,1735660029509
P,p,1735660029518
R,p,1735660029595
P,t,1735660029605
R,t,1735660029689
P,a,1735660029734
R,a,1735660029816
P,n,1735660029844
R,n,1735660029890
P,c,1735660029905
R,c,1735660029981
P,e,1735660030027
P,Key.space,1735660030077
R,e,1735660030118
R,Key.space,1735660030129
P,s,1735660030254
P,p,1735660030329
R,s,1735660030340
R,p,1735660030387
P,e,1735660030430
R,e,1735660030508
P,e,1735660030567
R,e,1735660030669
P,c,1735660030737
R,c,1735660030809
P,h,1735660030817
R,h,1735660030874
P,.,1735660033693
R,.,1735660033746
P,Key.space,1735660033796
R,Key.space,1735660033858
P,Key.space,1735660033928
P,Key.shift,1735660033988
R,Key.space,1735660034009
P,B,1735660034113
R,Key.shift,1735660034130
P,u,1735660034193
R,B,1735660034206
R,u,1735660034246
P,t,1735660034293
R,t,1735660034363
P,Key.space,1735660034372
R,Key.space,1735660034433
P,a,1735660034966
P,n,1735660035021
R,a,1735660035032
R,n,1735660035093
P,y,1735660035101
R,y,1735660035169
P,o,1735660035213
R,o,1735660035300
P,n,1735660035310
R,n,1735660035381
P,e,1735660035400
R,e,1735660035442
P,Key.space,1735660035792
R,Key.space,1735660035864
P,s,1735660036089
R,s,1735660036131
P,h,1735660036140
R,h,1735660036211
P,o,1735660036241
R,o,1735660036303
P,Key.backspace,1735660036468
R,Key.backspace,1735660036519
P,Key.backspace,1735660036574
R,Key.backspace,1735660036671
P,w,1735660036747
R,w,1735660036814
P,Key.backspace,1735660037085
R,Key.backspace,1735660037137
P,Key.backspace,1735660037197
R,Key.backspace,1735660037273
P,w,1735660037298
R,w,1735660037379
P,h,1735660037389
R,h,1735660037449
P,o,1735660037490
R,o,1735660037566
P,Key.space,1735660037573
R,Key.space,1735660037632
P,d,1735660037651
R,d,1735660037712
P,i,1735660037756
P,d,1735660037800
R,i,1735660037811
R,d,1735660037878
P,Key.space,1735660037896
R,Key.space,1735660037962
P,s,1735660038229
R,s,1735660038322
P,e,1735660038448
R,e,1735660038513
P,e,1735660038593
P,Key.space,1735660038643
R,e,1735660038655
R,Key.space,1735660038705
P,t,1735660038720
P,h,1735660038774
R,t,1735660038795
R,h,1735660038851
P,e,1735660038859
P,Key.space,1735660038900
R,e,1735660038943
R,Key.space,1735660038967
P,w,1735660039026
P,h,1735660039071
R,w,1735660039108
R,h,1735660039128
P,o,1735660039138
R,o,1735660039209
P,l,1735660039283
P,e,1735660039355
R,l,1735660039385
P,Key.space,1735660039409
R,e,1735660039433
R,Key.space,1735660039493
P,c,1735660039501
R,c,1735660039577
P,e,1735660039642
P,r,1735660039697
R,e,1735660039725
R,r,1735660039821
P,e,1735660039830
P,m,1735660039915
R,e,1735660039926
R,m,1735660039993
P,o,1735660040117
R,o,1735660040179
P,n,1735660040214
R,n,1735660040270
P,y,1735660040416
R,y,1735660040482
P,Key.comma,1735660040638
P,Key.space,1735660040671
R,Key.comma,1735660040705
R,Key.space,1735660040749
P,w,1735660040797
R,w,1735660040868
P,a,1735660040924
P,s,1735660041005
R,a,1735660041030
P,Key.space,1735660041076
R,s,1735660041113
R,Key.space,1735660041138
P,h,1735660041248
R,h,1735660041320
P,i,1735660041332
R,i,1735660041416
P,s,1735660041450
R,s,1735660041542
P,Key.space,1735660041551
R,Key.space,1735660041598
P,Key.backspace,1735660041967
R,Key.backspace,1735660042019
P,Key.backspace,1735660042094
R,Key.backspace,1735660042146
P,Key.backspace,1735660042216
R,Key.backspace,1735660042278
P,Key.backspace,1735660042347
R,Key.backspace,1735660042423
P,h,1735660044440
P,i,1735660044490
R,h,1735660044508
P,s,1735660044561
R,i,1735660044582
R,s,1735660044643
P,Key.space,1735660044653
R,Key.space,1735660044714
P,f,1735660045061
P,o,1735660045121
R,f,1735660045132
R,o,1735660045158
P,l,1735660045269
R,l,1735660045316
P,l,1735660045410
R,l,1735660045442
P,o,1735660045520
R,o,1735660045581
P,w,1735660045646
R,w,1735660045718
P,-,1735660045741
R,-,1735660045828
P,u,1735660046181
R,u,1735660046269
P,p,1735660046620
R,p,1735660046692
P,Key.space,1735660046782
R,Key.space,1735660046848
P,s,1735660046886
R,s,1735660046958
P,p,1735660047018
P,e,1735660047058
R,p,1735660047069
R,e,1735660047117
P,e,1735660047184
R,e,1735660047271
P,c,1735660047332
P,h,1735660047397
R,c,1735660047408
R,h,1735660047448
P,Key.space,1735660047457
R,Key.space,1735660047538
P,a,1735660047558
P,s,1735660047653
R,a,1735660047664
R,s,1735660047750
