Press or Release,Key,Time
P,t,1735660004179
R,t,1735660004218
P,h,1735660004343
R,h,1735660004393
P,i,1735660004518
R,i,1735660004549
P,s,1735660004623
R,s,1735660004739
P,Key.space,1735660004778
R,Key.space,1735660004823
P,o,1735660005103
R,o,1735660005158
P,c,1735660005243
R,c,1735660005358
P,Key.backspace,1735660005598
R,Key.backspace,1735660005682
P,Key.backspace,1735660005738
R,Key.backspace,1735660005818
P,c,1735660006484
R,c,1735660006623
P,o,1735660006718
R,o,1735660006798
P,a,1735660006977
R,a,1735660007103
P,c,1735660007323
R,c,1735660007423
P,h,1735660007438
R,h,1735660007488
P,Key.space,1735660007638
R,Key.space,1735660007683
P,c,1735660008043
R,c,1735660008083
P,a,1735660008223
R,a,1735660008343
P,r,1735660008377
R,r,1735660008418
P,t,1735660008563
R,t,1735660008588
P,e,1735660008684
R,e,1735660008774
P,r,1735660008774
R,r,1735660008838
P,Key.space,1735660008983
R,Key.space,1735660009023
P,m,1735660009299
R,m,1735660009348
P,o,1735660009519
R,o,1735660009558
P,v,1735660009738
R,v,1735660009817
P,i,1735660009858
R,i,1735660009918
P,e,1735660010018
R,e,1735660010118
P,Key.space,1735660010128
R,Key.space,1735660010178
P,i,1735660010328
R,i,1735660010361
P,s,1735660010433
R,s,1735660010543
P,Key.space,1735660010578
R,Key.space,1735660010643
P,v,1735660010803
R,v,1735660010838
P,e,1735660010903
R,e,1735660011003
P,r,1735660011122
R,r,1735660011217
P,y,1735660011258
R,y,1735660011303
P,Key.space,1735660011458
R,Key.space,1735660011519
P,g,1735660011668
R,g,1735660011713
P,o,1735660011918
R,o,1735660011977
P,o,1735660012078
R,o,1735660012123
P,d,1735660012263
R,d,1735660012358
P,Key.space,1735660012424
R,Key.space,1735660012478
P,t,1735660012803
R,t,1735660012858
P,o,1735660013018
R,o,1735660013063
P,Key.space,1735660013233
R,Key.space,1735660013283
P,s,1735660013383
R,s,1735660013488
P,e,1735660013618
R,e,1735660013673
P,e,1735660013799
R,e,1735660013878
P,Key.space,1735660013903
