Press or Release,Key,Time
P,F3,1735660014724
P,w,1735660022755
R,w,1735660022932
P,o,1735660023091
R,o,1735660023195
P,r,1735660023515
R,r,1735660023627
P,l,1735660023771
R,l,1735660023907
P,d,1735660024115
R,d,1735660024237
P,w,1735660024444
R,w,1735660024614
P,i,1735660024763
R,i,1735660024931
P,d,1735660025091
R,d,1735660025219
P,w,1735660025334
R,w,1735660025534
P,Key.backspace,1735660026013
R,Key.backspace,1735660026123
P,e,1735660026172
R,e,1735660026315
P,.,1735660027483
R,.,1735660027539
