Press or Release,Key,Time
P,Key.shift,1735660002308
P,T,1735660002678
R,T,1735660002755
P,H,1735660002756
R,Key.shift,1735660002790
R,H,1735660002827
P,e,1735660002905
R,e,1735660003018
P,Key.space,1735660003049
R,Key.space,1735660003163
P,v,1735660003175
R,v,1735660003286
P,i,1735660003300
R,i,1735660003449
P,Key.backspace,1735660003605
R,Key.backspace,1735660003718
P,Key.backspace,1735660003798
R,Key.backspace,1735660003870
P,Key.backspace,1735660003996
R,Key.backspace,1735660004069
P,Key.backspace,1735660004148
R,Key.backspace,1735660004260
P,Key.backspace,1735660004583
R,Key.backspace,1735660004694
P,h,1735660004748
R,h,1735660004863
P,e,1735660004863
R,e,1735660004972
P,Key.space,1735660004976
R,Key.space,1735660005088
P,v,1735660005148
R,v,1735660005299
P,i,1735660005304
R,i,1735660005416
P,d,1735660005445
R,d,1735660005556
P,o,1735660005694
R,o,1735660005804
P,Key.backspace,1735660006276
R,Key.backspace,1735660006388
P,e,1735660006404
R,e,1735660006516
P,o,1735660006524
R,o,1735660006713
P,Key.space,1735660006713
R,Key.space,1735660006785
P,i,1735660006838
R,i,1735660006990
P,s,1735660006991
R,s,1735660007063
P,Key.space,1735660007119
R,Key.space,1735660007267
P,a,1735660007267
R,a,1735660007379
P,l,1735660007379
R,l,1735660007452
P,l,1735660007552
R,l,1735660007701
P,Key.space,1735660007757
R,Key.space,1735660007870
P,a,1735660007953
R,a,1735660008102
P,b,1735660008189
R,b,1735660008263
P,o,1735660008387
R,o,1735660008536
P,u,1735660008830
R,u,1735660008943
P,t,1735660008946
R,t,1735660009060
P,Key.space,1735660009061
R,Key.space,1735660009170
P,t,1735660009235
P,h,1735660009310
R,t,1735660009348
R,h,1735660009423
P,e,1735660009504
R,e,1735660009617
P,Key.space,1735660009752
R,Key.space,1735660009899
P,Key.backspace,1735660010544
R,Key.backspace,1735660010652
P,Key.backspace,1735660010739
R,Key.backspace,1735660010850
P,Key.backspace,1735660010947
R,Key.backspace,1735660011058
P,Key.backspace,1735660011121
R,Key.backspace,1735660011269
P,h,1735660011897
R,h,1735660012010
P,o,1735660012042
P,s,1735660012155
R,o,1735660012230
R,s,1735660012267
P,t,1735660012376
P,Key.space,1735660012487
R,t,1735660012524
R,Key.space,1735660012635
P,Key.shift,1735660014162
P,C,1735660014349
R,Key.shift,1735660014500
R,C,1735660014501
P,h,1735660014668
R,h,1735660014780
P,r,1735660014908
R,r,1735660015021
P,i,1735660015109
R,i,1735660015221
P,s,1735660015221
R,s,1735660015331
P,Key.space,1735660015414
R,Key.space,1735660015488
P,Key.shift,1735660015855
P,R,1735660016039
R,Key.shift,1735660016191
R,R,1735660016191
P,o,1735660016192
R,o,1735660016300
P,c,1735660016381
R,c,1735660016531
P,k,1735660016545
R,k,1735660016732
P,s,1735660016733
R,s,1735660016842
P,Key.space,1735660016893
R,Key.space,1735660017004
P,b,1735660017087
R,b,1735660017198
P,w,1735660017305
R,w,1735660017455
P,Key.backspace,1735660017696
P,e,1735660017807
R,Key.backspace,1735660017844
R,e,1735660017956
P,i,1735660018026
P,n,1735660018101
P,g,1735660018175
R,i,1735660018213
R,n,1735660018251
R,g,1735660018326
P,Key.space,1735660018326
R,Key.space,1735660018437
P,s,1735660018489
R,s,1735660018602
P,m,1735660018794
R,m,1735660018904
P,a,1735660019226
R,a,1735660019377
P,c,1735660019440
R,c,1735660019551
P,k,1735660019583
R,k,1735660019697
P,e,1735660019698
R,e,1735660019807
P,d,1735660019880
R,d,1735660020028
P,Key.space,1735660020028
R,Key.space,1735660020101
P,b,1735660020258
R,b,1735660020370
P,y,1735660020844
R,y,1735660020954
P,Key.space,1735660020976
R,Key.space,1735660021087
P,a,1735660021160
R,a,1735660021310
P,c,1735660021350
R,c,1735660021500
P,t,1735660021595
R,t,1735660021672
P,o,1735660021672
R,o,1735660021781
P,r,1735660021826
R,r,1735660021898
P,Key.space,1735660021969
R,Key.space,1735660022080
P,Key.shift,1735660022332
P,W,1735660022668
R,W,1735660022780
R,Key.shift,1735660022817
P,i,1735660022825
R,i,1735660022892
P,l,1735660023012
R,l,1735660023123
P,l,1735660023163
P,Key.space,1735660023235
R,l,1735660023273
R,Key.space,1735660023384
P,Key.shift,1735660023710
P,S,1735660023897
R,S,1735660023972
R,Key.shift,1735660024010
P,m,1735660024040
R,m,1735660024150
P,i,1735660024279
R,i,1735660024427
P,t,1735660024453
R,t,1735660024563
P,h,1735660024582
R,h,1735660024694
P,Key.space,1735660024694
R,Key.space,1735660024767
P,f,1735660024956
R,f,1735660025071
P,o,1735660025071
P,r,1735660025181
R,o,1735660025218
R,r,1735660025293
P,Key.space,1735660025482
R,Key.space,1735660025633
P,m,1735660025868
R,m,1735660025980
P,a,1735660026062
R,a,1735660026174
P,k,1735660026194
R,k,1735660026307
P,i,1735660026413
P,n,1735660026485
R,i,1735660026560
R,n,1735660026599
P,g,1735660026600
R,g,1735660026673
P,Key.space,1735660026674
R,Key.space,1735660026783
P,f,1735660027072
R,f,1735660027149
P,u,1735660027347
R,u,1735660027458
P,n,1735660027555
R,n,1735660027705
P,Key.space,1735660027705
R,Key.space,1735660027814
P,o,1735660027884
R,o,1735660028036
P,f,1735660028036
R,f,1735660028109
P,Key.space,1735660028138
R,Key.space,1735660028212
P,h,1735660028366
R,h,1735660028440
P,e,1735660028853
R,e,1735660029003
P,Key.backspace,1735660029206
R,Key.backspace,1735660029317
P,s,1735660029516
R,s,1735660029628
P,Key.backspace,1735660029788
P,i,1735660029897
R,Key.backspace,1735660029972
R,i,1735660030047
P,s,1735660030056
R,s,1735660030122
P,Key.space,1735660030123
R,Key.space,1735660030307
P,w,1735660030777
R,w,1735660030887
P,i,1735660031016
R,i,1735660031128
P,f,1735660031181
R,f,1735660031294
P,e,1735660031349
R,e,1735660031498
P,Key.space,1735660031499
R,Key.space,1735660031645
P,Key.shift,1735660032470
P,J,1735660032581
R,Key.shift,1735660032619
R,J,1735660032620
P,i,1735660032864
R,i,1735660032974
P,a,1735660033032
R,a,1735660033181
P,Key.space,1735660033361
R,Key.space,1735660033471
P,o,1735660034660
P,n,1735660034808
R,o,1735660034846
P,Key.space,1735660034920
R,n,1735660034957
R,Key.space,1735660035032
P,t,1735660035092
R,t,1735660035202
P,h,1735660035203
R,h,1735660035314
P,e,1735660035325
P,Key.space,1735660035438
R,e,1735660035474
R,Key.space,1735660035549
P,l,1735660035629
R,l,1735660035777
P,i,1735660035892
R,i,1735660036043
P,v,1735660036044
R,v,1735660036153
P,e,1735660036205
P,Key.space,1735660036315
R,e,1735660036353
R,Key.space,1735660036427
P,t,1735660036819
R,t,1735660036932
P,e,1735660037550
R,e,1735660037698
P,l,1735660037702
R,l,1735660037814
P,e,1735660037815
