Press or Release,Key,Time
P,Key.shift,1735660002224
P,N,1735660002343
R,N,1735660002410
R,Key.shift,1735660002423
P,i,1735660002543
R,i,1735660002639
P,c,1735660002679
R,c,1735660002748
P,e,1735660002791
R,e,1735660002867
P,Key.space,1735660002868
R,Key.space,1735660002945
P,s,1735660003017
R,s,1735660003096
P,e,1735660003166
R,e,1735660003235
P,n,1735660003328
R,n,1735660003407
P,t,1735660003427
R,t,1735660003513
P,i,1735660003537
R,i,1735660003612
P,m,1735660003671
P,e,1735660003729
R,m,1735660003764
R,e,1735660003854
P,n,1735660003883
P,t,1735660003936
R,n,1735660003956
R,t,1735660004009
P,Key.space,1735660004070
R,Key.space,1735660004147
P,s,1735660004207
P,h,1735660004266
R,s,1735660004298
R,h,1735660004323
P,o,1735660004390
P,w,1735660004408
R,o,1735660004465
R,w,1735660004495
P,e,1735660004555
R,e,1735660004651
P,d,1735660004748
P,Key.space,1735660004821
R,d,1735660004827
R,Key.space,1735660004893
P,b,1735660004955
R,b,1735660005032
P,y,1735660005061
R,y,1735660005123
P,Key.space,1735660005179
R,Key.space,1735660005271
P,e,1735660005406
R,e,1735660005549
P,v,1735660005655
P,e,1735660005722
R,v,1735660005750
P,r,1735660005807
R,e,1735660005846
P,y,1735660005911
R,r,1735660005924
R,y,1735660005984
P,w,1735660006041
R,w,1735660006135
P,o,1735660006226
R,o,1735660006300
P,Key.backspace,1735660006483
R,Key.backspace,1735660006547
P,Key.backspace,1735660006603
R,Key.backspace,1735660006692
P,o,1735660006847
R,o,1735660006966
P,n,1735660006971
P,e,1735660007021
R,n,1735660007063
R,e,1735660007115
P,.,1735660007673
P,Key.space,1735660007751
R,.,1735660007768
R,Key.space,1735660007856
P,Key.shift,1735660008164
P,T,1735660009873
R,T,1735660009975
R,Key.shift,1735660010012
P,h,1735660010050
R,h,1735660010137
P,e,1735660010215
P,y,1735660010283
R,e,1735660010310
R,y,1735660010361
P,Key.space,1735660010433
R,Key.space,1735660010529
P,l,1735660010611
R,l,1735660010686
P,o,1735660010774
R,o,1735660010849
P,v,1735660010853
R,v,1735660010919
P,e,1735660011013
P,Key.space,1735660011061
R,e,1735660011072
R,Key.space,1735660011149
P,t,1735660011196
R,t,1735660011282
P,h,1735660011285
R,h,1735660011373
P,e,1735660011373
P,i,1735660011461
R,e,1735660011496
R,i,1735660011547
P,r,1735660011591
R,r,1735660011695
P,Key.space,1735660011703
R,Key.space,1735660011779
P,c,1735660011867
P,o,1735660011939
R,c,1735660011970
R,o,1735660012019
P,a,1735660012062
R,a,1735660012189
P,c,1735660012227
P,h,1735660012321
R,c,1735660012327
R,h,1735660012403
P,Key.space,1735660012523
R,Key.space,1735660012607
P,a,1735660012948
R,a,1735660013051
P,s,1735660013169
P,Key.space,1735660013261
R,s,1735660013272
R,Key.space,1735660013339
P,h,1735660013671
R,h,1735660013760
P,e,1735660013845
P,Key.space,1735660013944
R,e,1735660013954
R,Key.space,1735660014057
P,h,1735660014079
P,a,1735660014116
R,h,1735660014179
R,a,1735660014262
P,d,1735660014312
R,d,1735660014421
P,Key.space,1735660014433
R,Key.space,1735660014526
P,e,1735660014583
R,e,1735660014649
P,Key.backspace,1735660015095
R,Key.backspace,1735660015157
P,h,1735660015303
R,h,1735660015383
P,e,1735660015407
R,e,1735660015499
P,l,1735660015563
R,l,1735660015609
P,p,1735660015648
P,e,1735660015721
R,p,1735660015724
R,e,1735660015799
P,d,1735660015903
R,d,1735660016019
P,Key.space,1735660016047
R,Key.space,1735660016121
P,t,1735660016345
P,h,1735660016446
R,t,1735660016454
P,e,1735660016539
R,h,1735660016546
P,m,1735660016663
R,e,1735660016672
R,m,1735660016752
P,.,1735660016926
P,Key.space,1735660016989
R,.,1735660016997
R,Key.space,1735660017107
P,Key.shift,1735660017470
P,N,1735660018539
R,N,1735660018637
R,Key.shift,1735660018681
P,Key.backspace,1735660019264
R,Key.backspace,1735660019377
P,Key.shift,1735660019449
P,B,1735660019707
R,Key.shift,1735660019788
R,B,1735660019821
P,a,1735660019910
R,a,1735660020047
P,u,1735660020076
R,u,1735660020163
P,t,1735660020251
R,t,1735660020315
P,Key.backspace,1735660021297
R,Key.backspace,1735660021366
P,Key.backspace,1735660021446
R,Key.backspace,1735660021513
P,Key.backspace,1735660021582
R,Key.backspace,1735660021647
P,Key.backspace,1735660021711
R,Key.backspace,1735660021792
P,Key.shift,1735660022454
P,A,1735660022693
R,A,1735660022812
R,Key.shift,1735660022826
P,m,1735660022977
R,m,1735660023057
P,a,1735660023070
R,a,1735660023163
P,z,1735660023291
P,i,1735660023375
R,z,1735660023392
R,i,1735660023488
P,n,1735660023502
R,n,1735660023615
P,g,1735660024153
R,g,1735660024233
P,Key.space,1735660024291
R,Key.space,1735660024391
P,v,1735660024577
R,v,1735660024645
P,s,1735660024831
R,s,1735660024915
P,Key.backspace,1735660025192
R,Key.backspace,1735660025305
P,Key.backspace,1735660025384
R,Key.backspace,1735660025475
P,l,1735660026191
R,l,1735660026241
P,i,1735660026328
P,g,1735660026413
R,i,1735660026424
R,g,1735660026521
P,h,1735660026523
P,t,1735660026624
R,h,1735660026630
R,t,1735660026705
P,i,1735660026733
R,i,1735660026849
P,n,1735660026869
R,n,1735660026979
P,g,1735660026992
R,g,1735660027059
P,Key.space,1735660027098
R,Key.space,1735660027181
P,a,1735660027305
P,n,1735660027322
R,a,1735660027372
R,n,1735660027411
P,d,1735660027420
P,Key.space,1735660027519
R,d,1735660027524
R,Key.space,1735660027599
P,d,1735660027659
P,i,1735660027674
R,d,1735660027761
R,i,1735660027763
P,a,1735660027845
P,l,1735660027907
R,a,1735660027946
R,l,1735660027981
P,o,1735660028068
R,o,1735660028140
P,g,1735660028228
R,g,1735660028333
P,u,1735660028376
R,u,1735660028458
P,e,1735660028515
R,e,1735660028592
P,Key.space,1735660028770
R,Key.space,1735660028866
P,Key.backspace,1735660029114
R,Key.backspace,1735660029199
P,.,1735660029317
P,Key.space,1735660029411
R,.,1735660029445
R,Key.space,1735660029509
P,Key.shift,1735660029690
P,A,1735660031121
R,A,1735660031252
R,Key.shift,1735660031291
P,Key.space,1735660031299
R,Key.space,1735660031383
P,m,1735660031487
R,m,1735660031559
P,u,1735660031892
R,u,1735660031947
P,s,1735660031964
R,s,1735660032056
P,t,1735660032149
P,Key.space,1735660032207
R,t,1735660032239
R,Key.space,1735660032293
P,w,1735660032394
R,w,1735660032478
P,a,1735660032590
R,a,1735660032662
P,t,1735660032742
R,t,1735660032812
P,c,1735660032951
P,h,1735660033014
R,c,1735660033045
R,h,1735660033077
P,Key.space,1735660033179
P,f,1735660033254
R,Key.space,1735660033273
R,f,1735660033354
P,o,1735660033354
P,r,1735660033385
R,o,1735660033423
R,r,1735660033461
P,Key.space,1735660033510
P,e,1735660033551
R,Key.space,1735660033583
R,e,1735660033662
P,v,1735660033694
P,e,1735660033751
R,v,1735660033772
R,e,1735660033846
P,r,1735660033926
R,r,1735660034035
P,y,1735660034076
