Press or Release,Key,Time
P,i,1735660003821
R,i,1735660003917
P,t,1735660004078
R,t,1735660004157
P,Key.space,1735660004301
R,Key.space,1735660004365
P,w,1735660004413
R,w,1735660004541
P,a,1735660004638
P,s,1735660004734
R,a,1735660004767
R,s,1735660004893
P,Key.space,1735660004925
R,Key.space,1735660005005
P,n,1735660005645
R,n,1735660005726
P,o,1735660005870
R,o,1735660005965
P,t,1735660006110
R,t,1735660006189
P,Key.space,1735660006336
R,Key.space,1735660006429
P,a,1735660006446
R,a,1735660006575
P,t,1735660006622
R,t,1735660006701
P,Key.space,1735660006861
R,Key.space,1735660006957
P,a,1735660007181
R,a,1735660007310
P,l,1735660007311
R,l,1735660007389
P,l,1735660007469
R,l,1735660007550
P,Key.space,1735660007679
R,Key.space,1735660007757
P,g,1735660008734
R,g,1735660008815
P,o,1735660009005
R,o,1735660009085
P,o,1735660009149
R,o,1735660009229
P,d,1735660009261
P,Key.space,1735660009407
R,d,1735660009437
R,Key.space,1735660009485
P,h,1735660010223
R,h,1735660010301
P,Key.backspace,1735660010671
R,Key.backspace,1735660010765
P,j,1735660011005
R,j,1735660011085
P,o,1735660011219
R,o,1735660011293
P,k,1735660011406
R,k,1735660011490
P,e,1735660011519
R,e,1735660011665
P,Key.space,1735660011691
R,Key.space,1735660011760
P,t,1735660012269
R,t,1735660012349
P,o,1735660012558
R,o,1735660012654
P,Key.space,1735660012837
R,Key.space,1735660012925
P,r,1735660013613
R,r,1735660013678
P,n,1735660013774
R,n,1735660013870
P,Key.backspace,1735660014222
R,Key.backspace,1735660014334
P,Key.backspace,1735660014446
R,Key.backspace,1735660014542
P,e,1735660015374
R,e,1735660015488
P,n,1735660016526
R,n,1735660016621
P,t,1735660016796
R,t,1735660016878
P,e,1735660016909
P,r,1735660017022
R,e,1735660017038
R,r,1735660017150
P,t,1735660017518
P,a,1735660017581
R,t,1735660017613
R,a,1735660017741
P,i,1735660017917
R,i,1735660018030
P,n,1735660018098
R,n,1735660018205
P,g,1735660018399
R,g,1735660018445
P,Key.backspace,1735660018893
R,Key.backspace,1735660018989
P,Key.space,1735660019261
R,Key.space,1735660019342
P,p,1735660020414
R,p,1735660020508
P,e,1735660020526
R,e,1735660020668
P,o,1735660020717
R,o,1735660020781
P,p,1735660020912
R,p,1735660020990
P,l,1735660021101
R,l,1735660021185
P,e,1735660021230
R,e,1735660021310
P,Key.space,1735660021423
R,Key.space,1735660021485
P,i,1735660025582
R,i,1735660025678
P,n,1735660025759
R,n,1735660025838
P,Key.space,1735660025966
R,Key.space,1735660026031
P,t,1735660026365
