Press or Release,Key,Time
P,Key.shift,1735660003676
P,V,1735660003918
R,Key.shift,1735660003987
R,V,1735660004006
P,i,1735660004262
R,i,1735660004356
P,d,1735660004378
P,e,1735660004470
R,d,1735660004519
P,o,1735660004540
R,e,1735660004582
R,o,1735660004648
P,Key.space,1735660004754
R,Key.space,1735660004871
P,s,1735660005045
P,h,1735660005116
R,s,1735660005147
P,o,1735660005204
R,h,1735660005255
R,o,1735660005321
P,w,1735660005324
R,w,1735660005422
P,s,1735660005503
R,s,1735660005600
P,Key.space,1735660005611
R,Key.space,1735660005728
P,a,1735660005982
R,a,1735660006083
P,n,1735660006124
R,n,1735660006229
P,Key.space,1735660006286
R,Key.space,1735660006399
P,a,1735660006545
R,a,1735660006646
P,r,1735660006820
R,r,1735660006924
P,g,1735660007042
P,u,1735660007140
R,g,1735660007204
R,u,1735660007260
P,e,1735660007279
R,e,1735660007375
P,m,1735660007388
P,e,1735660007501
R,m,1735660007522
R,e,1735660007597
P,n,1735660007643
P,t,1735660007729
R,n,1735660007746
P,Key.space,1735660007846
R,t,1735660007852
R,Key.space,1735660007981
P,b,1735660008216
R,b,1735660008329
P,e,1735660008340
R,e,1735660008433
P,t,1735660008762
R,t,1735660008855
P,w,1735660009048
R,w,1735660009143
P,e,1735660009367
R,e,1735660009480
P,e,1735660009556
R,e,1735660009665
P,n,1735660009666
R,n,1735660009741
P,Key.space,1735660009821
P,t,1735660009928
R,Key.space,1735660009936
R,t,1735660010026
P,r,1735660010099
P,u,1735660010197
R,r,1735660010204
R,u,1735660010299
P,m,1735660010802
P,o,1735660010911
R,m,1735660010998
R,o,1735660011077
P,Key.space,1735660011140
R,Key.space,1735660011256
P,Key.backspace,1735660011526
R,Key.backspace,1735660011620
P,Key.backspace,1735660011675
R,Key.backspace,1735660011759
P,p,1735660012021
R,p,1735660012144
P,Key.space,1735660012250
R,Key.space,1735660012367
P,a,1735660012386
R,a,1735660012479
P,n,1735660012483
R,n,1735660012588
P,d,1735660012629
P,Key.space,1735660012692
R,d,1735660012729
R,Key.space,1735660012782
P,z,1735660012876
R,z,1735660012986
P,e,1735660013141
P,l,1735660013239
R,e,1735660013250
P,e,1735660013352
R,l,1735660013368
R,e,1735660013463
P,n,1735660013478
R,n,1735660013594
P,s,1735660013706
R,s,1735660013811
P,k,1735660013818
R,k,1735660013906
P,y,1735660014027
R,y,1735660014108
P,y,1735660014183
R,y,1735660014258
P,.,1735660015095
R,.,1735660015167
P,Key.space,1735660015288
R,Key.space,1735660015365
P,Key.shift,1735660015449
P,W,1735660015631
R,W,1735660015778
R,Key.shift,1735660015780
P,h,1735660015832
R,h,1735660015913
P,e,1735660016024
R,e,1735660016180
P,n,1735660016345
R,n,1735660016461
P,Key.space,1735660016533
R,Key.space,1735660016681
P,z,1735660017646
R,z,1735660017747
P,e,1735660017880
R,e,1735660017980
P,l,1735660018002
P,e,1735660018091
R,l,1735660018106
R,e,1735660018180
P,n,1735660018250
R,n,1735660018380
P,s,1735660018604
R,s,1735660018700
P,k,1735660018721
R,k,1735660018802
P,y,1735660018963
R,y,1735660019042
P,y,1735660019116
R,y,1735660019212
P,Key.space,1735660019455
R,Key.space,1735660019560
P,s,1735660019961
R,s,1735660020074
P,a,1735660020159
R,a,1735660020244
P,y,1735660020247
R,y,1735660020330
P,s,1735660020346
P,Key.space,1735660020478
R,s,1735660020485
R,Key.space,1735660020599
P,Key.left,1735660428855
R,Key.left,1735660429004
P,Key.right,1735660429195
R,Key.right,1735660429308
P,Key.backspace,1735660429789
R,Key.backspace,1735660429893
P,Key.right,1735660430289
R,Key.right,1735660432828
P,t,1735660437307
R,t,1735660437412
P,h,1735660437509
R,h,1735660437620
P,a,1735660437663
P,t,1735660437764
R,a,1735660437777
R,t,1735660437853
P,Key.space,1735660438134
R,Key.space,1735660438254
P,t,1735660440583
R,t,1735660440641
P,Key.backspace,1735660441515
R,Key.backspace,1735660441606
P,Key.shift,1735660441733
R,Key.shift,1735660442210
P,t,1735660442505
R,t,1735660442596
P,h,1735660442737
R,h,1735660442857
P,e,1735660442940
R,e,1735660443056
P,Key.space,1735660443109
R,Key.space,1735660443219
P,Key.shift,1735660443379
P,U,1735660443626
R,U,1735660443724
P,S,1735660444788
R,S,1735660444895
R,Key.shift,1735660444898
P,Key.space,1735660444942
R,Key.space,1735660445042
P,w,1735660445213
R,w,1735660445320
P,i,1735660445389
R,i,1735660445483
P,l,1735660445555
R,l,1735660445664
P,l,1735660445722
R,l,1735660445816
P,Key.space,1735660445920
R,Key.space,1735660446017
P,o,1735660446228
P,n,1735660446238
R,n,1735660446365
R,o,1735660446411
P,Key.backspace,1735660446786
R,Key.backspace,1735660446887
P,Key.backspace,1735660446961
R,Key.backspace,1735660447042
P,n,1735660447391
P,o,1735660447527
R,n,1735660447595
P,t,1735660447664
R,o,1735660447674
R,t,1735660447784
P,Key.space,1735660448202
R,Key.space,1735660448316
P,f,1735660448459
R,f,1735660448557
P,e,1735660449559
R,e,1735660449661
P,e,1735660449737
R,e,1735660449844
P,l,1735660449873
R,l,1735660449990
P,Key.space,1735660450077
R,Key.space,1735660450213
P,t,1735660451901
R,t,1735660451997
P,h,1735660452018
R,h,1735660452097
P,e,1735660452141
R,e,1735660452255
P,Key.space,1735660452261
R,Key.space,1735660452382
P,e,1735660452540
R,e,1735660452640
P,f,1735660452736
R,f,1735660452812
P,f,1735660452902
R,f,1735660452970
P,e,1735660453100
P,c,1735660453192
