Press or Release,Key,Time
P,g,1735660007708
R,g,1735660007779
P,Key.backspace,1735660008888
R,Key.backspace,1735660008958
P,Key.caps_lock,1735660009128
R,Key.caps_lock,1735660009217
P,G,1735660009719
R,G,1735660009806
P,Key.caps_lock,1735660011147
R,Key.caps_lock,1735660011356
P,o,1735660011548
R,o,1735660011604
P,o,1735660011719
R,o,1735660011808
P,s,1735660012046
R,s,1735660012126
P,Key.backspace,1735660012618
R,Key.backspace,1735660012728
P,d,1735660012992
R,d,1735660013099
P,Key.space,1735660013218
R,Key.space,1735660013308
P,Key.backspace,1735660017877
R,Key.backspace,1735660017975
P,Key.backspace,1735660018066
R,Key.backspace,1735660018947
P,h,1735660020646
R,h,1735660020735
P,i,1735660022188
R,i,1735660022265
P,i,1735660022356
R,i,1735660022437
P,i,1735660022548
R,i,1735660022616
P,Key.space,1735660023318
R,Key.space,1735660023481
P,e,1735660026897
R,e,1735660027029
P,v,1735660027317
R,v,1735660027395
P,e,1735660027487
R,e,1735660027607
P,r,1735660027838
R,r,1735660027916
P,y,1735660028278
R,y,1735660028357
P,Key.space,1735660028507
R,Key.space,1735660028638
P,o,1735660028907
R,o,1735660028981
P,n,1735660029205
R,n,1735660029285
P,e,1735660029467
R,e,1735660029576
P,Key.space,1735660029667
R,Key.space,1735660029768
P,i,1735660032406
R,i,1735660032486
P,Key.space,1735660032687
R,Key.space,1735660032799
P,w,1735660033211
R,w,1735660033275
P,a,1735660033375
R,a,1735660033476
P,t,1735660033699
R,t,1735660033777
P,c,1735660034107
R,c,1735660034197
P,h,1735660034346
R,h,1735660034398
P,Key.space,1735660034565
R,Key.space,1735660034673
P,t,1735660035037
R,t,1735660035114
P,h,1735660035236
R,h,1735660035326
P,e,1735660035707
R,e,1735660035806
P,Key.space,1735660036007
R,Key.space,1735660036055
P,o,1735660040041
R,o,1735660040118
P,s,1735660040369
R,s,1735660040465
P,c,1735660040796
R,c,1735660040894
P,a,1735660040966
R,a,1735660041075
P,r,1735660041190
R,r,1735660041282
P,Key.space,1735660041476
R,Key.space,1735660041586
P,s,1735660042946
R,s,1735660043047
P,l,1735660043236
R,l,1735660043323
P,a,1735660043445
R,a,1735660043485
P,p,1735660043586
R,p,1735660043666
P,Key.space,1735660043895
R,Key.space,1735660043955
P,c,1735660044805
R,c,1735660044939
P,l,1735660045105
R,l,1735660045185
P,i,1735660045356
R,i,1735660045446
P,p,1735660045585
R,p,1735660045667
P,Key.space,1735660045816
R,Key.space,1735660045926
P,v,1735660049356
R,v,1735660049435
P,i,1735660049767
R,i,1735660049855
P,d,1735660050107
R,d,1735660050186
P,e,1735660050315
R,e,1735660050416
P,o,1735660050826
R,o,1735660050906
P,Key.space,1735660051032
R,Key.space,1735660051131
P,i,1735660053106
R,i,1735660053176
P,Key.backspace,1735660053985
