Press or Release,Key,Time
P,Key.shift,1735660005833
P,T,1735660005913
R,Key.shift,1735660006025
R,T,1735660006025
P,h,1735660006569
P,e,1735660006633
R,h,1735660006649
R,e,1735660006793
P,Key.space,1735660006809
R,Key.space,1735660006937
P,q,1735660007992
R,q,1735660008088
P,u,1735660008313
R,u,1735660008457
P,o,1735660008521
R,o,1735660008665
P,t,1735660008713
P,e,1735660008825
R,t,1735660008873
R,e,1735660008968
P,Key.space,1735660008969
R,Key.space,1735660009112
P,Key.backspace,1735660010888
R,Key.backspace,1735660011032
P,Key.backspace,1735660011160
R,Key.backspace,1735660011241
P,Key.backspace,1735660011369
R,Key.backspace,1735660011432
P,Key.backspace,1735660011561
R,Key.backspace,1735660011608
P,Key.backspace,1735660011737
R,Key.backspace,1735660011784
P,Key.backspace,1735660011913
R,Key.backspace,1735660011960
P,q,1735660014761
R,q,1735660014904
P,u,1735660014953
R,u,1735660015080
P,o,1735660015146
P,t,1735660015257
R,o,1735660015289
P,e,1735660015352
R,t,1735660015400
P,Key.space,1735660015433
R,e,1735660015448
R,Key.space,1735660015545
P,Key.shift,1735660015960
P,",1735660016121
R,Key.shift,1735660016185
R,",1735660016185
P,o,1735660016681
R,o,1735660016825
P,u,1735660016825
R,u,1735660016936
P,t,1735660016953
R,t,1735660017049
P,Key.backspace,1735660017401
R,Key.backspace,1735660017529
P,r,1735660017576
R,r,1735660017720
P,Key.space,1735660017720
R,Key.space,1735660017848
P,d,1735660017880
R,d,1735660017960
P,e,1735660018072
R,e,1735660018121
P,e,1735660018217
R,e,1735660018344
P,p,1735660018377
P,e,1735660018473
R,p,1735660018520
R,e,1735660018552
P,s,1735660018600
P,t,1735660018713
R,s,1735660018776
P,Key.space,1735660018840
R,t,1735660018856
R,Key.space,1735660018968
P,f,1735660019112
R,f,1735660019224
P,e,1735660019641
R,e,1735660019769
P,a,1735660019816
P,r,1735660019913
R,a,1735660020008
R,r,1735660020088
P,.,1735660020185
R,.,1735660020264
P,.,1735660020409
R,.,1735660020424
P,.,1735660020521
R,.,1735660020649
P,.,1735660020776
R,.,1735660020808
P,Key.shift,1735660021145
P,",1735660021449
R,Key.shift,1735660021544
R,",1735660021544
P,Key.space,1735660021705
R,Key.space,1735660021833
P,f,1735660023369
R,f,1735660023465
P,r,1735660023593
P,o,1735660023688
R,r,1735660023721
R,o,1735660023784
P,m,1735660023896
R,m,1735660024041
P,Key.space,1735660024073
R,Key.space,1735660024185
P,t,1735660024809
R,t,1735660024937
P,h,1735660024937
R,h,1735660025033
P,e,1735660025033
R,e,1735660025112
P,Key.space,1735660025128
R,Key.space,1735660025272
P,j,1735660037001
R,j,1735660037097
P,i,1735660037241
R,i,1735660037320
P,Key.backspace,1735660037913
R,Key.backspace,1735660038008
P,Key.backspace,1735660038089
R,Key.backspace,1735660038184
P,Key.shift,1735660038408
P,J,1735660038697
R,Key.shift,1735660038744
R,J,1735660038744
P,i,1735660039177
R,i,1735660039289
P,m,1735660039737
R,m,1735660039801
P,m,1735660039913
R,m,1735660039976
P,y,1735660040377
R,y,1735660040488
P,Key.space,1735660040488
R,Key.space,1735660040584
P,Key.shift,1735660040729
P,C,1735660040825
R,Key.shift,1735660040889
R,C,1735660040937
P,a,1735660041033
P,r,1735660041176
R,a,1735660041240
P,e,1735660041273
R,r,1735660041305
R,e,1735660041384
P,t,1735660041449
P,e,1735660041561
R,t,1735660041592
P,r,1735660041705
R,e,1735660041784
R,r,1735660041880
P,Key.backspace,1735660042473
R,Key.backspace,1735660042568
P,Key.backspace,1735660042681
R,Key.backspace,1735660042745
P,Key.backspace,1735660042873
R,Key.backspace,1735660042920
P,Key.backspace,1735660043033
R,Key.backspace,1735660043096
P,t,1735660043561
R,t,1735660043641
P,e,1735660043705
P,r,1735660043768
R,e,1735660043801
R,r,1735660043897
P,Key.space,1735660043976
R,Key.space,1735660044105
P,m,1735660044456
R,m,1735660044553
P,o,1735660044633
R,o,1735660044760
P,v,1735660044792
R,v,1735660044953
P,i,1735660044953
R,i,1735660045049
P,e,1735660045209
R,e,1735660045321
P,Key.space,1735660045433
R,Key.space,1735660045529
P,c,1735660045561
R,c,1735660045705
P,l,1735660045705
R,l,1735660045816
P,i,1735660045945
R,i,1735660046056
P,p,1735660046232
R,p,1735660046344
P,Key.space,1735660046393
R,Key.space,1735660046552
P,w,1735660046569
R,w,1735660046648
P,a,1735660046761
P,s,1735660046858
R,a,1735660046905
R,s,1735660047017
P,Key.space,1735660047017
R,Key.space,1735660047161
P,t,1735660047273
P,a,1735660047369
R,t,1735660047384
R,a,1735660047528
P,k,1735660047529
R,k,1735660047657
P,e,1735660047657
R,e,1735660047752
P,n,1735660047865
R,n,1735660048025
P,Key.space,1735660048025
R,Key.space,1735660048152
P,f,1735660048169
R,f,1735660048265
P,r,1735660048409
R,r,1735660048537
P,o,1735660048537
R,o,1735660048664
P,m,1735660048761
R,m,1735660048905
P,Key.space,1735660048905
R,Key.space,1735660049112
P,a,1735660055466
P,Key.space,1735660055577
R,a,1735660055624
R,Key.space,1735660055736
P,b,1735660056825
R,b,1735660056921
P,o,1735660057065
R,o,1735660057144
P,o,1735660057241
R,o,1735660057320
P,k,1735660057465
R,k,1735660057593
P,Key.space,1735660057641
R,Key.space,1735660057721
P,n,1735660061705
R,n,1735660061784
P,a,1735660061865
P,m,1735660061913
R,m,1735660062009
R,a,1735660062041
P,e,1735660062121
R,e,1735660062200
P,d,1735660062345
R,d,1735660062457
P,Key.space,1735660062457
R,Key.space,1735660062601
P,',1735660073562
R,',1735660073625
P,Key.shift,1735660073832
P,R,1735660073945
R,Key.shift,1735660074041
R,R,1735660074089
P,e,1735660074137
R,e,1735660074265
P,t,1735660074554
R,t,1735660074649
P,u,1735660074841
R,u,1735660074953
P,r,1735660074953
P,n,1735660075081
R,r,1735660075097
R,n,1735660075209
P,Key.space,1735660075209
R,Key.space,1735660075336
P,t,1735660075481
P,o,1735660075544
R,t,1735660075593
P,Key.space,1735660075657
R,o,1735660075689
R,Key.space,1735660075769
P,Key.shift,1735660075913
P,L,1735660076154
R,Key.shift,1735660076265
R,L,1735660076281
P,o,1735660076425
P,v,1735660076505
R,o,1735660076553
R,v,1735660076617
P,e,1735660076697
R,e,1735660076840
P,',1735660077769
R,',1735660077865
P,Key.space,1735660077961
R,Key.space,1735660078072
P,b,1735660078488
R,b,1735660078600
P,y,1735660078841
R,y,1735660078937
P,Key.space,1735660079050
R,Key.space,1735660079177
P,a,1735660079945
P,u,1735660080137
R,a,1735660080185
R,u,1735660080233
P,t,1735660080297
P,h,1735660080393
R,t,1735660080457
R,h,1735660080488
P,o,1735660080570
P,r,1735660080681
R,o,1735660080697
P,Key.space,1735660080777
R,r,1735660080824
R,Key.space,1735660080953
P,a,1735660082537
P,n,1735660082617
R,a,1735660082648
R,n,1735660082712
P,d,1735660082712
R,d,1735660082825
P,Key.space,1735660082825
R,Key.space,1735660082937
P,s,1735660083065
R,s,1735660083225
P,p,1735660083321
P,e,1735660083401
R,p,1735660083417
R,e,1735660083513
P,i,1735660083577
R,i,1735660083688
P,r,1735660083720
R,r,1735660083865
P,i,1735660083865
R,i,1735660083944
P,t,1735660084009
R,t,1735660084105
P,Key.backspace,1735660084952
R,Key.backspace,1735660085049
P,Key.backspace,1735660085145
R,Key.backspace,1735660085225
P,Key.backspace,1735660085337
R,Key.backspace,1735660085384
P,Key.backspace,1735660085497
R,Key.backspace,1735660085577
P,Key.backspace,1735660085689
R,Key.backspace,1735660085753
P,i,1735660086313
R,i,1735660086393
P,r,1735660086393
R,r,1735660086537
P,i,1735660086697
R,i,1735660086808
P,t,1735660086889
P,u,1735660086985
R,t,1735660087017
R,u,1735660087097
P,a,1735660087161
P,l,1735660087257
R,a,1735660087321
R,l,1735660087417
P,Key.space,1735660087417
R,Key.space,1735660087577
P,t,1735660087625
P,e,1735660087721
R,t,1735660087785
R,e,1735660087848
P,a,1735660087849
R,a,1735660087977
P,c,1735660088057
R,c,1735660088264
P,h,1735660088313
R,h,1735660088441
P,e,1735660088473
P,r,1735660088618
R,e,1735660088697
R,r,1735660088777
P,Key.space,1735660089353
R,Key.space,1735660089529
P,Key.shift,1735660104153
P,M,1735660104697
R,Key.shift,1735660104761
R,M,1735660104761
P,a,1735660105000
R,a,1735660105193
P,r,1735660105194
R,r,1735660105337
P,i,1735660105449
P,a,1735660105561
R,i,1735660105577
R,a,1735660105721
P,n,1735660105929
R,n,1735660106025
P,n,1735660106281
R,n,1735660106393
P,e,1735660106441
P,Key.space,1735660106586
R,e,1735660106601
R,Key.space,1735660106681
P,Key.shift,1735660106825
P,W,1735660106889
R,Key.shift,1735660106969
R,W,1735660107048
P,i,1735660107162
R,i,1735660107273
P,l,1735660107418
R,l,1735660107481
P,l,1735660107593
R,l,1735660107673
P,a,1735660107689
R,a,1735660107865
P,m,1735660107961
R,m,1735660108104
P,s,1735660108153
P,o,1735660108298
R,s,1735660108313
R,o,1735660108393
P,n,1735660108490
R,n,1735660108665
P,Key.comma,1735660112058
R,Key.comma,1735660112153
P,Key.space,1735660112297
R,Key.space,1735660112410
P,i,1735660112681
R,i,1735660112808
P,t,1735660112825
P,Key.space,1735660112905
R,t,1735660112953
