Press or Release,Key,Time
P,Key.ctrl,1735660002826
R,Key.ctrl,1735660003179
P,Key.shift,1735660003375
P,I,1735660003521
R,I,1735660003628
R,Key.shift,1735660003702
P,Key.space,1735660003705
R,Key.space,1735660003776
P,r,1735660003868
R,r,1735660003974
P,e,1735660004084
R,e,1735660004182
P,s,1735660004460
R,s,1735660004607
P,p,1735660004858
R,p,1735660004872
P,p,1735660005017
R,p,1735660005074
P,Key.backspace,1735660005331
R,Key.backspace,1735660005403
P,e,1735660005447
R,e,1735660005546
P,c,1735660005670
P,t,1735660005808
R,c,1735660005829
R,t,1735660005897
P,Key.space,1735660005986
R,Key.space,1735660006075
P,Key.shift,1735660007203
P,C,1735660007374
R,Key.shift,1735660007485
R,C,1735660007499
P,h,1735660007518
R,h,1735660007640
P,i,1735660007684
R,i,1735660007777
P,r,1735660007779
R,r,1735660007856
P,Key.backspace,1735660007975
R,Key.backspace,1735660008033
P,Key.backspace,1735660008105
R,Key.backspace,1735660008194
P,r,1735660008206
R,r,1735660008303
P,i,1735660008323
R,i,1735660008401
P,s,1735660008441
P,Key.space,1735660008533
R,s,1735660008559
R,Key.space,1735660008607
P,Key.shift,1735660009487
P,R,1735660009684
R,Key.shift,1735660009756
R,R,1735660009791
P,o,1735660009792
R,o,1735660009865
P,c,1735660009938
R,c,1735660010017
P,k,1735660010448
R,k,1735660010496
P,Key.space,1735660010617
R,Key.space,1735660010682
P,f,1735660010999
R,f,1735660011098
P,o,1735660011100
R,o,1735660011175
P,r,1735660011200
R,r,1735660011285
P,Key.space,1735660011294
R,Key.space,1735660011378
P,k,1735660011931
R,k,1735660012005
P,e,1735660012030
R,e,1735660012143
P,e,1735660012229
R,e,1735660012340
P,p,1735660012341
R,p,1735660012432
P,i,1735660012549
R,i,1735660012636
P,n,1735660012675
R,n,1735660012756
P,g,1735660012803
P,Key.space,1735660012882
R,g,1735660012898
R,Key.space,1735660012974
P,h,1735660013348
R,h,1735660013433
P,i,1735660013463
R,i,1735660013545
P,s,1735660013556
R,s,1735660013663
P,Key.space,1735660013664
R,Key.space,1735660013749
P,c,1735660013786
R,c,1735660013876
P,a,1735660013988
R,a,1735660014102
P,l,1735660014213
R,l,1735660014293
P,m,1735660014489
R,m,1735660014575
P,Key.space,1735660014660
R,Key.space,1735660014748
P,Key.backspace,1735660015192
R,Key.backspace,1735660015259
P,Key.comma,1735660015372
R,Key.comma,1735660015441
P,Key.space,1735660015552
R,Key.space,1735660015640
P,a,1735660015642
R,a,1735660015756
