Press or Release,Key,Time
P,t,1735660010642
R,t,1735660010734
P,r,1735660011117
R,r,1735660011229
P,u,1735660011613
R,u,1735660011693
P,m,1735660012157
R,m,1735660012237
P,p,1735660012446
R,p,1735660012510
P,Key.space,1735660012703
R,Key.space,1735660012829
P,a,1735660013327
R,a,1735660013422
P,n,1735660013487
R,n,1735660013582
P,d,1735660013677
R,d,1735660013757
P,Key.space,1735660013806
R,Key.space,1735660013870
P,v,1735660014558
R,v,1735660014637
P,a,1735660014990
R,a,1735660015086
P,n,1735660015214
R,n,1735660015277
P,c,1735660015422
P,e,1735660015551
R,c,1735660015597
R,e,1735660015661
P,Key.space,1735660016030
R,Key.space,1735660016111
P,a,1735660017197
R,a,1735660017310
P,n,1735660017437
R,n,1735660017517
P,d,1735660017603
R,d,1735660017661
P,Key.space,1735660017711
R,Key.space,1735660017774
P,z,1735660019245
R,z,1735660019326
P,e,1735660019773
R,e,1735660019854
P,l,1735660020286
R,l,1735660020366
P,e,1735660020526
R,e,1735660020654
P,n,1735660021407
R,n,1735660021486
P,s,1735660022430
R,s,1735660022543
P,k,1735660023022
R,k,1735660023118
P,y,1735660023774
R,y,1735660023853
P,y,1735660023950
R,y,1735660024014
P,Key.space,1735660027373
R,Key.space,1735660027518
P,Key.space,1735660035266
R,Key.space,1735660035470
P,g,1735660036703
R,g,1735660036782
P,t,1735660037583
R,t,1735660037679
P,r,1735660037935
R,r,1735660038078
P,a,1735660039087
R,a,1735660039245
P,Key.backspace,1735660040238
R,Key.backspace,1735660040366
P,e,1735660040894
R,e,1735660040974
P,a,1735660041086
R,a,1735660041246
P,t,1735660041486
R,t,1735660041551
P,Key.backspace,1735660045102
R,Key.backspace,1735660045198
P,Key.backspace,1735660045262
R,Key.backspace,1735660045374
P,Key.backspace,1735660045486
R,Key.backspace,1735660045550
P,Key.backspace,1735660045647
R,Key.backspace,1735660045710
P,Key.backspace,1735660045806
R,Key.backspace,1735660045902
P,Key.backspace,1735660046382
R,Key.backspace,1735660046482
P,g,1735660047647
R,g,1735660047710
P,r,1735660047886
R,r,1735660047951
P,e,1735660048206
R,e,1735660048270
P,a,1735660048510
R,a,1735660048606
P,t,1735660048734
R,t,1735660048799
P,Key.space,1735660049054
R,Key.space,1735660049118
P,t,1735660049407
R,t,1735660049454
P,h,1735660049598
R,h,1735660049647
P,Key.backspace,1735660051934
R,Key.backspace,1735660052062
P,Key.backspace,1735660052366
R,Key.backspace,1735660052494
P,t,1735660054463
R,t,1735660054526
P,h,1735660054686
R,h,1735660054750
P,r,1735660054960
R,r,1735660055006
P,e,1735660055278
R,e,1735660055342
P,e,1735660055423
R,e,1735660055486
P,Key.space,1735660056030
R,Key.space,1735660056112
P,p,1735660056414
R,p,1735660056478
P,e,1735660056894
R,e,1735660056958
P,o,1735660057374
R,o,1735660057423
P,p,1735660058079
R,p,1735660058159
P,l,1735660058303
R,l,1735660058367
P,e,1735660059086
R,e,1735660059182
P,Key.space,1735660059790
R,Key.space,1735660059888
P,l,1735660060206
R,l,1735660060286
P,e,1735660060414
R,e,1735660060478
P,a,1735660060718
R,a,1735660060767
P,d,1735660060957
R,d,1735660061022
P,e,1735660061150
P,r,1735660061277
R,e,1735660061297
R,r,1735660061360
P,s,1735660063342
R,s,1735660063423
P,Key.space,1735660063534
R,Key.space,1735660063614
P,m,1735660064031
R,m,1735660064078
P,e,1735660064271
R,e,1735660064335
P,e,1735660064414
R,e,1735660064477
P,t,1735660064704
R,t,1735660064767
P,i,1735660064877
R,i,1735660064926
P,n,1735660065055
R,n,1735660065104
P,g,1735660065230
R,g,1735660065278
P,Key.space,1735660068176
R,Key.space,1735660068254
P,d,1735660069055
R,d,1735660069135
P,i,1735660069214
R,i,1735660069278
P,s,1735660069662
R,s,1735660069742
P,c,1735660070511
R,c,1735660070608
P,u,1735660070766
R,u,1735660070831
P,s,1735660071055
R,s,1735660071104
P,s,1735660071182
R,s,1735660071263
P,i,1735660071327
R,i,1735660071391
P,n,1735660071551
R,n,1735660071599
P,g,1735660071757
R,g,1735660071807
P,Key.space,1735660071886
R,Key.space,1735660071935
P,o,1735660078351
R,o,1735660078414
P,f,1735660078735
R,f,1735660078783
P,f,1735660078862
R,f,1735660078959
P,i,1735660079070
R,i,1735660079119
P,c,1735660079342
R,c,1735660079439
P,i,1735660079710
R,i,1735660079757
P,a,1735660079870
R,a,1735660079951
P,l,1735660080031
R,l,1735660080094
P,Key.space,1735660084335
R,Key.space,1735660084414
P,a,1735660085551
R,a,1735660085648
P,n,1735660085774
R,n,1735660085838
P,d,1735660085918
R,d,1735660085999
P,Key.space,1735660085999
R,Key.space,1735660086047
P,i,1735660086415
R,i,1735660086464
P,m,1735660086606
R,m,1735660086655
P,p,1735660086942
R,p,1735660087007
P,o,1735660087231
R,o,1735660087294
P,t,1735660087614
R,t,1735660087663
P,Key.backspace,1735660088303
R,Key.backspace,1735660088383
P,r,1735660088751
R,r,1735660088815
P,a,1735660089039
R,a,1735660089134
P,n,1735660089231
R,n,1735660089294
P,Key.backspace,1735660094143
R,Key.backspace,1735660094270
P,Key.backspace,1735660094911
R,Key.backspace,1735660094958
P,t,1735660096128
R,t,1735660096190
P,a,1735660096319
R,a,1735660096430
P,n,1735660096542
R,n,1735660096607
P,t,1735660096878
R,t,1735660096944
P,Key.space,1735660098158
R,Key.space,1735660098270
P,d,1735660099407
R,d,1735660099487
P,e,1735660099662
R,e,1735660099727
P,c,1735660100047
R,c,1735660100143
P,i,1735660100495
R,i,1735660100558
P,s,1735660100768
R,s,1735660100862
P,i,1735660100975
R,i,1735660101022
P,o,1735660101134
R,o,1735660101199
P,n,1735660101551
R,n,1735660101614
