Press or Release,Key,Time
P,c,1735660004021
R,c,1735660004134
P,o,1735660004225
R,o,1735660004345
P,a,1735660004652
R,a,1735660004789
P,c,1735660004960
R,c,1735660005053
P,h,1735660005293
R,h,1735660005363
P,Key.space,1735660006284
R,Key.space,1735660006358
P,c,1735660006676
R,c,1735660006783
P,a,1735660007061
R,a,1735660007223
P,r,1735660007489
R,r,1735660007586
P,t,1735660007847
R,t,1735660007950
P,e,1735660010356
R,e,1735660010465
P,r,1735660010532
R,r,1735660010637
P,Key.space,1735660010708
R,Key.space,1735660010804
P,h,1735660011919
R,h,1735660012018
P,e,1735660012163
R,e,1735660012276
P,p,1735660012874
R,p,1735660012959
P,Key.backspace,1735660014138
R,Key.backspace,1735660014233
P,l,1735660014514
R,l,1735660014584
P,p,1735660014708
R,p,1735660014778
P,e,1735660014852
R,e,1735660014961
P,d,1735660015068
R,d,1735660015163
P,Key.space,1735660015193
R,Key.space,1735660015260
P,t,1735660015744
R,t,1735660015840
P,h,1735660015927
R,h,1735660016029
P,e,1735660016069
R,e,1735660016197
P,Key.space,1735660016261
R,Key.space,1735660016342
P,p,1735660016610
R,p,1735660016709
P,l,1735660016846
R,l,1735660016967
P,a,1735660017071
R,a,1735660017208
P,y,1735660017881
R,y,1735660017990
P,e,1735660018055
R,e,1735660018155
P,r,1735660018267
R,r,1735660018354
P,s,1735660018578
R,s,1735660018725
P,Key.space,1735660018748
R,Key.space,1735660018832
P,t,1735660023026
R,t,1735660023117
P,o,1735660023158
R,o,1735660023249
P,Key.space,1735660023483
R,Key.space,1735660023580
P,g,1735660024107
R,g,1735660024213
P,e,1735660024295
R,e,1735660024440
P,t,1735660024574
R,t,1735660024606
P,Key.space,1735660024744
R,Key.space,1735660024841
P,b,1735660024995
R,b,1735660025084
P,e,1735660025166
R,e,1735660025306
P,t,1735660025496
R,t,1735660025555
P,t,1735660025643
R,t,1735660025703
P,e,1735660025715
R,e,1735660025831
P,r,1735660025873
R,r,1735660025971
P,Key.space,1735660026043
R,Key.space,1735660026119
P,a,1735660027122
R,a,1735660027252
P,t,1735660027494
R,t,1735660027557
P,Key.space,1735660027702
R,Key.space,1735660027764
P,b,1735660030581
R,b,1735660030675
P,a,1735660030769
R,a,1735660030887
P,s,1735660031032
R,s,1735660031162
P,k,1735660031571
R,k,1735660031671
P,e,1735660031813
R,e,1735660031935
P,t,1735660032178
R,t,1735660032281
P,Key.space,1735660032416
R,Key.space,1735660032501
P,b,1735660032669
R,b,1735660032759
P,a,1735660032831
R,a,1735660032925
P,l,1735660033210
R,l,1735660033294
P,l,1735660033737
R,l,1735660033761
P,Key.space,1735660034470
R,Key.space,1735660034545
P,a,1735660035011
R,a,1735660035169
P,n,1735660035266
R,n,1735660035365
P,d,1735660035460
R,d,1735660035586
P,Key.space,1735660035635
R,Key.space,1735660035709
P,a,1735660036470
R,a,1735660036600
P,l,1735660037052
R,l,1735660037128
P,s,1735660037167
R,s,1735660037312
P,o,1735660037734
R,o,1735660037811
P,Key.space,1735660038072
R,Key.space,1735660038136
P,h,1735660039116
R,h,1735660039213
P,e,1735660039469
R,e,1735660039582
P,l,1735660040083
R,l,1735660040181
P,p,1735660040360
R,p,1735660040468
P,e,1735660040716
R,e,1735660040823
P,d,1735660040923
R,d,1735660041035
P,Key.space,1735660041050
R,Key.space,1735660041142
P,t,1735660041896
R,t,1735660042009
P,Key.backspace,1735660044835
R,Key.backspace,1735660044939
P,p,1735660046277
