Press or Release,Key,Time
P,Key.shift,1735660003190
P,T,1735660003429
R,Key.shift,1735660003510
P,h,1735660003510
R,T,1735660003589
R,h,1735660003685
P,e,1735660003749
P,Key.space,1735660003845
R,e,1735660003861
R,Key.space,1735660003941
P,a,1735660005893
R,a,1735660006086
P,n,1735660006086
R,n,1735660006213
P,c,1735660006261
R,c,1735660006405
P,h,1735660006421
R,h,1735660006517
P,o,1735660006582
R,o,1735660006693
P,r,1735660006709
R,r,1735660006837
P,Key.space,1735660006838
R,Key.space,1735660006933
P,m,1735660008021
R,m,1735660008133
P,a,1735660008261
R,a,1735660008389
P,d,1735660008757
R,d,1735660008885
P,Key.backspace,1735660009381
R,Key.backspace,1735660009462
P,Key.backspace,1735660009622
R,Key.backspace,1735660009669
P,Key.backspace,1735660009765
R,Key.backspace,1735660009845
P,d,1735660010683
R,d,1735660010853
P,o,1735660011221
P,i,1735660011349
R,o,1735660011397
R,i,1735660011461
P,n,1735660011592
R,n,1735660011717
P,g,1735660011813
R,g,1735660011909
P,Key.space,1735660011909
R,Key.space,1735660012005
P,h,1735660012213
R,h,1735660012309
P,i,1735660012358
R,i,1735660012470
P,Key.space,1735660012581
R,Key.space,1735660012677
P,Key.backspace,1735660013221
R,Key.backspace,1735660013382
P,s,1735660013462
R,s,1735660013573
P,Key.space,1735660013669
R,Key.space,1735660013749
P,j,1735660014054
R,j,1735660014165
P,o,1735660014229
R,o,1735660014342
P,b,1735660014438
R,b,1735660014533
P,Key.space,1735660014629
R,Key.space,1735660014709
P,i,1735660014773
R,i,1735660014901
P,n,1735660014981
R,n,1735660015109
P,Key.space,1735660015190
R,Key.space,1735660015269
P,a,1735660015413
R,a,1735660015558
P,Key.space,1735660015621
R,Key.space,1735660015701
P,Key.backspace,1735660016742
R,Key.backspace,1735660016853
P,Key.backspace,1735660016934
R,Key.backspace,1735660017030
P,h,1735660017558
R,h,1735660017637
P,i,1735660017717
R,i,1735660017829
P,s,1735660017845
R,s,1735660017925
P,Key.space,1735660017973
R,Key.space,1735660018054
P,w,1735660018470
R,w,1735660018645
P,a,1735660018661
P,y,1735660018807
R,a,1735660018853
R,y,1735660018934
P,Key.space,1735660019013
R,Key.space,1735660019109
P,a,1735660021542
R,a,1735660021686
P,n,1735660021701
R,n,1735660021829
P,d,1735660021861
R,d,1735660021973
P,Key.space,1735660021973
R,Key.space,1735660022087
P,m,1735660022165
R,m,1735660022261
P,a,1735660022325
P,k,1735660022485
R,a,1735660022501
R,k,1735660022597
P,e,1735660022598
R,e,1735660022678
P,Key.backspace,1735660023557
R,Key.backspace,1735660023685
P,i,1735660023909
R,i,1735660024005
P,n,1735660024101
R,n,1735660024246
P,g,1735660024246
R,g,1735660024374
P,Key.space,1735660024374
R,Key.space,1735660024437
P,o,1735660024597
R,o,1735660024693
P,t,1735660024694
R,t,1735660024806
P,h,1735660025445
R,h,1735660025590
P,e,1735660025653
R,e,1735660025813
P,r,1735660025813
R,r,1735660025941
P,Key.space,1735660026053
R,Key.space,1735660026133
P,h,1735660026647
R,h,1735660026789
P,a,1735660026853
R,a,1735660026966
P,p,1735660027049
R,p,1735660027061
P,p,1735660027173
R,p,1735660027269
P,y,1735660027398
R,y,1735660027462
P,Key.space,1735660027589
R,Key.space,1735660027685
P,a,1735660027734
P,n,1735660027894
R,a,1735660027926
R,n,1735660028021
P,d,1735660028086
R,d,1735660028119
P,Key.space,1735660028133
R,Key.space,1735660028230
P,l,1735660033606
R,l,1735660033781
P,a,1735660033798
P,u,1735660033950
R,a,1735660033990
R,u,1735660034086
P,g,1735660034134
R,g,1735660034246
P,h,1735660034261
R,h,1735660034374
P,.,1735660035718
R,.,1735660035814
P,Key.shift,1735660134712
P,B,1735660134872
R,B,1735660135047
R,Key.shift,1735660135064
P,u,1735660135160
R,u,1735660135320
P,t,1735660135511
P,Key.space,1735660135624
R,t,1735660135655
R,Key.space,1735660135800
P,i,1735660135975
R,i,1735660136120
P,n,1735660136232
R,n,1735660136360
P,Key.space,1735660138377
R,Key.space,1735660138520
P,Key.space,1735660140045
R,Key.space,1735660140104
P,t,1735660140263
P,h,1735660140344
R,t,1735660140392
R,h,1735660140440
P,i,1735660140520
R,i,1735660140616
P,s,1735660140616
R,s,1735660140713
P,Key.space,1735660140728
R,Key.space,1735660140823
P,s,1735660140888
R,s,1735660141064
P,t,1735660141064
R,t,1735660141192
P,a,1735660141224
P,g,1735660141384
R,a,1735660141447
R,g,1735660141511
P,e,1735660141576
R,e,1735660141720
P,Key.space,1735660141720
R,Key.space,1735660141816
P,h,1735660142120
R,h,1735660142264
P,e,1735660142312
R,e,1735660142440
P,Key.space,1735660142488
R,Key.space,1735660142568
P,p,1735660143783
R,p,1735660143880
P,l,1735660144039
R,l,1735660144136
P,a,1735660144136
P,y,1735660144264
R,a,1735660144312
R,y,1735660144344
P,i,1735660144456
R,i,1735660144536
P,n,1735660144664
R,n,1735660144759
P,g,1735660144792
R,g,1735660144936
P,Key.space,1735660144951
R,Key.space,1735660145032
P,a,1735660145048
R,a,1735660145208
P,d,1735660145272
R,d,1735660145432
P,Key.backspace,1735660146328
R,Key.backspace,1735660146456
P,n,1735660146712
R,n,1735660146840
P,d,1735660146952
R,d,1735660147080
P,Key.space,1735660147112
R,Key.space,1735660147191
P,h,1735660149704
R,h,1735660149752
P,h,1735660149784
R,h,1735660149896
P,u,1735660150120
R,u,1735660150264
P,r,1735660150328
R,r,1735660150440
P,t,1735660150664
R,t,1735660150792
P,i,1735660150792
R,i,1735660150904
P,n,1735660150952
P,g,1735660151080
R,n,1735660151096
R,g,1735660151191
P,Key.space,1735660151224
R,Key.space,1735660151368
P,o,1735660151368
R,o,1735660151528
P,t,1735660151528
P,h,1735660151592
R,t,1735660151656
R,h,1735660151720
P,e,1735660151736
R,e,1735660151912
P,r,1735660151912
R,r,1735660152008
P,Key.space,1735660152121
R,Key.space,1735660152216
P,Key.backspace,1735660156585
R,Key.backspace,1735660156664
P,p,1735660158312
R,p,1735660158408
P,e,1735660158440
P,r,1735660158632
R,e,1735660158649
R,r,1735660158776
P,s,1735660158824
R,s,1735660158952
P,o,1735660158968
R,o,1735660159080
P,n,1735660159192
R,n,1735660159304
P,Key.space,1735660159416
R,Key.space,1735660159512
P,f,1735660159544
R,f,1735660159688
P,e,1735660159768
R,e,1735660159864
P,e,1735660159976
R,e,1735660160037
P,l,1735660160104
R,l,1735660160216
P,i,1735660160296
R,i,1735660160392
P,n,1735660160504
R,n,1735660160648
P,g,1735660160696
R,g,1735660160792
P,Key.space,1735660160856
R,Key.space,1735660160920
P,Key.backspace,1735660161641
R,Key.backspace,1735660161768
P,.,1735660162888
R,.,1735660163000
P,Key.space,1735660163240
R,Key.space,1735660163320
P,Key.shift,1735660163544
P,T,1735660163720
R,Key.shift,1735660163784
P,h,1735660163832
R,T,1735660163865
R,h,1735660163928
P,e,1735660164025
R,e,1735660164168
P,Key.space,1735660164312
R,Key.space,1735660164408
P,a,1735660164472
R,a,1735660164632
P,u,1735660164664
R,u,1735660164760
P,d,1735660164809
R,d,1735660164920
P,e,1735660165048
R,e,1735660165160
P,Key.backspace,1735660166073
R,Key.backspace,1735660166168
P,i,1735660166424
R,i,1735660166552
P,e,1735660166616
R,e,1735660166696
P,n,1735660166792
R,n,1735660166984
P,c,1735660167000
R,c,1735660167080
P,e,1735660167256
R,e,1735660167352
P,Key.space,1735660167433
R,Key.space,1735660167544
P,i,1735660168152
R,i,1735660168248
P,n,1735660168344
R,n,1735660168456
P,Key.space,1735660168536
R,Key.space,1735660168616
P,t,1735660168680
P,h,1735660168760
R,t,1735660168809
R,h,1735660168856
P,e,1735660168952
R,e,1735660169048
P,Key.space,1735660169048
R,Key.space,1735660169160
P,p,1735660169225
R,p,1735660169369
P,e,1735660169401
P,r,1735660169513
R,e,1735660169544
R,r,1735660169672
P,s,1735660169720
R,s,1735660169848
P,o,1735660169849
R,o,1735660169944
P,n,1735660170067
R,n,1735660170153
P,Key.space,1735660170232
P,d,1735660170296
R,Key.space,1735660170328
P,i,1735660170440
