Press or Release,Key,Time
P,i,1735660004775
R,i,1735660004943
P,Key.space,1735660004983
P,l,1735660005183
R,Key.space,1735660005199
R,l,1735660005311
P,i,1735660005398
R,i,1735660005510
P,k,1735660005591
P,e,1735660005630
R,k,1735660005711
P,Key.space,1735660005823
R,e,1735660005831
R,Key.space,1735660005974
P,t,1735660006422
R,t,1735660006534
P,h,1735660006631
P,e,1735660006751
R,h,1735660006758
P,Key.space,1735660006887
R,e,1735660006943
R,Key.space,1735660007031
P,p,1735660007335
R,p,1735660007495
P,e,1735660007543
R,e,1735660007767
P,o,1735660007774
R,o,1735660007903
P,p,1735660007951
P,l,1735660008119
R,p,1735660008151
R,l,1735660008255
P,e,1735660008311
R,e,1735660008496
P,Key.space,1735660008511
R,Key.space,1735660008655
P,s,1735660009831
R,s,1735660010023
P,o,1735660010061
R,o,1735660010215
P,Key.space,1735660010230
R,Key.space,1735660010415
P,g,1735660010639
R,g,1735660010791
P,o,1735660010838
R,o,1735660010951
P,o,1735660011015
R,o,1735660011135
P,d,1735660011151
R,d,1735660011333
P,Key.space,1735660011351
R,Key.space,1735660011486
P,l,1735660011871
R,l,1735660011999
P,i,1735660012070
R,i,1735660012173
P,k,1735660012247
R,k,1735660012359
P,e,1735660012383
R,e,1735660012535
P,Key.space,1735660012543
R,Key.space,1735660012654
P,c,1735660018247
R,c,1735660018415
P,a,1735660018439
R,a,1735660018631
P,r,1735660018751
R,r,1735660018903
P,Key.space,1735660018959
R,Key.space,1735660019143
P,t,1735660019182
R,t,1735660019311
P,h,1735660019399
R,h,1735660019551
P,e,1735660019598
P,Key.space,1735660019711
R,e,1735660019757
R,Key.space,1735660019838
P,p,1735660020038
R,p,1735660020191
P,l,1735660020286
R,l,1735660020407
P,a,1735660020464
R,a,1735660020639
P,c,1735660020799
R,c,1735660020943
P,e,1735660020967
R,e,1735660021117
P,Key.space,1735660021175
R,Key.space,1735660021302
P,g,1735660022214
R,g,1735660022342
P,o,1735660022462
R,o,1735660022567
P,o,1735660022646
R,o,1735660022727
P,s,1735660022807
R,s,1735660022973
P,d,1735660023663
R,d,1735660023854
P,Key.space,1735660023926
R,Key.space,1735660024125
P,p,1735660025687
R,p,1735660025838
P,e,1735660025918
R,e,1735660026102
P,o,1735660026110
R,o,1735660026222
P,p,1735660026302
R,p,1735660026406
P,l,1735660026486
R,l,1735660026605
P,e,1735660026742
R,e,1735660026902
P,Key.space,1735660026950
R,Key.space,1735660027094
P,n,1735660028638
R,n,1735660028758
P,i,1735660030054
R,i,1735660030215
P,c,1735660030607
R,c,1735660030703
P,e,1735660030959
R,e,1735660031119
P,Key.space,1735660031342
R,Key.space,1735660031543
P,c,1735660031909
R,c,1735660032047
P,a,1735660032127
R,a,1735660032318
P,r,1735660032447
R,r,1735660032582
P,Key.space,1735660032687
R,Key.space,1735660032855
P,o,1735660033255
R,o,1735660033430
P,f,1735660033655
R,f,1735660033869
P,Key.space,1735660033886
R,Key.space,1735660034038
P,t,1735660034374
P,h,1735660034519
R,t,1735660034550
R,h,1735660034695
P,e,1735660034759
P,Key.space,1735660034902
R,e,1735660034911
R,Key.space,1735660035054
P,r,1735660035478
R,r,1735660035614
P,e,1735660035621
R,e,1735660035830
P,n,1735660035926
R,n,1735660036054
P,t,1735660036270
R,t,1735660036430
P,Key.space,1735660036525
R,Key.space,1735660036670
P,f,1735660039126
R,f,1735660039365
P,o,1735660039398
R,o,1735660039550
P,o,1735660039678
R,o,1735660039798
P,l,1735660040917
R,l,1735660041086
P,Key.space,1735660041134
R,Key.space,1735660041342
P,o,1735660041526
R,o,1735660041693
P,f,1735660042094
R,f,1735660042294
P,Key.space,1735660042326
R,Key.space,1735660042462
P,t,1735660042605
P,h,1735660042774
R,t,1735660042780
R,h,1735660042910
P,e,1735660042997
R,e,1735660043167
P,Key.space,1735660043167
R,Key.space,1735660043301
P,i,1735660043813
R,i,1735660043942
P,d,1735660044334
R,d,1735660044517
P,i,1735660044702
R,i,1735660044798
P,o,1735660045062
R,o,1735660045174
P,t,1735660045446
R,t,1735660045542
P,s,1735660045694
R,s,1735660045862
P,Key.space,1735660046750
R,Key.space,1735660046957
P,k,1735660048318
R,k,1735660048501
P,i,1735660048654
R,i,1735660048798
P,l,1735660049038
R,l,1735660049126
P,l,1735660049213
R,l,1735660049318
P,Key.space,1735660049349
R,Key.space,1735660049534
P,k,1735660049878
R,k,1735660049990
P,i,1735660050069
R,i,1735660050182
P,m,1735660050398
R,m,1735660050518
P,Key.space,1735660050750
R,Key.space,1735660050910
P,s,1735660051213
R,s,1735660051398
