Press or Release,Key,Time
P,i,1735660002914
R,i,1735660003061
P,Key.space,1735660003095
P,l,1735660003254
R,Key.space,1735660003292
R,l,1735660003365
P,i,1735660003453
R,i,1735660003544
P,k,1735660003629
R,k,1735660003741
P,e,1735660003742
P,Key.space,1735660003911
R,e,1735660003916
R,Key.space,1735660004069
P,t,1735660004141
R,t,1735660004286
P,h,1735660004334
R,h,1735660004486
P,i,1735660004532
R,i,1735660004701
P,s,1735660004734
R,s,1735660004934
P,Key.space,1735660004943
R,Key.space,1735660005109
P,p,1735660005894
P,o,1735660006070
R,p,1735660006165
R,o,1735660006236
P,s,1735660006766
R,s,1735660006989
P,t,1735660007454
R,t,1735660007622
P,Key.space,1735660007910
R,Key.space,1735660008102
P,s,1735660008854
R,s,1735660009046
P,o,1735660009093
R,o,1735660009270
P,Key.space,1735660009285
R,Key.space,1735660009468
P,g,1735660009870
R,g,1735660010029
P,o,1735660010062
R,o,1735660010165
P,o,1735660010254
R,o,1735660010365
P,d,1735660010454
R,d,1735660010614
P,Key.space,1735660010661
R,Key.space,1735660010855
P,f,1735660011532
R,f,1735660011717
P,o,1735660011724
R,o,1735660011908
P,r,1735660012116
P,Key.space,1735660012260
R,r,1735660012300
R,Key.space,1735660012438
P,m,1735660012924
R,m,1735660013068
P,o,1735660013284
R,o,1735660013421
P,r,1735660013596
R,r,1735660013741
P,e,1735660013828
P,Key.space,1735660013997
R,e,1735660014029
R,Key.space,1735660014253
P,l,1735660015445
R,l,1735660015613
P,Key.backspace,1735660017406
R,Key.backspace,1735660017645
P,i,1735660020829
R,i,1735660020973
P,n,1735660021125
R,n,1735660021253
P,s,1735660021421
R,s,1735660021613
P,t,1735660021677
R,t,1735660021813
P,a,1735660021868
R,a,1735660022068
P,g,1735660022629
R,g,1735660022774
P,r,1735660022876
R,r,1735660023005
P,a,1735660023047
R,a,1735660023261
P,m,1735660023332
R,m,1735660023501
P,Key.space,1735660023558
R,Key.space,1735660023757
P,j,1735660024293
R,j,1735660024445
P,o,1735660024525
R,o,1735660024725
P,i,1735660024741
R,i,1735660024877
P,n,1735660025021
R,n,1735660025126
P,Key.space,1735660025229
R,Key.space,1735660025366
P,t,1735660025814
P,h,1735660025965
R,t,1735660025996
P,i,1735660026125
R,h,1735660026157
R,i,1735660026349
P,s,1735660026421
P,Key.space,1735660026597
R,s,1735660026647
R,Key.space,1735660026788
P,p,1735660028199
P,o,1735660028373
R,p,1735660028422
R,o,1735660028549
P,s,1735660028669
R,s,1735660028860
P,y,1735660028973
R,y,1735660029157
P,Key.backspace,1735660029501
R,Key.backspace,1735660029718
P,t,1735660029813
P,Key.space,1735660029973
R,t,1735660029981
R,Key.space,1735660030140
P,y,1735660030669
R,y,1735660030853
P,o,1735660031012
R,o,1735660031244
P,u,1735660031565
R,u,1735660031765
P,Key.space,1735660032532
R,Key.space,1735660032733
P,h,1735660033037
R,h,1735660033180
P,a,1735660033180
R,a,1735660033365
P,v,1735660033845
R,v,1735660034013
P,e,1735660034061
P,Key.space,1735660034189
R,e,1735660034269
R,Key.space,1735660034381
P,r,1735660034565
R,r,1735660034718
P,i,1735660034757
R,i,1735660034941
P,c,1735660035133
R,c,1735660035301
P,h,1735660035340
P,Key.space,1735660035501
R,h,1735660035524
R,Key.space,1735660035709
P,p,1735660035917
R,p,1735660036101
P,e,1735660036309
R,e,1735660036516
P,o,1735660036685
R,o,1735660036851
P,p,1735660036892
P,l,1735660037093
R,p,1735660037181
R,l,1735660037261
P,e,1735660037389
P,Key.space,1735660037565
R,e,1735660037587
R,Key.space,1735660037724
P,s,1735660039990
R,s,1735660040221
P,t,1735660040285
R,t,1735660040421
P,o,1735660040957
R,o,1735660041165
P,r,1735660041444
R,r,1735660041597
P,y,1735660041637
R,y,1735660041797
P,Key.space,1735660041803
R,Key.space,1735660042013
P,v,1735660042309
R,v,1735660042476
P,e,1735660042589
R,e,1735660042788
P,r,1735660043150
P,y,1735660043325
R,r,1735660043349
R,y,1735660043499
P,Key.space,1735660043540
R,Key.space,1735660043773
P,n,1735660043893
R,n,1735660044053
P,i,1735660044116
R,i,1735660044309
P,c,1735660044405
R,c,1735660044597
P,e,1735660044748
P,Key.space,1735660044885
R,e,1735660044924
R,Key.space,1735660045070
P,r,1735660045229
R,r,1735660045388
P,i,1735660045461
R,i,1735660045637
P,v,1735660045805
R,v,1735660045965
P,h,1735660046084
R,h,1735660046267
P,Key.space,1735660046267
P,j,1735660046470
R,Key.space,1735660046485
R,j,1735660046636
P,o,1735660046701
P,i,1735660046965
R,o,1735660046997
R,i,1735660047093
P,n,1735660047349
R,n,1735660047509
P,Key.space,1735660047548
R,Key.space,1735660047749
P,d,1735660048077
R,d,1735660048277
P,o,1735660048316
R,o,1735660048525
P,Key.space,1735660048956
R,Key.space,1735660049156
P,t,1735660049519
R,t,1735660049668
P,h,1735660049669
P,i,1735660049835
R,h,1735660049860
R,i,1735660050028
P,s,1735660050109
P,Key.space,1735660050252
R,s,1735660050301
R,Key.space,1735660050436
P,x,1735660051580
R,x,1735660051813
P,Key.backspace,1735660052452
R,Key.backspace,1735660052651
P,e,1735660053668
R,e,1735660053819
P,s,1735660054028
R,s,1735660054261
P,n,1735660054596
R,n,1735660054772
P,Key.space,1735660055004
R,Key.space,1735660055228
P,f,1735660055877
R,f,1735660056069
P,o,1735660056156
R,o,1735660056332
P,r,1735660056405
P,Key.space,1735660056509
R,r,1735660056580
R,Key.space,1735660056708
P,m,1735660057043
R,m,1735660057196
P,o,1735660057228
R,o,1735660057412
P,r,1735660057660
R,r,1735660057796
P,e,1735660057883
P,Key.space,1735660057996
R,e,1735660058093
R,Key.space,1735660058179
P,l,1735660058332
R,l,1735660058532
P,i,1735660058740
R,i,1735660058884
P,k,1735660058981
R,k,1735660059155
P,e,1735660059236
P,Key.space,1735660059357
R,e,1735660059420
R,Key.space,1735660059516
P,t,1735660059612
R,t,1735660059813
P,i,1735660059814
R,i,1735660060020
P,Key.backspace,1735660061262
R,Key.backspace,1735660061467
P,o,1735660061717
R,o,1735660061892
P,Key.space,1735660062108
R,Key.space,1735660062308
P,t,1735660062460
R,t,1735660062644
P,h,1735660062707
P,i,1735660062972
R,h,1735660062979
R,i,1735660063107
P,d,1735660064348
R,d,1735660064546
P,Key.space,1735660064658
R,Key.space,1735660064860
P,p,1735660065291
R,p,1735660065491
P,e,1735660065644
R,e,1735660065818
P,o,1735660065852
R,o,1735660065996
P,p,1735660066075
R,p,1735660066244
P,l,1735660066250
R,l,1735660066452
P,e,1735660066803
R,e,1735660066964
P,Key.space,1735660071204
R,Key.space,1735660071412
P,s,1735660071907
R,s,1735660072109
P,o,1735660072131
P,Key.space,1735660072292
R,o,1735660072300
R,Key.space,1735660072500
P,g,1735660072932
R,g,1735660073108
P,o,1735660073148
R,o,1735660073236
P,o,1735660073316
R,o,1735660073436
P,d,1735660073516
R,d,1735660073698
