Press or Release,Key,Time
P,Key.shift,1735660004641
P,Y,1735660004771
R,Y,1735660004855
R,Key.shift,1735660004912
P,o,1735660005036
R,o,1735660005140
P,Key.space,1735660005236
R,Key.space,1735660005354
P,h,1735660005529
R,h,1735660005655
P,o,1735660005656
P,w,1735660005717
R,o,1735660005722
R,w,1735660005860
P,Key.space,1735660005987
R,Key.space,1735660006098
P,c,1735660007174
P,o,1735660007238
R,c,1735660007329
P,u,1735660007402
R,o,1735660007405
R,u,1735660007553
P,d,1735660007746
R,d,1735660007833
P,Key.backspace,1735660008109
R,Key.backspace,1735660008220
P,l,1735660008461
R,l,1735660008569
P,d,1735660008586
R,d,1735660008707
P,Key.space,1735660008765
R,Key.space,1735660008860
P,Key.shift,1735660009296
P,W,1735660009442
R,Key.shift,1735660009507
P,i,1735660009526
R,W,1735660009575
R,i,1735660009623
P,l,1735660009755
R,l,1735660009844
P,l,1735660009932
R,l,1735660010000
P,Key.space,1735660010077
R,Key.space,1735660010189
P,Key.shift,1735660010258
P,S,1735660010424
R,Key.shift,1735660010546
R,S,1735660010601
P,m,1735660010606
R,m,1735660010689
P,i,1735660010763
R,i,1735660010866
P,t,1735660010940
P,h,1735660011054
R,t,1735660011062
R,h,1735660011145
P,Key.space,1735660011270
R,Key.space,1735660011375
P,j,1735660011544
R,j,1735660011648
P,u,1735660011744
P,s,1735660011785
R,u,1735660011839
R,s,1735660011923
P,t,1735660011993
R,t,1735660012078
P,Key.space,1735660012101
R,Key.space,1735660012270
P,s,1735660012307
R,s,1735660012393
P,l,1735660012462
R,l,1735660012566
P,a,1735660012584
R,a,1735660012700
P,p,1735660012701
R,p,1735660012820
P,Key.space,1735660012968
R,Key.space,1735660013111
P,Key.shift,1735660013291
P,C,1735660013571
R,Key.shift,1735660013617
R,C,1735660013696
P,h,1735660013825
P,i,1735660013952
R,h,1735660013965
P,r,1735660014011
R,i,1735660014058
R,r,1735660014106
P,Key.space,1735660014266
R,Key.space,1735660014353
P,Key.shift,1735660014591
P,R,1735660014746
R,Key.shift,1735660014783
P,o,1735660014848
R,R,1735660014866
R,o,1735660014923
P,c,1735660015063
R,c,1735660015175
P,k,1735660015216
R,k,1735660015299
P,Key.space,1735660015607
R,Key.space,1735660015755
P,Key.backspace,1735660016274
R,Key.backspace,1735660017200
P,Key.backspace,1735660017400
R,Key.backspace,1735660017495
P,r,1735660017675
P,i,1735660017799
R,r,1735660017801
R,i,1735660017886
P,s,1735660017936
R,s,1735660018036
P,Key.space,1735660018057
R,Key.space,1735660018165
P,Key.shift,1735660018296
P,R,1735660018414
R,Key.shift,1735660018501
R,R,1735660018503
P,o,1735660018824
R,o,1735660018924
P,c,1735660018939
R,c,1735660019083
P,k,1735660019084
R,k,1735660019238
P,Key.space,1735660019332
R,Key.space,1735660019440
P,l,1735660019628
P,i,1735660019773
R,l,1735660019811
R,i,1735660019880
P,k,1735660019991
R,k,1735660020094
P,e,1735660020099
R,e,1735660020239
P,Key.space,1735660020271
R,Key.space,1735660020374
P,a,1735660020589
R,a,1735660020717
P,t,1735660020745
R,t,1735660020854
P,h,1735660020875
R,h,1735660020992
P,Key.backspace,1735660021202
R,Key.backspace,1735660021279
P,Key.backspace,1735660021404
R,Key.backspace,1735660021483
P,Key.backspace,1735660021590
R,Key.backspace,1735660021676
P,h,1735660021975
R,h,1735660022070
P,Key.backspace,1735660022346
R,Key.backspace,1735660022460
P,t,1735660022585
R,t,1735660022709
P,h,1735660022730
R,h,1735660022831
P,a,1735660022900
P,t,1735660023012
R,a,1735660023051
R,t,1735660023136
P,Key.space,1735660023769
R,Key.space,1735660023893
P,Key.backspace,1735660031738
R,Key.backspace,1735660031894
P,Key.shift,1735660032261
P,?,1735660032603
R,?,1735660032721
P,!,1735660032946
R,!,1735660033103
R,Key.shift,1735660033176
P,Key.space,1735660033491
R,Key.space,1735660033597
P,Key.shift,1735660042860
P,C,1735660043066
R,Key.shift,1735660043101
P,o,1735660043159
R,C,1735660043170
R,o,1735660043311
P,u,1735660043360
R,u,1735660043488
P,l,1735660043577
R,l,1735660043704
P,d,1735660043736
R,d,1735660043837
P,Key.backspace,1735660044328
R,Key.backspace,1735660044448
P,Key.backspace,1735660044548
R,Key.backspace,1735660044625
P,Key.backspace,1735660044715
R,Key.backspace,1735660044811
P,Key.backspace,1735660044917
R,Key.backspace,1735660045005
P,Key.backspace,1735660045089
R,Key.backspace,1735660045177
P,Key.shift,1735660045316
P,E,1735660045494
R,Key.shift,1735660045584
R,E,1735660045622
P,v,1735660045631
R,v,1735660045735
P,e,1735660045762
R,e,1735660045883
P,r,1735660045978
P,y,1735660046036
R,r,1735660046114
R,y,1735660046125
P,o,1735660046280
P,e,1735660046425
R,o,1735660046426
R,e,1735660046529
P,Key.backspace,1735660046808
R,Key.backspace,1735660046913
P,n,1735660047058
R,n,1735660047177
P,e,1735660047192
R,e,1735660047320
P,Key.space,1735660047351
R,Key.space,1735660047452
P,i,1735660047818
P,n,1735660047949
R,i,1735660047965
R,n,1735660048065
P,v,1735660048191
R,v,1735660048295
P,o,1735660048299
R,o,1735660048371
P,l,1735660048510
R,l,1735660048608
P,v,1735660048729
R,v,1735660048837
P,e,1735660048947
P,d,1735660049088
R,e,1735660049131
R,d,1735660049218
P,Key.space,1735660049280
R,Key.space,1735660049384
P,c,1735660049592
P,o,1735660049717
R,c,1735660049738
P,u,1735660049817
R,o,1735660049853
R,u,1735660049940
P,l,1735660050075
R,l,1735660050178
P,d,1735660050406
R,d,1735660050526
P,',1735660051415
R,',1735660051499
P,v,1735660051590
R,v,1735660051707
P,e,1735660051831
P,Key.space,1735660051940
R,e,1735660051971
R,Key.space,1735660052023
P,b,1735660052148
R,b,1735660052257
P,e,1735660052310
R,e,1735660052421
P,e,1735660052500
P,n,1735660052604
R,e,1735660052623
R,n,1735660052672
P,Key.space,1735660052824
R,Key.space,1735660052903
P,m,1735660053123
R,m,1735660053263
P,o,1735660053278
P,r,1735660053374
R,o,1735660053397
R,r,1735660053473
P,e,1735660053567
R,e,1735660053691
P,Key.space,1735660053879
R,Key.space,1735660053988
P,m,1735660054101
R,m,1735660054217
P,a,1735660054239
R,a,1735660054368
P,t,1735660054448
R,t,1735660054537
P,u,1735660054613
R,u,1735660054724
P,r,1735660054736
R,r,1735660054855
P,e,1735660055007
R,e,1735660055110
P,Key.space,1735660055218
R,Key.space,1735660055299
P,a,1735660055998
R,a,1735660056122
P,b,1735660056206
R,b,1735660056322
P,o,1735660056346
P,u,1735660056464
R,o,1735660056489
P,t,1735660056590
R,u,1735660056604
R,t,1735660056694
P,Key.space,1735660056722
R,Key.space,1735660056836
P,i,1735660057058
R,i,1735660057174
P,t,1735660057238
R,t,1735660057333
P,Key.space,1735660057376
R,Key.space,1735660057491
P,b,1735660057613
P,u,1735660057731
R,b,1735660057768
P,t,1735660057814
R,u,1735660057850
R,t,1735660057957
P,Key.space,1735660057991
R,Key.space,1735660058102
P,i,1735660058267
R,i,1735660058391
P,t,1735660058406
R,t,1735660058518
P,Key.backspace,1735660058778
R,Key.backspace,1735660058868
P,Key.backspace,1735660058985
R,Key.backspace,1735660059075
P,h,1735660059288
R,h,1735660059368
P,e,1735660059427
P,y,1735660059473
R,e,1735660059555
R,y,1735660059566
P,Key.comma,1735660059828
R,Key.comma,1735660059920
P,Key.space,1735660060014
R,Key.space,1735660060122
P,i,1735660060250
R,i,1735660060338
P,t,1735660060365
R,t,1735660060456
P,',1735660061115
R,',1735660061178
P,s,1735660061233
R,s,1735660061345
P,Key.space,1735660061437
R,Key.space,1735660061529
P,Key.shift,1735660061874
P,H,1735660062017
R,H,1735660062135
R,Key.shift,1735660062192
P,o,1735660062295
R,o,1735660062391
P,l,1735660062526
R,l,1735660062635
P,l,1735660062707
R,l,1735660062809
P,y,1735660062825
R,y,1735660062898
P,w,1735660063187
P,o,1735660063283
R,w,1735660063296
R,o,1735660063353
P,o,1735660063452
R,o,1735660063532
P,d,1735660063544
R,d,1735660063632
P,Key.comma,1735660069590
R,Key.comma,1735660069717
P,Key.space,1735660069806
R,Key.space,1735660069918
P,i,1735660070002
P,s,1735660070080
R,i,1735660070105
R,s,1735660070181
P,n,1735660070251
R,n,1735660070380
P,',1735660071247
R,',1735660071330
P,t,1735660071368
R,t,1735660071477
P,Key.space,1735660071712
R,Key.space,1735660071794
P,i,1735660071922
R,i,1735660072022
P,t,1735660072037
R,t,1735660072133
P,Key.shift,1735660072483
R,Key.shift,1735660073468
P,Key.shift,1735660073645
P,?,1735660073867
R,?,1735660073980
R,Key.shift,1735660074068
P,Key.space,1735660074235
R,Key.space,1735660074340
P,s,1735660080144
P,o,1735660080259
R,s,1735660080281
R,o,1735660080378
P,Key.space,1735660080564
R,Key.space,1735660080663
P,m,1735660081218
R,m,1735660081349
P,u,1735660081487
R,u,1735660081595
P,c,1735660081641
R,c,1735660081738
P,h,1735660081740
R,h,1735660081860
P,Key.space,1735660082050
R,Key.space,1735660082154
