Press or Release,Key,Time
P,v,1735660005438
R,v,1735660005526
P,e,1735660005687
R,e,1735660005822
P,r,1735660005832
R,r,1735660005908
P,y,1735660006149
R,y,1735660006255
P,Key.space,1735660006391
R,Key.space,1735660006503
P,n,1735660007062
R,n,1735660007144
P,i,1735660007304
R,i,1735660007389
P,v,1735660007626
R,v,1735660007695
P,c,1735660007990
R,c,1735660008078
P,e,1735660008096
R,e,1735660008262
P,g,1735660008271
R,g,1735660008365
P,f,1735660008374
R,f,1735660008455
P,g,1735660008494
P,h,1735660008518
R,h,1735660008599
P,f,1735660008599
R,g,1735660008612
R,f,1735660008688
P,d,1735660008694
P,s,1735660008720
R,s,1735660008878
R,d,1735660008893
P,v,1735660008902
P,g,1735660008988
R,v,1735660009022
R,g,1735660009159
P,a,1735660009454
P,g,1735660009533
R,g,1735660009628
R,a,1735660009638
P,a,1735660009934
P,g,1735660009949
R,g,1735660010101
R,a,1735660010120
P,Key.space,1735660010686
R,Key.space,1735660010824
P,g,1735660011087
R,g,1735660011223
P,o,1735660011326
R,o,1735660011372
P,o,1735660011448
R,o,1735660011622
P,d,1735660011662
R,d,1735660011814
P,Key.space,1735660011910
R,Key.space,1735660012013
P,f,1735660012318
R,f,1735660012446
P,e,1735660012733
R,e,1735660012894
P,e,1735660012990
R,e,1735660013126
P,l,1735660013270
R,l,1735660013350
P,Key.space,1735660013534
R,Key.space,1735660013680
P,t,1735660014694
R,t,1735660014798
P,h,1735660014926
R,h,1735660015040
P,e,1735660015053
R,e,1735660015206
P,Key.space,1735660015224
R,Key.space,1735660015334
P,m,1735660015732
R,m,1735660015806
P,o,1735660015991
R,o,1735660016094
P,v,1735660016342
R,v,1735660016430
P,e,1735660016583
R,e,1735660016782
P,Key.tab,1735660017976
R,Key.tab,1735660018126
P,o,1735660018942
R,o,1735660019046
P,n,1735660019278
R,n,1735660019397
P,t,1735660019686
R,t,1735660019790
P,Key.space,1735660019982
R,Key.space,1735660020128
P,Key.space,1735660026288
R,Key.space,1735660026414
P,t,1735660026846
R,t,1735660026944
P,h,1735660027071
R,h,1735660027199
P,e,1735660027232
R,e,1735660027390
P,Key.space,1735660027421
R,Key.space,1735660027535
P,b,1735660028336
R,b,1735660028430
P,e,1735660028550
R,e,1735660028686
P,r,1735660028734
R,r,1735660028813
P,y,1735660029080
P,t,1735660029085
R,y,1735660029183
R,t,1735660029208
P,Key.space,1735660029373
R,Key.space,1735660029510
P,m,1735660030222
R,m,1735660030320
P,o,1735660030472
R,o,1735660030590
P,b,1735660030950
R,b,1735660031054
P,e,1735660031558
P,r,1735660031623
R,e,1735660031720
R,r,1735660031783
