Press or Release,Key,Time
P,Key.ctrl,1735660001210
P,a,1735660001338
R,a,1735660001418
R,Key.ctrl,1735660001434
P,Key.backspace,1735660001852
R,Key.backspace,1735660001914
P,-,1735660021753
R,-,1735660021818
P,Key.space,1735660021818
R,Key.space,1735660021898
P,Key.backspace,1735660022314
R,Key.backspace,1735660022378
P,Key.backspace,1735660022475
R,Key.backspace,1735660022537
P,Key.backspace,1735660022602
R,Key.backspace,1735660022649
P,-,1735660022938
R,-,1735660022986
P,Key.backspace,1735660023370
R,Key.backspace,1735660023434
P,=,1735660023562
R,=,1735660023626
P,Key.backspace,1735660023664
R,Key.backspace,1735660023668
P,Key.shift,1735660023668
P,T,1735660023674
R,T,1735660023679
R,Key.shift,1735660023679
P,h,1735660023680
R,h,1735660023686
P,e,1735660023692
R,e,1735660023694
P,Key.space,1735660023708
R,Key.space,1735660023710
P,m,1735660023724
R,m,1735660023725
P,o,1735660023741
R,o,1735660023742
P,v,1735660023756
R,v,1735660023757
P,i,1735660023772
R,i,1735660023773
P,e,1735660023788
R,e,1735660023789
P,Key.space,1735660023805
R,Key.space,1735660023806
P,a,1735660023820
R,a,1735660023821
P,n,1735660023836
R,n,1735660023837
P,d,1735660023852
R,d,1735660023853
P,Key.space,1735660023866
R,Key.space,1735660023867
P,t,1735660023882
R,t,1735660023884
P,h,1735660023897
R,h,1735660023899
P,i,1735660023913
R,i,1735660023914
P,s,1735660023928
R,s,1735660023929
P,Key.space,1735660023944
R,Key.space,1735660023946
P,s,1735660023959
R,s,1735660023961
P,c,1735660023975
R,c,1735660023976
P,e,1735660023991
R,e,1735660023993
P,n,1735660024007
R,n,1735660024008
P,e,1735660024023
R,e,1735660024025
P,Key.space,1735660024037
R,Key.space,1735660024038
P,i,1735660024053
R,i,1735660024054
P,n,1735660024069
R,n,1735660024070
P,Key.space,1735660024085
R,Key.space,1735660024086
P,p,1735660024102
R,p,1735660024104
P,a,1735660024115
R,a,1735660024116
P,r,1735660024130
R,r,1735660024131
P,t,1735660024146
R,t,1735660024147
P,i,1735660024162
R,i,1735660024164
P,c,1735660024176
R,c,1735660024177
P,u,1735660024192
R,u,1735660024193
P,l,1735660024207
R,l,1735660024208
P,a,1735660024222
R,a,1735660024224
P,r,1735660024238
R,r,1735660024240
P,Key.space,1735660024254
R,Key.space,1735660024255
P,t,1735660024270
R,t,1735660024271
P,e,1735660024285
R,e,1735660024287
P,a,1735660024303
R,a,1735660024304
P,c,1735660024317
R,c,1735660024318
P,h,1735660024332
R,h,1735660024333
P,Key.space,1735660024347
R,Key.space,1735660024349
P,a,1735660024364
R,a,1735660024365
P,Key.space,1735660024379
R,Key.space,1735660024380
P,p,1735660024395
R,p,1735660024397
P,o,1735660024410
R,o,1735660024412
P,w,1735660024426
R,w,1735660024427
P,e,1735660024442
R,e,1735660024444
P,r,1735660024458
R,r,1735660024459
P,f,1735660024473
R,f,1735660024475
P,u,1735660024489
R,u,1735660024491
P,l,1735660024505
R,l,1735660024506
P,Key.space,1735660024519
R,Key.space,1735660024521
P,l,1735660024535
R,l,1735660024536
P,e,1735660024550
R,e,1735660024552
P,s,1735660024567
