Press or Release,Key,Time
P,Key.shift,1735660020792
R,Key.shift,1735660023192
P,Key.shift,1735660024102
P,P,1735660024627
R,P,1735660024717
R,Key.shift,1735660024761
P,r,1735660024956
P,e,1735660025107
R,r,1735660025120
R,e,1735660025242
P,t,1735660025481
R,t,1735660025602
P,t,1735660025692
R,t,1735660025781
P,y,1735660025888
R,y,1735660025962
P,Key.space,1735660026081
R,Key.space,1735660026201
P,f,1735660026277
R,f,1735660026413
P,m,1735660026577
R,m,1735660026728
P,Key.backspace,1735660027026
R,Key.backspace,1735660027132
P,s,1735660027207
R,s,1735660027372
P,Key.backspace,1735660027687
R,Key.backspace,1735660027791
P,a,1735660027851
P,m,1735660027956
R,a,1735660027970
R,m,1735660028061
P,o,1735660028212
P,u,1735660028317
R,o,1735660028377
R,u,1735660028452
P,s,1735660028557
R,s,1735660028676
P,Key.space,1735660028706
R,Key.space,1735660028842
P,m,1735660028932
R,m,1735660029051
P,o,1735660029112
P,m,1735660029202
R,o,1735660029247
R,m,1735660029351
P,e,1735660029442
P,n,1735660029563
R,e,1735660029564
R,n,1735660029652
P,t,1735660029726
R,t,1735660029832
P,Key.space,1735660029951
R,Key.space,1735660030055
P,f,1735660030432
R,f,1735660030521
P,r,1735660030613
R,r,1735660030716
P,o,1735660030730
P,m,1735660030807
R,o,1735660030882
R,m,1735660030927
P,Key.space,1735660031032
R,Key.space,1735660031122
P,t,1735660031167
R,t,1735660031271
P,h,1735660031287
R,h,1735660031392
P,e,1735660031408
R,e,1735660031496
P,Key.space,1735660031527
R,Key.space,1735660031647
P,Key.shift,1735660031767
P,O,1735660031887
R,O,1735660031977
P,S,1735660032021
R,Key.shift,1735660032065
R,S,1735660032111
P,c,1735660032232
R,c,1735660032382
P,a,1735660032457
R,a,1735660032576
P,r,1735660032682
R,r,1735660032771
P,s,1735660032876
R,s,1735660032996
P,Key.comma,1735660033162
R,Key.comma,1735660033236
P,Key.space,1735660033370
R,Key.space,1735660033441
P,b,1735660033612
R,b,1735660033656
P,u,1735660033701
R,u,1735660033822
P,t,1735660033837
R,t,1735660033927
P,Key.space,1735660033942
R,Key.space,1735660034047
P,s,1735660034092
R,s,1735660034212
P,t,1735660034452
R,t,1735660034557
P,i,1735660034587
R,i,1735660034663
P,l,1735660034798
R,l,1735660034872
P,l,1735660034932
R,l,1735660035022
P,Key.space,1735660035082
R,Key.space,1735660035187
P,n,1735660035262
R,n,1735660035337
P,o,1735660035426
R,o,1735660035517
P,Key.space,1735660035592
R,Key.space,1735660035712
P,i,1735660035742
R,i,1735660035847
P,d,1735660035862
P,e,1735660036011
R,d,1735660036025
R,e,1735660036146
P,a,1735660036267
R,a,1735660036342
P,Key.space,1735660036446
R,Key.space,1735660036567
P,w,1735660036597
R,w,1735660036718
P,h,1735660036732
R,h,1735660036760
P,y,1735660037048
R,y,1735660037122
P,Key.space,1735660037586
R,Key.space,1735660037691
P,i,1735660037752
R,i,1735660037811
P,t,1735660038396
R,t,1735660038487
P,Key.space,1735660038516
R,Key.space,1735660038621
P,h,1735660038712
R,h,1735660038817
P,a,1735660038937
P,p,1735660039012
R,a,1735660039040
R,p,1735660039087
P,p,1735660039177
R,p,1735660039266
P,e,1735660039312
R,e,1735660039401
P,n,1735660039415
R,n,1735660039507
P,e,1735660039522
R,e,1735660039611
P,d,1735660039702
R,d,1735660039807
P,.,1735660040677
R,.,1735660040751
P,Key.space,1735660040917
P,Key.shift,1735660041008
R,Key.space,1735660041037
P,W,1735660041187
R,W,1735660041292
R,Key.shift,1735660041323
P,i,1735660041351
R,i,1735660041427
P,l,1735660041547
R,l,1735660041607
P,l,1735660041712
R,l,1735660041773
P,Key.space,1735660041832
