Press or Release,Key,Time
P,w,1735660003174
P,o,1735660003260
R,w,1735660003286
P,w,1735660003386
R,o,1735660003398
R,w,1735660003504
P,Key.space,1735660003512
R,Key.space,1735660003688
P,a,1735660004090
P,m,1735660004194
R,a,1735660004235
R,m,1735660004315
P,a,1735660004385
R,a,1735660004514
P,z,1735660004872
R,z,1735660005003
P,Key.backspace,1735660005179
R,Key.backspace,1735660005273
P,Key.backspace,1735660005356
R,Key.backspace,1735660005438
P,Key.backspace,1735660005650
R,Key.backspace,1735660005727
P,Key.backspace,1735660005806
R,Key.backspace,1735660005868
P,Key.backspace,1735660005939
R,Key.backspace,1735660006000
P,Key.shift,1735660006384
P,!,1735660006581
R,!,1735660006661
P,!,1735660006755
R,!,1735660006847
P,!,1735660006913
R,!,1735660007009
R,Key.shift,1735660007039
P,Key.shift,1735660007146
R,Key.shift,1735660007165
P,a,1735660007417
R,a,1735660007566
P,Key.space,1735660007585
R,Key.space,1735660007727
P,a,1735660007771
R,a,1735660007843
P,Key.backspace,1735660008359
R,Key.backspace,1735660008441
P,Key.backspace,1735660008525
R,Key.backspace,1735660008598
P,Key.backspace,1735660008870
R,Key.backspace,1735660008955
P,Key.space,1735660009196
R,Key.space,1735660009350
P,a,1735660009462
P,m,1735660009580
R,a,1735660009592
R,m,1735660009699
P,z,1735660009800
R,z,1735660009936
P,i,1735660009956
R,i,1735660010077
P,n,1735660010123
R,n,1735660010238
P,g,1735660010375
R,g,1735660010471
P,Key.space,1735660010480
R,Key.space,1735660010618
P,p,1735660010861
R,p,1735660010962
P,e,1735660010993
R,e,1735660011079
P,r,1735660011176
R,r,1735660011252
P,f,1735660011356
R,f,1735660011433
P,o,1735660011453
P,r,1735660011575
R,o,1735660011591
R,r,1735660011682
P,m,1735660011716
R,m,1735660011856
P,a,1735660011913
R,a,1735660012082
P,n,1735660012102
R,n,1735660012230
P,c,1735660012290
R,c,1735660012413
P,e,1735660012504
R,e,1735660012626
P,Key.space,1735660012712
R,Key.space,1735660012877
P,m,1735660014050
P,a,1735660014148
R,m,1735660014159
R,a,1735660014281
P,n,1735660014305
R,n,1735660014382
P,Key.shift,1735660014581
P,!,1735660014710
R,Key.shift,1735660014865
R,!,1735660014873
P,Key.shift,1735660015245
P,Key.enter,1735660015377
R,Key.enter,1735660015522
P,Key.enter,1735660015744
R,Key.enter,1735660015847
R,Key.shift,1735660015891
P,w,1735660016760
R,w,1735660016861
P,a,1735660016993
R,a,1735660017110
P,t,1735660017135
R,t,1735660017211
P,h,1735660017322
R,h,1735660017404
P,c,1735660017479
R,c,1735660017535
P,e,1735660017622
R,e,1735660017748
P,Key.backspace,1735660017910
R,Key.backspace,1735660017976
P,Key.backspace,1735660018056
R,Key.backspace,1735660018136
P,Key.backspace,1735660018203
R,Key.backspace,1735660018288
P,c,1735660018747
P,h,1735660018842
R,c,1735660018864
R,h,1735660018931
P,e,1735660018943
R,e,1735660019076
P,d,1735660019116
P,Key.space,1735660019243
R,d,1735660019254
R,Key.space,1735660019368
P,t,1735660019393
R,t,1735660019497
P,h,1735660019510
P,e,1735660019587
R,h,1735660019599
R,e,1735660019697
P,Key.space,1735660019707
R,Key.space,1735660019835
P,m,1735660020300
R,m,1735660020376
P,o,1735660020524
R,o,1735660020624
P,v,1735660020634
R,v,1735660020726
P,i,1735660020810
P,e,1735660020831
R,i,1735660020909
R,e,1735660021029
P,Key.space,1735660021099
R,Key.space,1735660021229
P,a,1735660021450
P,Key.space,1735660021690
R,a,1735660021746
R,Key.space,1735660021776
P,Key.space,1735660022034
R,Key.space,1735660022166
P,Key.backspace,1735660022447
R,Key.backspace,1735660022550
P,h,1735660022746
R,h,1735660022822
P,u,1735660022918
R,u,1735660023015
P,n,1735660023029
R,n,1735660023151
P,d,1735660023161
R,d,1735660023268
P,r,1735660023382
R,r,1735660023470
P,e,1735660023516
R,e,1735660023642
P,d,1735660023667
R,d,1735660023774
P,Key.space,1735660023829
R,Key.space,1735660023958
P,t,1735660024012
R,t,1735660024090
P,i,1735660024118
R,i,1735660024214
P,m,1735660024316
R,m,1735660024434
P,e,1735660024443
R,e,1735660024531
P,s,1735660024640
R,s,1735660024744
P,Key.space,1735660024762
R,Key.space,1735660024889
P,a,1735660024919
R,a,1735660025046
P,n,1735660025056
R,n,1735660025142
P,d,1735660025177
R,d,1735660025290
P,Key.space,1735660025300
R,Key.space,1735660025396
P,s,1735660025435
R,s,1735660025566
P,t,1735660025592
R,t,1735660025665
P,i,1735660025911
R,i,1735660025998
P,l,1735660026133
R,l,1735660026206
P,l,1735660026280
R,l,1735660026373
P,Key.space,1735660026427
R,Key.space,1735660026557
P,f,1735660026578
R,f,1735660026671
P,e,1735660026757
R,e,1735660026838
P,e,1735660026934
R,e,1735660027018
P,l,1735660027070
R,l,1735660027170
P,s,1735660027184
R,s,1735660027301
P,Key.space,1735660027369
R,Key.space,1735660027503
P,f,1735660027822
R,f,1735660027907
P,r,1735660028018
R,r,1735660028074
P,e,1735660028190
R,e,1735660028272
P,s,1735660028376
R,s,1735660028500
P,h,1735660028580
R,h,1735660028672
P,Key.shift,1735660028919
P,!,1735660029074
R,!,1735660029216
R,Key.shift,1735660029224
P,Key.shift,1735660029579
R,Key.shift,1735660029690
P,Key.shift,1735660029827
P,Key.enter,1735660029836
R,Key.enter,1735660030043
P,Key.enter,1735660030455
R,Key.enter,1735660030549
R,Key.shift,1735660030721
P,w,1735660033340
R,w,1735660033427
P,h,1735660033462
R,h,1735660033552
P,a,1735660033591
P,t,1735660033714
R,a,1735660033725
R,t,1735660033800
P,Key.space,1735660033845
R,Key.space,1735660033997
P,a,1735660034275
P,Key.space,1735660034388
R,a,1735660034404
R,Key.space,1735660034512
P,m,1735660034544
R,m,1735660034644
P,o,1735660034743
R,o,1735660034840
P,v,1735660034853
R,v,1735660034972
P,i,1735660034995
P,e,1735660035097
R,i,1735660035108
R,e,1735660035237
P,Key.space,1735660035259
R,Key.space,1735660035403
P,Key.shift,1735660035730
P,!,1735660035902
R,!,1735660036029
R,Key.shift,1735660036104
P,Key.space,1735660037294
R,Key.space,1735660037413
P,w,1735660038302
R,w,1735660038401
P,a,1735660038408
R,a,1735660038566
P,i,1735660038586
R,i,1735660038713
P,t,1735660038737
R,t,1735660038834
P,Key.space,1735660038856
R,Key.space,1735660038970
P,a,1735660038980
P,Key.space,1735660039086
R,a,1735660039112
R,Key.space,1735660039204
P,s,1735660039481
R,s,1735660039596
P,e,1735660039659
R,e,1735660039799
P,c,1735660039820
R,c,1735660039970
P,.,1735660040248
R,.,1735660040344
P,.,1735660040465
R,.,1735660040684
P,i,1735660040982
R,i,1735660041088
P,m,1735660041123
R,m,1735660041215
P,m,1735660041299
R,m,1735660041377
P,a,1735660041512
R,a,1735660041647
P,Key.space,1735660041835
R,Key.space,1735660041949
P,w,1735660042345
R,w,1735660042467
P,a,1735660042588
R,a,1735660042739
P,t,1735660042810
R,t,1735660042901
P,c,1735660042921
P,h,1735660043038
R,c,1735660043055
R,h,1735660043123
P,Key.space,1735660043179
R,Key.space,1735660043291
P,i,1735660043312
P,t,1735660043403
R,i,1735660043423
R,t,1735660043489
P,Key.space,1735660043514
R,Key.space,1735660043605
P,a,1735660043664
P,g,1735660043742
R,a,1735660043777
R,g,1735660043818
P,a,1735660043922
P,i,1735660043937
R,a,1735660044010
R,i,1735660044041
P,n,1735660044068
R,n,1735660044177
P,.,1735660049742
R,.,1735660049815
P,Key.space,1735660050471
R,Key.space,1735660050624
P,l,1735660059343
R,l,1735660059479
P,e,1735660059550
R,e,1735660059688
P,t,1735660059762
R,t,1735660059834
P,s,1735660059878
P,Key.space,1735660060000
R,s,1735660060012
R,Key.space,1735660060157
P,g,1735660061643
R,g,1735660061751
P,o,1735660061775
R,o,1735660061876
P,Key.shift,1735660062092
P,!,1735660062335
R,!,1735660062442
P,!,1735660062543
R,!,1735660062623
P,!,1735660062699
R,!,1735660063647
R,Key.shift,1735660063667
