Press or Release,Key,Time
P,=,1735660017970
R,=,1735660018017
P,Key.backspace,1735660018070
R,Key.backspace,1735660018075
P,Key.shift,1735660018078
P,A,1735660018079
R,A,1735660018085
R,Key.shift,1735660018089
P,t,1735660018111
R,t,1735660018112
P,Key.space,1735660018126
R,Key.space,1735660018128
P,t,1735660018143
R,t,1735660018144
P,h,1735660018158
R,h,1735660018160
P,e,1735660018174
R,e,1735660018175
P,Key.space,1735660018190
R,Key.space,1735660018191
P,2,1735660018206
R,2,1735660018208
P,0,1735660018221
R,0,1735660018223
P,2,1735660018237
R,2,1735660018239
P,2,1735660018253
R,2,1735660018255
P,Key.space,1735660018269
R,Key.space,1735660018271
P,Key.shift,1735660018286
P,A,1735660018287
R,A,1735660018289
R,Key.shift,1735660018289
P,c,1735660018301
R,c,1735660018303
P,a,1735660018317
R,a,1735660018319
P,d,1735660018333
R,d,1735660018334
P,e,1735660018349
R,e,1735660018350
P,m,1735660018368
R,m,1735660018370
P,y,1735660018382
R,y,1735660018386
P,Key.space,1735660018396
R,Key.space,1735660018397
P,Key.shift,1735660018412
P,A,1735660018413
R,A,1735660018414
R,Key.shift,1735660018414
P,w,1735660018428
R,w,1735660018429
P,a,1735660018445
R,a,1735660018447
P,r,1735660018459
R,r,1735660018460
P,d,1735660018475
R,d,1735660018481
P,s,1735660018489
R,s,1735660018491
P,Key.comma,1735660018506
R,Key.comma,1735660018508
P,Key.space,1735660018520
R,Key.space,1735660018521
P,a,1735660018536
R,a,1735660018538
P,Key.space,1735660018552
R,Key.space,1735660018553
P,j,1735660018567
R,j,1735660018568
P,o,1735660018583
R,o,1735660018584
P,k,1735660018599
R,k,1735660018601
P,e,1735660018615
R,e,1735660018617
P,Key.space,1735660018630
R,Key.space,1735660018633
P,b,1735660018647
R,b,1735660018650
P,y,1735660018663
R,y,1735660018666
P,Key.space,1735660018677
R,Key.space,1735660018679
P,Key.shift,1735660018693
P,C,1735660018693
R,C,1735660018695
R,Key.shift,1735660018695
P,h,1735660018707
R,h,1735660018709
P,r,1735660018723
R,r,1735660018724
P,i,1735660018738
R,i,1735660018740
P,s,1735660018754
R,s,1735660018755
P,Key.space,1735660018769
R,Key.space,1735660018771
P,Key.shift,1735660018786
P,R,1735660018787
R,R,1735660018789
R,Key.shift,1735660018789
P,o,1735660018800
R,o,1735660018801
P,c,1735660018816
R,c,1735660018817
P,k,1735660018832
R,k,1735660018833
P,Key.space,1735660018847
R,Key.space,1735660018849
P,a,1735660018863
R,a,1735660018865
P,b,1735660018878
R,b,1735660018879
P,o,1735660018893
R,o,1735660018895
P,u,1735660018908
R,u,1735660018909
P,t,1735660018925
R,t,1735660018926
P,Key.space,1735660018939
R,Key.space,1735660018941
P,Key.shift,1735660018955
P,J,1735660018956
R,J,1735660018958
R,Key.shift,1735660018959
P,a,1735660018970
R,a,1735660018972
P,d,1735660018987
R,d,1735660018988
P,a,1735660019001
R,a,1735660019003
P,Key.space,1735660019017
R,Key.space,1735660019019
P,Key.shift,1735660019033
P,P,1735660019034
R,P,1735660019036
R,Key.shift,1735660019036
P,i,1735660019048
R,i,1735660019050
P,n,1735660019065
R,n,1735660019067
P,k,1735660019080
R,k,1735660019081
P,e,1735660019095
R,e,1735660019096
P,t,1735660019110
R,t,1735660019111
P,t,1735660019126
R,t,1735660019128
P,Key.space,1735660019142
R,Key.space,1735660019144
P,Key.shift,1735660019158
P,S,1735660019159
R,S,1735660019160
R,Key.shift,1735660019161
P,m,1735660019173
R,m,1735660019174
P,i,1735660019188
R,i,1735660019190
P,t,1735660019206
R,t,1735660019207
P,h,1735660019219
R,h,1735660019220
P,’,1735660019234
R,’,1735660019236
P,s,1735660019250
R,s,1735660019252
P,Key.space,1735660019266
R,Key.space,1735660019268
P,a,1735660019281
R,a,1735660019284
P,p,1735660019298
R,p,1735660019299
P,p,1735660019314
R,p,1735660019315
P,e,1735660019329
R,e,1735660019331
P,a,1735660019346
R,a,1735660019347
P,r,1735660019360
R,r,1735660019362
P,a,1735660019376
R,a,1735660019377
P,n,1735660019391
R,n,1735660019393
P,c,1735660019407
R,c,1735660019409
P,e,1735660019425
R,e,1735660019426
P,Key.space,1735660019438
R,Key.space,1735660019440
P,l,1735660019454
R,l,1735660019455
P,e,1735660019469
R,e,1735660019471
P,d,1735660019488
R,d,1735660019495
P,Key.space,1735660019501
R,Key.space,1735660019504
P,t,1735660019516
R,t,1735660019517
P,o,1735660019532
R,o,1735660019533
P,Key.space,1735660019547
R,Key.space,1735660019549
P,Key.shift,1735660019565
P,W,1735660019565
R,W,1735660019567
R,Key.shift,1735660019567
P,i,1735660019578
R,i,1735660019579
P,l,1735660019594
R,l,1735660019595
P,l,1735660019609
R,l,1735660019611
P,Key.space,1735660019625
R,Key.space,1735660019627
P,Key.shift,1735660019642
P,S,1735660019645
R,S,1735660019646
R,Key.shift,1735660019646
P,m,1735660019656
R,m,1735660019658
P,i,1735660019672
R,i,1735660019673
P,t,1735660019688
R,t,1735660019690
P,h,1735660019705
R,h,1735660019707
P,Key.space,1735660019719
R,Key.space,1735660019720
P,i,1735660019734
R,i,1735660019736
P,n,1735660019749
R,n,1735660019751
P,t,1735660019766
R,t,1735660019767
P,e,1735660019781
R,e,1735660019783
P,r,1735660019796
R,r,1735660019798
P,v,1735660019811
R,v,1735660019813
P,e,1735660019827
R,e,1735660019829
P,n,1735660019843
R,n,1735660019845
P,i,1735660019858
R,i,1735660019859
P,n,1735660019874
R,n,1735660019875
P,g,1735660019889
R,g,1735660019891
P,Key.space,1735660019906
R,Key.space,1735660019907
P,p,1735660019920
R,p,1735660019922
P,h,1735660019936
R,h,1735660019938
P,y,1735660019952
R,y,1735660019954
P,s,1735660019968
R,s,1735660019969
P,i,1735660019985
R,i,1735660019987
P,c,1735660020000
R,c,1735660020002
P,a,1735660020016
R,a,1735660020018
P,l,1735660020032
R,l,1735660020034
P,l,1735660020048
R,l,1735660020049
P,y,1735660020065
R,y,1735660020067
P,.,1735660020080
R,.,1735660020081
P,Key.space,1735660020095
R,Key.space,1735660020097
P,Key.shift,1735660020110
P,T,1735660020111
R,T,1735660020113
R,Key.shift,1735660020113
P,h,1735660020126
R,h,1735660020128
P,i,1735660020142
R,i,1735660020144
P,s,1735660020157
R,s,1735660020159
P,Key.space,1735660020173
R,Key.space,1735660020174
P,i,1735660020188
R,i,1735660020190
P,n,1735660020205
R,n,1735660020206
P,c,1735660020218
R,c,1735660020220
P,i,1735660020235
R,i,1735660020236
P,d,1735660020249
R,d,1735660020251
P,e,1735660020265
R,e,1735660020267
P,n,1735660020281
R,n,1735660020282
P,t,1735660020297
R,t,1735660020298
P,Key.space,1735660020312
R,Key.space,1735660020314
P,b,1735660020328
R,b,1735660020330
P,e,1735660020344
R,e,1735660020346
P,c,1735660020359
R,c,1735660020360
P,a,1735660020374
R,a,1735660020376
P,m,1735660020390
R,m,1735660020392
P,e,1735660020407
R,e,1735660020409
P,Key.space,1735660020423
R,Key.space,1735660020425
P,a,1735660020437
R,a,1735660020439
P,Key.space,1735660020453
R,Key.space,1735660020454
P,w,1735660020468
R,w,1735660020469
P,i,1735660020486
R,i,1735660020489
P,d,1735660020499
R,d,1735660020500
P,e,1735660020514
R,e,1735660020516
P,l,1735660020530
