Press or Release,Key,Time
P,Key.shift,1735660006740
P,C,1735660008215
R,Key.shift,1735660008295
R,C,1735660008331
P,o,1735660008426
R,o,1735660008467
P,o,1735660008561
R,o,1735660008604
P,l,1735660008766
P,Key.space,1735660008862
R,l,1735660008886
R,Key.space,1735660008962
P,m,1735660009109
P,o,1735660009177
R,m,1735660009245
R,o,1735660009299
P,v,1735660009362
R,v,1735660009473
P,i,1735660009477
R,i,1735660009542
P,e,1735660009654
R,e,1735660009738
P,.,1735660009823
R,.,1735660009950
P,Key.space,1735660009980
R,Key.space,1735660010032
P,Key.shift,1735660010974
P,G,1735660012324
R,Key.shift,1735660012385
R,G,1735660012388
P,r,1735660012510
P,e,1735660012638
R,r,1735660012678
P,a,1735660012782
R,e,1735660012806
R,a,1735660012914
P,Key.space,1735660013046
R,Key.space,1735660013166
P,Key.backspace,1735660013324
R,Key.backspace,1735660013380
P,t,1735660013473
R,t,1735660013545
P,Key.space,1735660013601
R,Key.space,1735660013680
P,a,1735660013775
R,a,1735660013899
P,c,1735660013900
R,c,1735660014007
P,t,1735660014146
R,t,1735660014233
P,i,1735660014245
P,n,1735660014330
R,i,1735660014366
R,n,1735660014408
P,g,1735660014424
R,g,1735660014504
P,Key.space,1735660014512
R,Key.space,1735660014593
P,m,1735660014647
R,m,1735660014711
P,Key.backspace,1735660015016
R,Key.backspace,1735660015080
P,b,1735660015472
P,y,1735660015512
R,b,1735660015580
P,Key.space,1735660015619
R,y,1735660015639
P,t,1735660015703
R,Key.space,1735660015716
P,h,1735660015763
R,t,1735660015774
R,h,1735660015819
P,e,1735660015862
P,Key.space,1735660015903
R,e,1735660015942
R,Key.space,1735660015969
P,g,1735660016315
R,g,1735660016419
P,u,1735660016475
R,u,1735660016703
P,Key.space,1735660016746
R,Key.space,1735660016894
P,Key.backspace,1735660017174
R,Key.backspace,1735660017274
P,t,1735660017793
R,t,1735660017876
P,Key.backspace,1735660018810
R,Key.backspace,1735660018878
P,y,1735660019308
R,y,1735660019408
P,Key.space,1735660019663
R,Key.space,1735660019727
P,s,1735660020104
P,p,1735660020184
R,s,1735660020187
R,p,1735660020260
P,e,1735660020326
P,a,1735660020425
R,e,1735660020452
P,k,1735660020545
R,a,1735660020566
R,k,1735660020604
P,i,1735660020718
P,n,1735660020758
R,i,1735660020780
R,n,1735660020837
P,g,1735660020866
R,g,1735660020946
P,Key.space,1735660020982
R,Key.space,1735660021058
P,f,1735660021129
P,r,1735660021165
R,f,1735660021212
P,o,1735660021224
R,r,1735660021272
P,m,1735660021274
R,o,1735660021361
P,Key.space,1735660021384
R,m,1735660021408
P,t,1735660021460
R,Key.space,1735660021483
R,t,1735660021540
P,h,1735660021586
R,h,1735660021673
P,e,1735660021698
R,e,1735660021763
P,Key.space,1735660021777
R,Key.space,1735660021869
P,t,1735660022088
P,r,1735660022228
R,t,1735660022255
P,e,1735660022257
R,r,1735660022307
P,a,1735660022313
R,e,1735660022321
R,a,1735660022456
P,m,1735660022528
R,m,1735660022616
P,Key.backspace,1735660023264
R,Key.backspace,1735660023328
P,Key.backspace,1735660023434
R,Key.backspace,1735660023513
P,Key.backspace,1735660023595
R,Key.backspace,1735660023683
P,Key.backspace,1735660024220
R,Key.backspace,1735660024276
P,e,1735660024327
P,a,1735660024388
R,e,1735660024416
P,m,1735660024508
R,a,1735660024514
R,m,1735660024559
P,.,1735660024736
R,.,1735660024804
P,Key.space,1735660024878
R,Key.space,1735660024950
P,Key.shift,1735660025806
P,I,1735660026107
R,I,1735660026161
R,Key.shift,1735660026193
P,t,1735660026305
P,s,1735660026381
R,t,1735660026391
R,s,1735660026533
P,Key.space,1735660026622
R,Key.space,1735660026729
P,l,1735660027687
R,l,1735660027776
P,i,1735660027874
R,i,1735660027957
P,t,1735660028005
R,t,1735660028050
P,t,1735660028145
R,t,1735660028197
P,l,1735660028260
R,l,1735660028327
P,e,1735660028370
R,e,1735660028427
P,Key.space,1735660028430
R,Key.space,1735660028507
P,l,1735660028574
R,l,1735660028677
P,Key.backspace,1735660028956
R,Key.backspace,1735660029028
P,t,1735660029169
R,t,1735660029263
P,h,1735660029270
P,i,1735660029369
R,h,1735660029374
R,i,1735660029500
P,n,1735660029520
R,n,1735660029641
P,g,1735660029662
R,g,1735660029754
P,s,1735660029830
R,s,1735660029937
P,Key.space,1735660029969
R,Key.space,1735660030033
P,l,1735660030121
R,l,1735660030201
P,i,1735660030346
R,i,1735660030389
P,k,1735660030491
R,k,1735660030594
P,e,1735660030601
P,Key.space,1735660030687
R,e,1735660030689
R,Key.space,1735660030766
P,t,1735660031320
R,t,1735660031419
P,h,1735660031904
R,h,1735660031963
P,e,1735660032045
R,e,1735660032120
P,s,1735660032586
R,s,1735660032746
P,e,1735660033005
P,Key.space,1735660033113
R,e,1735660033123
R,Key.space,1735660033196
P,t,1735660033271
R,t,1735660033366
P,h,1735660033389
P,a,1735660033433
R,h,1735660033448
P,t,1735660033501
R,a,1735660033561
R,t,1735660033600
P,Key.space,1735660033646
R,Key.space,1735660033738
P,k,1735660034083
R,k,1735660034156
P,e,1735660034202
R,e,1735660034274
P,e,1735660034333
R,e,1735660034420
P,p,1735660034444
P,Key.space,1735660034561
R,p,1735660034588
R,Key.space,1735660034667
P,p,1735660034760
R,p,1735660034887
P,u,1735660034894
R,u,1735660034982
P,s,1735660035076
P,h,1735660035162
R,s,1735660035195
P,i,1735660035239
R,h,1735660035271
P,n,1735660035380
R,i,1735660035419
R,n,1735660035470
P,g,1735660035525
R,g,1735660035685
P,Key.space,1735660036002
R,Key.space,1735660036101
P,u,1735660037558
R,u,1735660037610
P,s,1735660037666
P,Key.space,1735660037742
R,s,1735660037764
R,Key.space,1735660037806
P,t,1735660037908
P,o,1735660037968
R,t,1735660038011
P,Key.space,1735660038099
R,o,1735660038114
R,Key.space,1735660038215
P,g,1735660038562
R,g,1735660038622
P,r,1735660038728
P,i,1735660038800
R,r,1735660038823
P,n,1735660038920
R,i,1735660038943
R,n,1735660039035
P,d,1735660039176
R,d,1735660039276
P,Key.space,1735660040275
R,Key.space,1735660040383
P,h,1735660040487
P,a,1735660040555
R,h,1735660040582
P,r,1735660040662
R,a,1735660040686
R,r,1735660040749
P,d,1735660040881
P,e,1735660040938
R,d,1735660040941
P,r,1735660041049
R,e,1735660041093
R,r,1735660041128
P,Key.backspace,1735660041407
R,Key.backspace,1735660042706
P,Key.backspace,1735660042893
R,Key.backspace,1735660042976
P,k,1735660043546
R,k,1735660043646
P,e,1735660043693
R,e,1735660043757
P,e,1735660043855
R,e,1735660043943
P,p,1735660043954
P,Key.space,1735660044055
R,p,1735660044099
R,Key.space,1735660044158
P,w,1735660044619
P,o,1735660044699
R,w,1735660044730
R,o,1735660044741
P,r,1735660044846
P,k,1735660044902
R,r,1735660044962
R,k,1735660044967
P,i,1735660045083
R,i,1735660045167
P,g,1735660045294
R,g,1735660045394
P,Key.backspace,1735660045630
R,Key.backspace,1735660045678
P,n,1735660045852
R,n,1735660045920
P,g,1735660045967
R,g,1735660046046
P,Key.space,1735660046073
R,Key.space,1735660046151
P,t,1735660046445
R,t,1735660046536
P,o,1735660046549
R,o,1735660046615
P,w,1735660046700
P,a,1735660046788
R,w,1735660046848
P,r,1735660046940
R,a,1735660046966
R,r,1735660047064
P,d,1735660047149
P,s,1735660047244
R,d,1735660047287
R,s,1735660047355
P,Key.space,1735660047452
R,Key.space,1735660047523
P,o,1735660047796
P,u,1735660047899
R,o,1735660047946
R,u,1735660048014
P,r,1735660048022
P,Key.space,1735660048095
R,r,1735660048134
R,Key.space,1735660048174
P,g,1735660048346
R,g,1735660048418
P,o,1735660048508
R,o,1735660048588
P,a,1735660048638
P,l,1735660048710
R,a,1735660048742
R,l,1735660048805
P,s,1735660048807
P,Key.space,1735660048870
R,s,1735660048889
P,a,1735660048954
R,Key.space,1735660048957
P,n,1735660049038
R,a,1735660049064
R,n,1735660049109
P,d,1735660049148
P,Key.space,1735660049197
R,d,1735660049220
R,Key.space,1735660049268
P,a,1735660051340
R,a,1735660051447
P,c,1735660051450
R,c,1735660051591
P,h,1735660051630
P,i,1735660051738
R,h,1735660051770
R,i,1735660051853
P,e,1735660051896
R,e,1735660051976
P,v,1735660051979
R,v,1735660052040
P,e,1735660052391
R,e,1735660052489
P,Key.space,1735660052712
R,Key.space,1735660052815
P,t,1735660052911
P,h,1735660052967
R,t,1735660052973
R,h,1735660053019
P,e,1735660053054
P,m,1735660053163
R,e,1735660053174
R,m,1735660053243
P,.,1735660053978
R,.,1735660054037
