Press or Release,Key,Time
P,Key.shift,1735660006458
P,I,1735660006602
R,Key.shift,1735660006673
R,I,1735660006700
P,n,1735660006832
R,n,1735660006874
P,Key.space,1735660006995
R,Key.space,1735660007072
P,d,1735660007167
R,d,1735660007261
P,i,1735660007432
R,i,1735660007511
P,o,1735660007777
R,o,1735660007852
P,p,1735660009026
R,p,1735660009140
P,l,1735660009662
R,l,1735660009744
P,o,1735660009841
R,o,1735660009920
P,m,1735660010079
R,m,1735660010144
P,a,1735660010259
R,a,1735660010367
P,c,1735660010465
R,c,1735660010540
P,y,1735660010709
R,y,1735660010771
P,Key.comma,1735660011668
R,Key.comma,1735660011734
P,Key.space,1735660011846
R,Key.space,1735660011915
P,r,1735660012010
R,r,1735660012095
P,e,1735660012173
R,e,1735660012264
P,s,1735660012817
R,s,1735660012914
P,p,1735660012963
R,p,1735660013039
P,e,1735660013114
R,e,1735660013203
P,c,1735660013331
R,c,1735660013409
P,t,1735660013525
R,t,1735660013596
P,Key.space,1735660014132
R,Key.space,1735660014206
P,i,1735660014498
R,i,1735660014572
P,s,1735660014629
R,s,1735660014732
P,Key.space,1735660014736
R,Key.space,1735660014803
P,n,1735660014905
R,n,1735660014967
P,o,1735660015094
R,o,1735660015184
P,t,1735660015302
R,t,1735660015388
P,Key.space,1735660015566
R,Key.space,1735660015640
P,a,1735660016115
R,a,1735660016222
P,Key.space,1735660016237
R,Key.space,1735660016309
P,l,1735660016458
R,l,1735660016533
P,u,1735660016695
R,u,1735660016770
P,x,1735660017208
R,x,1735660017304
P,u,1735660017406
R,u,1735660017485
P,r,1735660017678
R,r,1735660017790
P,y,1735660017876
R,y,1735660017956
P,Key.comma,1735660018936
R,Key.comma,1735660019003
P,Key.space,1735660019115
R,Key.space,1735660019178
P,i,1735660019328
R,i,1735660019405
P,t,1735660019546
R,t,1735660019620
P,s,1735660019706
R,s,1735660019797
P,Key.space,1735660019902
R,Key.space,1735660019951
P,i,1735660020415
R,i,1735660020491
P,s,1735660020564
P,Key.space,1735660020640
R,s,1735660020648
R,Key.space,1735660020724
P,t,1735660020943
R,t,1735660021028
P,h,1735660021133
R,h,1735660021217
P,e,1735660021248
R,e,1735660021346
P,Key.space,1735660021379
R,Key.space,1735660021433
P,c,1735660021598
R,c,1735660021703
P,u,1735660021891
R,u,1735660021979
P,r,1735660022093
R,r,1735660022192
P,r,1735660022241
R,r,1735660022344
P,e,1735660022469
R,e,1735660022571
P,n,1735660022575
R,n,1735660022669
P,t,1735660022791
R,t,1735660022884
P,l,1735660023177
R,l,1735660023404
P,Key.backspace,1735660023695
R,Key.backspace,1735660023785
P,Key.backspace,1735660023867
R,Key.backspace,1735660023965
P,Key.backspace,1735660024046
R,Key.backspace,1735660024133
P,c,1735660024982
R,c,1735660025103
P,y,1735660025282
R,y,1735660025382
P,Key.space,1735660025569
R,Key.space,1735660025644
